rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,MATKERIMOV Ihtiyor,TKM,"Apr 18, 1994",55.70,A,0.0,0.0,0.0,103,56kgMen,Snatch,199,True
2,KON-NGOEN Arun,THA,"Jan 02, 1994",55.75,A,0.0,0.0,0.0,103,56kgMen,Snatch,199,True
3,ABDYRAMANOV Syrgak,KGZ,"Nov 21, 1994",55.75,A,0.0,0.0,0.0,88,56kgMen,Snatch,199,True
4,MUKHTOROV Yorkinjon,UZB,"Feb 15, 1994",55.60,A,0.0,0.0,0.0,87,56kgMen,Snatch,199,True
5,MAINAZOROV Daulet,KGZ,"Sep 12, 1995",55.75,A,0.0,0.0,0.0,80,56kgMen,Snatch,199,True
1,KON-NGOEN Arun,THA,"Jan 02, 1994",55.75,A,0.0,0.0,0.0,132,56kgMen,CleanJerk,199,True
2,MATKERIMOV Ihtiyor,TKM,"Apr 18, 1994",55.70,A,0.0,0.0,0.0,131,56kgMen,CleanJerk,199,True
3,ABDYRAMANOV Syrgak,KGZ,"Nov 21, 1994",55.75,A,0.0,0.0,0.0,108,56kgMen,CleanJerk,199,True
4,MUKHTOROV Yorkinjon,UZB,"Feb 15, 1994",55.60,A,0.0,0.0,0.0,100,56kgMen,CleanJerk,199,True
5,MAINAZOROV Daulet,KGZ,"Sep 12, 1995",55.75,A,0.0,0.0,0.0,95,56kgMen,CleanJerk,199,True
1,KON-NGOEN Arun,THA,"Jan 02, 1994",55.75,A,103,132,235,,56kgMen,Total,199,True
2,MATKERIMOV Ihtiyor,TKM,"Apr 18, 1994",55.70,A,103,131,234,,56kgMen,Total,199,True
3,ABDYRAMANOV Syrgak,KGZ,"Nov 21, 1994",55.75,A,88,108,196,,56kgMen,Total,199,True
4,MUKHTOROV Yorkinjon,UZB,"Feb 15, 1994",55.60,A,87,100,187,,56kgMen,Total,199,True
5,MAINAZOROV Daulet,KGZ,"Sep 12, 1995",55.75,A,80,95,175,,56kgMen,Total,199,True
1,ZHAKISHOV Ulan,KGZ,"Feb 22, 1994",61.75,A,0.0,0.0,0.0,111,62kgMen,Snatch,199,True
2,ASHYROV Dayanch,TKM,"Mar 30, 1994",61.40,A,0.0,0.0,0.0,110,62kgMen,Snatch,199,True
3,URAZEBEV Rasuli,UZB,"Jan 01, 1992",61.35,A,0.0,0.0,0.0,106,62kgMen,Snatch,199,True
4,ALI Yasir,PAK,"Jun 30, 1993",61.95,A,0.0,0.0,0.0,102,62kgMen,Snatch,199,True
5,YOKUBOV Doston,UZB,"Apr 05, 1995",61.80,A,0.0,0.0,0.0,100,62kgMen,Snatch,199,True
6,MARKAEV Meder,KGZ,"Nov 26, 1994",58.35,A,0.0,0.0,0.0,80,62kgMen,Snatch,199,True
1,YOKUBOV Doston,UZB,"Apr 05, 1995",61.80,A,0.0,0.0,0.0,128,62kgMen,CleanJerk,199,True
2,ALI Yasir,PAK,"Jun 30, 1993",61.95,A,0.0,0.0,0.0,128,62kgMen,CleanJerk,199,True
3,ASHYROV Dayanch,TKM,"Mar 30, 1994",61.40,A,0.0,0.0,0.0,125,62kgMen,CleanJerk,199,True
4,ZHAKISHOV Ulan,KGZ,"Feb 22, 1994",61.75,A,0.0,0.0,0.0,121,62kgMen,CleanJerk,199,True
5,URAZEBEV Rasuli,UZB,"Jan 01, 1992",61.35,A,0.0,0.0,0.0,120,62kgMen,CleanJerk,199,True
6,MARKAEV Meder,KGZ,"Nov 26, 1994",58.35,A,0.0,0.0,0.0,97,62kgMen,CleanJerk,199,True
1,ASHYROV Dayanch,TKM,"Mar 30, 1994",61.40,A,110,125,235,,62kgMen,Total,199,True
2,ZHAKISHOV Ulan,KGZ,"Feb 22, 1994",61.75,A,111,121,232,,62kgMen,Total,199,True
3,ALI Yasir,PAK,"Jun 30, 1993",61.95,A,102,128,230,,62kgMen,Total,199,True
4,YOKUBOV Doston,UZB,"Apr 05, 1995",61.80,A,100,128,228,,62kgMen,Total,199,True
5,URAZEBEV Rasuli,UZB,"Jan 01, 1992",61.35,A,106,120,226,,62kgMen,Total,199,True
6,MARKAEV Meder,KGZ,"Nov 26, 1994",58.35,A,80,97,177,,62kgMen,Total,199,True
1,ISMAYILOV Daniyar,TKM,"Feb 03, 1992",67.45,A,0.0,0.0,0.0,130,69kgMen,Snatch,199,True
2,ATABAYEV Guvanch,TKM,"Apr 14, 1994",68.35,A,0.0,0.0,0.0,120,69kgMen,Snatch,199,True
3,ARTYKOV Izzat,KGZ,"Sep 08, 1993",63.65,A,0.0,0.0,0.0,115,69kgMen,Snatch,199,True
4,MIRASOV Dilovar,TJK,"Jan 01, 1991",67.75,A,0.0,0.0,0.0,115,69kgMen,Snatch,199,True
5,RUSTAM Khil Esmatullah,AFG,"Mar 30, 1992",68.65,A,0.0,0.0,0.0,82,69kgMen,Snatch,199,True
1,ISMAYILOV Daniyar,TKM,"Feb 03, 1992",67.45,A,0.0,0.0,0.0,152,69kgMen,CleanJerk,199,True
2,MIRASOV Dilovar,TJK,"Jan 01, 1991",67.75,A,0.0,0.0,0.0,140,69kgMen,CleanJerk,199,True
3,ATABAYEV Guvanch,TKM,"Apr 14, 1994",68.35,A,0.0,0.0,0.0,140,69kgMen,CleanJerk,199,True
4,ARTYKOV Izzat,KGZ,"Sep 08, 1993",63.65,A,0.0,0.0,0.0,130,69kgMen,CleanJerk,199,True
5,RUSTAM Khil Esmatullah,AFG,"Mar 30, 1992",68.65,A,0.0,0.0,0.0,115,69kgMen,CleanJerk,199,True
1,ISMAYILOV Daniyar,TKM,"Feb 03, 1992",67.45,A,130,152,282,,69kgMen,Total,199,True
2,ATABAYEV Guvanch,TKM,"Apr 14, 1994",68.35,A,120,140,260,,69kgMen,Total,199,True
3,MIRASOV Dilovar,TJK,"Jan 01, 1991",67.75,A,115,140,255,,69kgMen,Total,199,True
4,ARTYKOV Izzat,KGZ,"Sep 08, 1993",63.65,A,115,130,245,,69kgMen,Total,199,True
5,RUSTAM Khil Esmatullah,AFG,"Mar 30, 1992",68.65,A,82,115,197,,69kgMen,Total,199,True
1,MAMADRAIMOV Aidar,KGZ,"Feb 02, 1993",74.95,A,0.0,0.0,0.0,130,77kgMen,Snatch,199,True
2,REJEPOV Rejepbay,TKM,"Feb 23, 1992",76.15,A,0.0,0.0,0.0,130,77kgMen,Snatch,199,True
3,ORAZDURDYYEV Baymyrat,TKM,"Oct 20, 1993",71.65,A,0.0,0.0,0.0,123,77kgMen,Snatch,199,True
4,ERGASHEV Shodilbek,UZB,"Oct 15, 1992",74.55,A,0.0,0.0,0.0,123,77kgMen,Snatch,199,True
5,PIRZHANOV Vepa,TKM,"Aug 22, 1994",73.30,A,0.0,0.0,0.0,110,77kgMen,Snatch,199,True
6,OCHILOV Ruslan,UZB,"Jan 01, 1994",77.00,A,0.0,0.0,0.0,109,77kgMen,Snatch,199,True
7,PIRZADA Atiqullah,AFG,"Jul 04, 1991",73.25,A,0.0,0.0,0.0,80,77kgMen,Snatch,199,True
1,REJEPOV Rejepbay,TKM,"Feb 23, 1992",76.15,A,0.0,0.0,0.0,155,77kgMen,CleanJerk,199,True
2,MAMADRAIMOV Aidar,KGZ,"Feb 02, 1993",74.95,A,0.0,0.0,0.0,150,77kgMen,CleanJerk,199,True
3,ORAZDURDYYEV Baymyrat,TKM,"Oct 20, 1993",71.65,A,0.0,0.0,0.0,147,77kgMen,CleanJerk,199,True
4,ERGASHEV Shodilbek,UZB,"Oct 15, 1992",74.55,A,0.0,0.0,0.0,146,77kgMen,CleanJerk,199,True
5,PIRZHANOV Vepa,TKM,"Aug 22, 1994",73.30,A,0.0,0.0,0.0,135,77kgMen,CleanJerk,199,True
6,OCHILOV Ruslan,UZB,"Jan 01, 1994",77.00,A,0.0,0.0,0.0,130,77kgMen,CleanJerk,199,True
