rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",53.80,A,105,-110,110,110,56kgMen,Snatch,201,True
2,AL KULAIBI Suhail Mahfoodh Ali,OMA,"Jun 30, 1984",55.70,A,105,110,-111,110,56kgMen,Snatch,201,True
3,ALABDULAL Abbas Salman A,KSA,"Jun 09, 1991",56.00,A,97,101,-102,101,56kgMen,Snatch,201,True
4,AL-HAMADANI Yasir,IRQ,"Aug 15, 1991",55.30,A,96,100,-102,100,56kgMen,Snatch,201,True
5,ALHATEM Abdulla,KUW,"Aug 02, 1986",56.00,A,87,-96,98,98,56kgMen,Snatch,201,True
6,CHIGAR Abdeghani,MAR,"Feb 20, 1989",55.30,A,-85,85,90,90,56kgMen,Snatch,201,True
7,AL-AREQI Mohammed,YEM,"Nov 09, 1994",54.30,A,80,84,88,88,56kgMen,Snatch,201,True
8,BADAWI Mahmoud,LBN,"Nov 28, 1994",55.50,A,70,75,78,78,56kgMen,Snatch,201,True
9,SABT Soud,QAT,"Jun 27, 1993",54.20,A,45,55,-60,55,56kgMen,Snatch,201,True
1,AL KULAIBI Suhail Mahfoodh Ali,OMA,"Jun 30, 1984",55.70,A,127,-130,133,133,56kgMen,CleanJerk,201,True
2,AL-HAMADANI Yasir,IRQ,"Aug 15, 1991",55.30,A,126,129,-134,129,56kgMen,CleanJerk,201,True
3,ALHATEM Abdulla,KUW,"Aug 02, 1986",56.00,A,-122,122,127,127,56kgMen,CleanJerk,201,True
4,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",53.80,A,125,-128,-128,125,56kgMen,CleanJerk,201,True
5,ALABDULAL Abbas Salman A,KSA,"Jun 09, 1991",56.00,A,118,122,125,125,56kgMen,CleanJerk,201,True
6,CHIGAR Abdeghani,MAR,"Feb 20, 1989",55.30,A,108,112,115,115,56kgMen,CleanJerk,201,True
7,AL-AREQI Mohammed,YEM,"Nov 09, 1994",54.30,A,-100,100,-108,100,56kgMen,CleanJerk,201,True
8,BADAWI Mahmoud,LBN,"Nov 28, 1994",55.50,A,85,90,-94,90,56kgMen,CleanJerk,201,True
9,SABT Soud,QAT,"Jun 27, 1993",54.20,A,65,-75,-80,65,56kgMen,CleanJerk,201,True
1,AL KULAIBI Suhail Mahfoodh Ali,OMA,"Jun 30, 1984",55.70,A,110,133,243,,56kgMen,Total,201,True
2,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",53.80,A,110,125,235,,56kgMen,Total,201,True
3,AL-HAMADANI Yasir,IRQ,"Aug 15, 1991",55.30,A,100,129,229,,56kgMen,Total,201,True
4,ALABDULAL Abbas Salman A,KSA,"Jun 09, 1991",56.00,A,101,125,226,,56kgMen,Total,201,True
5,ALHATEM Abdulla,KUW,"Aug 02, 1986",56.00,A,98,127,225,,56kgMen,Total,201,True
6,CHIGAR Abdeghani,MAR,"Feb 20, 1989",55.30,A,90,115,205,,56kgMen,Total,201,True
7,AL-AREQI Mohammed,YEM,"Nov 09, 1994",54.30,A,88,100,188,,56kgMen,Total,201,True
8,BADAWI Mahmoud,LBN,"Nov 28, 1994",55.50,A,78,90,168,,56kgMen,Total,201,True
9,SABT Soud,QAT,"Jun 27, 1993",54.20,A,55,65,120,,56kgMen,Total,201,True
1,MOHAMMED KADHUM Karrar M. J. M. K.,IRQ,"Jul 25, 1995",61.80,A,124,-128,129,129,62kgMen,Snatch,201,True
