rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,HRISTOV Valentin,AZE,"Born: Mar 30, 1994",B.weight: 55.80,Group: A,1: 117,2: 122,3: 125,Total: 125,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 2,KILIC Gokhan,TUR,"Born: Jan 06, 1988",B.weight: 55.93,Group: A,1: 113,2: 117,3: 121,Total: 121,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 3,SIRGHI Oleg,MDA,"Born: Jul 09, 1987",B.weight: 55.97,Group: A,1: 107,2: 112,3: 116,Total: 116,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 4,MURADOV Asen Selimov,BUL,"Born: Aug 01, 1991",B.weight: 55.76,Group: A,1: -115,2: 115,3: -120,Total: 115,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 5,ARTUC Sedat,TUR,"Born: Jun 09, 1976",B.weight: 55.59,Group: A,1: 107,2: -112,3: 112,Total: 112,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 6,BRACHI GARCIA Josue,ESP,"Born: Sep 08, 1992",B.weight: 55.22,Group: A,1: 100,2: 105,3: 110,Total: 110,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 7,PRZEPIORKIEWICZ Maciej,POL,"Born: Nov 14, 1987",B.weight: 55.82,Group: A,1: -102,2: 102,3: 105,Total: 105,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 8,SCARANTINO Mirco,ITA,"Born: Jan 16, 1995",B.weight: 55.47,Group: B,1: 93,2: 98,3: 102,Total: 102,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 9,OTERO MARTINEZ Michael Steven,ESP,"Born: Jul 29, 1990",B.weight: 55.59,Group: A,1: 97,2: 102,3: -105,Total: 102,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 10,PALKOVIC Michal,SVK,"Born: Oct 28, 1985",B.weight: 55.96,Group: B,1: 85,2: 90,3: 92,Total: 92,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 11,DI GIUSTO Michael,ITA,"Born: Feb 16, 1995",B.weight: 55.72,Group: B,1: 90,2: - 96,3: - 96,Total: 90,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 12,LAHDEKORPI Arto Juha Vihtori,FIN,"Born: Jun 24, 1982",B.weight: 55.94,Group: B,1: 85,2: - 90,3: - 90,Total: 85,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 13,KUBIK Jakub,CZE,"Born: Mar 16, 1996",B.weight: 55.78,Group: B,1: 67,2: 71,3: 74,Total: 74,56kgMen,Snatch,EUROPEAN CHAMPIONSHIPS
Rank: 1,HRISTOV Valentin,AZE,"Born: Mar 30, 1994",B.weight: 55.80,Group: A,1: 145,2: 150,3: 155,Total: 155,56kgMen,CleanJerk,EUROPEAN CHAMPIONSHIPS
Rank: 2,SIRGHI Oleg,MDA,"Born: Jul 09, 1987",B.weight: 55.97,Group: A,1: 141,2: 146,3: -156,Total: 146,56kgMen,CleanJerk,EUROPEAN CHAMPIONSHIPS
Rank: 3,MURADOV Asen Selimov,BUL,"Born: Aug 01, 1991",B.weight: 55.76,Group: A,1: -130,2: 130,3: 136,Total: 136,56kgMen,CleanJerk,EUROPEAN CHAMPIONSHIPS
