rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,IARKIN Viacheslav,RUS,"Born: Nov 19, 1997",B.weight: 49.72,Group: A,1: -89,2: 89,3: 91,Total: 91,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 2,ALBU Marian,ROU,"Born: Jun 15, 1996",B.weight: 49.90,Group: A,1: 86,2: 90,3: -92,Total: 90,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 3,BAKHSHALIZADA Valeh,AZE,"Born: Oct 07, 1997",B.weight: 49.42,Group: A,1: 83,2: 88,3: -91,Total: 88,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 4,MUSOKHRANOV Oleg,RUS,"Born: Aug 23, 1995",B.weight: 49.78,Group: A,1: 82,2: 85,3: 87,Total: 87,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 5,SUHAREVS Ritvars,LAT,"Born: Jan 11, 1999",B.weight: 49.46,Group: A,1: 78,2: 80,3: -83,Total: 80,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 6,KOMOROWSKI Tomasz Dawid,POL,"Born: Mar 21, 1995",B.weight: 49.76,Group: A,1: -77,2: 77,3: 79,Total: 79,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 7,SOTIROV Georgi Stefanov,BUL,"Born: Nov 19, 1996",B.weight: 49.74,Group: A,1: 73,2: 75,3: -78,Total: 75,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 8,ELIS Murat,TUR,"Born: Feb 23, 1998",B.weight: 49.78,Group: A,1: -73,2: 73,3: -80,Total: 73,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 9,ARCARA Fabio,ITA,"Born: Jan 28, 1997",B.weight: 49.26,Group: A,1: 63,2: 67,3: 70,Total: 70,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 10,MOCAER Alan,FRA,"Born: Mar 07, 1996",B.weight: 49.02,Group: A,1: 63,2: 66,3: 68,Total: 68,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: ---,TALU Kalle,EST,"Born: Mar 20, 1997",B.weight: 49.66,Group: A,1: -65,2: -65,3: -65,Total: ---,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: ---,MANEA Robert Stefan,ROU,"Born: Dec 09, 1997",B.weight: 49.68,Group: A,1: -88,2: -88,3: -88,Total: ---,50kgMen,Snatch,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 1,BAKHSHALIZADA Valeh,AZE,"Born: Oct 07, 1997",B.weight: 49.42,Group: A,1: 111,2: 116,3: -120,Total: 116,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 2,MANEA Robert Stefan,ROU,"Born: Dec 09, 1997",B.weight: 49.68,Group: A,1: 106,2: 109,3: -117,Total: 109,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 3,IARKIN Viacheslav,RUS,"Born: Nov 19, 1997",B.weight: 49.72,Group: A,1: -108,2: 108,3: -111,Total: 108,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 4,ALBU Marian,ROU,"Born: Jun 15, 1996",B.weight: 49.90,Group: A,1: -106,2: -106,3: 107,Total: 107,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 5,SUHAREVS Ritvars,LAT,"Born: Jan 11, 1999",B.weight: 49.46,Group: A,1: 98,2: 105,3: -108,Total: 105,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 6,KOMOROWSKI Tomasz Dawid,POL,"Born: Mar 21, 1995",B.weight: 49.76,Group: A,1: 95,2: 99,3: 101,Total: 101,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 7,MUSOKHRANOV Oleg,RUS,"Born: Aug 23, 1995",B.weight: 49.78,Group: A,1: 98,2: -105,3: -107,Total: 98,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 8,MOCAER Alan,FRA,"Born: Mar 07, 1996",B.weight: 49.02,Group: A,1: 90,2: -95,3: 95,Total: 95,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 9,SOTIROV Georgi Stefanov,BUL,"Born: Nov 19, 1996",B.weight: 49.74,Group: A,1: 90,2: -95,3: -95,Total: 90,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 10,ELIS Murat,TUR,"Born: Feb 23, 1998",B.weight: 49.78,Group: A,1: 82,2: 88,3: 90,Total: 90,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 11,ARCARA Fabio,ITA,"Born: Jan 28, 1997",B.weight: 49.26,Group: A,1: 80,2: 85,3: 88,Total: 88,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 12,TALU Kalle,EST,"Born: Mar 20, 1997",B.weight: 49.66,Group: A,1: 77,2: 81,3: -85,Total: 81,50kgMen,CleanJerk,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 1,BAKHSHALIZADA Valeh,AZE,"Born: Oct 07, 1997",B.weight: 49.42,Group: A,Snatch: 88,CI&Jerk: 116,Total: 204,,50kgMen,Total,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 2,IARKIN Viacheslav,RUS,"Born: Nov 19, 1997",B.weight: 49.72,Group: A,Snatch: 91,CI&Jerk: 108,Total: 199,,50kgMen,Total,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 3,ALBU Marian,ROU,"Born: Jun 15, 1996",B.weight: 49.90,Group: A,Snatch: 90,CI&Jerk: 107,Total: 197,,50kgMen,Total,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 4,SUHAREVS Ritvars,LAT,"Born: Jan 11, 1999",B.weight: 49.46,Group: A,Snatch: 80,CI&Jerk: 105,Total: 185,,50kgMen,Total,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 5,MUSOKHRANOV Oleg,RUS,"Born: Aug 23, 1995",B.weight: 49.78,Group: A,Snatch: 87,CI&Jerk: 98,Total: 185,,50kgMen,Total,EUROPEAN YOUTH CHAMPIONSHIPS
Rank: 6,KOMOROWSKI Tomasz Dawid,POL,"Born: Mar 21, 1995",B.weight: 49.76,Group: A,Snatch: 79,CI&Jerk: 101,Total: 180,,50kgMen,Total,EUROPEAN YOUTH CHAMPIONSHIPS
