rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,RADA RODRIGUEZ Sergio Armando,COL,"Jan 27, 1984",55.74,B,107,112,-112,112,56kgMen,Snatch,21,True
---,GOEGEBUER Tom Richard,BEL,"Mar 27, 1975",55.94,B,109,112,114,114,56kgMen,Snatch,21,True
---,DELLINO Vito,ITA,"Apr 16, 1982",55.99,B,102,107,110,110,56kgMen,Snatch,21,True
---,GRABUCEA Igor,MDA,"Apr 29, 1976",55.63,B,105,109,-112,109,56kgMen,Snatch,21,True
---,EL MAOUI Khalil,TUN,"Sep 12, 1988",55.87,A,123,126,-130,126,56kgMen,Snatch,21,True
---,DZERBIANIOU Vitali,BLR,"Aug 05, 1976",55.88,A,120,125,127,127,56kgMen,Snatch,21,True
---,RI Kyong Sok,PRK,"Aug 14, 1981",55.82,A,-122,-122,-122,---,56kgMen,Snatch,21,True
---,ARTUC Sedat,TUR,"Jun 09, 1976",55.98,B,-115,-115,-115,---,56kgMen,Snatch,21,True
---,SEKIKAWA Yasunobu,JPN,"Mar 21, 1980",55.79,B,108,112,114,114,56kgMen,Snatch,21,True
---,MANEETONG Pongsak,THA,"May 03, 1986",55.64,B,112,116,-120,116,56kgMen,Snatch,21,True
---,YAMADA Masaharu,JPN,"May 01, 1980",55.84,B,-103,103,106,106,56kgMen,Snatch,21,True
---,LONG Qingquan,CHN,"Dec 03, 1990",55.37,A,125,130,132,132,56kgMen,Snatch,21,True
---,HOANG Anh Tuan,VIE,"Feb 12, 1985",55.97,A,126,-130,130,130,56kgMen,Snatch,21,True
---,IRAWAN Eko Yuli,INA,"Jul 24, 1989",55.91,A,125,-130,130,130,56kgMen,Snatch,21,True
---,YANG Chin-Yi,TPE,"May 15, 1981",55.43,A,125,-128,128,128,56kgMen,Snatch,21,True
---,CHA Kum Chol,PRK,"Jul 19, 1987",55.85,A,-128,-128,128,128,56kgMen,Snatch,21,True
---,ALVAREZ BOULET Sergio,CUB,"Oct 11, 1979",55.67,A,-120,120,-125,120,56kgMen,Snatch,21,True
---,WANG Shin-Yuan,TPE,"Jul 06, 1976",55.53,A,-115,115,-120,115,56kgMen,Snatch,21,True
---,AMIRUL Hamizan Bin Ibrahim,MAS,"Dec 03, 1981",55.77,A,116,121,-123,121,56kgMen,Snatch,21,True
---,RADA RODRIGUEZ Sergio Armando,COL,"Jan 27, 1984",55.74,B,135,140,-142,140,56kgMen,CleanJerk,21,True
---,GOEGEBUER Tom Richard,BEL,"Mar 27, 1975",55.94,B,132,135,137,137,56kgMen,CleanJerk,21,True
---,DELLINO Vito,ITA,"Apr 16, 1982",55.99,B,132,137,-140,137,56kgMen,CleanJerk,21,True
---,GRABUCEA Igor,MDA,"Apr 29, 1976",55.63,B,-130,130,-135,130,56kgMen,CleanJerk,21,True
---,EL MAOUI Khalil,TUN,"Sep 12, 1988",55.87,A,-142,-142,-142,---,56kgMen,CleanJerk,21,True
---,DZERBIANIOU Vitali,BLR,"Aug 05, 1976",55.88,A,-140,-140,-140,---,56kgMen,CleanJerk,21,True
---,RI Kyong Sok,PRK,"Aug 14, 1981",55.82,A,---,---,---,---,56kgMen,CleanJerk,21,True
---,ARTUC Sedat,TUR,"Jun 09, 1976",55.98,B,---,---,---,---,56kgMen,CleanJerk,21,True
