rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,PANRAK Krongrat,THA,"Feb 09, 1995",49.90,A,88,92,-95,92,50kgMen,Snatch,220,True
2,EKANAYAKE E.M.S.S.,SRI,"Jun 01, 1996",49.40,A,83,87,-91,87,50kgMen,Snatch,220,True
3,ASLANOV Ruzimurod,UZB,"Feb 01, 1995",49.60,A,83,86,-88,86,50kgMen,Snatch,220,True
4,PAK Jong Ju,PRK,"Mar 14, 1997",49.85,A,-83,-84,84,84,50kgMen,Snatch,220,True
5,SAN A Cam,VIE,"Sep 12, 1997",48.90,A,80,-83,83,83,50kgMen,Snatch,220,True
6,LAI Yung-En,TPE,"Feb 03, 1997",49.60,A,75,78,-80,78,50kgMen,Snatch,220,True
7,MOHAMMED Saleh,IRQ,"Jan 25, 1996",49.90,A,-74,74,-79,74,50kgMen,Snatch,220,True
1,EKANAYAKE E.M.S.S.,SRI,"Jun 01, 1996",49.40,A,107,-113,113,113,50kgMen,CleanJerk,220,True
2,PANRAK Krongrat,THA,"Feb 09, 1995",49.90,A,108,-113,113,113,50kgMen,CleanJerk,220,True
3,PAK Jong Ju,PRK,"Mar 14, 1997",49.85,A,-107,108,-113,108,50kgMen,CleanJerk,220,True
4,ASLANOV Ruzimurod,UZB,"Feb 01, 1995",49.60,A,103,107,-109,107,50kgMen,CleanJerk,220,True
5,SAN A Cam,VIE,"Sep 12, 1997",48.90,A,95,100,103,103,50kgMen,CleanJerk,220,True
6,LAI Yung-En,TPE,"Feb 03, 1997",49.60,A,95,-100,100,100,50kgMen,CleanJerk,220,True
7,MOHAMMED Saleh,IRQ,"Jan 25, 1996",49.90,A,90,-97,-97,90,50kgMen,CleanJerk,220,True
1,PANRAK Krongrat,THA,"Feb 09, 1995",49.90,A,92,113,205,,50kgMen,Total,220,True
2,EKANAYAKE E.M.S.S.,SRI,"Jun 01, 1996",49.40,A,87,113,200,,50kgMen,Total,220,True
3,ASLANOV Ruzimurod,UZB,"Feb 01, 1995",49.60,A,86,107,193,,50kgMen,Total,220,True
4,PAK Jong Ju,PRK,"Mar 14, 1997",49.85,A,84,108,192,,50kgMen,Total,220,True
5,SAN A Cam,VIE,"Sep 12, 1997",48.90,A,83,103,186,,50kgMen,Total,220,True
6,LAI Yung-En,TPE,"Feb 03, 1997",49.60,A,78,100,178,,50kgMen,Total,220,True
7,MOHAMMED Saleh,IRQ,"Jan 25, 1996",49.90,A,74,90,164,,50kgMen,Total,220,True
1,KWON Yong Gwang,PRK,"Jan 14, 1996",55.90,A,93,97,-101,97,56kgMen,Snatch,220,True
2,AL-ZUBAIDI Mohammed Ali Wahhab,IRQ,"Jan 01, 1996",55.00,A,95,-100,-100,95,56kgMen,Snatch,220,True
3,SANTA Aruna,IND,"Mar 10, 1996",55.90,A,92,95,-98,95,56kgMen,Snatch,220,True
4,HAMDAYI Sajjad Abbas Yaseen,IRQ,"Jul 15, 1995",55.55,A,-93,93,-98,93,56kgMen,Snatch,220,True
