rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,KRAYDI Faouzi,TUN,"Born: Apr 06, 1997",B.weight: 49.50,Group: A,1: 70,2: 80,3: 84,Total: 84,50kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,ISRAEL Denver,RSA,"Born: Nov 02, 1995",B.weight: 48.60,Group: A,1: 58,2: 62,3: -65,Total: 62,50kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 3,SHABI Ahsaan Ali Alhadi,LBA,"Born: Mar 22, 1997",B.weight: 49.50,Group: A,1: 55,2: -62,3: -63,Total: 55,50kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: ---,RAMZI Marzouki,TUN,"Born: Feb 17, 1997",B.weight: 49.80,Group: A,1: -66,2: -66,3: -66,Total: ---,50kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,KRAYDI Faouzi,TUN,"Born: Apr 06, 1997",B.weight: 49.50,Group: A,1: 95,2: 101,3: -104,Total: 101,50kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,ISRAEL Denver,RSA,"Born: Nov 02, 1995",B.weight: 48.60,Group: A,1: 75,2: -78,3: 78,Total: 78,50kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 3,SHABI Ahsaan Ali Alhadi,LBA,"Born: Mar 22, 1997",B.weight: 49.50,Group: A,1: 70,2: 76,3: -78,Total: 76,50kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: ---,RAMZI Marzouki,TUN,"Born: Feb 17, 1997",B.weight: 49.80,Group: A,1: ---,2: ---,3: ---,Total: ---,50kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,KRAYDI Faouzi,TUN,"Born: Apr 06, 1997",B.weight: 49.50,Group: A,Snatch: 84,CI&Jerk: 101,Total: 185,,50kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,ISRAEL Denver,RSA,"Born: Nov 02, 1995",B.weight: 48.60,Group: A,Snatch: 62,CI&Jerk: 78,Total: 140,,50kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 3,SHABI Ahsaan Ali Alhadi,LBA,"Born: Mar 22, 1997",B.weight: 49.50,Group: A,Snatch: 55,CI&Jerk: 76,Total: 131,,50kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: ---,RAMZI Marzouki,TUN,"Born: Feb 17, 1997",B.weight: 49.80,Group: A,Snatch: ---,CI&Jerk: ---,Total: ---,,50kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,MAROUEN Watreni,TUN,"Born: Apr 28, 1995",B.weight: 55.70,Group: A,1: -90,2: 90,3: 100,Total: 100,56kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,ELRASHED Muad Joma,LBA,"Born: Nov 21, 1997",B.weight: 53.70,Group: A,1: 50,2: 60,3: ---,Total: 60,56kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,MAROUEN Watreni,TUN,"Born: Apr 28, 1995",B.weight: 55.70,Group: A,1: 120,2: -128,3: -128,Total: 120,56kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,ELRASHED Muad Joma,LBA,"Born: Nov 21, 1997",B.weight: 53.70,Group: A,1: 60,2: 70,3: ---,Total: 70,56kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,MAROUEN Watreni,TUN,"Born: Apr 28, 1995",B.weight: 55.70,Group: A,Snatch: 100,CI&Jerk: 120,Total: 220,,56kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,ELRASHED Muad Joma,LBA,"Born: Nov 21, 1997",B.weight: 53.70,Group: A,Snatch: 60,CI&Jerk: 70,Total: 130,,56kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,HOUCINE Ben Hminda,TUN,"Born: Nov 18, 1996",B.weight: 61.80,Group: A,1: 90,2: 97,3: -101,Total: 97,62kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,ALHARARI Alla,LBA,"Born: Jul 07, 1995",B.weight: 58.50,Group: A,1: 70,2: 80,3: -84,Total: 80,62kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 3,EL AABIDI Khalid,MAR,"Born: Sep 14, 1995",B.weight: 61.40,Group: A,1: 70,2: -80,3: 80,Total: 80,62kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,HOUCINE Ben Hminda,TUN,"Born: Nov 18, 1996",B.weight: 61.80,Group: A,1: 112,2: 115,3: -126,Total: 115,62kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,EL AABIDI Khalid,MAR,"Born: Sep 14, 1995",B.weight: 61.40,Group: A,1: 95,2: 100,3: -105,Total: 100,62kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 3,ALHARARI Alla,LBA,"Born: Jul 07, 1995",B.weight: 58.50,Group: A,1: 85,2: -90,3: -96,Total: 85,62kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,HOUCINE Ben Hminda,TUN,"Born: Nov 18, 1996",B.weight: 61.80,Group: A,Snatch: 97,CI&Jerk: 115,Total: 212,,62kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,EL AABIDI Khalid,MAR,"Born: Sep 14, 1995",B.weight: 61.40,Group: A,Snatch: 80,CI&Jerk: 100,Total: 180,,62kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 3,ALHARARI Alla,LBA,"Born: Jul 07, 1995",B.weight: 58.50,Group: A,Snatch: 80,CI&Jerk: 85,Total: 165,,62kgMen,Total,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,BADIS Othmani,TUN,"Born: Feb 09, 1995",B.weight: 68.10,Group: A,1: 95,2: 100,3: -105,Total: 100,69kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 2,JAMIL Loubika,UGA,"Born: Jan 01, 1997",B.weight: 64.30,Group: A,1: 90,2: -95,3: 95,Total: 95,69kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 3,HALBANE Abdelilah,MAR,"Born: Aug 21, 1995",B.weight: 66.30,Group: A,1: 82,2: 87,3: 90,Total: 90,69kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 4,OMAR Abdurraouf,LBA,"Born: Sep 12, 1995",B.weight: 67.00,Group: A,1: 80,2: -87,3: 87,Total: 87,69kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 5,KAWOOYA Huzaif,UGA,"Born: Jan 07, 1995",B.weight: 63.20,Group: A,1: 80,2: -85,3: -87,Total: 80,69kgMen,Snatch,AFRICAN YOUTH CHAMPIONSHIPS
Rank: 1,JAMIL Loubika,UGA,"Born: Jan 01, 1997",B.weight: 64.30,Group: A,1: 116,2: 122,3: 123,Total: 123,69kgMen,CleanJerk,AFRICAN YOUTH CHAMPIONSHIPS
