rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.69,A,103,107,110,110,56kgMen,Snatch,245,True
---,XU Jingui,CHN,"May 10, 1990",55.80,A,110,-115,115,115,56kgMen,Snatch,245,True
---,TIUTIUNNYK Artur,UKR,"Jul 14, 1987",55.75,B,92,97,-100,97,56kgMen,Snatch,245,True
---,MATKERIMOV Ihtiyor,TKM,"Apr 18, 1994",55.75,A,-105,-107,107,107,56kgMen,Snatch,245,True
---,AKHTER Ahmad Mahmood,PAK,"Sep 06, 1993",54.91,B,75,80,85,85,56kgMen,Snatch,245,True
---,TAKAO Hiroaki,JPN,"Jan 02, 1992",55.75,A,104,-107,107,107,56kgMen,Snatch,245,True
---,TAN Chi Chung,TPE,"Feb 24, 1990",55.53,A,-105,105,107,107,56kgMen,Snatch,245,True
---,YOMOGI Kota,JPN,"Feb 27, 1994",55.76,B,101,104,106,106,56kgMen,Snatch,245,True
---,MARGARYAN Smbat,ARM,"Mar 17, 1993",55.12,A,100,-105,-105,100,56kgMen,Snatch,245,True
---,CHANG Kang-Ming,TPE,"Aug 23, 1992",55.36,B,105,108,-110,108,56kgMen,Snatch,245,True
---,CHONTEY Arli,KAZ,"Jul 01, 1992",55.09,A,107,112,115,115,56kgMen,Snatch,245,True
---,LIM Changyoon,KOR,"May 30, 1992",55.71,A,100,-105,-105,100,56kgMen,Snatch,245,True
---,SIRGHI Oleg,MDA,"Jul 09, 1987",55.92,A,-103,103,-106,103,56kgMen,Snatch,245,True
DSQ,ARTETA Luis Alfredo,COL,"Jan 04, 1990",54.55,B,85,-90,90,---,56kgMen,Snatch,245,True
---,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.69,A,136,140,-145,140,56kgMen,CleanJerk,245,True
---,XU Jingui,CHN,"May 10, 1990",55.80,A,140,146,149,149,56kgMen,CleanJerk,245,True
---,TIUTIUNNYK Artur,UKR,"Jul 14, 1987",55.75,B,120,125,-130,125,56kgMen,CleanJerk,245,True
---,MATKERIMOV Ihtiyor,TKM,"Apr 18, 1994",55.75,A,-136,-139,-139,---,56kgMen,CleanJerk,245,True
---,AKHTER Ahmad Mahmood,PAK,"Sep 06, 1993",54.91,B,100,-105,-105,100,56kgMen,CleanJerk,245,True
---,TAKAO Hiroaki,JPN,"Jan 02, 1992",55.75,A,133,-136,137,137,56kgMen,CleanJerk,245,True
---,TAN Chi Chung,TPE,"Feb 24, 1990",55.53,A,-135,135,-139,135,56kgMen,CleanJerk,245,True
---,YOMOGI Kota,JPN,"Feb 27, 1994",55.76,B,127,131,135,135,56kgMen,CleanJerk,245,True
---,MARGARYAN Smbat,ARM,"Mar 17, 1993",55.12,A,-135,-135,135,135,56kgMen,CleanJerk,245,True
---,CHANG Kang-Ming,TPE,"Aug 23, 1992",55.36,B,123,126,-130,126,56kgMen,CleanJerk,245,True
---,CHONTEY Arli,KAZ,"Jul 01, 1992",55.09,A,130,-135,-135,130,56kgMen,CleanJerk,245,True
---,LIM Changyoon,KOR,"May 30, 1992",55.71,A,125,-130,-130,125,56kgMen,CleanJerk,245,True
---,SIRGHI Oleg,MDA,"Jul 09, 1987",55.92,A,137,143,-148,143,56kgMen,CleanJerk,245,True
DSQ,ARTETA Luis Alfredo,COL,"Jan 04, 1990",54.55,B,115,116,-120,---,56kgMen,CleanJerk,245,True
1,XU Jingui,CHN,"May 10, 1990",55.80,A,115,149,264,,56kgMen,Total,245,True
2,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.69,A,110,140,250,,56kgMen,Total,245,True
3,SIRGHI Oleg,MDA,"Jul 09, 1987",55.92,A,103,143,246,,56kgMen,Total,245,True
4,CHONTEY Arli,KAZ,"Jul 01, 1992",55.09,A,115,130,245,,56kgMen,Total,245,True
5,TAKAO Hiroaki,JPN,"Jan 02, 1992",55.75,A,107,137,244,,56kgMen,Total,245,True
6,TAN Chi Chung,TPE,"Feb 24, 1990",55.53,A,107,135,242,,56kgMen,Total,245,True
7,YOMOGI Kota,JPN,"Feb 27, 1994",55.76,B,106,135,241,,56kgMen,Total,245,True
8,MARGARYAN Smbat,ARM,"Mar 17, 1993",55.12,A,100,135,235,,56kgMen,Total,245,True
9,CHANG Kang-Ming,TPE,"Aug 23, 1992",55.36,B,108,126,234,,56kgMen,Total,245,True
10,LIM Changyoon,KOR,"May 30, 1992",55.71,A,100,125,225,,56kgMen,Total,245,True
11,TIUTIUNNYK Artur,UKR,"Jul 14, 1987",55.75,B,97,125,222,,56kgMen,Total,245,True
12,AKHTER Ahmad Mahmood,PAK,"Sep 06, 1993",54.91,B,85,100,185,,56kgMen,Total,245,True
---,MATKERIMOV Ihtiyor,TKM,"Apr 18, 1994",55.75,A,107,---,---,,56kgMen,Total,245,True
DSQ,ARTETA Luis Alfredo,COL,"Jan 04, 1990",54.55,B,---,---,---,,56kgMen,Total,245,True
---,KURU GAMAGE Asanka Sandaruwan,SRI,"Sep 28, 1988",57.01,A,60,65,-75,65,62kgMen,Snatch,245,True
---,TERNA Ion,MDA,"Jul 11, 1993",61.84,A,121,-125,-125,121,62kgMen,Snatch,245,True
---,ITOKAZU Yoichi,JPN,"May 24, 1991",61.57,A,125,128,131,131,62kgMen,Snatch,245,True
---,SAAD Ahmed Ahmed Mohamed,EGY,"Nov 01, 1986",61.67,A,122,126,-129,126,62kgMen,Snatch,245,True
