rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,RADA RODRIGUEZ Sergio Armando,COL,"Born: Jan 27, 1984",B.weight: 55.83,Group: A,1: -108,2: 108,3: 112,Total: 112,56kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 2,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.83,Group: A,1: 102,2: 106,3: -108,Total: 106,56kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 3,CRUZ ESCOBAR Ramon Ernesto,ESA,"Born: May 23, 1995",B.weight: 55.71,Group: A,1: 95,2: 100,3: 103,Total: 103,56kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 4,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.99,Group: A,1: 102,2: -106,3: -107,Total: 102,56kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 5,SOTO Diego,CHI,"Born: Jan 28, 1988",B.weight: 55.80,Group: A,1: 92,2: 97,3: -100,Total: 97,56kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 6,PRECIADO German,PAN,"Born: Nov 03, 1976",B.weight: 56.00,Group: A,1: 80,2: -85,3: 85,Total: 85,56kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 1,RADA RODRIGUEZ Sergio Armando,COL,"Born: Jan 27, 1984",B.weight: 55.83,Group: A,1: 137,2: -140,3: 140,Total: 140,56kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 2,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.83,Group: A,1: 133,2: 136,3: 138,Total: 138,56kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 3,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.99,Group: A,1: 128,2: -135,3: -135,Total: 128,56kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 4,SOTO Diego,CHI,"Born: Jan 28, 1988",B.weight: 55.80,Group: A,1: 116,2: 123,3: -125,Total: 123,56kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 5,CRUZ ESCOBAR Ramon Ernesto,ESA,"Born: May 23, 1995",B.weight: 55.71,Group: A,1: 115,2: 122,3: -125,Total: 122,56kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 6,PRECIADO German,PAN,"Born: Nov 03, 1976",B.weight: 56.00,Group: A,1: 110,2: -115,3: -115,Total: 110,56kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 1,RADA RODRIGUEZ Sergio Armando,COL,"Born: Jan 27, 1984",B.weight: 55.83,Group: A,Snatch: 112,CI&Jerk: 140,Total: 252,,56kgMen,Total,XVII BOLIVAR GAMES
Rank: 2,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.83,Group: A,Snatch: 106,CI&Jerk: 138,Total: 244,,56kgMen,Total,XVII BOLIVAR GAMES
Rank: 3,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.99,Group: A,Snatch: 102,CI&Jerk: 128,Total: 230,,56kgMen,Total,XVII BOLIVAR GAMES
Rank: 4,CRUZ ESCOBAR Ramon Ernesto,ESA,"Born: May 23, 1995",B.weight: 55.71,Group: A,Snatch: 103,CI&Jerk: 122,Total: 225,,56kgMen,Total,XVII BOLIVAR GAMES
Rank: 5,SOTO Diego,CHI,"Born: Jan 28, 1988",B.weight: 55.80,Group: A,Snatch: 97,CI&Jerk: 123,Total: 220,,56kgMen,Total,XVII BOLIVAR GAMES
Rank: 6,PRECIADO German,PAN,"Born: Nov 03, 1976",B.weight: 56.00,Group: A,Snatch: 85,CI&Jerk: 110,Total: 195,,56kgMen,Total,XVII BOLIVAR GAMES
Rank: 1,MOSQUERA VALENCIA Francisco Antonio,COL,"Born: Apr 01, 1992",B.weight: 61.68,Group: A,1: 122,2: 127,3: -132,Total: 127,62kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 2,HERRERA CEPEDA Erik Elvis,ECU,"Born: Jul 28, 1994",B.weight: 61.74,Group: A,1: 114,2: 117,3: 119,Total: 119,62kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 3,LOPEZ PENA Roy Sherlock,VEN,"Born: Oct 21, 1992",B.weight: 61.42,Group: A,1: -118,2: 118,3: -119,Total: 118,62kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 4,ZURITA VALLEJO Victor Xavier,ECU,"Born: Nov 11, 1995",B.weight: 61.54,Group: A,1: 112,2: -117,3: 117,Total: 117,62kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 5,SALAMANCA PINEDA Julio Cesar,ESA,"Born: Jul 15, 1989",B.weight: 60.79,Group: A,1: 105,2: 108,3: -110,Total: 108,62kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 6,PRECIADO REYES Miguel Angel,PER,"Born: Nov 03, 1994",B.weight: 61.63,Group: A,1: -105,2: 105,3: -110,Total: 105,62kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 7,ALBERTO Reyes,PER,"Born: Jan 01, 1997",B.weight: 60.55,Group: A,1: 93,2: -96,3: -96,Total: 93,62kgMen,Snatch,XVII BOLIVAR GAMES
Rank: 1,MOSQUERA VALENCIA Francisco Antonio,COL,"Born: Apr 01, 1992",B.weight: 61.68,Group: A,1: -155,2: 155,3: 157,Total: 157,62kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 2,SALAMANCA PINEDA Julio Cesar,ESA,"Born: Jul 15, 1989",B.weight: 60.79,Group: A,1: 150,2: 153,3: 156,Total: 156,62kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 3,HERRERA CEPEDA Erik Elvis,ECU,"Born: Jul 28, 1994",B.weight: 61.74,Group: A,1: 145,2: 150,3: -154,Total: 150,62kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 4,ZURITA VALLEJO Victor Xavier,ECU,"Born: Nov 11, 1995",B.weight: 61.54,Group: A,1: 141,2: 147,3: -150,Total: 147,62kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 5,LOPEZ PENA Roy Sherlock,VEN,"Born: Oct 21, 1992",B.weight: 61.42,Group: A,1: 145,2: -150,3: -150,Total: 145,62kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 6,PRECIADO REYES Miguel Angel,PER,"Born: Nov 03, 1994",B.weight: 61.63,Group: A,1: 135,2: 140,3: -142,Total: 140,62kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 7,ALBERTO Reyes,PER,"Born: Jan 01, 1997",B.weight: 60.55,Group: A,1: 122,2: 127,3: 130,Total: 130,62kgMen,CleanJerk,XVII BOLIVAR GAMES
Rank: 1,MOSQUERA VALENCIA Francisco Antonio,COL,"Born: Apr 01, 1992",B.weight: 61.68,Group: A,Snatch: 127,CI&Jerk: 157,Total: 284,,62kgMen,Total,XVII BOLIVAR GAMES
Rank: 2,HERRERA CEPEDA Erik Elvis,ECU,"Born: Jul 28, 1994",B.weight: 61.74,Group: A,Snatch: 119,CI&Jerk: 150,Total: 269,,62kgMen,Total,XVII BOLIVAR GAMES
