rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: ---,DEY Sukhen,IND,"Born: Mar 28, 1989",B.weight: 55.64,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 114,56kgMen,Snatch,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,MARC Jonathan,MRI,"Born: Nov 13, 1989",B.weight: 55.85,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,56kgMen,Snatch,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,GUINARES Lou,NZL,"Born: Mar 18, 1990",B.weight: 55.56,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 88,56kgMen,Snatch,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,GIWA Taju,NGR,"Born: Dec 09, 1992",B.weight: 55.40,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 98,56kgMen,Snatch,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,BARU Morea,PNG,"Born: Apr 15, 1990",B.weight: 55.64,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,56kgMen,Snatch,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,PHILLIPS Anrich Morico,RSA,"Born: Oct 17, 1992",B.weight: 55.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 90,56kgMen,Snatch,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,CHANDADARA SIRISENAGE Sangeeth P.W.,SRI,"Born: Dec 01, 1984",B.weight: 55.84,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 103,56kgMen,Snatch,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,PALANGASINGHE D. K. T. W. K.,SRI,"Born: Oct 26, 1993",B.weight: 55.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 106,56kgMen,Snatch,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,DEY Sukhen,IND,"Born: Mar 28, 1989",B.weight: 55.64,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 140,56kgMen,CleanJerk,2013 COMMONWEALTH CHAMPIONSHIPS
Rank: ---,MARC Jonathan,MRI,"Born: Nov 13, 1989",B.weight: 55.85,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,56kgMen,CleanJerk,2013 COMMONWEALTH CHAMPIONSHIPS
