rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,OM Yun Chol,PRK,"Born: Nov 18, 1991",B.weight: 55.73,Group: A,1: 115,2: 118,3: 120,Total: 120,56kgMen,Snatch,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 2,GO Suk-Kyo,KOR,"Born: Dec 02, 1981",B.weight: 55.73,Group: A,1: 106,2: 110,3: -113,Total: 110,56kgMen,Snatch,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 3,DENG Yawei,CHN,"Born: Aug 10, 1995",B.weight: 55.85,Group: A,1: 100,2: 106,3: 109,Total: 109,56kgMen,Snatch,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 4,RI Kuk Chol,PRK,"Born: Feb 16, 1992",B.weight: 55.89,Group: A,1: 95,2: 100,3: -106,Total: 100,56kgMen,Snatch,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 1,OM Yun Chol,PRK,"Born: Nov 18, 1991",B.weight: 55.73,Group: A,1: 155,2: 169,3: ---,Total: 169,56kgMen,CleanJerk,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 2,GO Suk-Kyo,KOR,"Born: Dec 02, 1981",B.weight: 55.73,Group: A,1: 135,2: 139,3: 142,Total: 142,56kgMen,CleanJerk,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 3,DENG Yawei,CHN,"Born: Aug 10, 1995",B.weight: 55.85,Group: A,1: 135,2: 141,3: -147,Total: 141,56kgMen,CleanJerk,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 4,RI Kuk Chol,PRK,"Born: Feb 16, 1992",B.weight: 55.89,Group: A,1: 136,2: -141,3: -143,Total: 136,56kgMen,CleanJerk,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 1,OM Yun Chol,PRK,"Born: Nov 18, 1991",B.weight: 55.73,Group: A,Snatch: 120,CI&Jerk: 169,Total: 289,,56kgMen,Total,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 2,GO Suk-Kyo,KOR,"Born: Dec 02, 1981",B.weight: 55.73,Group: A,Snatch: 110,CI&Jerk: 142,Total: 252,,56kgMen,Total,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 3,DENG Yawei,CHN,"Born: Aug 10, 1995",B.weight: 55.85,Group: A,Snatch: 109,CI&Jerk: 141,Total: 250,,56kgMen,Total,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 4,RI Kuk Chol,PRK,"Born: Feb 16, 1992",B.weight: 55.89,Group: A,Snatch: 100,CI&Jerk: 136,Total: 236,,56kgMen,Total,ASIAN INTERCLUB CHAMPIONSHIPS
Rank: 1,CHA Kum Chol,PRK,"Born: Jul 19, 1987",B.weight: 61.74,Group: A,1: 135,2: 140,3: 143,Total: 143,62kgMen,Snatch,ASIAN INTERCLUB CHAMPIONSHIPS
