rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,GO Suk-Kyo,KOR,"Dec 02, 1981",55.89,B,105,112,-117,112,56kgMen,Snatch,297,True
---,ZULHELMI Bin Md Pisol,MAS,"Aug 22, 1993",55.75,B,-105,105,108,108,56kgMen,Snatch,297,True
---,DEY Sukhen,IND,"Mar 28, 1989",55.89,B,103,106,-108,106,56kgMen,Snatch,297,True
---,SHAHZAD Muhammad,PAK,"Jul 04, 1990",55.99,B,106,109,111,111,56kgMen,Snatch,297,True
---,COLONIA Nestor,PHI,"Feb 16, 1992",55.66,A,-120,-120,-120,---,56kgMen,Snatch,297,True
---,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.84,B,109,114,-117,114,56kgMen,Snatch,297,True
---,CHONTEY Arli,KAZ,"Jul 01, 1992",55.89,A,122,-127,-127,122,56kgMen,Snatch,297,True
---,ASKARI Majid,IRI,"Nov 08, 1991",55.75,A,118,-123,124,124,56kgMen,Snatch,297,True
---,YANG Chin-Yi,TPE,"May 15, 1981",55.76,A,122,-125,-125,122,56kgMen,Snatch,297,True
---,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.91,A,-123,124,127,127,56kgMen,Snatch,297,True
---,WU Jingbiao,CHN,"Jan 10, 1989",55.77,A,130,-133,133,133,56kgMen,Snatch,297,True
---,THACH Kim Tuan,VIE,"Jan 15, 1994",55.87,A,-130,130,134,134,56kgMen,Snatch,297,True
---,OM Yun Chol,PRK,"Nov 18, 1991",55.69,A,123,128,-131,128,56kgMen,Snatch,297,True
---,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",55.37,B,117,120,123,123,56kgMen,Snatch,297,True
---,GO Suk-Kyo,KOR,"Dec 02, 1981",55.89,B,135,140,-143,140,56kgMen,CleanJerk,297,True
---,ZULHELMI Bin Md Pisol,MAS,"Aug 22, 1993",55.75,B,135,138,140,140,56kgMen,CleanJerk,297,True
---,DEY Sukhen,IND,"Mar 28, 1989",55.89,B,-133,133,136,136,56kgMen,CleanJerk,297,True
---,SHAHZAD Muhammad,PAK,"Jul 04, 1990",55.99,B,-132,-132,-132,---,56kgMen,CleanJerk,297,True
---,COLONIA Nestor,PHI,"Feb 16, 1992",55.66,A,---,---,---,---,56kgMen,CleanJerk,297,True
---,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.84,B,141,149,-151,149,56kgMen,CleanJerk,297,True
---,CHONTEY Arli,KAZ,"Jul 01, 1992",55.89,A,145,-150,-150,145,56kgMen,CleanJerk,297,True
---,ASKARI Majid,IRI,"Nov 08, 1991",55.75,A,-146,-146,146,146,56kgMen,CleanJerk,297,True
---,YANG Chin-Yi,TPE,"May 15, 1981",55.76,A,150,155,-161,155,56kgMen,CleanJerk,297,True
---,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.91,A,153,156,-162,156,56kgMen,CleanJerk,297,True
---,WU Jingbiao,CHN,"Jan 10, 1989",55.77,A,155,-160,-161,155,56kgMen,CleanJerk,297,True
---,THACH Kim Tuan,VIE,"Jan 15, 1994",55.87,A,156,160,-162,160,56kgMen,CleanJerk,297,True
---,OM Yun Chol,PRK,"Nov 18, 1991",55.69,A,160,166,170,170,56kgMen,CleanJerk,297,True
---,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",55.37,B,131,136,139,139,56kgMen,CleanJerk,297,True
1,OM Yun Chol,PRK,"Nov 18, 1991",55.69,A,128,170,298,,56kgMen,Total,297,True
2,THACH Kim Tuan,VIE,"Jan 15, 1994",55.87,A,134,160,294,,56kgMen,Total,297,True
3,WU Jingbiao,CHN,"Jan 10, 1989",55.77,A,133,155,288,,56kgMen,Total,297,True
4,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.91,A,127,156,283,,56kgMen,Total,297,True
5,YANG Chin-Yi,TPE,"May 15, 1981",55.76,A,122,155,277,,56kgMen,Total,297,True
6,ASKARI Majid,IRI,"Nov 08, 1991",55.75,A,124,146,270,,56kgMen,Total,297,True
7,CHONTEY Arli,KAZ,"Jul 01, 1992",55.89,A,122,145,267,,56kgMen,Total,297,True
8,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",55.84,B,114,149,263,,56kgMen,Total,297,True
9,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",55.37,B,123,139,262,,56kgMen,Total,297,True
10,GO Suk-Kyo,KOR,"Dec 02, 1981",55.89,B,112,140,252,,56kgMen,Total,297,True
11,ZULHELMI Bin Md Pisol,MAS,"Aug 22, 1993",55.75,B,108,140,248,,56kgMen,Total,297,True
12,DEY Sukhen,IND,"Mar 28, 1989",55.89,B,106,136,242,,56kgMen,Total,297,True
---,SHAHZAD Muhammad,PAK,"Jul 04, 1990",55.99,B,111,---,---,,56kgMen,Total,297,True
---,COLONIA Nestor,PHI,"Feb 16, 1992",55.66,A,---,---,---,,56kgMen,Total,297,True
---,THAPA Bikash,NEP,"Mar 23, 1989",61.85,B,-105,-105,105,105,62kgMen,Snatch,297,True
---,JONG Kwangjin,PRK,"Nov 08, 1990",61.81,A,121,-125,-125,121,62kgMen,Snatch,297,True
---,KIM Un Guk,PRK,"Oct 28, 1988",61.81,A,147,152,154,154,62kgMen,Snatch,297,True
---,CHEN Lijun,CHN,"Feb 08, 1993",61.87,A,140,143,-145,143,62kgMen,Snatch,297,True
---,ALHUMAYD Mahmoud Mohammed S,KSA,"Sep 05, 1993",61.69,B,114,118,-121,118,62kgMen,Snatch,297,True
---,OSMONALIEV Bekzat,KGZ,"Dec 28, 1985",61.91,B,110,116,121,121,62kgMen,Snatch,297,True
---,ALABDULLATIF Abdullatif Khdher A,KSA,"May 10, 1982",61.65,B,115,119,-122,119,62kgMen,Snatch,297,True
---,HANDURDYYEV Omarguly,TKM,"Dec 17, 1988",61.79,A,115,120,-124,120,62kgMen,Snatch,297,True
---,UECHI Katsuhiko,JPN,"Jan 18, 1986",61.71,B,116,120,-123,120,62kgMen,Snatch,297,True
---,RYMKULOV Azamat,KAZ,"Jan 09, 1993",61.78,A,121,-126,126,126,62kgMen,Snatch,297,True
---,PHONCHIANGSA Thawatchai,THA,"Sep 08, 1992",61.77,A,120,125,127,127,62kgMen,Snatch,297,True
---,ITOKAZU Yoichi,JPN,"May 24, 1991",61.80,A,-125,125,-128,125,62kgMen,Snatch,297,True
---,HASBI Muhamad,INA,"Jul 12, 1992",61.62,A,127,133,-137,133,62kgMen,Snatch,297,True
---,HAN Myeongmok,KOR,"Feb 01, 1991",61.93,A,138,-142,143,143,62kgMen,Snatch,297,True
---,BAZARBAYEV Umurbek,TKM,"Sep 17, 1981",61.80,A,-133,133,137,137,62kgMen,Snatch,297,True
---,ABU JAME Mohammad Ahmad Abdul K.,JOR,"Jan 14, 1993",61.42,B,87,92,-98,92,62kgMen,Snatch,297,True
---,IRAWAN Eko Yuli,INA,"Jul 24, 1989",61.68,A,138,142,-145,142,62kgMen,Snatch,297,True
---,THAPA Bikash,NEP,"Mar 23, 1989",61.85,B,-123,123,-126,123,62kgMen,CleanJerk,297,True
---,JONG Kwangjin,PRK,"Nov 08, 1990",61.81,A,-160,-160,-160,---,62kgMen,CleanJerk,297,True
---,KIM Un Guk,PRK,"Oct 28, 1988",61.81,A,170,174,178,178,62kgMen,CleanJerk,297,True
---,CHEN Lijun,CHN,"Feb 08, 1993",61.87,A,-173,173,178,178,62kgMen,CleanJerk,297,True
---,ALHUMAYD Mahmoud Mohammed S,KSA,"Sep 05, 1993",61.69,B,139,-144,-147,139,62kgMen,CleanJerk,297,True
---,OSMONALIEV Bekzat,KGZ,"Dec 28, 1985",61.91,B,135,145,150,150,62kgMen,CleanJerk,297,True
---,ALABDULLATIF Abdullatif Khdher A,KSA,"May 10, 1982",61.65,B,140,147,152,152,62kgMen,CleanJerk,297,True
---,HANDURDYYEV Omarguly,TKM,"Dec 17, 1988",61.79,A,145,152,-156,152,62kgMen,CleanJerk,297,True
---,UECHI Katsuhiko,JPN,"Jan 18, 1986",61.71,B,145,150,155,155,62kgMen,CleanJerk,297,True
---,RYMKULOV Azamat,KAZ,"Jan 09, 1993",61.78,A,141,150,-154,150,62kgMen,CleanJerk,297,True
---,PHONCHIANGSA Thawatchai,THA,"Sep 08, 1992",61.77,A,151,155,-159,155,62kgMen,CleanJerk,297,True
---,ITOKAZU Yoichi,JPN,"May 24, 1991",61.80,A,157,161,-168,161,62kgMen,CleanJerk,297,True
---,HASBI Muhamad,INA,"Jul 12, 1992",61.62,A,160,165,-172,165,62kgMen,CleanJerk,297,True
---,HAN Myeongmok,KOR,"Feb 01, 1991",61.93,A,157,-166,-166,157,62kgMen,CleanJerk,297,True
---,BAZARBAYEV Umurbek,TKM,"Sep 17, 1981",61.80,A,160,164,-167,164,62kgMen,CleanJerk,297,True
---,ABU JAME Mohammad Ahmad Abdul K.,JOR,"Jan 14, 1993",61.42,B,-120,120,-128,120,62kgMen,CleanJerk,297,True
---,IRAWAN Eko Yuli,INA,"Jul 24, 1989",61.68,A,166,-174,-174,166,62kgMen,CleanJerk,297,True
1,KIM Un Guk,PRK,"Oct 28, 1988",61.81,A,154,178,332,,62kgMen,Total,297,True
2,CHEN Lijun,CHN,"Feb 08, 1993",61.87,A,143,178,321,,62kgMen,Total,297,True
3,IRAWAN Eko Yuli,INA,"Jul 24, 1989",61.68,A,142,166,308,,62kgMen,Total,297,True
4,BAZARBAYEV Umurbek,TKM,"Sep 17, 1981",61.80,A,137,164,301,,62kgMen,Total,297,True
5,HAN Myeongmok,KOR,"Feb 01, 1991",61.93,A,143,157,300,,62kgMen,Total,297,True
6,HASBI Muhamad,INA,"Jul 12, 1992",61.62,A,133,165,298,,62kgMen,Total,297,True
7,ITOKAZU Yoichi,JPN,"May 24, 1991",61.80,A,125,161,286,,62kgMen,Total,297,True
8,PHONCHIANGSA Thawatchai,THA,"Sep 08, 1992",61.77,A,127,155,282,,62kgMen,Total,297,True
