rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,GO Suk-Kyo,KOR,"Born: Dec 02, 1981",B.weight: 55.80,Group: A,1: -102,2: 103,3: 108,Total: 108,56kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,ALBACHACHI Ali Ahmed Abd Ali,IRQ,"Born: Apr 23, 1994",B.weight: 55.28,Group: A,1: 100,2: -105,3: 105,Total: 105,56kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 55.69,Group: A,1: 90,2: -95,3: 95,Total: 95,56kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 4,BEKNUR UULU Timur,KGZ,"Born: Jun 22, 1993",B.weight: 56.00,Group: A,1: -90,2: 90,3: 95,Total: 95,56kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,GO Suk-Kyo,KOR,"Born: Dec 02, 1981",B.weight: 55.80,Group: A,1: 127,2: 132,3: -138,Total: 132,56kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,ALBACHACHI Ali Ahmed Abd Ali,IRQ,"Born: Apr 23, 1994",B.weight: 55.28,Group: A,1: 126,2: 131,3: -135,Total: 131,56kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 55.69,Group: A,1: 125,2: -130,3: -132,Total: 125,56kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 4,BEKNUR UULU Timur,KGZ,"Born: Jun 22, 1993",B.weight: 56.00,Group: A,1: -110,2: 110,3: -117,Total: 110,56kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,GO Suk-Kyo,KOR,"Born: Dec 02, 1981",B.weight: 55.80,Group: A,Snatch: 108,CI&Jerk: 132,Total: 240,,56kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,ALBACHACHI Ali Ahmed Abd Ali,IRQ,"Born: Apr 23, 1994",B.weight: 55.28,Group: A,Snatch: 105,CI&Jerk: 131,Total: 236,,56kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 55.69,Group: A,Snatch: 95,CI&Jerk: 125,Total: 220,,56kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 4,BEKNUR UULU Timur,KGZ,"Born: Jun 22, 1993",B.weight: 56.00,Group: A,Snatch: 95,CI&Jerk: 110,Total: 205,,56kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,HAMDAYI Sajjad Abbas Yaseen,IRQ,"Born: Jul 15, 1995",B.weight: 61.05,Group: A,1: -110,2: 110,3: 116,Total: 116,62kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,ANDRIATSITOHAINA Tojonirina Alain,MAD,"Born: Feb 26, 1995",B.weight: 61.65,Group: A,1: 105,2: 111,3: -117,Total: 111,62kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,KHAKBERDIEV Abdukhakim,TJK,"Born: Aug 22, 1998",B.weight: 60.50,Group: A,1: 80,2: 85,3: 90,Total: 90,62kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 4,ABDULRAMMAN Alenezi,KUW,"Born: Nov 30, 1995",B.weight: 61.95,Group: A,1: 80,2: 85,3: 90,Total: 90,62kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: ---,SINGHA Shimul Kanti,BAN,"Born: May 01, 1986",B.weight: 62.00,Group: A,1: -105,2: -105,3: -105,Total: ---,62kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,HAMDAYI Sajjad Abbas Yaseen,IRQ,"Born: Jul 15, 1995",B.weight: 61.05,Group: A,1: -136,2: 136,3: -142,Total: 136,62kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,SINGHA Shimul Kanti,BAN,"Born: May 01, 1986",B.weight: 62.00,Group: A,1: 120,2: -125,3: -125,Total: 120,62kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,ABDULRAMMAN Alenezi,KUW,"Born: Nov 30, 1995",B.weight: 61.95,Group: A,1: 100,2: 108,3: 112,Total: 112,62kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 4,KHAKBERDIEV Abdukhakim,TJK,"Born: Aug 22, 1998",B.weight: 60.50,Group: A,1: 100,2: 106,3: 111,Total: 111,62kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: ---,ANDRIATSITOHAINA Tojonirina Alain,MAD,"Born: Feb 26, 1995",B.weight: 61.65,Group: A,1: -136,2: -136,3: -136,Total: ---,62kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,HAMDAYI Sajjad Abbas Yaseen,IRQ,"Born: Jul 15, 1995",B.weight: 61.05,Group: A,Snatch: 116,CI&Jerk: 136,Total: 252,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,ABDULRAMMAN Alenezi,KUW,"Born: Nov 30, 1995",B.weight: 61.95,Group: A,Snatch: 90,CI&Jerk: 112,Total: 202,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,KHAKBERDIEV Abdukhakim,TJK,"Born: Aug 22, 1998",B.weight: 60.50,Group: A,Snatch: 90,CI&Jerk: 111,Total: 201,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: ---,SINGHA Shimul Kanti,BAN,"Born: May 01, 1986",B.weight: 62.00,Group: A,Snatch: ---,CI&Jerk: 120,Total: ---,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: ---,ANDRIATSITOHAINA Tojonirina Alain,MAD,"Born: Feb 26, 1995",B.weight: 61.65,Group: A,Snatch: 111,CI&Jerk: ---,Total: ---,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,FENG Lyudong,CHN,"Born: Oct 23, 1991",B.weight: 68.70,Group: A,1: 135,2: 145,3: 155,Total: 155,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,HUDAYBERGENOV Tolkunbek,TKM,"Born: Jan 04, 1986",B.weight: 69.00,Group: A,1: 121,2: 129,3: -133,Total: 129,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
