rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,MENG Wenjun,CHN,"Jan 25, 1976",55.60,A,-115,115,-120,115,56kgMen,Snatch,316,True
2,KIM Kyong-Mo,KOR,"Apr 17, 1980",55.55,A,100,105,-110,105,56kgMen,Snatch,316,True
3,GARCIA Wilfredo Luis,ESA,"Jan 18, 1981",55.93,A,95,100,102.5,102.5,56kgMen,Snatch,316,True
4,AKHMETGALIEV Rustem,RUS,"Oct 06, 1977",55.94,A,-85,85,90,90,56kgMen,Snatch,316,True
5,DELIVA Miguel,ESP,"Nov 12, 1975",55.76,A,70,75,-77.5,75,56kgMen,Snatch,316,True
1,MENG Wenjun,CHN,"Jan 25, 1976",55.60,A,135,140,142.5,142.5,56kgMen,CleanJerk,316,True
2,KIM Kyong-Mo,KOR,"Apr 17, 1980",55.55,A,130,135,-142.5,135,56kgMen,CleanJerk,316,True
3,GARCIA Wilfredo Luis,ESA,"Jan 18, 1981",55.93,A,125,-132.5,-132.5,125,56kgMen,CleanJerk,316,True
4,AKHMETGALIEV Rustem,RUS,"Oct 06, 1977",55.94,A,105,-110,110,110,56kgMen,CleanJerk,316,True
5,DELIVA Miguel,ESP,"Nov 12, 1975",55.76,A,60,---,---,60,56kgMen,CleanJerk,316,True
1,MENG Wenjun,CHN,"Jan 25, 1976",55.60,A,115,142.5,257.5,,56kgMen,Total,316,True
2,KIM Kyong-Mo,KOR,"Apr 17, 1980",55.55,A,105,135,240,,56kgMen,Total,316,True
3,GARCIA Wilfredo Luis,ESA,"Jan 18, 1981",55.93,A,102.5,125,227.5,,56kgMen,Total,316,True
4,AKHMETGALIEV Rustem,RUS,"Oct 06, 1977",55.94,A,90,110,200,,56kgMen,Total,316,True
5,DELIVA Miguel,ESP,"Nov 12, 1975",55.76,A,75,60,135,,56kgMen,Total,316,True
1,PENG Chongdong,CHN,"Nov 18, 1978",61.10,A,120,125,---,125,62kgMen,Snatch,316,True
2,IMAMURA Toshio,JPN,"Dec 25, 1979",61.18,A,112.5,115,117.5,117.5,62kgMen,Snatch,316,True
3,MEDRANO Toj Luis Enrique,GUA,"Sep 09, 1976",59.41,A,110,-115,115,115,62kgMen,Snatch,316,True
4,ARIAS Edwin Nieves-Arias,PUR,"Jul 22, 1977",60.83,A,95,-100,100,100,62kgMen,Snatch,316,True
5,BLOUIN Patrick,CAN,"Sep 08, 1978",61.94,A,-92.5,92.5,97.5,97.5,62kgMen,Snatch,316,True
6,CEA Richard,USA,"Aug 21, 1979",61.64,A,72.5,77.5,-82.5,77.5,62kgMen,Snatch,316,True
1,PENG Chongdong,CHN,"Nov 18, 1978",61.10,A,155,160,---,160,62kgMen,CleanJerk,316,True
2,IMAMURA Toshio,JPN,"Dec 25, 1979",61.18,A,145,-150,-152.5,145,62kgMen,CleanJerk,316,True
3,MEDRANO Toj Luis Enrique,GUA,"Sep 09, 1976",59.41,A,135,140,142.5,142.5,62kgMen,CleanJerk,316,True
4,ARIAS Edwin Nieves-Arias,PUR,"Jul 22, 1977",60.83,A,127.5,-132.5,-132.5,127.5,62kgMen,CleanJerk,316,True
5,BLOUIN Patrick,CAN,"Sep 08, 1978",61.94,A,115,-120,-120,115,62kgMen,CleanJerk,316,True
6,CEA Richard,USA,"Aug 21, 1979",61.64,A,92.5,97.5,-102.5,97.5,62kgMen,CleanJerk,316,True
