rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: ---,VASQUEZ MORALES Orlando Antonio,NCA,"Born: Oct 28, 1997",B.weight: 55.89,Group: A,1: 95,2: -100,3: 100,Total: 100,56kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,DE LAS SALAS DE LA ROSA Habib,COL,"Born: Apr 19, 1987",B.weight: 55.90,Group: A,1: -114,2: 114,3: 117,Total: 117,56kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,BERNA GONZALEZ Carlos Andres,COL,"Born: Jan 21, 1990",B.weight: 55.98,Group: A,1: -113,2: 113,3: 116,Total: 116,56kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 55.95,Group: A,1: 110,2: -114,3: 115,Total: 115,56kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.59,Group: A,1: 105,2: 110,3: -113,Total: 110,56kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,JOSEPH Edouard,HAI,"Born: Dec 24, 1989",B.weight: 55.69,Group: A,1: -110,2: -111,3: -111,Total: ---,56kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.89,Group: A,1: 103,2: -106,3: -106,Total: 103,56kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,VASQUEZ MORALES Orlando Antonio,NCA,"Born: Oct 28, 1997",B.weight: 55.89,Group: A,1: 123,2: -128,3: -128,Total: 123,56kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,DE LAS SALAS DE LA ROSA Habib,COL,"Born: Apr 19, 1987",B.weight: 55.90,Group: A,1: 143,2: 147,3: 152,Total: 152,56kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,BERNA GONZALEZ Carlos Andres,COL,"Born: Jan 21, 1990",B.weight: 55.98,Group: A,1: 144,2: 149,3: -153,Total: 149,56kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 55.95,Group: A,1: 137,2: 141,3: -146,Total: 141,56kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.59,Group: A,1: -135,2: 135,3: -142,Total: 135,56kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,JOSEPH Edouard,HAI,"Born: Dec 24, 1989",B.weight: 55.69,Group: A,1: ---,2: ---,3: ---,Total: ---,56kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.89,Group: A,1: 130,2: -135,3: -135,Total: 130,56kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: 1,DE LAS SALAS DE LA ROSA Habib,COL,"Born: Apr 19, 1987",B.weight: 55.90,Group: A,Snatch: 117,CI&Jerk: 152,Total: 269,,56kgMen,Total,2015 PAN AMERICAN GAMES
Rank: 2,BERNA GONZALEZ Carlos Andres,COL,"Born: Jan 21, 1990",B.weight: 55.98,Group: A,Snatch: 116,CI&Jerk: 149,Total: 265,,56kgMen,Total,2015 PAN AMERICAN GAMES
Rank: 3,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 55.95,Group: A,Snatch: 115,CI&Jerk: 141,Total: 256,,56kgMen,Total,2015 PAN AMERICAN GAMES
Rank: 4,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.59,Group: A,Snatch: 110,CI&Jerk: 135,Total: 245,,56kgMen,Total,2015 PAN AMERICAN GAMES
Rank: 5,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.89,Group: A,Snatch: 103,CI&Jerk: 130,Total: 233,,56kgMen,Total,2015 PAN AMERICAN GAMES
Rank: 6,VASQUEZ MORALES Orlando Antonio,NCA,"Born: Oct 28, 1997",B.weight: 55.89,Group: A,Snatch: 100,CI&Jerk: 123,Total: 223,,56kgMen,Total,2015 PAN AMERICAN GAMES
Rank: ---,JOSEPH Edouard,HAI,"Born: Dec 24, 1989",B.weight: 55.69,Group: A,Snatch: ---,CI&Jerk: ---,Total: ---,,56kgMen,Total,2015 PAN AMERICAN GAMES
Rank: ---,FIGUEROA MOSQUERA Oscar Albeiro,COL,"Born: Apr 27, 1983",B.weight: 61.99,Group: A,1: -130,2: 130,3: 135,Total: 135,62kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,VAZQUEZ MENDEZ Antonio,MEX,"Born: Aug 12, 1993",B.weight: 61.89,Group: A,1: 115,2: -120,3: 120,Total: 120,62kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,SALAMANCA PINEDA Julio Cesar,ESA,"Born: Jul 15, 1989",B.weight: 61.30,Group: A,1: 117,2: 120,3: -122,Total: 120,62kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,LOPEZ SANCHEZ Jesus Antonio,VEN,"Born: Dec 17, 1984",B.weight: 62.00,Group: A,1: 125,2: -130,3: -130,Total: 125,62kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,MOSQUERA VALENCIA Francisco Antonio,COL,"Born: Apr 01, 1992",B.weight: 61.66,Group: A,1: 130,2: 135,3: -137,Total: 135,62kgMen,Snatch,2015 PAN AMERICAN GAMES
Rank: ---,FIGUEROA MOSQUERA Oscar Albeiro,COL,"Born: Apr 27, 1983",B.weight: 61.99,Group: A,1: 170,2: 175,3: ---,Total: 175,62kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,VAZQUEZ MENDEZ Antonio,MEX,"Born: Aug 12, 1993",B.weight: 61.89,Group: A,1: 155,2: -163,3: -163,Total: 155,62kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,SALAMANCA PINEDA Julio Cesar,ESA,"Born: Jul 15, 1989",B.weight: 61.30,Group: A,1: -155,2: -155,3: 155,Total: 155,62kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,LOPEZ SANCHEZ Jesus Antonio,VEN,"Born: Dec 17, 1984",B.weight: 62.00,Group: A,1: 155,2: -158,3: 158,Total: 158,62kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: ---,MOSQUERA VALENCIA Francisco Antonio,COL,"Born: Apr 01, 1992",B.weight: 61.66,Group: A,1: 170,2: -175,3: -175,Total: 170,62kgMen,CleanJerk,2015 PAN AMERICAN GAMES
Rank: 1,FIGUEROA MOSQUERA Oscar Albeiro,COL,"Born: Apr 27, 1983",B.weight: 61.99,Group: A,Snatch: 135,CI&Jerk: 175,Total: 310,,62kgMen,Total,2015 PAN AMERICAN GAMES
Rank: 2,MOSQUERA VALENCIA Francisco Antonio,COL,"Born: Apr 01, 1992",B.weight: 61.66,Group: A,Snatch: 135,CI&Jerk: 170,Total: 305,,62kgMen,Total,2015 PAN AMERICAN GAMES
