rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,RIVERA BARROS Julian Javier,ECU,"Jul 28, 1999",50.00,A,80,84,85,85,50kgMen,Snatch,331,True
2,NINO MUTUL David Alejandro,MEX,"Feb 27, 1998",49.80,A,-80,80,84,84,50kgMen,Snatch,331,True
3,SUAREZ MESA Miguel Angel,COL,"Sep 17, 1999",49.75,A,77,-80,80,80,50kgMen,Snatch,331,True
4,BALLENA VIDAURRE James Paul,PER,"Nov 11, 2000",49.00,A,72,-76,76,76,50kgMen,Snatch,331,True
5,CHEVEZ QUINTERO Dioner Odair,NCA,"Jul 05, 1998",49.45,A,68,72,76,76,50kgMen,Snatch,331,True
6,SOTO Estevan Angel,USA,"Oct 09, 1998",50.00,A,-70,-70,70,70,50kgMen,Snatch,331,True
7,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",49.75,A,62,65,-67,65,50kgMen,Snatch,331,True
8,CANAS CORDONERO Carlos Manuel,CRC,"Aug 12, 1999",50.00,A,55,-61,61,61,50kgMen,Snatch,331,True
1,NINO MUTUL David Alejandro,MEX,"Feb 27, 1998",49.80,A,102,106,111,111,50kgMen,CleanJerk,331,True
2,RIVERA BARROS Julian Javier,ECU,"Jul 28, 1999",50.00,A,102,106,110,110,50kgMen,CleanJerk,331,True
3,SUAREZ MESA Miguel Angel,COL,"Sep 17, 1999",49.75,A,100,104,108,108,50kgMen,CleanJerk,331,True
4,BALLENA VIDAURRE James Paul,PER,"Nov 11, 2000",49.00,A,94,100,102,102,50kgMen,CleanJerk,331,True
5,CHEVEZ QUINTERO Dioner Odair,NCA,"Jul 05, 1998",49.45,A,80,85,88,88,50kgMen,CleanJerk,331,True
6,SOTO Estevan Angel,USA,"Oct 09, 1998",50.00,A,86,-90,-90,86,50kgMen,CleanJerk,331,True
