rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,KRUAITHONG Sinphet,THA,"Aug 22, 1995",55.72,A,120,-122,122,122,56kgMen,Snatch,333,True
2,COLONIA Nestor,PHI,"Feb 16, 1992",55.94,A,120,-121,121,121,56kgMen,Snatch,333,True
3,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.83,A,-120,-120,120,120,56kgMen,Snatch,333,True
4,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",55.92,A,-115,115,-120,115,56kgMen,Snatch,333,True
5,JAYASOORIYA ARACHCHILAGE Chathuranga L,SRI,"Oct 07, 1988",55.88,A,105,-110,110,110,56kgMen,Snatch,333,True
6,MUHAMMAD Azroy Hazalwafie,MAS,"Apr 04, 1994",55.89,A,110,-114,-114,110,56kgMen,Snatch,333,True
7,SHANMUGAM Mohana Sundaram,IND,"May 21, 1983",55.84,A,-105,105,-108,105,56kgMen,Snatch,333,True
8,EGODAWATTE ARACHCHIGE DON Kamal D E,SRI,"Jul 12, 1988",55.85,A,-103,105,-108,105,56kgMen,Snatch,333,True
9,CHEN Wei-Cheng,TPE,"Aug 28, 1995",56.00,A,85,-90,90,90,56kgMen,Snatch,333,True
1,COLONIA Nestor,PHI,"Feb 16, 1992",55.94,A,150,153,-155,153,56kgMen,CleanJerk,333,True
2,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.83,A,150,152,-154,152,56kgMen,CleanJerk,333,True
3,KRUAITHONG Sinphet,THA,"Aug 22, 1995",55.72,A,-146,146,-150,146,56kgMen,CleanJerk,333,True
4,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",55.92,A,-145,146,-147,146,56kgMen,CleanJerk,333,True
5,MUHAMMAD Azroy Hazalwafie,MAS,"Apr 04, 1994",55.89,A,132,-135,-135,132,56kgMen,CleanJerk,333,True
6,SHANMUGAM Mohana Sundaram,IND,"May 21, 1983",55.84,A,122,126,130,130,56kgMen,CleanJerk,333,True
7,EGODAWATTE ARACHCHIGE DON Kamal D E,SRI,"Jul 12, 1988",55.85,A,125,130,-135,130,56kgMen,CleanJerk,333,True
8,JAYASOORIYA ARACHCHILAGE Chathuranga L,SRI,"Oct 07, 1988",55.88,A,120,125,-127,125,56kgMen,CleanJerk,333,True
9,CHEN Wei-Cheng,TPE,"Aug 28, 1995",56.00,A,110,118,122,122,56kgMen,CleanJerk,333,True
1,COLONIA Nestor,PHI,"Feb 16, 1992",55.94,A,121,153,274,,56kgMen,Total,333,True
2,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.83,A,120,152,272,,56kgMen,Total,333,True
3,KRUAITHONG Sinphet,THA,"Aug 22, 1995",55.72,A,122,146,268,,56kgMen,Total,333,True
4,NGUYEN Tran Anh Tuan,VIE,"Feb 22, 1998",55.92,A,115,146,261,,56kgMen,Total,333,True
5,MUHAMMAD Azroy Hazalwafie,MAS,"Apr 04, 1994",55.89,A,110,132,242,,56kgMen,Total,333,True
6,SHANMUGAM Mohana Sundaram,IND,"May 21, 1983",55.84,A,105,130,235,,56kgMen,Total,333,True
7,EGODAWATTE ARACHCHIGE DON Kamal D E,SRI,"Jul 12, 1988",55.85,A,105,130,235,,56kgMen,Total,333,True
8,JAYASOORIYA ARACHCHILAGE Chathuranga L,SRI,"Oct 07, 1988",55.88,A,110,125,235,,56kgMen,Total,333,True
9,CHEN Wei-Cheng,TPE,"Aug 28, 1995",56.00,A,90,122,212,,56kgMen,Total,333,True
1,DING Jianjun,CHN,"Oct 06, 1989",61.90,A,135,140,143,143,62kgMen,Snatch,333,True
2,ASKARI Majid,IRI,"Nov 08, 1991",61.60,A,125,130,-134,130,62kgMen,Snatch,333,True
3,SIN Chol Bom,PRK,"Jun 15, 1990",61.84,A,128,-133,-133,128,62kgMen,Snatch,333,True
4,KRITPHET Withawat,THA,"Jul 20, 1983",61.59,A,120,-125,125,125,62kgMen,Snatch,333,True
5,PHONCHIANGSA Thawatchai,THA,"Sep 08, 1992",61.83,A,-120,120,125,125,62kgMen,Snatch,333,True
6,ABDYRAMANOV Syrgak,KGZ,"Nov 21, 1994",61.83,A,122,-128,-131,122,62kgMen,Snatch,333,True
7,ELVIANDER Ruth John,MAS,"Apr 28, 1996",61.86,A,108,112,115,115,62kgMen,Snatch,333,True
8,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.99,A,110,-115,-115,110,62kgMen,Snatch,333,True
9,HUANG Ding-Chieh,TPE,"Mar 20, 1994",61.55,A,110,-115,-115,110,62kgMen,Snatch,333,True
10,K C Prakash,NEP,"Dec 12, 1999",61.39,A,-90,90,-95,90,62kgMen,Snatch,333,True
11,NGUYEN Ngoc Trung,VIE,"Nov 13, 1991",61.23,A,70,75,---,75,62kgMen,Snatch,333,True
---,THAPA Bikash,NEP,"Mar 23, 1989",61.61,A,-105,-105,-105,---,62kgMen,Snatch,333,True
1,DING Jianjun,CHN,"Oct 06, 1989",61.90,A,160,170,---,170,62kgMen,CleanJerk,333,True
2,SIN Chol Bom,PRK,"Jun 15, 1990",61.84,A,169,-171,-171,169,62kgMen,CleanJerk,333,True
3,ASKARI Majid,IRI,"Nov 08, 1991",61.60,A,158,-164,166,166,62kgMen,CleanJerk,333,True
4,PHONCHIANGSA Thawatchai,THA,"Sep 08, 1992",61.83,A,155,160,-167,160,62kgMen,CleanJerk,333,True
5,KRITPHET Withawat,THA,"Jul 20, 1983",61.59,A,145,150,-155,150,62kgMen,CleanJerk,333,True
6,ABDYRAMANOV Syrgak,KGZ,"Nov 21, 1994",61.83,A,140,149,-151,149,62kgMen,CleanJerk,333,True
7,HUANG Ding-Chieh,TPE,"Mar 20, 1994",61.55,A,139,143,-148,143,62kgMen,CleanJerk,333,True
8,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.99,A,142,-150,-150,142,62kgMen,CleanJerk,333,True
9,ELVIANDER Ruth John,MAS,"Apr 28, 1996",61.86,A,130,134,-136,134,62kgMen,CleanJerk,333,True
10,K C Prakash,NEP,"Dec 12, 1999",61.39,A,113,116,120,120,62kgMen,CleanJerk,333,True
11,NGUYEN Ngoc Trung,VIE,"Nov 13, 1991",61.23,A,90,95,100,100,62kgMen,CleanJerk,333,True
---,THAPA Bikash,NEP,"Mar 23, 1989",61.61,A,---,---,---,---,62kgMen,CleanJerk,333,True
1,DING Jianjun,CHN,"Oct 06, 1989",61.90,A,143,170,313,,62kgMen,Total,333,True
2,SIN Chol Bom,PRK,"Jun 15, 1990",61.84,A,128,169,297,,62kgMen,Total,333,True
3,ASKARI Majid,IRI,"Nov 08, 1991",61.60,A,130,166,296,,62kgMen,Total,333,True
4,PHONCHIANGSA Thawatchai,THA,"Sep 08, 1992",61.83,A,125,160,285,,62kgMen,Total,333,True
5,KRITPHET Withawat,THA,"Jul 20, 1983",61.59,A,125,150,275,,62kgMen,Total,333,True
6,ABDYRAMANOV Syrgak,KGZ,"Nov 21, 1994",61.83,A,122,149,271,,62kgMen,Total,333,True
7,HUANG Ding-Chieh,TPE,"Mar 20, 1994",61.55,A,110,143,253,,62kgMen,Total,333,True
8,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.99,A,110,142,252,,62kgMen,Total,333,True
9,ELVIANDER Ruth John,MAS,"Apr 28, 1996",61.86,A,115,134,249,,62kgMen,Total,333,True
10,K C Prakash,NEP,"Dec 12, 1999",61.39,A,90,120,210,,62kgMen,Total,333,True
11,NGUYEN Ngoc Trung,VIE,"Nov 13, 1991",61.23,A,75,100,175,,62kgMen,Total,333,True
---,THAPA Bikash,NEP,"Mar 23, 1989",61.61,A,---,---,---,,62kgMen,Total,333,True
1,KIM Myong Hyok,PRK,"Dec 03, 1990",68.86,A,152,-156,-156,152,69kgMen,Snatch,333,True
2,LIN Qingfeng,CHN,"Jan 26, 1989",68.44,A,145,-150,150,150,69kgMen,Snatch,333,True
3,KWON Chang Il,PRK,"Aug 07, 1991",68.99,A,145,148,-151,148,69kgMen,Snatch,333,True
4,HUANG Wenwen,CHN,"Jan 14, 1994",68.68,A,135,141,146,146,69kgMen,Snatch,333,True
5,ARTYKOV Izzat,KGZ,"Sep 08, 1993",68.42,A,140,145,-147,145,69kgMen,Snatch,333,True
6,BEHROUZI Jaber,IRI,"Aug 22, 1991",68.98,A,140,145,-155,145,69kgMen,Snatch,333,True
7,KIM Alexandr,KAZ,"Apr 26, 1991",68.95,A,-142,142,-147,142,69kgMen,Snatch,333,True
8,BEHROUZI Sajad,IRI,"Sep 20, 1989",68.29,A,-133,-133,133,133,69kgMen,Snatch,333,True
9,MOHAMMAD Azril Huzairi Bin Ramli,MAS,"May 16, 1995",68.88,B,128,132,-135,132,69kgMen,Snatch,333,True
10,CHANTRI Witsanu,THA,"Sep 12, 1996",68.33,B,125,-130,130,130,69kgMen,Snatch,333,True
11,DISSANAYAKE MUDIYANSELAGE Indika C. D.,SRI,"Aug 06, 1989",68.95,B,125,130,-135,130,69kgMen,Snatch,333,True
12,KAO Chan-Hung,TPE,"Oct 03, 1993",64.54,B,120,-126,126,126,69kgMen,Snatch,333,True
13,ORAI Hisato,JPN,"Aug 07, 1995",68.86,B,122,126,-130,126,69kgMen,Snatch,333,True
14,SHIRAKUSA Shota,JPN,"Aug 08, 1994",68.80,B,124,-127,-127,124,69kgMen,Snatch,333,True
15,VIDANAGE Chinthana Geetal Vidanage,SRI,"Dec 31, 1981",68.83,B,120,-126,-126,120,69kgMen,Snatch,333,True
16,GURBANDURDIYEV Maksat,TKM,"Jun 30, 1994",68.86,B,-120,120,-124,120,69kgMen,Snatch,333,True
17,ISLAM Md Hamidul,BAN,"Nov 15, 1975",68.90,B,105,-110,-110,105,69kgMen,Snatch,333,True
18,MOHAMMAD Budebs,UAE,"Aug 31, 1997",66.72,B,88,92,-95,92,69kgMen,Snatch,333,True
19,GILTON Fatima Gusterres Da Costa,TLS,"May 12, 1998",66.76,B,-60,-60,60,60,69kgMen,Snatch,333,True
1,KIM Myong Hyok,PRK,"Dec 03, 1990",68.86,A,182,-186,186,186,69kgMen,CleanJerk,333,True
2,HUANG Wenwen,CHN,"Jan 14, 1994",68.68,A,170,176,183,183,69kgMen,CleanJerk,333,True
3,ARTYKOV Izzat,KGZ,"Sep 08, 1993",68.42,A,173,177,181,181,69kgMen,CleanJerk,333,True
4,LIN Qingfeng,CHN,"Jan 26, 1989",68.44,A,175,180,-188,180,69kgMen,CleanJerk,333,True
5,KWON Chang Il,PRK,"Aug 07, 1991",68.99,A,-174,174,178,178,69kgMen,CleanJerk,333,True
6,KIM Alexandr,KAZ,"Apr 26, 1991",68.95,A,165,170,-178,170,69kgMen,CleanJerk,333,True
7,MOHAMMAD Azril Huzairi Bin Ramli,MAS,"May 16, 1995",68.88,B,162,168,-171,168,69kgMen,CleanJerk,333,True
8,BEHROUZI Jaber,IRI,"Aug 22, 1991",68.98,A,166,-178,-178,166,69kgMen,CleanJerk,333,True
9,BEHROUZI Sajad,IRI,"Sep 20, 1989",68.29,A,160,-168,-168,160,69kgMen,CleanJerk,333,True
10,ORAI Hisato,JPN,"Aug 07, 1995",68.86,B,160,-167,-167,160,69kgMen,CleanJerk,333,True
11,DISSANAYAKE MUDIYANSELAGE Indika C. D.,SRI,"Aug 06, 1989",68.95,B,155,160,-163,160,69kgMen,CleanJerk,333,True
12,CHANTRI Witsanu,THA,"Sep 12, 1996",68.33,B,-151,151,156,156,69kgMen,CleanJerk,333,True
13,KAO Chan-Hung,TPE,"Oct 03, 1993",64.54,B,145,150,155,155,69kgMen,CleanJerk,333,True
14,SHIRAKUSA Shota,JPN,"Aug 08, 1994",68.80,B,150,-155,-155,150,69kgMen,CleanJerk,333,True
15,GURBANDURDIYEV Maksat,TKM,"Jun 30, 1994",68.86,B,145,-150,-150,145,69kgMen,CleanJerk,333,True
16,MOHAMMAD Budebs,UAE,"Aug 31, 1997",66.72,B,-108,-111,111,111,69kgMen,CleanJerk,333,True
17,GILTON Fatima Gusterres Da Costa,TLS,"May 12, 1998",66.76,B,70,-80,-90,70,69kgMen,CleanJerk,333,True
---,ISLAM Md Hamidul,BAN,"Nov 15, 1975",68.90,B,-130,-130,-140,---,69kgMen,CleanJerk,333,True
---,VIDANAGE Chinthana Geetal Vidanage,SRI,"Dec 31, 1981",68.83,B,-160,-160,-160,---,69kgMen,CleanJerk,333,True
1,KIM Myong Hyok,PRK,"Dec 03, 1990",68.86,A,152,186,338,,69kgMen,Total,333,True
2,LIN Qingfeng,CHN,"Jan 26, 1989",68.44,A,150,180,330,,69kgMen,Total,333,True
3,HUANG Wenwen,CHN,"Jan 14, 1994",68.68,A,146,183,329,,69kgMen,Total,333,True
4,ARTYKOV Izzat,KGZ,"Sep 08, 1993",68.42,A,145,181,326,,69kgMen,Total,333,True
5,KWON Chang Il,PRK,"Aug 07, 1991",68.99,A,148,178,326,,69kgMen,Total,333,True
6,KIM Alexandr,KAZ,"Apr 26, 1991",68.95,A,142,170,312,,69kgMen,Total,333,True
7,BEHROUZI Jaber,IRI,"Aug 22, 1991",68.98,A,145,166,311,,69kgMen,Total,333,True
8,MOHAMMAD Azril Huzairi Bin Ramli,MAS,"May 16, 1995",68.88,B,132,168,300,,69kgMen,Total,333,True
