rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,SCARANTINO Mirco,ITA,"Born: Jan 16, 1995",B.weight: 55.85,Group: A,1: 111,2: -113,3: 113,Total: 113,56kgMen,Snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 2,MUSOKHRANOV Oleg,RUS,"Born: Aug 23, 1995",B.weight: 55.85,Group: A,1: 107,2: 110,3: -112,Total: 110,56kgMen,Snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 3,MINASYAN Marzpet,ARM,"Born: Mar 11, 1997",B.weight: 55.75,Group: A,1: 98,2: 102,3: 107,Total: 107,56kgMen,Snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 4,DAVAYAN Davit,ARM,"Born: Oct 16, 1997",B.weight: 55.75,Group: A,1: 93,2: 97,3: 100,Total: 100,56kgMen,Snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 5,ARCARA Fabio,ITA,"Born: Jan 28, 1997",B.weight: 55.25,Group: A,1: -92,2: -92,3: 92,Total: 92,56kgMen,Snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 6,VORONOVSKYI Dmytro,UKR,"Born: Jan 03, 1997",B.weight: 55.25,Group: A,1: -91,2: 91,3: -95,Total: 91,56kgMen,Snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 7,KOLEDA Elmars,LAT,"Born: Jun 03, 1997",B.weight: 55.40,Group: A,1: -87,2: -87,3: 87,Total: 87,56kgMen,Snatch,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 1,SCARANTINO Mirco,ITA,"Born: Jan 16, 1995",B.weight: 55.85,Group: A,1: 136,2: ---,3: ---,Total: 136,56kgMen,CleanJerk,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 2,MUSOKHRANOV Oleg,RUS,"Born: Aug 23, 1995",B.weight: 55.85,Group: A,1: 130,2: 135,3: -139,Total: 135,56kgMen,CleanJerk,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 3,DAVAYAN Davit,ARM,"Born: Oct 16, 1997",B.weight: 55.75,Group: A,1: 120,2: -128,3: -128,Total: 120,56kgMen,CleanJerk,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 4,MINASYAN Marzpet,ARM,"Born: Mar 11, 1997",B.weight: 55.75,Group: A,1: 120,2: -125,3: -125,Total: 120,56kgMen,CleanJerk,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 5,VORONOVSKYI Dmytro,UKR,"Born: Jan 03, 1997",B.weight: 55.25,Group: A,1: 113,2: 117,3: -121,Total: 117,56kgMen,CleanJerk,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 6,ARCARA Fabio,ITA,"Born: Jan 28, 1997",B.weight: 55.25,Group: A,1: 107,2: 113,3: -117,Total: 113,56kgMen,CleanJerk,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 7,KOLEDA Elmars,LAT,"Born: Jun 03, 1997",B.weight: 55.40,Group: A,1: -106,2: -106,3: 106,Total: 106,56kgMen,CleanJerk,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 1,SCARANTINO Mirco,ITA,"Born: Jan 16, 1995",B.weight: 55.85,Group: A,Snatch: 113,CI&Jerk: 136,Total: 249,,56kgMen,Total,EUROPEAN JUNIOR CHAMPIONSHIPS
Rank: 2,MUSOKHRANOV Oleg,RUS,"Born: Aug 23, 1995",B.weight: 55.85,Group: A,Snatch: 110,CI&Jerk: 135,Total: 245,,56kgMen,Total,EUROPEAN JUNIOR CHAMPIONSHIPS
