rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.90,A,95,100,-103,100,56kgMen,Snatch,390,True
2,HARGRAVE Lynton Ashley,AUS,"Mar 25, 1985",54.96,A,78,-81,81,81,56kgMen,Snatch,390,True
3,LAOYAN Mathieu,NCL,"Jul 24, 1991",55.67,A,78,-82,-82,78,56kgMen,Snatch,390,True
1,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.90,A,125,130,-135,130,56kgMen,CleanJerk,390,True
2,HARGRAVE Lynton Ashley,AUS,"Mar 25, 1985",54.96,A,103,-108,-108,103,56kgMen,CleanJerk,390,True
3,LAOYAN Mathieu,NCL,"Jul 24, 1991",55.67,A,95,-97,97,97,56kgMen,CleanJerk,390,True
1,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.90,A,100,130,230,,56kgMen,Total,390,True
2,HARGRAVE Lynton Ashley,AUS,"Mar 25, 1985",54.96,A,81,103,184,,56kgMen,Total,390,True
3,LAOYAN Mathieu,NCL,"Jul 24, 1991",55.67,A,78,97,175,,56kgMen,Total,390,True
1,BARU Morea,PNG,"Apr 15, 1990",61.96,A,120,125,-130,125,62kgMen,Snatch,390,True
2,BETERO Takirua,KIR,"Jan 10, 1999",61.71,A,90,-95,-95,90,62kgMen,Snatch,390,True
1,BARU Morea,PNG,"Apr 15, 1990",61.96,A,155,-160,160,160,62kgMen,CleanJerk,390,True
2,BETERO Takirua,KIR,"Jan 10, 1999",61.71,A,115,120,-125,120,62kgMen,CleanJerk,390,True
1,BARU Morea,PNG,"Apr 15, 1990",61.96,A,125,160,285,,62kgMen,Total,390,True
2,BETERO Takirua,KIR,"Jan 10, 1999",61.71,A,90,120,210,,62kgMen,Total,390,True
1,SEARANT Isaac Gerard Tom,AUS,"Jul 16, 1995",68.38,A,108,112,116,116,69kgMen,Snatch,390,True
2,KATOATAU Ruben,KIR,"Feb 09, 1997",68.58,A,110,115,-120,115,69kgMen,Snatch,390,True
3,DOGUAPE Larko,NRU,"Jul 05, 2000",67.72,A,100,-105,-105,100,69kgMen,Snatch,390,True
4,GOMEZ Adrien,NCL,"Dec 02, 1997",68.27,A,50,55,-60,55,69kgMen,Snatch,390,True
1,KATOATAU Ruben,KIR,"Feb 09, 1997",68.58,A,147,150,154,154,69kgMen,CleanJerk,390,True
2,DOGUAPE Larko,NRU,"Jul 05, 2000",67.72,A,-125,125,130,130,69kgMen,CleanJerk,390,True
3,GOMEZ Adrien,NCL,"Dec 02, 1997",68.27,A,65,74,82,82,69kgMen,CleanJerk,390,True
---,SEARANT Isaac Gerard Tom,AUS,"Jul 16, 1995",68.38,A,-135,-135,-135,---,69kgMen,CleanJerk,390,True
1,KATOATAU Ruben,KIR,"Feb 09, 1997",68.58,A,115,154,269,,69kgMen,Total,390,True
