rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,THACH Kim Tuan,VIE,"Jan 15, 1994",55.75,A,125,129,131,131,56kgMen,Snatch,399,True
2,JIA Xionghui,CHN,"Jan 20, 1998",55.98,A,118,123,128,128,56kgMen,Snatch,399,True
3,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.80,A,120,124,-127,124,56kgMen,Snatch,399,True
4,SON Igor,KAZ,"Nov 16, 1998",55.94,A,110,115,120,120,56kgMen,Snatch,399,True
5,EGODAWATTE ARACHCHIGE DON Kamal D E,SRI,"Jul 12, 1988",55.52,A,108,110,112,112,56kgMen,Snatch,399,True
6,HANDURDYYEV Omarguly,TKM,"Dec 17, 1988",55.91,A,110,-114,-115,110,56kgMen,Snatch,399,True
7,ALSALEEM Seraj Abdulrahim M,KSA,"Feb 10, 1996",55.94,A,105,110,-113,110,56kgMen,Snatch,399,True
8,BUPPHAMALA Patiphan,THA,"Aug 27, 1999",55.95,A,105,110,-113,110,56kgMen,Snatch,399,True
9,TULO Manueli,FIJ,"Mar 25, 1990",55.73,A,105,-109,-109,105,56kgMen,Snatch,399,True
10,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.72,A,92,97,102,102,56kgMen,Snatch,399,True
11,CHEN Chia-Lung,TPE,"Mar 28, 2001",55.64,A,92,95,-97,95,56kgMen,Snatch,399,True
1,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.80,A,147,152,-159,152,56kgMen,CleanJerk,399,True
2,THACH Kim Tuan,VIE,"Jan 15, 1994",55.75,A,147,151,-153,151,56kgMen,CleanJerk,399,True
3,JIA Xionghui,CHN,"Jan 20, 1998",55.98,A,133,138,141,141,56kgMen,CleanJerk,399,True
4,ALSALEEM Seraj Abdulrahim M,KSA,"Feb 10, 1996",55.94,A,134,140,-142,140,56kgMen,CleanJerk,399,True
5,SON Igor,KAZ,"Nov 16, 1998",55.94,A,137,-150,-150,137,56kgMen,CleanJerk,399,True
6,TULO Manueli,FIJ,"Mar 25, 1990",55.73,A,-135,135,-140,135,56kgMen,CleanJerk,399,True
7,BUPPHAMALA Patiphan,THA,"Aug 27, 1999",55.95,A,127,132,-136,132,56kgMen,CleanJerk,399,True
8,HANDURDYYEV Omarguly,TKM,"Dec 17, 1988",55.91,A,130,---,---,130,56kgMen,CleanJerk,399,True
9,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.72,A,125,129,-132,129,56kgMen,CleanJerk,399,True
10,EGODAWATTE ARACHCHIGE DON Kamal D E,SRI,"Jul 12, 1988",55.52,A,-128,128,-132,128,56kgMen,CleanJerk,399,True
11,CHEN Chia-Lung,TPE,"Mar 28, 2001",55.64,A,112,115,-118,115,56kgMen,CleanJerk,399,True
1,THACH Kim Tuan,VIE,"Jan 15, 1994",55.75,A,131,151,282,,56kgMen,Total,399,True
2,TRAN Le Quoc Toan,VIE,"Apr 05, 1989",55.80,A,124,152,276,,56kgMen,Total,399,True
3,JIA Xionghui,CHN,"Jan 20, 1998",55.98,A,128,141,269,,56kgMen,Total,399,True
4,SON Igor,KAZ,"Nov 16, 1998",55.94,A,120,137,257,,56kgMen,Total,399,True
5,ALSALEEM Seraj Abdulrahim M,KSA,"Feb 10, 1996",55.94,A,110,140,250,,56kgMen,Total,399,True
6,BUPPHAMALA Patiphan,THA,"Aug 27, 1999",55.95,A,110,132,242,,56kgMen,Total,399,True
7,EGODAWATTE ARACHCHIGE DON Kamal D E,SRI,"Jul 12, 1988",55.52,A,112,128,240,,56kgMen,Total,399,True
8,HANDURDYYEV Omarguly,TKM,"Dec 17, 1988",55.91,A,110,130,240,,56kgMen,Total,399,True
9,TULO Manueli,FIJ,"Mar 25, 1990",55.73,A,105,135,240,,56kgMen,Total,399,True
10,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",55.72,A,102,129,231,,56kgMen,Total,399,True
11,CHEN Chia-Lung,TPE,"Mar 28, 2001",55.64,A,95,115,210,,56kgMen,Total,399,True
1,TRINH Van Vinh,VIE,"Dec 17, 1995",61.77,A,128,133,136,136,62kgMen,Snatch,399,True
2,SAHETMYRADOV Meretguly,TKM,"Mar 26, 1988",61.95,A,125,129,132,132,62kgMen,Snatch,399,True
3,LEI Haitao,CHN,"Jan 10, 1989",61.98,A,126,131,-135,131,62kgMen,Snatch,399,True
4,JON Ho Gyong,PRK,"Jun 14, 1994",61.43,A,-120,120,124,124,62kgMen,Snatch,399,True
5,BARU Morea,PNG,"Apr 15, 1990",61.81,A,116,121,-125,121,62kgMen,Snatch,399,True
6,PURKON Muhamad,INA,"Apr 23, 1990",61.24,A,-120,121,-126,121,62kgMen,Snatch,399,True
7,ALABDULAL Abbas Salman A,KSA,"Jun 09, 1991",61.78,A,115,119,-121,119,62kgMen,Snatch,399,True
8,ALSULAMI Faisal Khalid M,KSA,"May 14, 1996",61.80,A,113,117,-121,117,62kgMen,Snatch,399,True
9,CHIANG Nien-En,TPE,"Feb 19, 2000",61.67,A,-113,-113,113,113,62kgMen,Snatch,399,True
10,CHANDADARA SIRISENAGE Sangeeth P.W.,SRI,"Dec 01, 1984",61.97,B,105,109,-111,109,62kgMen,Snatch,399,True
