rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,LI Zhen,CHN,"Jan 18, 1986",55.49,A,-122,122,127,127,56kgMen,Snatch,3,True
2,HOANG Anh Tuan,VIE,"Feb 12, 1985",55.93,B,122,-126,126,126,56kgMen,Snatch,3,True
3,WANG Shin-Yuan,TPE,"Jul 06, 1976",55.57,A,122,125,-126,125,56kgMen,Snatch,3,True
4,LEE Jong-hoon,KOR,"Feb 19, 1986",55.88,A,118,-123,125,125,56kgMen,Snatch,3,True
5,WU Meijin,CHN,"Apr 25, 1980",55.65,A,122,-125,-126,122,56kgMen,Snatch,3,True
6,YANG Chin-Yi,TPE,"May 15, 1981",55.56,A,-120,120,-125,120,56kgMen,Snatch,3,True
7,CASTRO Nelson,COL,"Mar 29, 1974",55.84,A,110,-115,115,115,56kgMen,Snatch,3,True
8,BEHROUZI Sajad,IRI,"Sep 20, 1989",55.95,A,110,115,-117,115,56kgMen,Snatch,3,True
9,GRABUCEA Igor,MDA,"Apr 29, 1976",55.37,A,-112,112,-117,112,56kgMen,Snatch,3,True
10,BONNEL Eric,FRA,"Aug 18, 1974",55.91,A,107,111,-113,111,56kgMen,Snatch,3,True
11,BAHAROM Mohd Faizal,MAS,"Jan 04, 1982",55.32,B,110,-115,-115,110,56kgMen,Snatch,3,True
12,RADA RODRIGUEZ Sergio Armando,COL,"Jan 27, 1984",55.85,A,105,-110,110,110,56kgMen,Snatch,3,True
13,CASTELLANO Victor,VEN,"Mar 23, 1976",55.95,B,102,106,109,109,56kgMen,Snatch,3,True
14,BATTA Vicky,IND,"Apr 09, 1981",55.99,B,107,-112,-112,107,56kgMen,Snatch,3,True
15,KOUM KOUM Daniel Ebenezer,CMR,"May 27, 1985",55.76,B,97,102,-105,102,56kgMen,Snatch,3,True
16,GANESAN Veerabadran,IND,"Apr 10, 1979",55.25,B,100,-105,-105,100,56kgMen,Snatch,3,True
17,ADAM Robert,HUN,"Sep 15, 1982",55.79,B,95,-100,100,100,56kgMen,Snatch,3,True
---,HANDURDYYEV Omarguly,TKM,"Dec 17, 1988",51.26,B,- 75,- 75,- 75,---,56kgMen,Snatch,3,True
1,WANG Shin-Yuan,TPE,"Jul 06, 1976",55.57,A,153,-156,156,156,56kgMen,CleanJerk,3,True
2,WU Meijin,CHN,"Apr 25, 1980",55.65,A,156,-158,-158,156,56kgMen,CleanJerk,3,True
3,YANG Chin-Yi,TPE,"May 15, 1981",55.56,A,150,155,-156,155,56kgMen,CleanJerk,3,True
4,LEE Jong-hoon,KOR,"Feb 19, 1986",55.88,A,150,155,-157,155,56kgMen,CleanJerk,3,True
5,HOANG Anh Tuan,VIE,"Feb 12, 1985",55.93,B,153,-156,-156,153,56kgMen,CleanJerk,3,True
6,LI Zhen,CHN,"Jan 18, 1986",55.49,A,150,-154,-155,150,56kgMen,CleanJerk,3,True
