rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,ASHOUR Salama,EGY,"Jan 01, 2000",55.65,A,85,92,96,96,56kgMen,Snatch,417,True
2,ABU HAMED Abdelmalek Ali Abdullah,LBA,"Jan 24, 2001",55.25,A,71,76,- 78,76,56kgMen,Snatch,417,True
3,FARQUHAR James Connor,RSA,"Mar 18, 2002",55.35,A,70,- 75,- 78,70,56kgMen,Snatch,417,True
4,HABOUBAKAR Siddiki,CMR,"Aug 14, 1999",55.75,A,67,- 72,- 72,67,56kgMen,Snatch,417,True
5,KGASWANE Kgotla Alphius N,BOT,"Jul 07, 2000",55.10,A,60,- 64,- 64,60,56kgMen,Snatch,417,True
6,LUTAAYA Hamdan Sserwanga,UGA,"Jan 07, 2002",49.50,A,47,52,- 56,52,56kgMen,Snatch,417,True
---,CHETIOUI Abdelraouf,ALG,"Apr 12, 1999",55.60,A,- 82,- 82,- 82,---,56kgMen,Snatch,417,True
1,ASHOUR Salama,EGY,"Jan 01, 2000",55.65,A,111,117,-121,117,56kgMen,CleanJerk,417,True
2,CHETIOUI Abdelraouf,ALG,"Apr 12, 1999",55.60,A,107,113,-118,113,56kgMen,CleanJerk,417,True
3,HABOUBAKAR Siddiki,CMR,"Aug 14, 1999",55.75,A,- 98,- 98,98,98,56kgMen,CleanJerk,417,True
4,FARQUHAR James Connor,RSA,"Mar 18, 2002",55.35,A,87,92,96,96,56kgMen,CleanJerk,417,True
5,ABU HAMED Abdelmalek Ali Abdullah,LBA,"Jan 24, 2001",55.25,A,90,95,- 99,95,56kgMen,CleanJerk,417,True
6,KGASWANE Kgotla Alphius N,BOT,"Jul 07, 2000",55.10,A,76,78,82,82,56kgMen,CleanJerk,417,True
7,LUTAAYA Hamdan Sserwanga,UGA,"Jan 07, 2002",49.50,A,- 61,66,- 67,66,56kgMen,CleanJerk,417,True
1,ASHOUR Salama,EGY,"Jan 01, 2000",55.65,A,96,117,213,,56kgMen,Total,417,True
2,ABU HAMED Abdelmalek Ali Abdullah,LBA,"Jan 24, 2001",55.25,A,76,95,171,,56kgMen,Total,417,True
3,FARQUHAR James Connor,RSA,"Mar 18, 2002",55.35,A,70,96,166,,56kgMen,Total,417,True
4,HABOUBAKAR Siddiki,CMR,"Aug 14, 1999",55.75,A,67,98,165,,56kgMen,Total,417,True
5,KGASWANE Kgotla Alphius N,BOT,"Jul 07, 2000",55.10,A,60,82,142,,56kgMen,Total,417,True
6,LUTAAYA Hamdan Sserwanga,UGA,"Jan 07, 2002",49.50,A,52,66,118,,56kgMen,Total,417,True
---,CHETIOUI Abdelraouf,ALG,"Apr 12, 1999",55.60,A,---,113,---,,56kgMen,Total,417,True
1,ELTAMADI Ahmed Abdelghani Said,EGY,"Jan 16, 1999",61.60,A,110,115,120,120,62kgMen,Snatch,417,True
2,CHEKHCHOUKH Ahmed,ALG,"Feb 18, 2001",61.80,A,- 95,- 95,95,95,62kgMen,Snatch,417,True
3,ADJETEY Abraham Adjei,GHA,"Aug 23, 2003",60.10,A,78,81,85,85,62kgMen,Snatch,417,True
4,BIN SAEID Salih Mihriz Salih,LBA,"Aug 04, 2001",60.20,A,75,80,84,84,62kgMen,Snatch,417,True
5,NKUUTU Lawrence,UGA,"Feb 02, 2002",60.95,A,70,75,79,79,62kgMen,Snatch,417,True
6,DJIBRINE AHMAT Saleh,CMR,"Sep 16, 2001",60.75,A,70,75,- 80,75,62kgMen,Snatch,417,True
1,ELTAMADI Ahmed Abdelghani Said,EGY,"Jan 16, 1999",61.60,A,142,-148,-150,142,62kgMen,CleanJerk,417,True
