rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,RIKLON Mike Enricel,MHL,"Nov 11, 2000",49.70,A,60,62,64,64,56kgMen,Snatch,428,True
2,FESOLAI Avery Durrell,NZL,"Dec 27, 2002",52.40,A,58,61,63,63,56kgMen,Snatch,428,True
3,AGIR Menesso,NRU,"Sep 21, 2002",49.40,A,50,55,57,57,56kgMen,Snatch,428,True
1,RIKLON Mike Enricel,MHL,"Nov 11, 2000",49.70,A,82,85,90,90,56kgMen,CleanJerk,428,True
2,FESOLAI Avery Durrell,NZL,"Dec 27, 2002",52.40,A,78,81,- 83,81,56kgMen,CleanJerk,428,True
3,AGIR Menesso,NRU,"Sep 21, 2002",49.40,A,55,60,- 65,60,56kgMen,CleanJerk,428,True
1,RIKLON Mike Enricel,MHL,"Nov 11, 2000",49.70,A,64,90,154,,56kgMen,Total,428,True
2,FESOLAI Avery Durrell,NZL,"Dec 27, 2002",52.40,A,63,81,144,,56kgMen,Total,428,True
3,AGIR Menesso,NRU,"Sep 21, 2002",49.40,A,57,60,117,,56kgMen,Total,428,True
1,MOSES Ezekiel,NRU,"Jul 02, 2001",61.80,A,100,105,-108,105,62kgMen,Snatch,428,True
2,SCOTTY Brocka,NRU,"Jul 25, 1999",61.30,A,85,90,95,95,62kgMen,Snatch,428,True
3,RALPHO Joshua,MHL,"Dec 26, 2001",61.40,A,70,- 80,- 80,70,62kgMen,Snatch,428,True
4,TEYSSIER Kilian Ananke,NCL,"Oct 11, 2001",57.70,A,53,58,- 61,58,62kgMen,Snatch,428,True
1,MOSES Ezekiel,NRU,"Jul 02, 2001",61.80,A,-130,130,135,135,62kgMen,CleanJerk,428,True
2,SCOTTY Brocka,NRU,"Jul 25, 1999",61.30,A,110,-120,120,120,62kgMen,CleanJerk,428,True
3,RALPHO Joshua,MHL,"Dec 26, 2001",61.40,A,85,90,---,90,62kgMen,CleanJerk,428,True
4,TEYSSIER Kilian Ananke,NCL,"Oct 11, 2001",57.70,A,- 71,- 71,71,71,62kgMen,CleanJerk,428,True
1,MOSES Ezekiel,NRU,"Jul 02, 2001",61.80,A,105,135,240,,62kgMen,Total,428,True
2,SCOTTY Brocka,NRU,"Jul 25, 1999",61.30,A,95,120,215,,62kgMen,Total,428,True
3,RALPHO Joshua,MHL,"Dec 26, 2001",61.40,A,70,90,160,,62kgMen,Total,428,True
4,TEYSSIER Kilian Ananke,NCL,"Oct 11, 2001",57.70,A,58,71,129,,62kgMen,Total,428,True
1,DOGUAPE Larko,NRU,"Jul 05, 2000",68.30,A,105,-110,110,110,69kgMen,Snatch,428,True
2,DETUDAMO Uea,NRU,"Dec 16, 1999",67.90,A,100,107,-112,107,69kgMen,Snatch,428,True
3,DOUBLE Jaden Reef,NZL,"Mar 13, 2002",67.30,A,77,80,83,83,69kgMen,Snatch,428,True
4,MOANIBA Tekina,KIR,"May 19, 2001",67.50,A,70,75,80,80,69kgMen,Snatch,428,True
---,LAMONT Tuteari Horowai,NZL,"Sep 16, 2002",66.90,A,- 77,- 77,- 77,---,69kgMen,Snatch,428,True
1,DOGUAPE Larko,NRU,"Jul 05, 2000",68.30,A,133,138,-142,138,69kgMen,CleanJerk,428,True
2,DETUDAMO Uea,NRU,"Dec 16, 1999",67.90,A,130,135,-139,135,69kgMen,CleanJerk,428,True
3,MOANIBA Tekina,KIR,"May 19, 2001",67.50,A,- 90,90,- 95,90,69kgMen,CleanJerk,428,True
4,DOUBLE Jaden Reef,NZL,"Mar 13, 2002",67.30,A,85,88,- 95,88,69kgMen,CleanJerk,428,True
---,LAMONT Tuteari Horowai,NZL,"Sep 16, 2002",66.90,A,---,---,---,---,69kgMen,CleanJerk,428,True
1,DOGUAPE Larko,NRU,"Jul 05, 2000",68.30,A,110,138,248,,69kgMen,Total,428,True
2,DETUDAMO Uea,NRU,"Dec 16, 1999",67.90,A,107,135,242,,69kgMen,Total,428,True
3,DOUBLE Jaden Reef,NZL,"Mar 13, 2002",67.30,A,83,88,171,,69kgMen,Total,428,True
4,MOANIBA Tekina,KIR,"May 19, 2001",67.50,A,80,90,170,,69kgMen,Total,428,True
---,LAMONT Tuteari Horowai,NZL,"Sep 16, 2002",66.90,A,---,---,---,,69kgMen,Total,428,True
1,JOHANSSON Roy Carl Johan,NZL,"Mar 19, 2001",76.10,A,80,- 83,85,85,77kgMen,Snatch,428,True
2,CREIGHTON Tyler Ray,NZL,"Oct 27, 2001",75.70,A,72,77,82,82,77kgMen,Snatch,428,True
1,JOHANSSON Roy Carl Johan,NZL,"Mar 19, 2001",76.10,A,98,101,106,106,77kgMen,CleanJerk,428,True
2,CREIGHTON Tyler Ray,NZL,"Oct 27, 2001",75.70,A,93,100,-110,100,77kgMen,CleanJerk,428,True
1,JOHANSSON Roy Carl Johan,NZL,"Mar 19, 2001",76.10,A,85,106,191,,77kgMen,Total,428,True
2,CREIGHTON Tyler Ray,NZL,"Oct 27, 2001",75.70,A,82,100,182,,77kgMen,Total,428,True
1,OPELOGE Don,SAM,"May 13, 1999",84.80,A,137,-145,145,145,85kgMen,Snatch,428,True
2,HOMERSHAM Joshua Roy,NZL,"Dec 08, 1998",84.60,A,108,113,116,116,85kgMen,Snatch,428,True
3,TAIHUKA Kitini Marc,NZL,"Jan 09, 2003",81.20,A,93,97,101,101,85kgMen,Snatch,428,True
1,OPELOGE Don,SAM,"May 13, 1999",84.80,A,180,-185,-185,180,85kgMen,CleanJerk,428,True
2,HOMERSHAM Joshua Roy,NZL,"Dec 08, 1998",84.60,A,137,142,147,147,85kgMen,CleanJerk,428,True
3,TAIHUKA Kitini Marc,NZL,"Jan 09, 2003",81.20,A,106,114,121,121,85kgMen,CleanJerk,428,True
1,OPELOGE Don,SAM,"May 13, 1999",84.80,A,145,180,325,,85kgMen,Total,428,True
2,HOMERSHAM Joshua Roy,NZL,"Dec 08, 1998",84.60,A,116,147,263,,85kgMen,Total,428,True
3,TAIHUKA Kitini Marc,NZL,"Jan 09, 2003",81.20,A,101,121,222,,85kgMen,Total,428,True
1,COOK Marcincy,NRU,"Apr 16, 2002",86.50,A,95,-100,100,100,94kgMen,Snatch,428,True
1,COOK Marcincy,NRU,"Apr 16, 2002",86.50,A,120,-125,125,125,94kgMen,CleanJerk,428,True
1,COOK Marcincy,NRU,"Apr 16, 2002",86.50,A,100,125,225,,94kgMen,Total,428,True
1,ADAM Neil,NRU,"Sep 26, 2001",134.40,A,70,80,85,85,+105kgMen,Snatch,428,True
1,ADAM Neil,NRU,"Sep 26, 2001",134.40,A,90,-100,105,105,+105kgMen,CleanJerk,428,True
1,ADAM Neil,NRU,"Sep 26, 2001",134.40,A,85,105,190,,+105kgMen,Total,428,True
1,CALMA Dayalani Reiko Vida,GUM,"Nov 24, 2000",46.50,A,43,45,- 48,45,48kgWomen,Snatch,428,True
2,DEIDENANG Carmen,NRU,"Aug 26, 2003",43.30,A,35,- 40,- 40,35,48kgWomen,Snatch,428,True
1,CALMA Dayalani Reiko Vida,GUM,"Nov 24, 2000",46.50,A,58,- 60,60,60,48kgWomen,CleanJerk,428,True
2,DEIDENANG Carmen,NRU,"Aug 26, 2003",43.30,A,45,- 50,- 50,45,48kgWomen,CleanJerk,428,True
1,CALMA Dayalani Reiko Vida,GUM,"Nov 24, 2000",46.50,A,45,60,105,,48kgWomen,Total,428,True
2,DEIDENANG Carmen,NRU,"Aug 26, 2003",43.30,A,35,45,80,,48kgWomen,Total,428,True
1,CAIN Siyisha,NRU,"Aug 20, 2003",52.70,A,- 60,60,65,65,53kgWomen,Snatch,428,True
2,KILA Walo Hane,PNG,"Nov 13, 2001",52.20,A,55,60,- 65,60,53kgWomen,Snatch,428,True
3,RAYNER Amorangi Piataata,NZL,"Dec 12, 2003",52.40,A,47,49,51,51,53kgWomen,Snatch,428,True
---,WANEASI Betty,SOL,"Jul 15, 2002",52.70,A,- 57,- 57,- 57,---,53kgWomen,Snatch,428,True
1,KILA Walo Hane,PNG,"Nov 13, 2001",52.20,A,65,- 70,75,75,53kgWomen,CleanJerk,428,True
2,RAYNER Amorangi Piataata,NZL,"Dec 12, 2003",52.40,A,57,60,- 62,60,53kgWomen,CleanJerk,428,True
---,CAIN Siyisha,NRU,"Aug 20, 2003",52.70,A,- 80,- 80,- 80,---,53kgWomen,CleanJerk,428,True
---,WANEASI Betty,SOL,"Jul 15, 2002",52.70,A,---,---,---,---,53kgWomen,CleanJerk,428,True
1,KILA Walo Hane,PNG,"Nov 13, 2001",52.20,A,60,75,135,,53kgWomen,Total,428,True
2,RAYNER Amorangi Piataata,NZL,"Dec 12, 2003",52.40,A,51,60,111,,53kgWomen,Total,428,True
---,CAIN Siyisha,NRU,"Aug 20, 2003",52.70,A,65,---,---,,53kgWomen,Total,428,True
---,WANEASI Betty,SOL,"Jul 15, 2002",52.70,A,---,---,---,,53kgWomen,Total,428,True
