rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,BERNA GONZALEZ Carlos Andres,COL,"Jan 21, 1990",55.85,A,113,116,-120,116,56kgMen,Snatch,430,True
2,POSADA Wilder,COL,"Sep 28, 1994",55.75,A,110,-115,-117,110,56kgMen,Snatch,430,True
3,FERRUZOLA ALAVA Rafael Patricio,ECU,"Oct 16, 1997",55.50,A,-104,104,107,107,56kgMen,Snatch,430,True
4,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",55.60,A,102,105,107,107,56kgMen,Snatch,430,True
5,ZURITA VALLEJO Walter Freddy,ECU,"Nov 18, 1993",55.55,A,-103,103,-107,103,56kgMen,Snatch,430,True
6,SOTO Diego,CHI,"Jan 28, 1988",55.65,A,100,-104,-104,100,56kgMen,Snatch,430,True
7,HUANCA Rainer,BOL,"Mar 18, 1996",55.80,A,70,75,-80,75,56kgMen,Snatch,430,True
1,POSADA Wilder,COL,"Sep 28, 1994",55.75,A,133,137,143,143,56kgMen,CleanJerk,430,True
2,BERNA GONZALEZ Carlos Andres,COL,"Jan 21, 1990",55.85,A,142,-150,-150,142,56kgMen,CleanJerk,430,True
3,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",55.60,A,132,136,138,138,56kgMen,CleanJerk,430,True
4,FERRUZOLA ALAVA Rafael Patricio,ECU,"Oct 16, 1997",55.50,A,132,-137,-139,132,56kgMen,CleanJerk,430,True
5,ZURITA VALLEJO Walter Freddy,ECU,"Nov 18, 1993",55.55,A,125,130,-135,130,56kgMen,CleanJerk,430,True
6,SOTO Diego,CHI,"Jan 28, 1988",55.65,A,120,125,-128,125,56kgMen,CleanJerk,430,True
7,HUANCA Rainer,BOL,"Mar 18, 1996",55.80,A,90,-95,-100,90,56kgMen,CleanJerk,430,True
1,BERNA GONZALEZ Carlos Andres,COL,"Jan 21, 1990",55.85,A,116,142,258,,56kgMen,Total,430,True
2,POSADA Wilder,COL,"Sep 28, 1994",55.75,A,110,143,253,,56kgMen,Total,430,True
