rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,SAHIN Muammer,TUR,"Feb 05, 1994",55.00,A,105,110,-112,110,55kgMen,Snatch,445,False
2,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",54.60,A,97,-102,102,102,55kgMen,Snatch,445,False
3,MUHAMMET Akkaya,TUR,"May 10, 1999",54.90,A,90,95,97,97,55kgMen,Snatch,445,False
4,ANDRIANTSITOHAINA Eric Herman,MAD,"Jul 21, 1991",54.75,A,-95,95,-100,95,55kgMen,Snatch,445,False
1,ANDRIANTSITOHAINA Eric Herman,MAD,"Jul 21, 1991",54.75,A,127,-132,136,136,55kgMen,CleanJerk,445,False
2,SAHIN Muammer,TUR,"Feb 05, 1994",55.00,A,-120,120,125,125,55kgMen,CleanJerk,445,False
3,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",54.60,A,110,120,-135,120,55kgMen,CleanJerk,445,False
4,MUHAMMET Akkaya,TUR,"May 10, 1999",54.90,A,110,117,-120,117,55kgMen,CleanJerk,445,False
1,SAHIN Muammer,TUR,"Feb 05, 1994",55.00,A,110,125,235,,55kgMen,Total,445,False
2,ANDRIANTSITOHAINA Eric Herman,MAD,"Jul 21, 1991",54.75,A,95,136,231,,55kgMen,Total,445,False
3,AL SALEEM Mansour Abdulrahim M,KSA,"Mar 16, 1988",54.60,A,102,120,222,,55kgMen,Total,445,False
4,MUHAMMET Akkaya,TUR,"May 10, 1999",54.90,A,97,117,214,,55kgMen,Total,445,False
1,HARDAL Ferdi,TUR,"Dec 31, 1996",61.00,A,120,125,-128,125,61kgMen,Snatch,445,False
2,ALSALEEM Seraj Abdulrahim M,KSA,"Feb 10, 1996",59.95,A,110,-116,-116,110,61kgMen,Snatch,445,False
3,KARA Ramazan,TUR,"Jun 19, 1999",60.90,A,105,109,-113,109,61kgMen,Snatch,445,False
