rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 54.90,Group: A,1: 95,2: -102,3: 102,Total: 102,55kgMen,Snatch,African Championships
Rank: 2,HARFI Issam,MAR,"Born: Dec 02, 1997",B.weight: 54.40,Group: A,1: 85,2: 90,3: -97,Total: 90,55kgMen,Snatch,African Championships
Rank: 1,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 54.90,Group: A,1: 120,2: -140,3: -140,Total: 120,55kgMen,CleanJerk,African Championships
Rank: 2,HARFI Issam,MAR,"Born: Dec 02, 1997",B.weight: 54.40,Group: A,1: 90,2: 100,3: -110,Total: 100,55kgMen,CleanJerk,African Championships
Rank: 1,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 54.90,Group: A,Snatch: 102,CI&Jerk: 120,Total: 222,,55kgMen,Total,African Championships
Rank: 2,HARFI Issam,MAR,"Born: Dec 02, 1997",B.weight: 54.40,Group: A,Snatch: 90,CI&Jerk: 100,Total: 190,,55kgMen,Total,African Championships
Rank: 1,BOUHIJBHA Amine,TUN,"Born: Feb 28, 1996",B.weight: 59.87,Group: A,1: 110,2: 116,3: -120,Total: 116,61kgMen,Snatch,African Championships
Rank: 2,BOUSHEEHAH Abdullah Khalleefah M,LBA,"Born: Jan 12, 1992",B.weight: 60.85,Group: A,1: 105,2: 108,3: -112,Total: 108,61kgMen,Snatch,African Championships
Rank: 3,BEN HADJ Mohamed Aziz,TUN,"Born: Jan 14, 2002",B.weight: 60.85,Group: A,1: 97,2: -102,3: 102,Total: 102,61kgMen,Snatch,African Championships
Rank: 4,MADANAMOOTHOO Jack Dorian,MRI,"Born: Apr 19, 2001",B.weight: 60.86,Group: A,1: 95,2: -100,3: -101,Total: 95,61kgMen,Snatch,African Championships
Rank: 5,MAZOZI Mouhcine,MAR,"Born: Nov 22, 1995",B.weight: 60.51,Group: A,1: 90,2: -98,3: -100,Total: 90,61kgMen,Snatch,African Championships
Rank: 6,SSEKITOLEKO Julius,UGA,"Born: Aug 07, 2000",B.weight: 60.28,Group: A,1: -85,2: -85,3: 85,Total: 85,61kgMen,Snatch,African Championships
Rank: 1,BOUHIJBHA Amine,TUN,"Born: Feb 28, 1996",B.weight: 59.87,Group: A,1: 142,2: -150,3: -150,Total: 142,61kgMen,CleanJerk,African Championships
Rank: 2,BOUSHEEHAH Abdullah Khalleefah M,LBA,"Born: Jan 12, 1992",B.weight: 60.85,Group: A,1: 130,2: 136,3: -143,Total: 136,61kgMen,CleanJerk,African Championships
Rank: 3,MAZOZI Mouhcine,MAR,"Born: Nov 22, 1995",B.weight: 60.51,Group: A,1: 115,2: 123,3: 130,Total: 130,61kgMen,CleanJerk,African Championships
Rank: 4,BEN HADJ Mohamed Aziz,TUN,"Born: Jan 14, 2002",B.weight: 60.85,Group: A,1: 120,2: 125,3: -131,Total: 125,61kgMen,CleanJerk,African Championships
Rank: 5,MADANAMOOTHOO Jack Dorian,MRI,"Born: Apr 19, 2001",B.weight: 60.86,Group: A,1: -122,2: -123,3: 124,Total: 124,61kgMen,CleanJerk,African Championships
Rank: 6,SSEKITOLEKO Julius,UGA,"Born: Aug 07, 2000",B.weight: 60.28,Group: A,1: -107,2: 107,3: 110,Total: 110,61kgMen,CleanJerk,African Championships
Rank: 1,BOUHIJBHA Amine,TUN,"Born: Feb 28, 1996",B.weight: 59.87,Group: A,Snatch: 116,CI&Jerk: 142,Total: 258,,61kgMen,Total,African Championships
Rank: 2,BOUSHEEHAH Abdullah Khalleefah M,LBA,"Born: Jan 12, 1992",B.weight: 60.85,Group: A,Snatch: 108,CI&Jerk: 136,Total: 244,,61kgMen,Total,African Championships
Rank: 3,BEN HADJ Mohamed Aziz,TUN,"Born: Jan 14, 2002",B.weight: 60.85,Group: A,Snatch: 102,CI&Jerk: 125,Total: 227,,61kgMen,Total,African Championships
Rank: 4,MAZOZI Mouhcine,MAR,"Born: Nov 22, 1995",B.weight: 60.51,Group: A,Snatch: 90,CI&Jerk: 130,Total: 220,,61kgMen,Total,African Championships
Rank: 5,MADANAMOOTHOO Jack Dorian,MRI,"Born: Apr 19, 2001",B.weight: 60.86,Group: A,Snatch: 95,CI&Jerk: 124,Total: 219,,61kgMen,Total,African Championships
