rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,115,120,-125,120,61kgMen,Snatch,456,False
2,FAATHIR Muhammad,INA,"May 21, 2003",60.10,A,105,111,-116,111,61kgMen,Snatch,456,False
3,GOH Zuo Fu,SGP,"Jul 28, 1994",60.40,A,-85,87,92,92,61kgMen,Snatch,456,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,157,-163,163,163,61kgMen,CleanJerk,456,False
2,FAATHIR Muhammad,INA,"May 21, 2003",60.10,A,140,-148,-148,140,61kgMen,CleanJerk,456,False
3,GOH Zuo Fu,SGP,"Jul 28, 1994",60.40,A,100,107,111,111,61kgMen,CleanJerk,456,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,120,163,283,,61kgMen,Total,456,False
2,FAATHIR Muhammad,INA,"May 21, 2003",60.10,A,111,140,251,,61kgMen,Total,456,False
3,GOH Zuo Fu,SGP,"Jul 28, 1994",60.40,A,92,111,203,,61kgMen,Total,456,False
1,KATOATAU Ruben,KIR,"Feb 09, 1997",66.85,A,120,125,-127,125,67kgMen,Snatch,456,False
2,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.65,A,121,-125,-126,121,67kgMen,Snatch,456,False
3,SEARANT Isaac Gerard Tom,AUS,"Jul 16, 1995",66.75,A,101,105,-109,105,67kgMen,Snatch,456,False
4,AGER Jason Christopher John,AUS,"Nov 19, 1993",66.60,A,100,104,-108,104,67kgMen,Snatch,456,False
5,SCOTTY Brocka,NRU,"Jul 25, 1999",66.90,A,97,102,-105,102,67kgMen,Snatch,456,False
6,KOH Keith Jia Jie,SGP,"Jun 23, 1996",66.15,A,-90,92,-100,92,67kgMen,Snatch,456,False
---,MOSES Ezekiel,NRU,"Jul 02, 2001",66.70,A,-115,-115,-115,---,67kgMen,Snatch,456,False
1,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.65,A,161,-166,-166,161,67kgMen,CleanJerk,456,False
2,KATOATAU Ruben,KIR,"Feb 09, 1997",66.85,A,160,-165,-165,160,67kgMen,CleanJerk,456,False
3,SCOTTY Brocka,NRU,"Jul 25, 1999",66.90,A,120,130,-135,130,67kgMen,CleanJerk,456,False
