rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,GARCIA PEREZ Jairo Luis,COL,"Aug 02, 2000",54.80,A,105,-110,---,105,55kgMen,Snatch,463,False
2,VIVEROS SANCHEZ Hector Andres,COL,"Nov 14, 2000",54.60,A,-104,104,-108,104,55kgMen,Snatch,463,False
3,SANCHEZ GUTIERREZ Winder Alejandro,VEN,"Sep 14, 2001",53.80,A,102,-105,-105,102,55kgMen,Snatch,463,False
4,ICAL SALAZAR Jose Fernando,GUA,"May 16, 1999",54.60,A,-95,-95,95,95,55kgMen,Snatch,463,False
5,MICHEL Yeison,DOM,"Jun 24, 2002",53.70,A,-91,-93,93,93,55kgMen,Snatch,463,False
6,CHUBBUCK John Dylan,USA,"Feb 22, 2003",54.80,A,84,88,-91,88,55kgMen,Snatch,463,False
7,ARGOTE CASTILLO Osmel,CUB,"Sep 07, 1999",54.00,A,-88,-88,88,88,55kgMen,Snatch,463,False
1,SANCHEZ GUTIERREZ Winder Alejandro,VEN,"Sep 14, 2001",53.80,A,-130,-130,133,133,55kgMen,CleanJerk,463,False
2,GARCIA PEREZ Jairo Luis,COL,"Aug 02, 2000",54.80,A,120,-130,132,132,55kgMen,CleanJerk,463,False
3,VIVEROS SANCHEZ Hector Andres,COL,"Nov 14, 2000",54.60,A,-130,130,-134,130,55kgMen,CleanJerk,463,False
4,ARGOTE CASTILLO Osmel,CUB,"Sep 07, 1999",54.00,A,112,117,-120,117,55kgMen,CleanJerk,463,False
5,CHUBBUCK John Dylan,USA,"Feb 22, 2003",54.80,A,110,115,-120,115,55kgMen,CleanJerk,463,False
6,MICHEL Yeison,DOM,"Jun 24, 2002",53.70,A,105,110,-113,110,55kgMen,CleanJerk,463,False
---,ICAL SALAZAR Jose Fernando,GUA,"May 16, 1999",54.60,A,-121,-121,-121,---,55kgMen,CleanJerk,463,False
1,GARCIA PEREZ Jairo Luis,COL,"Aug 02, 2000",54.80,A,105,132,237,,55kgMen,Total,463,False
2,SANCHEZ GUTIERREZ Winder Alejandro,VEN,"Sep 14, 2001",53.80,A,102,133,235,,55kgMen,Total,463,False
3,VIVEROS SANCHEZ Hector Andres,COL,"Nov 14, 2000",54.60,A,104,130,234,,55kgMen,Total,463,False
4,ARGOTE CASTILLO Osmel,CUB,"Sep 07, 1999",54.00,A,88,117,205,,55kgMen,Total,463,False
5,MICHEL Yeison,DOM,"Jun 24, 2002",53.70,A,93,110,203,,55kgMen,Total,463,False
6,CHUBBUCK John Dylan,USA,"Feb 22, 2003",54.80,A,88,115,203,,55kgMen,Total,463,False
---,ICAL SALAZAR Jose Fernando,GUA,"May 16, 1999",54.60,A,95,---,---,,55kgMen,Total,463,False
1,VILLAR MANJARRES Estiven Jose,COL,"Mar 12, 2001",60.30,A,116,120,-123,120,61kgMen,Snatch,463,False
2,REYES VIDAL Jair,ECU,"Jul 11, 2000",60.40,A,111,116,120,120,61kgMen,Snatch,463,False
3,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",60.50,A,-115,115,119,119,61kgMen,Snatch,463,False
4,GUEMEZ CEL Victor Badur,MEX,"Jun 23, 2000",60.80,A,116,-121,-121,116,61kgMen,Snatch,463,False
5,ONATE ARAUJO Otto Felix,CUB,"Jan 23, 2000",60.50,A,115,-120,-121,115,61kgMen,Snatch,463,False
6,DA SILVA Thiago Felix,BRA,"Dec 26, 2000",59.40,A,100,103,105,105,61kgMen,Snatch,463,False
7,BAUER Brandon Scott,USA,"Apr 15, 1999",60.10,A,95,99,102,102,61kgMen,Snatch,463,False
8,LEYES Jonatan Martin,ARG,"May 12, 2001",60.50,A,97,101,-104,101,61kgMen,Snatch,463,False
9,ESQUIVEL MORALES Henry Eduardo,GUA,"Jan 21, 2000",59.70,A,91,-96,98,98,61kgMen,Snatch,463,False
10,VARGAS SAMBOY Juan,DOM,"Jul 19, 2001",58.30,A,97,-102,-102,97,61kgMen,Snatch,463,False
11,ZIELKE Lukas,USA,"Feb 09, 1999",60.40,A,90,93,96,96,61kgMen,Snatch,463,False
1,CALDERON LICOURT Arley Lazaro,CUB,"Feb 26, 1999",60.50,A,145,152,---,152,61kgMen,CleanJerk,463,False
2,ONATE ARAUJO Otto Felix,CUB,"Jan 23, 2000",60.50,A,142,147,152,152,61kgMen,CleanJerk,463,False
3,GUEMEZ CEL Victor Badur,MEX,"Jun 23, 2000",60.80,A,146,151,-155,151,61kgMen,CleanJerk,463,False
4,VILLAR MANJARRES Estiven Jose,COL,"Mar 12, 2001",60.30,A,145,150,-154,150,61kgMen,CleanJerk,463,False
5,REYES VIDAL Jair,ECU,"Jul 11, 2000",60.40,A,142,146,-149,146,61kgMen,CleanJerk,463,False
6,DA SILVA Thiago Felix,BRA,"Dec 26, 2000",59.40,A,126,-132,132,132,61kgMen,CleanJerk,463,False
7,ESQUIVEL MORALES Henry Eduardo,GUA,"Jan 21, 2000",59.70,A,124,130,-133,130,61kgMen,CleanJerk,463,False
8,ZIELKE Lukas,USA,"Feb 09, 1999",60.40,A,125,-129,130,130,61kgMen,CleanJerk,463,False
9,LEYES Jonatan Martin,ARG,"May 12, 2001",60.50,A,123,128,-130,128,61kgMen,CleanJerk,463,False
10,BAUER Brandon Scott,USA,"Apr 15, 1999",60.10,A,122,126,-130,126,61kgMen,CleanJerk,463,False
