rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",54.70,A,88,- 93,93,93,55kgMen,Snatch,464,False
2,SHADRACK Walter,SOL,"Oct 06, 2000",54.75,A,80,- 85,- 85,80,55kgMen,Snatch,464,False
3,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.65,A,- 80,80,- 85,80,55kgMen,Snatch,464,False
4,SINAKA Scofield Goava,PNG,"Jan 21, 1998",53.90,A,75,- 78,- 78,75,55kgMen,Snatch,464,False
5,RIKLON Mike Enricel,MHL,"Nov 11, 2000",50.30,A,- 68,72,75,75,55kgMen,Snatch,464,False
---,ERATI Kaimauri,KIR,"Jun 13, 2004",53.80,A,- 60,- 60,- 60,---,55kgMen,Snatch,464,False
1,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",54.70,A,112,117,122,122,55kgMen,CleanJerk,464,False
2,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.65,A,-101,101,108,108,55kgMen,CleanJerk,464,False
3,SINAKA Scofield Goava,PNG,"Jan 21, 1998",53.90,A,-101,101,108,108,55kgMen,CleanJerk,464,False
4,SHADRACK Walter,SOL,"Oct 06, 2000",54.75,A,100,105,-109,105,55kgMen,CleanJerk,464,False
5,RIKLON Mike Enricel,MHL,"Nov 11, 2000",50.30,A,- 90,93,-100,93,55kgMen,CleanJerk,464,False
6,ERATI Kaimauri,KIR,"Jun 13, 2004",53.80,A,70,75,- 83,75,55kgMen,CleanJerk,464,False
1,BRECHTEFELD Elson Edward,NRU,"Mar 02, 1994",54.70,A,93,122,215,,55kgMen,Total,464,False
2,NAUARI Gahuna Ian,PNG,"Aug 05, 2002",54.65,A,80,108,188,,55kgMen,Total,464,False
3,SHADRACK Walter,SOL,"Oct 06, 2000",54.75,A,80,105,185,,55kgMen,Total,464,False
4,SINAKA Scofield Goava,PNG,"Jan 21, 1998",53.90,A,75,108,183,,55kgMen,Total,464,False
5,RIKLON Mike Enricel,MHL,"Nov 11, 2000",50.30,A,75,93,168,,55kgMen,Total,464,False
---,ERATI Kaimauri,KIR,"Jun 13, 2004",53.80,A,---,75,---,,55kgMen,Total,464,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,115,120,124,124,61kgMen,Snatch,464,False
2,RAMOHAKA Brown Chester,SOL,"Feb 02, 1988",60.45,A,95,99,-103,99,61kgMen,Snatch,464,False
3,TAFI John Lautafi,SAM,"Mar 10, 2002",60.55,A,85,90,95,95,61kgMen,Snatch,464,False
4,IETE Tatake,KIR,"Sep 11, 2000",59.50,A,75,80,85,85,61kgMen,Snatch,464,False
5,TEYSSIER Kilian Ananke,NCL,"Oct 11, 2001",59.90,A,67,70,74,74,61kgMen,Snatch,464,False
6,GIOURA Chrisman,NRU,"Dec 24, 2002",59.55,A,67,- 71,- 71,67,61kgMen,Snatch,464,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,150,160,-164,160,61kgMen,CleanJerk,464,False
2,RAMOHAKA Brown Chester,SOL,"Feb 02, 1988",60.45,A,-127,-127,127,127,61kgMen,CleanJerk,464,False
3,TAFI John Lautafi,SAM,"Mar 10, 2002",60.55,A,-115,-115,115,115,61kgMen,CleanJerk,464,False
4,IETE Tatake,KIR,"Sep 11, 2000",59.50,A,88,93,102,102,61kgMen,CleanJerk,464,False
5,TEYSSIER Kilian Ananke,NCL,"Oct 11, 2001",59.90,A,87,92,95,95,61kgMen,CleanJerk,464,False
6,GIOURA Chrisman,NRU,"Dec 24, 2002",59.55,A,- 85,85,89,89,61kgMen,CleanJerk,464,False
1,BARU Morea,PNG,"Apr 15, 1990",61.00,A,124,160,284,,61kgMen,Total,464,False
2,RAMOHAKA Brown Chester,SOL,"Feb 02, 1988",60.45,A,99,127,226,,61kgMen,Total,464,False
3,TAFI John Lautafi,SAM,"Mar 10, 2002",60.55,A,95,115,210,,61kgMen,Total,464,False
4,IETE Tatake,KIR,"Sep 11, 2000",59.50,A,85,102,187,,61kgMen,Total,464,False
5,TEYSSIER Kilian Ananke,NCL,"Oct 11, 2001",59.90,A,74,95,169,,61kgMen,Total,464,False
6,GIOURA Chrisman,NRU,"Dec 24, 2002",59.55,A,67,89,156,,61kgMen,Total,464,False
1,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.45,A,123,125,-126,125,67kgMen,Snatch,464,False
2,KATOATAU Ruben,KIR,"Feb 09, 1997",66.85,A,122,-124,-124,122,67kgMen,Snatch,464,False
3,MOSES Ezekiel,NRU,"Jul 02, 2001",67.00,A,110,115,-120,115,67kgMen,Snatch,464,False
4,SCOTTY Brocka,NRU,"Jul 25, 1999",66.55,A,100,105,107,107,67kgMen,Snatch,464,False
5,RAOBU Manuila,TUV,"Sep 18, 2000",65.70,A,101,-106,106,106,67kgMen,Snatch,464,False
6,DONGA Stan Eddie,SOL,"Aug 09, 1998",66.25,A,95,97,101,101,67kgMen,Snatch,464,False
7,NASILA Samuela,FIJ,"Jun 03, 1999",66.30,B,77,84,88,88,67kgMen,Snatch,464,False
8,QALO Waisea,FIJ,"Oct 24, 1993",66.00,B,70,75,80,80,67kgMen,Snatch,464,False
9,MALTUNGTUNG Esmen,VAN,"Jul 03, 1996",66.55,B,50,- 55,55,55,67kgMen,Snatch,464,False
1,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.45,A,161,164,-166,164,67kgMen,CleanJerk,464,False
2,KATOATAU Ruben,KIR,"Feb 09, 1997",66.85,A,160,-165,-165,160,67kgMen,CleanJerk,464,False
3,MOSES Ezekiel,NRU,"Jul 02, 2001",67.00,A,145,-152,-152,145,67kgMen,CleanJerk,464,False
4,SCOTTY Brocka,NRU,"Jul 25, 1999",66.55,A,127,131,-135,131,67kgMen,CleanJerk,464,False
5,DONGA Stan Eddie,SOL,"Aug 09, 1998",66.25,A,125,127,-130,127,67kgMen,CleanJerk,464,False
6,NASILA Samuela,FIJ,"Jun 03, 1999",66.30,B,100,105,110,110,67kgMen,CleanJerk,464,False
7,QALO Waisea,FIJ,"Oct 24, 1993",66.00,B,95,101,105,105,67kgMen,CleanJerk,464,False
8,MALTUNGTUNG Esmen,VAN,"Jul 03, 1996",66.55,B,70,75,- 78,75,67kgMen,CleanJerk,464,False
---,RAOBU Manuila,TUV,"Sep 18, 2000",65.70,A,-126,-126,-126,---,67kgMen,CleanJerk,464,False
1,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.45,A,125,164,289,,67kgMen,Total,464,False
2,KATOATAU Ruben,KIR,"Feb 09, 1997",66.85,A,122,160,282,,67kgMen,Total,464,False
3,MOSES Ezekiel,NRU,"Jul 02, 2001",67.00,A,115,145,260,,67kgMen,Total,464,False
4,SCOTTY Brocka,NRU,"Jul 25, 1999",66.55,A,107,131,238,,67kgMen,Total,464,False
5,DONGA Stan Eddie,SOL,"Aug 09, 1998",66.25,A,101,127,228,,67kgMen,Total,464,False
6,NASILA Samuela,FIJ,"Jun 03, 1999",66.30,B,88,110,198,,67kgMen,Total,464,False
7,QALO Waisea,FIJ,"Oct 24, 1993",66.00,B,80,105,185,,67kgMen,Total,464,False
8,MALTUNGTUNG Esmen,VAN,"Jul 03, 1996",66.55,B,55,75,130,,67kgMen,Total,464,False
---,RAOBU Manuila,TUV,"Sep 18, 2000",65.70,A,106,---,---,,67kgMen,Total,464,False
1,TABAROUA Taretiita Baraniko,KIR,"Nov 29, 1994",72.95,A,120,124,-127,124,73kgMen,Snatch,464,False
2,WAKELING Brandon Dean,AUS,"Feb 02, 1994",72.70,A,118,123,-127,123,73kgMen,Snatch,464,False
3,ALIKLIK Ika,NRU,"Sep 16, 1985",72.35,A,115,-121,121,121,73kgMen,Snatch,464,False
4,DOGUAPE Larko,NRU,"Jul 05, 2000",72.45,A,-120,-120,120,120,73kgMen,Snatch,464,False
5,RALPHO Joshua,MHL,"Dec 26, 2001",72.45,A,100,-105,105,105,73kgMen,Snatch,464,False
6,MEA Douglas Ao,PNG,"Jun 10, 1999",72.30,B,90,97,-102,97,73kgMen,Snatch,464,False
7,DAVIS Kaia,NIU,"Mar 28, 2004",71.30,B,72,75,80,80,73kgMen,Snatch,464,False
8,WOTLELEN Robinson,VAN,"Sep 05, 1995",72.65,B,65,70,73,73,73kgMen,Snatch,464,False
9,KWANPIKEN Samson,VAN,"Oct 25, 1985",72.45,B,- 60,- 60,60,60,73kgMen,Snatch,464,False
---,BAUTISTA David,GUM,"Nov 07, 1989",72.35,A,-105,-105,-105,---,73kgMen,Snatch,464,False
1,WAKELING Brandon Dean,AUS,"Feb 02, 1994",72.70,A,157,162,167,167,73kgMen,CleanJerk,464,False
2,TABAROUA Taretiita Baraniko,KIR,"Nov 29, 1994",72.95,A,158,-163,-163,158,73kgMen,CleanJerk,464,False
3,DOGUAPE Larko,NRU,"Jul 05, 2000",72.45,A,-145,145,150,150,73kgMen,CleanJerk,464,False
4,ALIKLIK Ika,NRU,"Sep 16, 1985",72.35,A,140,-146,146,146,73kgMen,CleanJerk,464,False
