rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,HIGASHINO Ryota,JPN,"Sep 19, 1997",54.55,A,100,-105,-105,100,55kgMen,Snatch,473,False
1,HIGASHINO Ryota,JPN,"Sep 19, 1997",54.55,A,120,-125,-130,120,55kgMen,CleanJerk,473,False
1,HIGASHINO Ryota,JPN,"Sep 19, 1997",54.55,A,100,120,220,,55kgMen,Total,473,False
1,HIRAI Kaito,JPN,"Sep 16, 1998",59.20,A,100,105,-110,105,61kgMen,Snatch,473,False
1,HIRAI Kaito,JPN,"Sep 16, 1998",59.20,A,133,140,147,147,61kgMen,CleanJerk,473,False
1,HIRAI Kaito,JPN,"Sep 16, 1998",59.20,A,105,147,252,,61kgMen,Total,473,False
1,PETROV Petr,CZE,"Oct 19, 1989",66.95,A,124,128,131,131,67kgMen,Snatch,473,False
2,CASTRO MARINO Victor,ESP,"Dec 18, 1992",67.00,A,125,-130,130,130,67kgMen,Snatch,473,False
3,GOTO Taiga,JPN,"Mar 03, 1999",64.45,A,115,-119,-119,115,67kgMen,Snatch,473,False
4,MAU Jon Luke,GER,"Oct 02, 1998",64.80,A,110,-114,114,114,67kgMen,Snatch,473,False
1,PETROV Petr,CZE,"Oct 19, 1989",66.95,A,152,158,162,162,67kgMen,CleanJerk,473,False
2,CASTRO MARINO Victor,ESP,"Dec 18, 1992",67.00,A,145,150,-155,150,67kgMen,CleanJerk,473,False
3,MAU Jon Luke,GER,"Oct 02, 1998",64.80,A,140,145,150,150,67kgMen,CleanJerk,473,False
4,GOTO Taiga,JPN,"Mar 03, 1999",64.45,A,135,-140,-140,135,67kgMen,CleanJerk,473,False
1,PETROV Petr,CZE,"Oct 19, 1989",66.95,A,131,162,293,,67kgMen,Total,473,False
2,CASTRO MARINO Victor,ESP,"Dec 18, 1992",67.00,A,130,150,280,,67kgMen,Total,473,False
3,MAU Jon Luke,GER,"Oct 02, 1998",64.80,A,114,150,264,,67kgMen,Total,473,False
4,GOTO Taiga,JPN,"Mar 03, 1999",64.45,A,115,135,250,,67kgMen,Total,473,False
1,BRANDHUBER Simon Josef,GER,"Jun 27, 1991",69.25,A,135,139,-142,139,73kgMen,Snatch,473,False
2,HERNANDEZ MENDOZA Acoran Juan,ESP,"Dec 30, 1990",70.00,A,130,135,-140,135,73kgMen,Snatch,473,False
---,KINGUE MATAM Bernardin Ledoux,FRA,"May 20, 1990",69.15,A,-138,-138,-139,---,73kgMen,Snatch,473,False
1,HERNANDEZ MENDOZA Acoran Juan,ESP,"Dec 30, 1990",70.00,A,158,162,165,165,73kgMen,CleanJerk,473,False
2,BRANDHUBER Simon Josef,GER,"Jun 27, 1991",69.25,A,155,160,-165,160,73kgMen,CleanJerk,473,False
---,KINGUE MATAM Bernardin Ledoux,FRA,"May 20, 1990",69.15,A,---,---,---,---,73kgMen,CleanJerk,473,False
1,HERNANDEZ MENDOZA Acoran Juan,ESP,"Dec 30, 1990",70.00,A,135,165,300,,73kgMen,Total,473,False
2,BRANDHUBER Simon Josef,GER,"Jun 27, 1991",69.25,A,139,160,299,,73kgMen,Total,473,False
---,KINGUE MATAM Bernardin Ledoux,FRA,"May 20, 1990",69.15,A,---,---,---,,73kgMen,Total,473,False
1,LANG Max Richard,GER,"Dec 06, 1992",74.55,A,140,145,147,147,81kgMen,Snatch,473,False
1,LANG Max Richard,GER,"Dec 06, 1992",74.55,A,170,177,182,182,81kgMen,CleanJerk,473,False
1,LANG Max Richard,GER,"Dec 06, 1992",74.55,A,147,182,329,,81kgMen,Total,473,False
1,IAKOVIDIS Theodoros,GRE,"Feb 12, 1991",88.35,A,155,-160,160,160,89kgMen,Snatch,473,False
2,MUELLER Nico,GER,"Nov 02, 1993",82.80,A,145,150,155,155,89kgMen,Snatch,473,False
3,ZWARYCZ Krzysztof Maciej,POL,"Dec 13, 1990",84.00,A,145,150,-155,150,89kgMen,Snatch,473,False
4,COOPER Travis Daniel,USA,"Jan 27, 1988",88.55,A,-141,-141,141,141,89kgMen,Snatch,473,False
5,TKAC Richard,SVK,"May 24, 1985",84.40,A,120,125,---,125,89kgMen,Snatch,473,False
1,IAKOVIDIS Theodoros,GRE,"Feb 12, 1991",88.35,A,185,192,-196,192,89kgMen,CleanJerk,473,False
2,MUELLER Nico,GER,"Nov 02, 1993",82.80,A,180,187,192,192,89kgMen,CleanJerk,473,False
3,ZWARYCZ Krzysztof Maciej,POL,"Dec 13, 1990",84.00,A,175,180,-185,180,89kgMen,CleanJerk,473,False
4,COOPER Travis Daniel,USA,"Jan 27, 1988",88.55,A,-177,179,-183,179,89kgMen,CleanJerk,473,False
5,TKAC Richard,SVK,"May 24, 1985",84.40,A,145,-150,155,155,89kgMen,CleanJerk,473,False
1,IAKOVIDIS Theodoros,GRE,"Feb 12, 1991",88.35,A,160,192,352,,89kgMen,Total,473,False
2,MUELLER Nico,GER,"Nov 02, 1993",82.80,A,155,192,347,,89kgMen,Total,473,False
3,ZWARYCZ Krzysztof Maciej,POL,"Dec 13, 1990",84.00,A,150,180,330,,89kgMen,Total,473,False
4,COOPER Travis Daniel,USA,"Jan 27, 1988",88.55,A,141,179,320,,89kgMen,Total,473,False
5,TKAC Richard,SVK,"May 24, 1985",84.40,A,125,155,280,,89kgMen,Total,473,False
1,JANG Yeonhak,KOR,"Feb 14, 1997",94.80,A,160,165,-170,165,96kgMen,Snatch,473,False
2,PYROHOV Kyryl,UKR,"May 24, 1998",94.05,A,161,-166,-166,161,96kgMen,Snatch,473,False
3,KULIK Pawel,POL,"Apr 29, 1996",94.80,A,150,-155,156,156,96kgMen,Snatch,473,False
4,SANCHEZ LOPEZ Manuel,ESP,"Nov 24, 1991",95.80,A,150,155,-157,155,96kgMen,Snatch,473,False
5,MARKOULAS Georgios,GRE,"Nov 16, 1982",95.90,A,148,153,-156,153,96kgMen,Snatch,473,False
6,GRELA Lukasz Roman,POL,"Nov 25, 1986",96.00,A,-150,150,---,150,96kgMen,Snatch,473,False
7,SAMKO Karol,SVK,"Mar 09, 1990",92.90,A,135,140,142,142,96kgMen,Snatch,473,False
8,ADAMUS Bartlomiej Stefan,POL,"May 12, 2000",90.80,A,140,-145,-145,140,96kgMen,Snatch,473,False
9,VAUTARD Brandon Robert Jean,FRA,"Sep 09, 1996",93.30,A,-139,-139,139,139,96kgMen,Snatch,473,False
---,KAIKILEKOFE Israel Setino,FRA,"Nov 19, 1997",91.75,A,-148,-148,-148,---,96kgMen,Snatch,473,False
1,JANG Yeonhak,KOR,"Feb 14, 1997",94.80,A,190,195,-200,195,96kgMen,CleanJerk,473,False
2,VAUTARD Brandon Robert Jean,FRA,"Sep 09, 1996",93.30,A,191,195,-201,195,96kgMen,CleanJerk,473,False
3,SANCHEZ LOPEZ Manuel,ESP,"Nov 24, 1991",95.80,A,190,-195,-197,190,96kgMen,CleanJerk,473,False
4,KULIK Pawel,POL,"Apr 29, 1996",94.80,A,190,-196,-197,190,96kgMen,CleanJerk,473,False
5,SAMKO Karol,SVK,"Mar 09, 1990",92.90,A,-185,190,-193,190,96kgMen,CleanJerk,473,False
6,PYROHOV Kyryl,UKR,"May 24, 1998",94.05,A,-182,182,190,190,96kgMen,CleanJerk,473,False
7,MARKOULAS Georgios,GRE,"Nov 16, 1982",95.90,A,185,-193,-193,185,96kgMen,CleanJerk,473,False
8,GRELA Lukasz Roman,POL,"Nov 25, 1986",96.00,A,176,---,---,176,96kgMen,CleanJerk,473,False
9,ADAMUS Bartlomiej Stefan,POL,"May 12, 2000",90.80,A,170,175,-180,175,96kgMen,CleanJerk,473,False
---,KAIKILEKOFE Israel Setino,FRA,"Nov 19, 1997",91.75,A,---,---,---,---,96kgMen,CleanJerk,473,False
1,JANG Yeonhak,KOR,"Feb 14, 1997",94.80,A,165,195,360,,96kgMen,Total,473,False
2,PYROHOV Kyryl,UKR,"May 24, 1998",94.05,A,161,190,351,,96kgMen,Total,473,False
3,KULIK Pawel,POL,"Apr 29, 1996",94.80,A,156,190,346,,96kgMen,Total,473,False
4,SANCHEZ LOPEZ Manuel,ESP,"Nov 24, 1991",95.80,A,155,190,345,,96kgMen,Total,473,False
