rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,RAMIARIMANANA Jean Elariont Ricardo,MAD,"Born: Jul 22, 1999",B.weight: 54.60,Group: A,1: -95,2: 97,3: 100,Total: 100,55kgMen,Snatch,12th All African Games
Rank: 2,HARFI Issam,MAR,"Born: Dec 02, 1997",B.weight: 54.90,Group: A,1: -91,2: 91,3: 96,Total: 96,55kgMen,Snatch,12th All African Games
Rank: 3,KALU King,NGR,"Born: Nov 11, 1995",B.weight: 54.60,Group: A,1: 90,2: 95,3: -98,Total: 95,55kgMen,Snatch,12th All African Games
Rank: 4,GIWA Taju,NGR,"Born: Dec 09, 1992",B.weight: 54.80,Group: A,1: -90,2: 95,3: -98,Total: 95,55kgMen,Snatch,12th All African Games
Rank: 5,EMILE Willem Gwendal,MRI,"Born: Dec 20, 2002",B.weight: 50.95,Group: A,1: 70,2: 76,3: -80,Total: 76,55kgMen,Snatch,12th All African Games
Rank: 6,NIYOYITA Davis,UGA,"Born: Jan 01, 2004",B.weight: 54.90,Group: A,1: 70,2: 75,3: 76,Total: 76,55kgMen,Snatch,12th All African Games
Rank: 7,KGASWANE Kgotla Alphius N,BOT,"Born: Jul 07, 2000",B.weight: 54.70,Group: A,1: -60,2: 62,3: -70,Total: 62,55kgMen,Snatch,12th All African Games
Rank: 1,KALU King,NGR,"Born: Nov 11, 1995",B.weight: 54.60,Group: A,1: 115,2: 120,3: 123,Total: 123,55kgMen,CleanJerk,12th All African Games
Rank: 2,RAMIARIMANANA Jean Elariont Ricardo,MAD,"Born: Jul 22, 1999",B.weight: 54.60,Group: A,1: 117,2: -122,3: 122,Total: 122,55kgMen,CleanJerk,12th All African Games
Rank: 3,HARFI Issam,MAR,"Born: Dec 02, 1997",B.weight: 54.90,Group: A,1: 105,2: 111,3: -116,Total: 111,55kgMen,CleanJerk,12th All African Games
Rank: 4,GIWA Taju,NGR,"Born: Dec 09, 1992",B.weight: 54.80,Group: A,1: -110,2: -110,3: 110,Total: 110,55kgMen,CleanJerk,12th All African Games
Rank: 5,NIYOYITA Davis,UGA,"Born: Jan 01, 2004",B.weight: 54.90,Group: A,1: 95,2: -98,3: 99,Total: 99,55kgMen,CleanJerk,12th All African Games
Rank: 6,KGASWANE Kgotla Alphius N,BOT,"Born: Jul 07, 2000",B.weight: 54.70,Group: A,1: 90,2: 95,3: -99,Total: 95,55kgMen,CleanJerk,12th All African Games
Rank: 7,EMILE Willem Gwendal,MRI,"Born: Dec 20, 2002",B.weight: 50.95,Group: A,1: 85,2: 91,3: -96,Total: 91,55kgMen,CleanJerk,12th All African Games
Rank: 1,RAMIARIMANANA Jean Elariont Ricardo,MAD,"Born: Jul 22, 1999",B.weight: 54.60,Group: A,Snatch: 100,CI&Jerk: 122,Total: 222,,55kgMen,Total,12th All African Games
Rank: 2,KALU King,NGR,"Born: Nov 11, 1995",B.weight: 54.60,Group: A,Snatch: 95,CI&Jerk: 123,Total: 218,,55kgMen,Total,12th All African Games
Rank: 3,HARFI Issam,MAR,"Born: Dec 02, 1997",B.weight: 54.90,Group: A,Snatch: 96,CI&Jerk: 111,Total: 207,,55kgMen,Total,12th All African Games
Rank: 4,GIWA Taju,NGR,"Born: Dec 09, 1992",B.weight: 54.80,Group: A,Snatch: 95,CI&Jerk: 110,Total: 205,,55kgMen,Total,12th All African Games
Rank: 5,NIYOYITA Davis,UGA,"Born: Jan 01, 2004",B.weight: 54.90,Group: A,Snatch: 76,CI&Jerk: 99,Total: 175,,55kgMen,Total,12th All African Games
Rank: 6,EMILE Willem Gwendal,MRI,"Born: Dec 20, 2002",B.weight: 50.95,Group: A,Snatch: 76,CI&Jerk: 91,Total: 167,,55kgMen,Total,12th All African Games
Rank: 7,KGASWANE Kgotla Alphius N,BOT,"Born: Jul 07, 2000",B.weight: 54.70,Group: A,Snatch: 62,CI&Jerk: 95,Total: 157,,55kgMen,Total,12th All African Games
Rank: 1,APPAH Emmanuel Inemo,NGR,"Born: Nov 05, 1999",B.weight: 60.20,Group: A,1: 115,2: 118,3: 120,Total: 120,61kgMen,Snatch,12th All African Games
Rank: 2,BOUHIJBHA Amine,TUN,"Born: Feb 28, 1996",B.weight: 60.60,Group: A,1: 111,2: 117,3: 119,Total: 119,61kgMen,Snatch,12th All African Games
Rank: 3,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 60.60,Group: A,1: 110,2: -115,3: 115,Total: 115,61kgMen,Snatch,12th All African Games
Rank: 4,BOUSHEEHAH Abdullah Khalleefah M,LBA,"Born: Jan 12, 1992",B.weight: 60.90,Group: A,1: 108,2: -112,3: 112,Total: 112,61kgMen,Snatch,12th All African Games
Rank: 5,ANDRIAMAHEFA Jules Anthonio,MAD,"Born: Sep 17, 2000",B.weight: 59.10,Group: A,1: -105,2: -105,3: 105,Total: 105,61kgMen,Snatch,12th All African Games
Rank: 6,AKWEI David,GHA,"Born: Nov 29, 2000",B.weight: 60.60,Group: A,1: 90,2: 95,3: 100,Total: 100,61kgMen,Snatch,12th All African Games
Rank: 7,KIVUMBI Mubarak Musoke,UGA,"Born: Dec 01, 1989",B.weight: 61.00,Group: A,1: 90,2: -95,3: 96,Total: 96,61kgMen,Snatch,12th All African Games
Rank: 8,SEBOTA Nkhahle Thapelo,LES,"Born: Jul 08, 1997",B.weight: 60.90,Group: A,1: 70,2: 76,3: -82,Total: 76,61kgMen,Snatch,12th All African Games
Rank: 1,APPAH Emmanuel Inemo,NGR,"Born: Nov 05, 1999",B.weight: 60.20,Group: A,1: 145,2: 148,3: 151,Total: 151,61kgMen,CleanJerk,12th All African Games
Rank: 2,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 60.60,Group: A,1: 147,2: 150,3: -157,Total: 150,61kgMen,CleanJerk,12th All African Games
Rank: 3,AKWEI David,GHA,"Born: Nov 29, 2000",B.weight: 60.60,Group: A,1: 122,2: -127,3: 127,Total: 127,61kgMen,CleanJerk,12th All African Games
Rank: 4,ANDRIAMAHEFA Jules Anthonio,MAD,"Born: Sep 17, 2000",B.weight: 59.10,Group: A,1: 120,2: -125,3: 126,Total: 126,61kgMen,CleanJerk,12th All African Games
Rank: 5,KIVUMBI Mubarak Musoke,UGA,"Born: Dec 01, 1989",B.weight: 61.00,Group: A,1: 115,2: 120,3: -125,Total: 120,61kgMen,CleanJerk,12th All African Games
Rank: 6,SEBOTA Nkhahle Thapelo,LES,"Born: Jul 08, 1997",B.weight: 60.90,Group: A,1: -90,2: 90,3: 100,Total: 100,61kgMen,CleanJerk,12th All African Games
Rank: ---,BOUHIJBHA Amine,TUN,"Born: Feb 28, 1996",B.weight: 60.60,Group: A,1: -146,2: -149,3: -149,Total: ---,61kgMen,CleanJerk,12th All African Games
Rank: ---,BOUSHEEHAH Abdullah Khalleefah M,LBA,"Born: Jan 12, 1992",B.weight: 60.90,Group: A,1: -140,2: -140,3: -140,Total: ---,61kgMen,CleanJerk,12th All African Games
Rank: 1,APPAH Emmanuel Inemo,NGR,"Born: Nov 05, 1999",B.weight: 60.20,Group: A,Snatch: 120,CI&Jerk: 151,Total: 271,,61kgMen,Total,12th All African Games
Rank: 2,ANDRIANTSITOHAINA Eric Herman,MAD,"Born: Jul 21, 1991",B.weight: 60.60,Group: A,Snatch: 115,CI&Jerk: 150,Total: 265,,61kgMen,Total,12th All African Games
Rank: 3,ANDRIAMAHEFA Jules Anthonio,MAD,"Born: Sep 17, 2000",B.weight: 59.10,Group: A,Snatch: 105,CI&Jerk: 126,Total: 231,,61kgMen,Total,12th All African Games
Rank: 4,AKWEI David,GHA,"Born: Nov 29, 2000",B.weight: 60.60,Group: A,Snatch: 100,CI&Jerk: 127,Total: 227,,61kgMen,Total,12th All African Games
Rank: 5,KIVUMBI Mubarak Musoke,UGA,"Born: Dec 01, 1989",B.weight: 61.00,Group: A,Snatch: 96,CI&Jerk: 120,Total: 216,,61kgMen,Total,12th All African Games
Rank: 6,SEBOTA Nkhahle Thapelo,LES,"Born: Jul 08, 1997",B.weight: 60.90,Group: A,Snatch: 76,CI&Jerk: 100,Total: 176,,61kgMen,Total,12th All African Games
Rank: ---,BOUHIJBHA Amine,TUN,"Born: Feb 28, 1996",B.weight: 60.60,Group: A,Snatch: 119,CI&Jerk: ---,Total: ---,,61kgMen,Total,12th All African Games
Rank: ---,BOUSHEEHAH Abdullah Khalleefah M,LBA,"Born: Jan 12, 1992",B.weight: 60.90,Group: A,Snatch: 112,CI&Jerk: ---,Total: ---,,61kgMen,Total,12th All African Games
Rank: 1,SAAD Ahmed Ahmed Mohamed,EGY,"Born: Nov 01, 1986",B.weight: 66.90,Group: A,1: 130,2: -134,3: 134,Total: 134,67kgMen,Snatch,12th All African Games
Rank: 2,ANDRIATSITOHAINA Tojonirina Alain,MAD,"Born: Feb 26, 1995",B.weight: 66.40,Group: A,1: -132,2: 132,3: -135,Total: 132,67kgMen,Snatch,12th All African Games
Rank: 3,SHABI Ahsaan Ali Alhadi,LBA,"Born: Mar 22, 1997",B.weight: 67.00,Group: A,1: -128,2: 128,3: -133,Total: 128,67kgMen,Snatch,12th All African Games
Rank: 4,MOULABBI Mohamed,MAR,"Born: Oct 29, 2001",B.weight: 66.80,Group: A,1: 96,2: 102,3: 108,Total: 108,67kgMen,Snatch,12th All African Games
Rank: 5,SSEKITOLEKO Julius,UGA,"Born: Aug 07, 2000",B.weight: 62.50,Group: A,1: -95,2: 100,3: -105,Total: 100,67kgMen,Snatch,12th All African Games
Rank: 1,SAAD Ahmed Ahmed Mohamed,EGY,"Born: Nov 01, 1986",B.weight: 66.90,Group: A,1: 165,2: -170,3: -171,Total: 165,67kgMen,CleanJerk,12th All African Games
Rank: 2,SHABI Ahsaan Ali Alhadi,LBA,"Born: Mar 22, 1997",B.weight: 67.00,Group: A,1: 155,2: -167,3: -167,Total: 155,67kgMen,CleanJerk,12th All African Games
Rank: 3,MOULABBI Mohamed,MAR,"Born: Oct 29, 2001",B.weight: 66.80,Group: A,1: 122,2: 130,3: 135,Total: 135,67kgMen,CleanJerk,12th All African Games
Rank: ---,SSEKITOLEKO Julius,UGA,"Born: Aug 07, 2000",B.weight: 62.50,Group: A,1: -120,2: -120,3: -120,Total: ---,67kgMen,CleanJerk,12th All African Games
Rank: ---,ANDRIATSITOHAINA Tojonirina Alain,MAD,"Born: Feb 26, 1995",B.weight: 66.40,Group: A,1: -166,2: -166,3: -166,Total: ---,67kgMen,CleanJerk,12th All African Games
Rank: 1,SAAD Ahmed Ahmed Mohamed,EGY,"Born: Nov 01, 1986",B.weight: 66.90,Group: A,Snatch: 134,CI&Jerk: 165,Total: 299,,67kgMen,Total,12th All African Games
Rank: 2,SHABI Ahsaan Ali Alhadi,LBA,"Born: Mar 22, 1997",B.weight: 67.00,Group: A,Snatch: 128,CI&Jerk: 155,Total: 283,,67kgMen,Total,12th All African Games
Rank: 3,MOULABBI Mohamed,MAR,"Born: Oct 29, 2001",B.weight: 66.80,Group: A,Snatch: 108,CI&Jerk: 135,Total: 243,,67kgMen,Total,12th All African Games
Rank: ---,SSEKITOLEKO Julius,UGA,"Born: Aug 07, 2000",B.weight: 62.50,Group: A,Snatch: 100,CI&Jerk: ---,Total: ---,,67kgMen,Total,12th All African Games
Rank: ---,ANDRIATSITOHAINA Tojonirina Alain,MAD,"Born: Feb 26, 1995",B.weight: 66.40,Group: A,Snatch: 132,CI&Jerk: ---,Total: ---,,67kgMen,Total,12th All African Games
Rank: 1,BEN HNIA Karem,TUN,"Born: Nov 13, 1994",B.weight: 72.20,Group: A,1: 145,2: -150,3: 153,Total: 153,73kgMen,Snatch,12th All African Games
Rank: 2,IBRAHIM Moustafa Wahid Shaaban,EGY,"Born: Dec 01, 1996",B.weight: 73.00,Group: A,1: 138,2: -141,3: -143,Total: 138,73kgMen,Snatch,12th All African Games
Rank: 3,SARIAK Nafaa,ALG,"Born: Nov 29, 1994",B.weight: 72.30,Group: A,1: 130,2: -135,3: -137,Total: 130,73kgMen,Snatch,12th All African Games
Rank: 4,MOUM Abderrahim,MAR,"Born: Sep 18, 2000",B.weight: 71.90,Group: A,1: -121,2: 121,3: -131,Total: 121,73kgMen,Snatch,12th All African Games
Rank: 5,CONFIANCE Rick Yves,SEY,"Born: May 24, 1994",B.weight: 72.10,Group: A,1: 110,2: 116,3: 120,Total: 120,73kgMen,Snatch,12th All African Games
Rank: 6,PANDOO Dinesh Jevin,MRI,"Born: Feb 25, 2001",B.weight: 72.30,Group: A,1: 110,2: 115,3: 119,Total: 119,73kgMen,Snatch,12th All African Games
Rank: 7,SSEMPEREZA Hakim Musoke,UGA,"Born: Apr 10, 1995",B.weight: 71.40,Group: A,1: 111,2: -116,3: -116,Total: 111,73kgMen,Snatch,12th All African Games
Rank: 8,MASINDE Anthony Libasia,KEN,"Born: Aug 30, 1989",B.weight: 72.50,Group: A,1: 101,2: -108,3: 109,Total: 109,73kgMen,Snatch,12th All African Games
Rank: 9,NTSINYI Machachamise,LES,"Born: Apr 29, 1998",B.weight: 72.60,Group: A,1: 90,2: -96,3: -100,Total: 90,73kgMen,Snatch,12th All African Games
Rank: 1,BEN HNIA Karem,TUN,"Born: Nov 13, 1994",B.weight: 72.20,Group: A,1: 180,2: -189,3: ---,Total: 180,73kgMen,CleanJerk,12th All African Games
Rank: 2,IBRAHIM Moustafa Wahid Shaaban,EGY,"Born: Dec 01, 1996",B.weight: 73.00,Group: A,1: 175,2: -187,3: -189,Total: 175,73kgMen,CleanJerk,12th All African Games
Rank: 3,SARIAK Nafaa,ALG,"Born: Nov 29, 1994",B.weight: 72.30,Group: A,1: 155,2: 158,3: 162,Total: 162,73kgMen,CleanJerk,12th All African Games
Rank: 4,MOUM Abderrahim,MAR,"Born: Sep 18, 2000",B.weight: 71.90,Group: A,1: 145,2: 150,3: 156,Total: 156,73kgMen,CleanJerk,12th All African Games
