rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,LAI Gia Thanh,VIE,"May 03, 1998",54.77,A,116,120,122,122,55kgMen,Snatch,490,False
2,CENIZA John Fabuar,PHI,"Feb 07, 1998",54.70,A,112,-115,-115,112,55kgMen,Snatch,490,False
3,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",54.81,A,110,-114,-114,110,55kgMen,Snatch,490,False
4,PYAE Phyo,MYA,"Dec 14, 1989",54.38,A,105,-110,-110,105,55kgMen,Snatch,490,False
5,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",54.57,A,101,-106,-106,101,55kgMen,Snatch,490,False
6,SAECHAO Tonesien,LAO,"May 05, 2001",53.60,A,90,-95,95,95,55kgMen,Snatch,490,False
1,LAI Gia Thanh,VIE,"May 03, 1998",54.77,A,138,-142,142,142,55kgMen,CleanJerk,490,False
2,CENIZA John Fabuar,PHI,"Feb 07, 1998",54.70,A,140,-153,-153,140,55kgMen,CleanJerk,490,False
3,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",54.81,A,140,-144,-144,140,55kgMen,CleanJerk,490,False
4,PYAE Phyo,MYA,"Dec 14, 1989",54.38,A,135,140,-146,140,55kgMen,CleanJerk,490,False
5,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",54.57,A,-133,-133,133,133,55kgMen,CleanJerk,490,False
6,SAECHAO Tonesien,LAO,"May 05, 2001",53.60,A,115,118,120,120,55kgMen,CleanJerk,490,False
1,LAI Gia Thanh,VIE,"May 03, 1998",54.77,A,122,142,264,,55kgMen,Total,490,False
2,CENIZA John Fabuar,PHI,"Feb 07, 1998",54.70,A,112,140,252,,55kgMen,Total,490,False
3,WIJOYO Surahmat Bin Suwoto,INA,"May 11, 1988",54.81,A,110,140,250,,55kgMen,Total,490,False
4,PYAE Phyo,MYA,"Dec 14, 1989",54.38,A,105,140,245,,55kgMen,Total,490,False
5,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",54.57,A,101,133,234,,55kgMen,Total,490,False
6,SAECHAO Tonesien,LAO,"May 05, 2001",53.60,A,95,120,215,,55kgMen,Total,490,False
1,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.74,A,-135,135,140,140,61kgMen,Snatch,490,False
2,THACH Kim Tuan,VIE,"Jan 15, 1994",60.77,A,-135,135,-140,135,61kgMen,Snatch,490,False
3,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.90,A,-123,123,126,126,61kgMen,Snatch,490,False
4,PACALDO Dave Lloyd,PHI,"Oct 01, 1999",60.33,A,110,-115,-115,110,61kgMen,Snatch,490,False
5,PHETHUENYAO Khamsamouth,LAO,"May 25, 1998",56.33,A,75,78,-80,78,61kgMen,Snatch,490,False
1,THACH Kim Tuan,VIE,"Jan 15, 1994",60.77,A,160,-169,169,169,61kgMen,CleanJerk,490,False
2,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.74,A,163,-169,169,169,61kgMen,CleanJerk,490,False
3,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.90,A,157,-161,-161,157,61kgMen,CleanJerk,490,False
4,PACALDO Dave Lloyd,PHI,"Oct 01, 1999",60.33,A,-140,-140,140,140,61kgMen,CleanJerk,490,False
5,PHETHUENYAO Khamsamouth,LAO,"May 25, 1998",56.33,A,103,-105,-105,103,61kgMen,CleanJerk,490,False
1,IRAWAN Eko Yuli,INA,"Jul 24, 1989",60.74,A,140,169,309,,61kgMen,Total,490,False
2,THACH Kim Tuan,VIE,"Jan 15, 1994",60.77,A,135,169,304,,61kgMen,Total,490,False
3,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.90,A,126,157,283,,61kgMen,Total,490,False
4,PACALDO Dave Lloyd,PHI,"Oct 01, 1999",60.33,A,110,140,250,,61kgMen,Total,490,False
5,PHETHUENYAO Khamsamouth,LAO,"May 25, 1998",56.33,A,78,103,181,,61kgMen,Total,490,False
1,DENI,INA,"Jul 26, 1989",66.96,A,135,140,143,143,67kgMen,Snatch,490,False
2,DINH Xuan Hoang,VIE,"Jul 18, 1998",66.73,A,130,-135,135,135,67kgMen,Snatch,490,False
3,COLONIA Nestor,PHI,"Feb 16, 1992",64.96,A,120,127,-130,127,67kgMen,Snatch,490,False
4,NAING Kaung Sett,MYA,"Jun 15, 1998",65.26,A,-115,115,-120,115,67kgMen,Snatch,490,False
1,DINH Xuan Hoang,VIE,"Jul 18, 1998",66.73,A,160,173,-181,173,67kgMen,CleanJerk,490,False
2,DENI,INA,"Jul 26, 1989",66.96,A,165,172,-175,172,67kgMen,CleanJerk,490,False
3,COLONIA Nestor,PHI,"Feb 16, 1992",64.96,A,150,160,-169,160,67kgMen,CleanJerk,490,False
4,NAING Kaung Sett,MYA,"Jun 15, 1998",65.26,A,140,150,-153,150,67kgMen,CleanJerk,490,False
1,DENI,INA,"Jul 26, 1989",66.96,A,143,172,315,,67kgMen,Total,490,False
2,DINH Xuan Hoang,VIE,"Jul 18, 1998",66.73,A,135,173,308,,67kgMen,Total,490,False
3,COLONIA Nestor,PHI,"Feb 16, 1992",64.96,A,127,160,287,,67kgMen,Total,490,False
4,NAING Kaung Sett,MYA,"Jun 15, 1998",65.26,A,115,150,265,,67kgMen,Total,490,False
1,ABDULLAH Rahmat Erwin,INA,"Oct 13, 2000",72.40,A,138,142,145,145,73kgMen,Snatch,490,False
2,PHAM Tuan Anh,VIE,"Mar 20, 1993",72.71,A,132,136,-139,136,73kgMen,Snatch,490,False
3,MUHAMMAD Erry Hidayat,MAS,"Nov 24, 1999",72.20,A,-130,132,-137,132,73kgMen,Snatch,490,False
4,KYAW Moe Win,MYA,"Jul 15, 1986",71.93,A,125,130,-133,130,73kgMen,Snatch,490,False
1,ABDULLAH Rahmat Erwin,INA,"Oct 13, 2000",72.40,A,168,172,177,177,73kgMen,CleanJerk,490,False
2,KYAW Moe Win,MYA,"Jul 15, 1986",71.93,A,162,168,-171,168,73kgMen,CleanJerk,490,False
3,PHAM Tuan Anh,VIE,"Mar 20, 1993",72.71,A,163,168,-178,168,73kgMen,CleanJerk,490,False
4,MUHAMMAD Erry Hidayat,MAS,"Nov 24, 1999",72.20,A,160,165,168,168,73kgMen,CleanJerk,490,False
1,ABDULLAH Rahmat Erwin,INA,"Oct 13, 2000",72.40,A,145,177,322,,73kgMen,Total,490,False
2,PHAM Tuan Anh,VIE,"Mar 20, 1993",72.71,A,136,168,304,,73kgMen,Total,490,False
3,MUHAMMAD Erry Hidayat,MAS,"Nov 24, 1999",72.20,A,132,168,300,,73kgMen,Total,490,False
4,KYAW Moe Win,MYA,"Jul 15, 1986",71.93,A,130,168,298,,73kgMen,Total,490,False
1,VUONG Thi Huyen,VIE,"Jun 22, 1992",44.88,A,73,75,77,77,45kgWomen,Snatch,490,False
2,SETIAWATI Lisa,INA,"Sep 04, 1989",44.45,A,-71,71,73,73,45kgWomen,Snatch,490,False
3,ZIN May Oo,MYA,"Feb 15, 1999",44.39,A,71,-73,73,73,45kgWomen,Snatch,490,False
4,DIAZ Mary Flor,PHI,"May 04, 1999",45.00,A,-70,70,-72,70,45kgWomen,Snatch,490,False
5,MUHAMMAD ZAMZURI Nurul Afiaq Binti,MAS,"Aug 18, 2000",44.12,A,57,59,-61,59,45kgWomen,Snatch,490,False
1,SETIAWATI Lisa,INA,"Sep 04, 1989",44.45,A,93,96,-100,96,45kgWomen,CleanJerk,490,False
2,VUONG Thi Huyen,VIE,"Jun 22, 1992",44.88,A,91,93,95,95,45kgWomen,CleanJerk,490,False
3,DIAZ Mary Flor,PHI,"May 04, 1999",45.00,A,89,-92,-93,89,45kgWomen,CleanJerk,490,False
4,MUHAMMAD ZAMZURI Nurul Afiaq Binti,MAS,"Aug 18, 2000",44.12,A,-77,77,-79,77,45kgWomen,CleanJerk,490,False
---,ZIN May Oo,MYA,"Feb 15, 1999",44.39,A,-90,-92,-93,---,45kgWomen,CleanJerk,490,False
1,VUONG Thi Huyen,VIE,"Jun 22, 1992",44.88,A,77,95,172,,45kgWomen,Total,490,False
2,SETIAWATI Lisa,INA,"Sep 04, 1989",44.45,A,73,96,169,,45kgWomen,Total,490,False
3,DIAZ Mary Flor,PHI,"May 04, 1999",45.00,A,70,89,159,,45kgWomen,Total,490,False
4,MUHAMMAD ZAMZURI Nurul Afiaq Binti,MAS,"Aug 18, 2000",44.12,A,59,77,136,,45kgWomen,Total,490,False
---,ZIN May Oo,MYA,"Feb 15, 1999",44.39,A,73,---,---,,45kgWomen,Total,490,False
1,AISAH Windy Cantika,INA,"Jun 11, 2002",48.28,A,80,84,86,86,49kgWomen,Snatch,490,False
2,PYAE PYAE Phyo,MYA,"Jul 08, 1999",48.10,A,75,-80,80,80,49kgWomen,Snatch,490,False
3,NGO Thi Quyen,VIE,"Oct 10, 1997",48.71,A,75,-78,-78,75,49kgWomen,Snatch,490,False
4,PEREZ Elien Rose Jorolan,PHI,"Aug 28, 1998",48.80,A,70,-75,75,75,49kgWomen,Snatch,490,False
5,PHONGSAKONE Bouakham,LAO,"Nov 24, 2001",48.46,A,55,-58,-58,55,49kgWomen,Snatch,490,False
1,AISAH Windy Cantika,INA,"Jun 11, 2002",48.28,A,-100,100,104,104,49kgWomen,CleanJerk,490,False
2,PYAE PYAE Phyo,MYA,"Jul 08, 1999",48.10,A,95,100,-111,100,49kgWomen,CleanJerk,490,False
3,NGO Thi Quyen,VIE,"Oct 10, 1997",48.71,A,95,-97,97,97,49kgWomen,CleanJerk,490,False
4,PEREZ Elien Rose Jorolan,PHI,"Aug 28, 1998",48.80,A,90,96,-98,96,49kgWomen,CleanJerk,490,False
5,PHONGSAKONE Bouakham,LAO,"Nov 24, 2001",48.46,A,65,68,70,70,49kgWomen,CleanJerk,490,False
1,AISAH Windy Cantika,INA,"Jun 11, 2002",48.28,A,86,104,190,,49kgWomen,Total,490,False
2,PYAE PYAE Phyo,MYA,"Jul 08, 1999",48.10,A,80,100,180,,49kgWomen,Total,490,False
3,NGO Thi Quyen,VIE,"Oct 10, 1997",48.71,A,75,97,172,,49kgWomen,Total,490,False
4,PEREZ Elien Rose Jorolan,PHI,"Aug 28, 1998",48.80,A,75,96,171,,49kgWomen,Total,490,False
5,PHONGSAKONE Bouakham,LAO,"Nov 24, 2001",48.46,A,55,70,125,,49kgWomen,Total,490,False
1,DIAZ Hidilyn,PHI,"Feb 20, 1991",54.95,A,88,91,-94,91,55kgWomen,Snatch,490,False
2,NGUYEN Thi Thuy,VIE,"Aug 23, 1990",54.38,A,82,-85,-85,82,55kgWomen,Snatch,490,False
3,KLARISA Juliana,INA,"Jul 29, 2002",54.77,A,73,76,80,80,55kgWomen,Snatch,490,False
4,ELLY Cascandra Engelbert,MAS,"Jun 19, 2000",54.54,A,72,-75,-76,72,55kgWomen,Snatch,490,False
5,VUE Maiyia,LAO,"Sep 02, 2002",53.47,A,60,-62,63,63,55kgWomen,Snatch,490,False
1,DIAZ Hidilyn,PHI,"Feb 20, 1991",54.95,A,110,115,120,120,55kgWomen,CleanJerk,490,False
2,NGUYEN Thi Thuy,VIE,"Aug 23, 1990",54.38,A,105,110,115,115,55kgWomen,CleanJerk,490,False
3,KLARISA Juliana,INA,"Jul 29, 2002",54.77,A,95,-101,-104,95,55kgWomen,CleanJerk,490,False
4,ELLY Cascandra Engelbert,MAS,"Jun 19, 2000",54.54,A,88,92,-95,92,55kgWomen,CleanJerk,490,False
5,VUE Maiyia,LAO,"Sep 02, 2002",53.47,A,75,-78,-80,75,55kgWomen,CleanJerk,490,False
1,DIAZ Hidilyn,PHI,"Feb 20, 1991",54.95,A,91,120,211,,55kgWomen,Total,490,False
2,NGUYEN Thi Thuy,VIE,"Aug 23, 1990",54.38,A,82,115,197,,55kgWomen,Total,490,False
3,KLARISA Juliana,INA,"Jul 29, 2002",54.77,A,80,95,175,,55kgWomen,Total,490,False
4,ELLY Cascandra Engelbert,MAS,"Jun 19, 2000",54.54,A,72,92,164,,55kgWomen,Total,490,False
5,VUE Maiyia,LAO,"Sep 02, 2002",53.47,A,63,75,138,,55kgWomen,Total,490,False
1,HOANG Thi Duyen,VIE,"Apr 26, 1996",58.97,A,90,-95,95,95,59kgWomen,Snatch,490,False
2,COLONIA Margaret,PHI,"Dec 09, 1998",58.93,A,77,80,82,82,59kgWomen,Snatch,490,False
3,ANDRIANI Putri Aulia,INA,"May 16, 2002",57.84,A,79,-82,-83,79,59kgWomen,Snatch,490,False
4,MARCEETA Marlyne Marcus,MAS,"Feb 07, 1998",58.11,A,70,-75,-75,70,59kgWomen,Snatch,490,False
5,SU Thin Thin,MYA,"Jan 05, 1999",57.11,A,70,-75,-75,70,59kgWomen,Snatch,490,False
1,HOANG Thi Duyen,VIE,"Apr 26, 1996",58.97,A,105,110,115,115,59kgWomen,CleanJerk,490,False
2,COLONIA Margaret,PHI,"Dec 09, 1998",58.93,A,103,107,-110,107,59kgWomen,CleanJerk,490,False
3,MARCEETA Marlyne Marcus,MAS,"Feb 07, 1998",58.11,A,97,101,-103,101,59kgWomen,CleanJerk,490,False
4,ANDRIANI Putri Aulia,INA,"May 16, 2002",57.84,A,98,-107,-107,98,59kgWomen,CleanJerk,490,False
5,SU Thin Thin,MYA,"Jan 05, 1999",57.11,A,90,95,-98,95,59kgWomen,CleanJerk,490,False
1,HOANG Thi Duyen,VIE,"Apr 26, 1996",58.97,A,95,115,210,,59kgWomen,Total,490,False
2,COLONIA Margaret,PHI,"Dec 09, 1998",58.93,A,82,107,189,,59kgWomen,Total,490,False
3,ANDRIANI Putri Aulia,INA,"May 16, 2002",57.84,A,79,98,177,,59kgWomen,Total,490,False
4,MARCEETA Marlyne Marcus,MAS,"Feb 07, 1998",58.11,A,70,101,171,,59kgWomen,Total,490,False
5,SU Thin Thin,MYA,"Jan 05, 1999",57.11,A,70,95,165,,59kgWomen,Total,490,False
1,ANDO Elreen Ann,PHI,"Nov 01, 1998",63.32,A,91,95,98,98,64kgWomen,Snatch,490,False
2,PHAM Thi Hong Thanh,VIE,"May 08, 1999",63.52,A,-90,-90,90,90,64kgWomen,Snatch,490,False
3,STUDY Bernadicta Babela Mei,INA,"Mar 02, 2002",63.39,A,73,78,-81,78,64kgWomen,Snatch,490,False
---,HLAING Wai Wai,MYA,"Dec 01, 1999",63.23,A,-70,-70,-70,---,64kgWomen,Snatch,490,False
1,PHAM Thi Hong Thanh,VIE,"May 08, 1999",63.52,A,107,-124,124,124,64kgWomen,CleanJerk,490,False
2,ANDO Elreen Ann,PHI,"Nov 01, 1998",63.32,A,110,115,-120,115,64kgWomen,CleanJerk,490,False
3,STUDY Bernadicta Babela Mei,INA,"Mar 02, 2002",63.39,A,90,101,108,108,64kgWomen,CleanJerk,490,False
---,HLAING Wai Wai,MYA,"Dec 01, 1999",63.23,A,---,---,---,---,64kgWomen,CleanJerk,490,False
1,PHAM Thi Hong Thanh,VIE,"May 08, 1999",63.52,A,90,124,214,,64kgWomen,Total,490,False
2,ANDO Elreen Ann,PHI,"Nov 01, 1998",63.32,A,98,115,213,,64kgWomen,Total,490,False
3,STUDY Bernadicta Babela Mei,INA,"Mar 02, 2002",63.39,A,78,108,186,,64kgWomen,Total,490,False
---,HLAING Wai Wai,MYA,"Dec 01, 1999",63.23,A,---,---,---,,64kgWomen,Total,490,False
1,MACROHON Kristel,PHI,"Sep 02, 1996",69.93,A,90,93,-95,93,71kgWomen,Snatch,490,False
2,RAMADANI Tsabitha Alfiah,INA,"Dec 23, 2000",67.17,A,86,90,93,93,71kgWomen,Snatch,490,False
3,NGUYEN Thi Van,VIE,"Dec 16, 1998",70.78,A,-92,-92,92,92,71kgWomen,Snatch,490,False
4,JABRIELLA Teo Samuel,MAS,"Jul 06, 1998",70.83,A,81,-85,-85,81,71kgWomen,Snatch,490,False
5,AYE Zin Mar,MYA,"Sep 27, 1999",69.37,A,70,75,-80,75,71kgWomen,Snatch,490,False
1,MACROHON Kristel,PHI,"Sep 02, 1996",69.93,A,116,120,123,123,71kgWomen,CleanJerk,490,False
2,NGUYEN Thi Van,VIE,"Dec 16, 1998",70.78,A,118,122,-125,122,71kgWomen,CleanJerk,490,False
3,RAMADANI Tsabitha Alfiah,INA,"Dec 23, 2000",67.17,A,100,105,110,110,71kgWomen,CleanJerk,490,False
4,JABRIELLA Teo Samuel,MAS,"Jul 06, 1998",70.83,A,-100,100,-105,100,71kgWomen,CleanJerk,490,False
5,AYE Zin Mar,MYA,"Sep 27, 1999",69.37,A,90,95,100,100,71kgWomen,CleanJerk,490,False
1,MACROHON Kristel,PHI,"Sep 02, 1996",69.93,A,93,123,216,,71kgWomen,Total,490,False
2,NGUYEN Thi Van,VIE,"Dec 16, 1998",70.78,A,92,122,214,,71kgWomen,Total,490,False
3,RAMADANI Tsabitha Alfiah,INA,"Dec 23, 2000",67.17,A,93,110,203,,71kgWomen,Total,490,False
4,JABRIELLA Teo Samuel,MAS,"Jul 06, 1998",70.83,A,81,100,181,,71kgWomen,Total,490,False
5,AYE Zin Mar,MYA,"Sep 27, 1999",69.37,A,75,100,175,,71kgWomen,Total,490,False
