rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,MARTINEZ GONZALEZ Juan Miguel,PAN,"Oct 05, 2001",54.50,A,- 88,88,- 90,88,55kgMen,Snatch,493,False
1,MARTINEZ GONZALEZ Juan Miguel,PAN,"Oct 05, 2001",54.50,A,-108,108,110,110,55kgMen,CleanJerk,493,False
1,MARTINEZ GONZALEZ Juan Miguel,PAN,"Oct 05, 2001",54.50,A,88,110,198,,55kgMen,Total,493,False
1,BARNES Darrel Lamont,USA,"Jan 20, 1994",61.00,A,115,-120,-120,115,61kgMen,Snatch,493,False
2,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",60.70,A,105,110,-115,110,61kgMen,Snatch,493,False
3,LEYES Jonatan Martin,ARG,"May 12, 2001",60.40,A,101,-105,-106,101,61kgMen,Snatch,493,False
4,VALENZUELA Jeremias,CHI,"Aug 01, 2003",60.30,A,- 78,78,81,81,61kgMen,Snatch,493,False
1,BARNES Darrel Lamont,USA,"Jan 20, 1994",61.00,A,145,-150,-150,145,61kgMen,CleanJerk,493,False
2,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",60.70,A,-145,145,-150,145,61kgMen,CleanJerk,493,False
3,LEYES Jonatan Martin,ARG,"May 12, 2001",60.40,A,-125,-125,130,130,61kgMen,CleanJerk,493,False
4,VALENZUELA Jeremias,CHI,"Aug 01, 2003",60.30,A,-100,100,106,106,61kgMen,CleanJerk,493,False
1,BARNES Darrel Lamont,USA,"Jan 20, 1994",61.00,A,115,145,260,,61kgMen,Total,493,False
2,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",60.70,A,110,145,255,,61kgMen,Total,493,False
3,LEYES Jonatan Martin,ARG,"May 12, 2001",60.40,A,101,130,231,,61kgMen,Total,493,False
4,VALENZUELA Jeremias,CHI,"Aug 01, 2003",60.30,A,81,106,187,,61kgMen,Total,493,False
1,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",66.70,A,135,140,-145,140,67kgMen,Snatch,493,False
2,PINEDA ZETA Edgar Ismael,GUA,"Aug 17, 1997",66.70,A,-127,132,-136,132,67kgMen,Snatch,493,False
3,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",67.00,A,123,127,-130,127,67kgMen,Snatch,493,False
4,SERNA MENDOZA Jhon Jairo,COL,"Dec 03, 1994",64.60,A,120,125,-130,125,67kgMen,Snatch,493,False
5,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",64.70,A,111,115,118,118,67kgMen,Snatch,493,False
---,CALABRO Mariano Agustin,ARG,"Apr 25, 1996",66.50,A,-110,-112,-112,---,67kgMen,Snatch,493,False
1,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",66.70,A,-155,165,---,165,67kgMen,CleanJerk,493,False
2,SERNA MENDOZA Jhon Jairo,COL,"Dec 03, 1994",64.60,A,155,162,-165,162,67kgMen,CleanJerk,493,False
3,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",67.00,A,158,-162,-162,158,67kgMen,CleanJerk,493,False
---,CALABRO Mariano Agustin,ARG,"Apr 25, 1996",66.50,A,-140,-140,-142,---,67kgMen,CleanJerk,493,False
---,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",64.70,A,-141,-141,-141,---,67kgMen,CleanJerk,493,False
---,PINEDA ZETA Edgar Ismael,GUA,"Aug 17, 1997",66.70,A,-161,-161,-165,---,67kgMen,CleanJerk,493,False
1,MOSQUERA LOZANO Luis Javier,COL,"Mar 27, 1995",66.70,A,140,165,305,,67kgMen,Total,493,False
2,SERNA MENDOZA Jhon Jairo,COL,"Dec 03, 1994",64.60,A,125,162,287,,67kgMen,Total,493,False
3,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",67.00,A,127,158,285,,67kgMen,Total,493,False
---,CALABRO Mariano Agustin,ARG,"Apr 25, 1996",66.50,A,---,---,---,,67kgMen,Total,493,False
---,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",64.70,A,118,---,---,,67kgMen,Total,493,False
---,PINEDA ZETA Edgar Ismael,GUA,"Aug 17, 1997",66.70,A,132,---,---,,67kgMen,Total,493,False
1,TERRONES MIRANDA Oscar Adrian,PER,"Jan 23, 1998",71.50,A,120,127,-132,127,73kgMen,Snatch,493,False
2,GALEANO Ariel,ARG,"Oct 18, 1995",72.50,A,113,118,-124,118,73kgMen,Snatch,493,False
3,JIMENES Nahuel Carlos Daniel,ARG,"Jun 21, 1996",68.60,A,110,-118,-118,110,73kgMen,Snatch,493,False
1,TERRONES MIRANDA Oscar Adrian,PER,"Jan 23, 1998",71.50,A,150,-160,166,166,73kgMen,CleanJerk,493,False
2,JIMENES Nahuel Carlos Daniel,ARG,"Jun 21, 1996",68.60,A,130,143,147,147,73kgMen,CleanJerk,493,False
3,GALEANO Ariel,ARG,"Oct 18, 1995",72.50,A,138,144,-148,144,73kgMen,CleanJerk,493,False
