rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,VILLALON Vester Louie,NZL,"Nov 13, 1991",72.90,A,122,125,128,128,73kgMen,Snatch,535,False
1,VILLALON Vester Louie,NZL,"Nov 13, 1991",72.90,A,149,154,159,159,73kgMen,CleanJerk,535,False
1,VILLALON Vester Louie,NZL,"Nov 13, 1991",72.90,A,128,159,287,---,73kgMen,Total,535,False
1,POWER Curran Gwynn,NZL,"Feb 27, 1997",79.50,A,116,121,125,125,81kgMen,Snatch,535,False
2,JORDAN Robert,NZL,"Sep 29, 1986",80.10,A,115,120,-124,120,81kgMen,Snatch,535,False
3,TURA Jerome Hewett,COK,"Dec 31, 1991",80.20,A,100,105,110,110,81kgMen,Snatch,535,False
1,JORDAN Robert,NZL,"Sep 29, 1986",80.10,A,155,-160,-160,155,81kgMen,CleanJerk,535,False
2,POWER Curran Gwynn,NZL,"Feb 27, 1997",79.50,A,136,142,-147,142,81kgMen,CleanJerk,535,False
3,TURA Jerome Hewett,COK,"Dec 31, 1991",80.20,A,135,140,-148,140,81kgMen,CleanJerk,535,False
1,JORDAN Robert,NZL,"Sep 29, 1986",80.10,A,120,155,275,---,81kgMen,Total,535,False
2,POWER Curran Gwynn,NZL,"Feb 27, 1997",79.50,A,125,142,267,---,81kgMen,Total,535,False
3,TURA Jerome Hewett,COK,"Dec 31, 1991",80.20,A,110,140,250,---,81kgMen,Total,535,False
1,SEKONE-FRASER Douglas Liva,NZL,"Sep 12, 1991",95.00,A,-132,136,-141,136,96kgMen,Snatch,535,False
2,URGERT Cameron Thomas Franciscus,NZL,"Aug 20, 1993",93.40,135,-139,-140,135,---,96kgMen,Snatch,535,False
3,FUNAKI Uaealesi,TGA,"Nov 04, 1998",95.10,A,125,-130,-130,125,96kgMen,Snatch,535,False
4,ALBERT Xavier,NZL,"Apr 28, 1998",91.70,A,125,-130,-133,125,96kgMen,Snatch,535,False
5,DOMBROSKI Ethan,NZL,"Nov 17, 2001",94.90,A,110,118,-123,118,96kgMen,Snatch,535,False
6,KLENNER Colin,NZL,"Feb 09, 1987",93.60,A,115,-120,-125,115,96kgMen,Snatch,535,False
---,MCTAGGART Cameron David,NZL,"Sep 30, 1997",86.60,A,-138,-138,-138,---,96kgMen,Snatch,535,False
1,MCTAGGART Cameron David,NZL,"Sep 30, 1997",86.60,A,165,171,-176,171,96kgMen,CleanJerk,535,False
2,SEKONE-FRASER Douglas Liva,NZL,"Sep 12, 1991",95.00,A,163,-167,-167,163,96kgMen,CleanJerk,535,False
3,URGERT Cameron Thomas Franciscus,NZL,"Aug 20, 1993",93.40,-160,161,-166,161,---,96kgMen,CleanJerk,535,False
4,KLENNER Colin,NZL,"Feb 09, 1987",93.60,A,150,155,-160,155,96kgMen,CleanJerk,535,False
5,ALBERT Xavier,NZL,"Apr 28, 1998",91.70,A,145,149,153,153,96kgMen,CleanJerk,535,False
6,DOMBROSKI Ethan,NZL,"Nov 17, 2001",94.90,A,150,-158,-161,150,96kgMen,CleanJerk,535,False
---,FUNAKI Uaealesi,TGA,"Nov 04, 1998",95.10,A,-165,-165,-166,---,96kgMen,CleanJerk,535,False
1,SEKONE-FRASER Douglas Liva,NZL,"Sep 12, 1991",95.00,A,136,163,299,---,96kgMen,Total,535,False
2,URGERT Cameron Thomas Franciscus,NZL,"Aug 20, 1993",93.40,135,161,296,---,---,96kgMen,Total,535,False
