rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,LAUTUSI Petelo,SAM,"Jun 28, 1996",126.55,B,146,152,-156,152,P109kgMen,Snatch,538,False
1,LAUTUSI Petelo,SAM,"Jun 28, 1996",126.55,B,-186,186,195,195,P109kgMen,CleanJerk,538,False
1,LAUTUSI Petelo,SAM,"Jun 28, 1996",126.55,B,152,195,347,---,P109kgMen,Total,538,False
1,BUTT Muhammad Sharjeel,PAK,"Apr 15, 2000",55.00,A,105,110,-112,110,55kgMen,Snatch,538,False
1,BUTT Muhammad Sharjeel,PAK,"Apr 15, 2000",55.00,A,132,137,140,140,55kgMen,CleanJerk,538,False
1,BUTT Muhammad Sharjeel,PAK,"Apr 15, 2000",55.00,A,110,140,250,---,55kgMen,Total,538,False
1,TAFI John Lautafi,SAM,"May 10, 2002",72.70,B,127,131,135,135,73kgMen,Snatch,538,False
2,MOSES Ezekiel,NRU,"Jul 02, 2001",73.00,B,127,-130,-130,127,73kgMen,Snatch,538,False
3,SINGHA Shimul Kanti,BAN,"May 01, 1986",72.94,A,-110,110,-117,110,73kgMen,Snatch,538,False
1,MOSES Ezekiel,NRU,"Jul 02, 2001",73.00,B,155,160,-163,160,73kgMen,CleanJerk,538,False
2,TAFI John Lautafi,SAM,"May 10, 2002",72.70,B,155,-160,160,160,73kgMen,CleanJerk,538,False
3,SINGHA Shimul Kanti,BAN,"May 01, 1986",72.94,A,-140,140,-145,140,73kgMen,CleanJerk,538,False
1,TAFI John Lautafi,SAM,"May 10, 2002",72.70,B,135,160,295,---,73kgMen,Total,538,False
2,MOSES Ezekiel,NRU,"Jul 02, 2001",73.00,B,127,160,287,---,73kgMen,Total,538,False
3,SINGHA Shimul Kanti,BAN,"May 01, 1986",72.94,A,110,140,250,---,73kgMen,Total,538,False
1,ALI Haider,PAK,"Feb 02, 1995",79.56,A,133,138,-140,138,81kgMen,Snatch,538,False
2,ROY Sumon Chandra,BAN,"Feb 15, 1987",80.79,A,-113,113,117,117,81kgMen,Snatch,538,False
---,DOGUAPE Larko,NRU,"Jul 05, 2000",79.00,B,-125,---,---,---,81kgMen,Snatch,538,False
1,ALI Haider,PAK,"Feb 02, 1995",79.56,A,165,-166,170,170,81kgMen,CleanJerk,538,False
---,DOGUAPE Larko,NRU,"Jul 05, 2000",79.00,B,---,---,---,---,81kgMen,CleanJerk,538,False
---,ROY Sumon Chandra,BAN,"Feb 15, 1987",80.79,A,-147,-147,-147,---,81kgMen,CleanJerk,538,False
1,ALI Haider,PAK,"Feb 02, 1995",79.56,A,138,170,308,---,81kgMen,Total,538,False
---,DOGUAPE Larko,NRU,"Jul 05, 2000",79.00,B,---,---,---,---,81kgMen,Total,538,False
---,ROY Sumon Chandra,BAN,"Feb 15, 1987",80.79,A,117,---,---,---,81kgMen,Total,538,False
1,WILBUR Thomas,VAN,"Nov 25, 2000",95.35,B,95,100,105,105,96kgMen,Snatch,538,False
1,WILBUR Thomas,VAN,"Nov 25, 2000",95.35,B,-120,125,-130,125,96kgMen,CleanJerk,538,False
1,WILBUR Thomas,VAN,"Nov 25, 2000",95.35,B,105,125,230,---,96kgMen,Total,538,False
