rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,TORRES Benjamin,CHI,"Jul 23, 2005",54.60,A,85,89,93,93,55kgMen,Snatch,541,False
2,FLORES GARCIA Yohanderson Jose,VEN,"Jun 27, 2005",54.40,A,-82,82,85,85,55kgMen,Snatch,541,False
3,VARGAS MOYA Reny Sebastian,ECU,"Oct 09, 2005",54.80,A,81,-84,-84,81,55kgMen,Snatch,541,False
4,MEZA Domingo Francisco,ARG,"Dec 19, 2006",52.60,A,65,70,75,75,55kgMen,Snatch,541,False
1,FLORES GARCIA Yohanderson Jose,VEN,"Jun 27, 2005",54.40,A,105,109,113,113,55kgMen,CleanJerk,541,False
2,TORRES Benjamin,CHI,"Jul 23, 2005",54.60,A,105,-110,111,111,55kgMen,CleanJerk,541,False
3,VARGAS MOYA Reny Sebastian,ECU,"Oct 09, 2005",54.80,A,104,-109,110,110,55kgMen,CleanJerk,541,False
4,MEZA Domingo Francisco,ARG,"Dec 19, 2006",52.60,A,90,95,-100,95,55kgMen,CleanJerk,541,False
1,TORRES Benjamin,CHI,"Jul 23, 2005",54.60,A,93,111,204,---,55kgMen,Total,541,False
2,FLORES GARCIA Yohanderson Jose,VEN,"Jun 27, 2005",54.40,A,85,113,198,---,55kgMen,Total,541,False
3,VARGAS MOYA Reny Sebastian,ECU,"Oct 09, 2005",54.80,A,81,110,191,---,55kgMen,Total,541,False
4,MEZA Domingo Francisco,ARG,"Dec 19, 2006",52.60,A,75,95,170,---,55kgMen,Total,541,False
1,BLANDON PENA Luis Alfonso,COL,"May 03, 2005",60.20,A,103,108,110,110,61kgMen,Snatch,541,False
2,GARCIA SISO David Alejandro,VEN,"Jun 30, 2005",60.80,A,105,-109,109,109,61kgMen,Snatch,541,False
3,TAVARES DE OLIVEIRA Mateus,BRA,"Apr 25, 2005",59.80,A,85,90,95,95,61kgMen,Snatch,541,False
4,GARCIA CAYCHO Claudio,PER,"Jul 07, 2005",60.00,A,85,88,91,91,61kgMen,Snatch,541,False
5,RUIZ DIAZ Tobias Ali,ARG,"Feb 20, 2005",58.30,A,86,90,-93,90,61kgMen,Snatch,541,False
1,GARCIA SISO David Alejandro,VEN,"Jun 30, 2005",60.80,A,131,139,-143,139,61kgMen,CleanJerk,541,False
2,BLANDON PENA Luis Alfonso,COL,"May 03, 2005",60.20,A,132,-137,-139,132,61kgMen,CleanJerk,541,False
3,RUIZ DIAZ Tobias Ali,ARG,"Feb 20, 2005",58.30,A,115,-121,121,121,61kgMen,CleanJerk,541,False
4,TAVARES DE OLIVEIRA Mateus,BRA,"Apr 25, 2005",59.80,A,108,112,115,115,61kgMen,CleanJerk,541,False
5,GARCIA CAYCHO Claudio,PER,"Jul 07, 2005",60.00,A,106,109,-112,109,61kgMen,CleanJerk,541,False
1,GARCIA SISO David Alejandro,VEN,"Jun 30, 2005",60.80,A,109,139,248,---,61kgMen,Total,541,False
2,BLANDON PENA Luis Alfonso,COL,"May 03, 2005",60.20,A,110,132,242,---,61kgMen,Total,541,False
3,RUIZ DIAZ Tobias Ali,ARG,"Feb 20, 2005",58.30,A,90,121,211,---,61kgMen,Total,541,False
4,TAVARES DE OLIVEIRA Mateus,BRA,"Apr 25, 2005",59.80,A,95,115,210,---,61kgMen,Total,541,False
5,GARCIA CAYCHO Claudio,PER,"Jul 07, 2005",60.00,A,91,109,200,---,61kgMen,Total,541,False
1,ELIZALDE CASTRO Franchesco Joel,PER,"Jun 13, 2005",66.00,A,108,112,117,117,67kgMen,Snatch,541,False
2,RODRIGUEZ Angel,VEN,"Apr 24, 2006",65.40,A,106,112,116,116,67kgMen,Snatch,541,False
3,ESTUPINAN VACACELA Erick Wellington,ECU,"Jan 06, 2005",64.10,A,96,100,104,104,67kgMen,Snatch,541,False
4,NASCIMENTO COSTA Joao Victor,BRA,"Apr 13, 2006",65.80,A,95,100,-105,100,67kgMen,Snatch,541,False
5,OSUNA PENA Luis Miguel,COL,"Dec 14, 2007",65.00,A,92,97,100,100,67kgMen,Snatch,541,False
6,AVALOS Lautaro Benjamin,ARG,"Jan 03, 2006",66.10,A,88,92,95,95,67kgMen,Snatch,541,False
7,TORRES VASQUEZ Sebastian Ignacio,CHI,"Dec 21, 2006",66.30,A,-90,90,-95,90,67kgMen,Snatch,541,False
8,BOGADO Kyle,PAR,"Mar 20, 2006",66.70,A,-90,-90,90,90,67kgMen,Snatch,541,False
9,MARTINEZ MARTINEZ Guillermo,URU,"Apr 18, 2007",65.40,A,70,76,-80,76,67kgMen,Snatch,541,False
1,ELIZALDE CASTRO Franchesco Joel,PER,"Jun 13, 2005",66.00,A,120,130,134,134,67kgMen,CleanJerk,541,False
2,ESTUPINAN VACACELA Erick Wellington,ECU,"Jan 06, 2005",64.10,A,122,126,131,131,67kgMen,CleanJerk,541,False
3,OSUNA PENA Luis Miguel,COL,"Dec 14, 2007",65.00,A,117,121,127,127,67kgMen,CleanJerk,541,False
4,RODRIGUEZ Angel,VEN,"Apr 24, 2006",65.40,A,125,-132,-136,125,67kgMen,CleanJerk,541,False
5,NASCIMENTO COSTA Joao Victor,BRA,"Apr 13, 2006",65.80,A,120,125,-131,125,67kgMen,CleanJerk,541,False
6,BOGADO Kyle,PAR,"Mar 20, 2006",66.70,A,115,121,125,125,67kgMen,CleanJerk,541,False
7,AVALOS Lautaro Benjamin,ARG,"Jan 03, 2006",66.10,A,117,121,-127,121,67kgMen,CleanJerk,541,False
8,TORRES VASQUEZ Sebastian Ignacio,CHI,"Dec 21, 2006",66.30,A,110,116,120,120,67kgMen,CleanJerk,541,False
9,MARTINEZ MARTINEZ Guillermo,URU,"Apr 18, 2007",65.40,A,90,-96,96,96,67kgMen,CleanJerk,541,False
