rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,MASI Philip,SOL,"Oct 27, 2004",54.32,A,-82,-82,82,82,55kgMen,Snatch,543,False
---,TALEMAIGAU Eroni Caucau Vuratu,FIJ,"Jun 30, 2006",54.20,A,---,---,---,---,55kgMen,Snatch,543,False
1,MASI Philip,SOL,"Oct 27, 2004",54.32,A,-98,-98,98,98,55kgMen,CleanJerk,543,False
---,TALEMAIGAU Eroni Caucau Vuratu,FIJ,"Jun 30, 2006",54.20,A,---,---,---,---,55kgMen,CleanJerk,543,False
1,MASI Philip,SOL,"Oct 27, 2004",54.32,A,82,98,180,---,55kgMen,Total,543,False
---,TALEMAIGAU Eroni Caucau Vuratu,FIJ,"Jun 30, 2006",54.20,A,---,---,---,---,55kgMen,Total,543,False
---,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.30,A,---,---,---,---,61kgMen,Snatch,543,False
---,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.30,A,---,---,---,---,61kgMen,CleanJerk,543,False
---,WAKANIBUA Apakuki Tabuwaiwai,FIJ,"Mar 12, 2002",60.30,A,---,---,---,---,61kgMen,Total,543,False
1,IKA Ditto Titus,NRU,"Jul 30, 2006",66.10,A,-110,-110,110,110,67kgMen,Snatch,543,False
2,FESOLAI Avery Durrell,NZL,"Dec 27, 2002",63.60,A,-98,-98,98,98,67kgMen,Snatch,543,False
3,SHAW Daniel Zackariah Anthony,FIJ,"Jun 18, 2005",66.10,A,-90,-90,90,90,67kgMen,Snatch,543,False
4,ATU George Sunga,SOL,"Jan 01, 2004",66.50,A,-88,-88,88,88,67kgMen,Snatch,543,False
1,IKA Ditto Titus,NRU,"Jul 30, 2006",66.10,A,-138,-138,138,138,67kgMen,CleanJerk,543,False
2,FESOLAI Avery Durrell,NZL,"Dec 27, 2002",63.60,A,-126,-126,126,126,67kgMen,CleanJerk,543,False
3,SHAW Daniel Zackariah Anthony,FIJ,"Jun 18, 2005",66.10,A,-112,-112,112,112,67kgMen,CleanJerk,543,False
4,ATU George Sunga,SOL,"Jan 01, 2004",66.50,A,-108,-108,108,108,67kgMen,CleanJerk,543,False
1,IKA Ditto Titus,NRU,"Jul 30, 2006",66.10,A,110,138,248,---,67kgMen,Total,543,False
2,FESOLAI Avery Durrell,NZL,"Dec 27, 2002",63.60,A,98,126,224,---,67kgMen,Total,543,False
3,SHAW Daniel Zackariah Anthony,FIJ,"Jun 18, 2005",66.10,A,90,112,202,---,67kgMen,Total,543,False
4,ATU George Sunga,SOL,"Jan 01, 2004",66.50,A,88,108,196,---,67kgMen,Total,543,False
1,TAFI John Lautafi,SAM,"May 10, 2002",71.70,A,-133,-133,133,133,73kgMen,Snatch,543,False
2,VIRA Solomoni Lili,FIJ,"Nov 05, 2004",71.85,A,-95,-95,95,95,73kgMen,Snatch,543,False
1,TAFI John Lautafi,SAM,"May 10, 2002",71.70,A,-165,-165,165,165,73kgMen,CleanJerk,543,False
2,VIRA Solomoni Lili,FIJ,"Nov 05, 2004",71.85,A,-130,-130,130,130,73kgMen,CleanJerk,543,False
1,TAFI John Lautafi,SAM,"May 10, 2002",71.70,A,133,165,298,---,73kgMen,Total,543,False
2,VIRA Solomoni Lili,FIJ,"Nov 05, 2004",71.85,A,95,130,225,---,73kgMen,Total,543,False
1,NIDES Michael,AUS,"Jan 01, 2002",80.70,A,-119,-119,119,119,81kgMen,Snatch,543,False
2,AH CHONG Tovio,SAM,"Aug 23, 2006",79.70,A,-100,-100,100,100,81kgMen,Snatch,543,False
1,NIDES Michael,AUS,"Jan 01, 2002",80.70,A,-137,-137,137,137,81kgMen,CleanJerk,543,False
2,AH CHONG Tovio,SAM,"Aug 23, 2006",79.70,A,-126,-126,126,126,81kgMen,CleanJerk,543,False
1,NIDES Michael,AUS,"Jan 01, 2002",80.70,A,119,137,256,---,81kgMen,Total,543,False
2,AH CHONG Tovio,SAM,"Aug 23, 2006",79.70,A,100,126,226,---,81kgMen,Total,543,False
1,SAXTON Oliver Riley,AUS,"Feb 16, 2003",88.30,A,-130,-130,130,130,89kgMen,Snatch,543,False
1,SAXTON Oliver Riley,AUS,"Feb 16, 2003",88.30,A,-170,-170,170,170,89kgMen,CleanJerk,543,False
1,SAXTON Oliver Riley,AUS,"Feb 16, 2003",88.30,A,130,170,300,---,89kgMen,Total,543,False
1,MARSH Taj,AUS,"Jan 01, 2004",91.50,A,-127,-127,127,127,96kgMen,Snatch,543,False
2,SIMOI Sepa,PNG,"Feb 11, 2002",94.10,A,-120,-120,120,120,96kgMen,Snatch,543,False
1,SIMOI Sepa,PNG,"Feb 11, 2002",94.10,A,-155,-155,155,155,96kgMen,CleanJerk,543,False
2,MARSH Taj,AUS,"Jan 01, 2004",91.50,A,-152,-152,152,152,96kgMen,CleanJerk,543,False
1,MARSH Taj,AUS,"Jan 01, 2004",91.50,A,127,152,279,---,96kgMen,Total,543,False
2,SIMOI Sepa,PNG,"Feb 11, 2002",94.10,A,120,155,275,---,96kgMen,Total,543,False
1,VALENTINE Tauriwau Maciu,FIJ,"Jan 01, 2006",134.45,A,-56,-56,56,56,+109kgMen,Snatch,543,False
1,VALENTINE Tauriwau Maciu,FIJ,"Jan 01, 2006",134.45,A,-70,-70,70,70,+109kgMen,CleanJerk,543,False
1,VALENTINE Tauriwau Maciu,FIJ,"Jan 01, 2006",134.45,A,56,70,126,---,+109kgMen,Total,543,False
1,VAGI Idau,PNG,"Mar 27, 2006",44.50,A,-45,-45,45,45,45kgWomen,Snatch,543,False
1,VAGI Idau,PNG,"Mar 27, 2006",44.50,A,-55,-55,55,55,45kgWomen,CleanJerk,543,False
1,VAGI Idau,PNG,"Mar 27, 2006",44.50,A,45,55,100,---,45kgWomen,Total,543,False
1,DONGA Rowena Eddie,SOL,"Jan 01, 2007",48.60,A,-55,-55,55,55,49kgWomen,Snatch,543,False
2,SANTOS Chloe,GUM,"Jan 01, 2002",49.00,A,-51,-51,51,51,49kgWomen,Snatch,543,False
1,SANTOS Chloe,GUM,"Jan 01, 2002",49.00,A,-63,-63,63,63,49kgWomen,CleanJerk,543,False
---,DONGA Rowena Eddie,SOL,"Jan 01, 2007",48.60,A,---,---,---,---,49kgWomen,CleanJerk,543,False
1,SANTOS Chloe,GUM,"Jan 01, 2002",49.00,A,51,63,114,---,49kgWomen,Total,543,False
---,DONGA Rowena Eddie,SOL,"Jan 01, 2007",48.60,A,55,---,---,---,49kgWomen,Total,543,False
1,MYONLY Stephen,NRU,"May 22, 2006",54.80,A,-72,-72,72,72,55kgWomen,Snatch,543,False
1,MYONLY Stephen,NRU,"May 22, 2006",54.80,A,-90,-90,90,90,55kgWomen,CleanJerk,543,False
1,MYONLY Stephen,NRU,"May 22, 2006",54.80,A,72,90,162,---,55kgWomen,Total,543,False
1,KAINUKU Manaia Reihina Te Kapua,NZL,"Nov 21, 2006",55.70,A,-65,-65,65,65,59kgWomen,Snatch,543,False
1,DETUDAMO Bernice,NRU,"Jul 14, 2004",58.35,A,-65,-65,65,65,59kgWomen,Snatch,543,False
1,ADITAROLEVA Aluwesi A.,FIJ,"Jan 01, 2003",58.00,A,-65,-65,65,65,59kgWomen,Snatch,543,False
4,WANEASI Betty,SOL,"Jul 15, 2002",57.96,A,-60,-60,60,60,59kgWomen,Snatch,543,False
5,DEIRERAGEA Jo-Beth,NRU,"Jan 01, 2007",56.60,A,-58,-58,58,58,59kgWomen,Snatch,543,False
6,VIRA Marian Ema Alowesi,FIJ,"Aug 19, 2002",55.30,A,-45,-45,45,45,59kgWomen,Snatch,543,False
1,ADITAROLEVA Aluwesi A.,FIJ,"Jan 01, 2003",58.00,A,-82,-82,82,82,59kgWomen,CleanJerk,543,False
2,DETUDAMO Bernice,NRU,"Jul 14, 2004",58.35,A,-80,-80,80,80,59kgWomen,CleanJerk,543,False
3,KAINUKU Manaia Reihina Te Kapua,NZL,"Nov 21, 2006",55.70,A,-75,-75,75,75,59kgWomen,CleanJerk,543,False
4,WANEASI Betty,SOL,"Jul 15, 2002",57.96,A,-72,-72,72,72,59kgWomen,CleanJerk,543,False
5,DEIRERAGEA Jo-Beth,NRU,"Jan 01, 2007",56.60,A,-72,-72,72,72,59kgWomen,CleanJerk,543,False
6,VIRA Marian Ema Alowesi,FIJ,"Aug 19, 2002",55.30,A,-65,-65,65,65,59kgWomen,CleanJerk,543,False
1,ADITAROLEVA Aluwesi A.,FIJ,"Jan 01, 2003",58.00,A,65,82,147,---,59kgWomen,Total,543,False
2,DETUDAMO Bernice,NRU,"Jul 14, 2004",58.35,A,65,80,145,---,59kgWomen,Total,543,False
3,KAINUKU Manaia Reihina Te Kapua,NZL,"Nov 21, 2006",55.70,A,65,75,140,---,59kgWomen,Total,543,False
4,WANEASI Betty,SOL,"Jul 15, 2002",57.96,A,60,72,132,---,59kgWomen,Total,543,False
5,DEIRERAGEA Jo-Beth,NRU,"Jan 01, 2007",56.60,A,58,72,130,---,59kgWomen,Total,543,False
6,VIRA Marian Ema Alowesi,FIJ,"Aug 19, 2002",55.30,A,45,65,110,---,59kgWomen,Total,543,False
1,QUINSEE Tanaya,AUS,"Jan 01, 2004",63.65,A,-75,-75,75,75,64kgWomen,Snatch,543,False
2,AGIGO Roxima,NRU,"Jan 01, 2004",63.75,A,-72,-72,72,72,64kgWomen,Snatch,543,False
2,HAYMAN Nya Phebe,AUS,"May 14, 2005",63.94,A,-72,-72,72,72,64kgWomen,Snatch,543,False
4,TOKALAU Mere,FIJ,"Jan 01, 2004",63.35,A,-55,-55,55,55,64kgWomen,Snatch,543,False
1,HAYMAN Nya Phebe,AUS,"May 14, 2005",63.94,A,-90,-90,90,90,64kgWomen,CleanJerk,543,False
2,AGIGO Roxima,NRU,"Jan 01, 2004",63.75,A,-89,89,---,89,64kgWomen,CleanJerk,543,False
2,QUINSEE Tanaya,AUS,"Jan 01, 2004",63.65,A,-89,-89,89,89,64kgWomen,CleanJerk,543,False
4,TOKALAU Mere,FIJ,"Jan 01, 2004",63.35,A,-65,-65,65,65,64kgWomen,CleanJerk,543,False
1,QUINSEE Tanaya,AUS,"Jan 01, 2004",63.65,A,75,89,164,---,64kgWomen,Total,543,False
2,HAYMAN Nya Phebe,AUS,"May 14, 2005",63.94,A,72,90,162,---,64kgWomen,Total,543,False
