rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,HARDAL Ferdi,TUR,"Dec 31, 1996",61.00,A,124,-128,---,124,61kgMen,Snatch,548,False
2,ELTAMADI Ahmed Abdelghani Said,EGY,"Jan 16, 1999",60.95,A,117,120,-125,120,61kgMen,Snatch,548,False
3,BOUHIJBHA Amine,TUN,"Feb 28, 1996",60.60,A,116,-118,---,116,61kgMen,Snatch,548,False
4,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",58.30,A,111,116,-118,116,61kgMen,Snatch,548,False
5,VLADISAVLJEV Stevan,SRB,"Jul 04, 1999",60.65,A,105,-110,110,110,61kgMen,Snatch,548,False
---,AINOUAZANE Abdelkader,ALG,"Nov 03, 1987",61.00,A,-115,-115,-118,---,61kgMen,Snatch,548,False
---,DURAK Faris,BIH,"Sep 25, 2002",61.00,A,-86,-86,-86,---,61kgMen,Snatch,548,False
1,HARDAL Ferdi,TUR,"Dec 31, 1996",61.00,A,147,151,153,153,61kgMen,CleanJerk,548,False
2,ELTAMADI Ahmed Abdelghani Said,EGY,"Jan 16, 1999",60.95,A,143,150,152,152,61kgMen,CleanJerk,548,False
3,BOUHIJBHA Amine,TUN,"Feb 28, 1996",60.60,A,142,-145,150,150,61kgMen,CleanJerk,548,False
4,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",58.30,A,-135,139,-144,139,61kgMen,CleanJerk,548,False
5,AINOUAZANE Abdelkader,ALG,"Nov 03, 1987",61.00,A,135,-143,-146,135,61kgMen,CleanJerk,548,False
6,VLADISAVLJEV Stevan,SRB,"Jul 04, 1999",60.65,A,130,-136,---,130,61kgMen,CleanJerk,548,False
7,DURAK Faris,BIH,"Sep 25, 2002",61.00,A,102,-107,---,102,61kgMen,CleanJerk,548,False
---,HARDAL Ferdi,TUR,"Dec 31, 1996",61.00,A,124,153,277,---,61kgMen,Total,548,False
---,AINOUAZANE Abdelkader,ALG,"Nov 03, 1987",61.00,A,---,135,---,---,61kgMen,Total,548,False
---,DURAK Faris,BIH,"Sep 25, 2002",61.00,A,---,102,---,---,61kgMen,Total,548,False
---,ELTAMADI Ahmed Abdelghani Said,EGY,"Jan 16, 1999",60.95,A,120,152,272,---,61kgMen,Total,548,False
---,BRACHI GARCIA Josue,ESP,"Sep 08, 1992",58.30,A,116,139,255,---,61kgMen,Total,548,False
---,VLADISAVLJEV Stevan,SRB,"Jul 04, 1999",60.65,A,110,130,240,---,61kgMen,Total,548,False
---,BOUHIJBHA Amine,TUN,"Feb 28, 1996",60.60,A,116,150,266,---,61kgMen,Total,548,False
1,ZANNI Mirko,ITA,"Oct 16, 1997",71.75,A,147,-149,150,150,73kgMen,Snatch,548,False
2,QERIMAJ Erkand,ALB,"Aug 10, 1988",72.85,A,-148,-148,149,149,73kgMen,Snatch,548,False
3,BEN HNIA Karem,TUN,"Nov 13, 1994",72.85,A,-147,147,-149,147,73kgMen,Snatch,548,False
4,MOHAMED Ahmed,EGY,"Jul 21, 1996",72.45,A,-146,146,-149,146,73kgMen,Snatch,548,False
5,OZBEK Muhammed Furkan,TUR,"Jan 24, 2001",73.00,A,-145,145,-148,145,73kgMen,Snatch,548,False
6,FARDJALLAH Samir,ALG,"May 18, 1998",72.45,A,136,141,-148,141,73kgMen,Snatch,548,False
7,SANCHEZ LOPEZ David,ESP,"Jul 20, 1994",73.00,A,135,140,-143,140,73kgMen,Snatch,548,False
8,SHABI Ahsaan Ali Alhadi,LBA,"Mar 22, 1997",72.60,A,130,136,-141,136,73kgMen,Snatch,548,False
1,BEN HNIA Karem,TUN,"Nov 13, 1994",72.85,A,180,182,185,185,73kgMen,CleanJerk,548,False
2,OZBEK Muhammed Furkan,TUR,"Jan 24, 2001",73.00,A,-181,181,184,184,73kgMen,CleanJerk,548,False
3,ZANNI Mirko,ITA,"Oct 16, 1997",71.75,A,-177,177,---,177,73kgMen,CleanJerk,548,False
4,FARDJALLAH Samir,ALG,"May 18, 1998",72.45,A,171,-178,-178,171,73kgMen,CleanJerk,548,False
5,SHABI Ahsaan Ali Alhadi,LBA,"Mar 22, 1997",72.60,A,160,-170,170,170,73kgMen,CleanJerk,548,False
6,SANCHEZ LOPEZ David,ESP,"Jul 20, 1994",73.00,A,165,-170,---,165,73kgMen,CleanJerk,548,False
---,MOHAMED Ahmed,EGY,"Jul 21, 1996",72.45,A,-176,-177,-178,---,73kgMen,CleanJerk,548,False
---,QERIMAJ Erkand,ALB,"Aug 10, 1988",72.85,A,---,---,---,---,73kgMen,CleanJerk,548,False
---,OZBEK Muhammed Furkan,TUR,"Jan 24, 2001",73.00,A,145,184,329,---,73kgMen,Total,548,False
---,BEN HNIA Karem,TUN,"Nov 13, 1994",72.85,A,147,185,332,---,73kgMen,Total,548,False
---,SHABI Ahsaan Ali Alhadi,LBA,"Mar 22, 1997",72.60,A,136,170,306,---,73kgMen,Total,548,False
---,ZANNI Mirko,ITA,"Oct 16, 1997",71.75,A,150,177,327,---,73kgMen,Total,548,False
---,SANCHEZ LOPEZ David,ESP,"Jul 20, 1994",73.00,A,140,165,305,---,73kgMen,Total,548,False
