rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,SARGAR Sanket Mahadev,IND,"Oct 16, 2000",54.56,A,107,111,113,113,55kgMen,Snatch,551,False
2,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",54.72,A,107,-111,-111,107,55kgMen,Snatch,551,False
3,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",54.80,A,-105,105,-112,105,55kgMen,Snatch,551,False
4,TAJ Md Ashikur Rahman,BAN,"Feb 14, 2001",54.65,A,90,93,-96,93,55kgMen,Snatch,551,False
5,HICKLING Ben,ENG,"May 22, 2002",54.79,A,-93,93,-97,93,55kgMen,Snatch,551,False
6,MASI Philip,SOL,"Oct 27, 2004",54.50,A,82,-90,90,90,55kgMen,Snatch,551,False
7,EMILE Willem Gwendal,MRI,"Dec 20, 2002",53.97,A,75,80,83,83,55kgMen,Snatch,551,False
8,MOK David Pingwei,SGP,"Aug 16, 2002",54.67,A,81,-86,-87,81,55kgMen,Snatch,551,False
9,KGASWANE Kgotla Alphius N,BOT,"Jul 07, 2000",54.55,A,70,-75,-77,70,55kgMen,Snatch,551,False
10,OCHOMA Benjamin Osiemo,KEN,"Oct 18, 1999",54.20,A,65,-70,-70,65,55kgMen,Snatch,551,False
---,NIYOYITA Davis,UGA,"Jan 01, 2004",55.00,A,-100,-100,-100,---,55kgMen,Snatch,551,False
1,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",54.72,A,138,-142,142,142,55kgMen,CleanJerk,551,False
2,SARGAR Sanket Mahadev,IND,"Oct 16, 2000",54.56,A,135,-139,-139,135,55kgMen,CleanJerk,551,False
3,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",54.80,A,120,-137,-141,120,55kgMen,CleanJerk,551,False
4,HICKLING Ben,ENG,"May 22, 2002",54.79,A,112,116,119,119,55kgMen,CleanJerk,551,False
5,TAJ Md Ashikur Rahman,BAN,"Feb 14, 2001",54.65,A,110,-115,118,118,55kgMen,CleanJerk,551,False
6,MASI Philip,SOL,"Oct 27, 2004",54.50,A,102,107,-110,107,55kgMen,CleanJerk,551,False
7,EMILE Willem Gwendal,MRI,"Dec 20, 2002",53.97,A,95,100,103,103,55kgMen,CleanJerk,551,False
8,KGASWANE Kgotla Alphius N,BOT,"Jul 07, 2000",54.55,A,95,-100,101,101,55kgMen,CleanJerk,551,False
9,MOK David Pingwei,SGP,"Aug 16, 2002",54.67,A,100,-103,-103,100,55kgMen,CleanJerk,551,False
10,OCHOMA Benjamin Osiemo,KEN,"Oct 18, 1999",54.20,A,83,85,-88,85,55kgMen,CleanJerk,551,False
---,NIYOYITA Davis,UGA,"Jan 01, 2004",55.00,A,120,---,---,---,55kgMen,CleanJerk,551,False
1,MOHAMAD ANIQ Bin Kasdan,MAS,"Jun 16, 2002",54.72,A,107,142,249,---,55kgMen,Total,551,False
2,SARGAR Sanket Mahadev,IND,"Oct 16, 2000",54.56,A,113,135,248,---,55kgMen,Total,551,False
3,YODAGE Dilanka Isuru Kumara,SRI,"Apr 21, 1996",54.80,A,105,120,225,---,55kgMen,Total,551,False
4,HICKLING Ben,ENG,"May 22, 2002",54.79,A,93,119,212,---,55kgMen,Total,551,False
5,TAJ Md Ashikur Rahman,BAN,"Feb 14, 2001",54.65,A,93,118,211,---,55kgMen,Total,551,False
6,MASI Philip,SOL,"Oct 27, 2004",54.50,A,90,107,197,---,55kgMen,Total,551,False
7,EMILE Willem Gwendal,MRI,"Dec 20, 2002",53.97,A,83,103,186,---,55kgMen,Total,551,False
8,MOK David Pingwei,SGP,"Aug 16, 2002",54.67,A,81,100,181,---,55kgMen,Total,551,False
9,KGASWANE Kgotla Alphius N,BOT,"Jul 07, 2000",54.55,A,70,101,171,---,55kgMen,Total,551,False
10,OCHOMA Benjamin Osiemo,KEN,"Oct 18, 1999",54.20,A,65,85,150,---,55kgMen,Total,551,False
---,NIYOYITA Davis,UGA,"Jan 01, 2004",55.00,A,---,---,---,---,55kgMen,Total,551,False
1,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.93,A,123,127,-130,127,61kgMen,Snatch,551,False
2,BARU Morea,PNG,"Apr 15, 1990",61.00,A,114,118,121,121,61kgMen,Snatch,551,False
3,SIMARD Youri,CAN,"Jan 03, 2001",61.00,A,110,115,119,119,61kgMen,Snatch,551,False
4,GURURAJA,IND,"Aug 15, 1992",60.94,A,115,118,-120,118,61kgMen,Snatch,551,False
5,APPAH Emmanuel Inemo,NGR,"Nov 05, 1999",60.66,A,110,-115,-117,110,61kgMen,Snatch,551,False
6,THILANKA WIRAJ KUMARA PALAGASINGHE Thilanka,SRI,"Oct 26, 1993",61.00,A,100,-105,105,100,61kgMen,Snatch,551,False
7,BIN HAJI ABU BAKAR Mohammad Nashrul,BRU,"Sep 20, 1995",60.65,A,95,-98,-100,95,61kgMen,Snatch,551,False
8,CAIN Shadrach,NRU,"Jul 27, 1999",59.82,A,85,-90,90,90,61kgMen,Snatch,551,False
9,SEBOTA Nkhahle Thapelo,LES,"Jul 08, 1997",59.91,A,80,-87,-90,80,61kgMen,Snatch,551,False
1,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.93,A,153,158,-166,158,61kgMen,CleanJerk,551,False
2,BARU Morea,PNG,"Apr 15, 1990",61.00,A,152,-165,-165,152,61kgMen,CleanJerk,551,False
3,GURURAJA,IND,"Aug 15, 1992",60.94,A,144,148,151,151,61kgMen,CleanJerk,551,False
4,SIMARD Youri,CAN,"Jan 03, 2001",61.00,A,140,145,149,149,61kgMen,CleanJerk,551,False
5,APPAH Emmanuel Inemo,NGR,"Nov 05, 1999",60.66,A,135,-140,-140,135,61kgMen,CleanJerk,551,False
6,BIN HAJI ABU BAKAR Mohammad Nashrul,BRU,"Sep 20, 1995",60.65,A,123,127,132,132,61kgMen,CleanJerk,551,False
7,CAIN Shadrach,NRU,"Jul 27, 1999",59.82,A,110,116,-120,116,61kgMen,CleanJerk,551,False
8,SEBOTA Nkhahle Thapelo,LES,"Jul 08, 1997",59.91,A,106,-112,-115,106,61kgMen,CleanJerk,551,False
---,THILANKA WIRAJ KUMARA PALAGASINGHE Thilanka,SRI,"Oct 26, 1993",61.00,A,140,---,---,---,61kgMen,CleanJerk,551,False
1,MUHAMAD Aznil Bin Bidin,MAS,"Jun 04, 1994",60.93,A,127,158,285,---,61kgMen,Total,551,False
2,BARU Morea,PNG,"Apr 15, 1990",61.00,A,121,152,273,---,61kgMen,Total,551,False
3,GURURAJA,IND,"Aug 15, 1992",60.94,A,118,151,269,---,61kgMen,Total,551,False
4,SIMARD Youri,CAN,"Jan 03, 2001",61.00,A,119,149,268,---,61kgMen,Total,551,False
5,APPAH Emmanuel Inemo,NGR,"Nov 05, 1999",60.66,A,110,135,245,---,61kgMen,Total,551,False
6,BIN HAJI ABU BAKAR Mohammad Nashrul,BRU,"Sep 20, 1995",60.65,A,95,132,227,---,61kgMen,Total,551,False
7,CAIN Shadrach,NRU,"Jul 27, 1999",59.82,A,90,116,206,---,61kgMen,Total,551,False
8,SEBOTA Nkhahle Thapelo,LES,"Jul 08, 1997",59.91,A,80,106,186,---,61kgMen,Total,551,False
---,THILANKA WIRAJ KUMARA PALAGASINGHE Thilanka,SRI,"Oct 26, 1993",61.00,A,100,---,---,---,61kgMen,Total,551,False
1,JEREMY Lalrinnunga,IND,"Oct 26, 2002",66.36,A,136,140,-143,140,67kgMen,Snatch,551,False
2,UMOAFIA Edidiong Joseph,NGR,"Sep 24, 2002",66.86,A,-130,-130,130,130,67kgMen,Snatch,551,False
3,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.32,A,124,127,-129,127,67kgMen,Snatch,551,False
4,JAYASOORIYA ARACHCHILAGE Chathuranga L,SRI,"Oct 07, 1988",64.57,A,112,116,119,119,67kgMen,Snatch,551,False
5,SHERGILL Jaswant Singh,GBR,"Jan 14, 1993",66.68,A,110,114,-117,114,67kgMen,Snatch,551,False
6,KATOATAU Ruben,KIR,"Feb 09, 1997",66.97,A,106,110,114,114,67kgMen,Snatch,551,False
7,LOY Kester Yi Liang,SGP,"Jan 23, 1998",66.41,A,-105,106,109,109,67kgMen,Snatch,551,False
8,CORET Marc Jonathan,MRI,"Apr 13, 1989",66.16,A,100,105,-107,105,67kgMen,Snatch,551,False
9,IKA Ditto Titus,NRU,"Jul 30, 2006",66.79,A,-105,105,-108,105,67kgMen,Snatch,551,False
1,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.32,A,163,166,-174,166,67kgMen,CleanJerk,551,False
2,JEREMY Lalrinnunga,IND,"Oct 26, 2002",66.36,A,154,160,-165,160,67kgMen,CleanJerk,551,False
3,UMOAFIA Edidiong Joseph,NGR,"Sep 24, 2002",66.86,A,150,-160,160,160,67kgMen,CleanJerk,551,False
4,SHERGILL Jaswant Singh,GBR,"Jan 14, 1993",66.68,A,140,146,-150,146,67kgMen,CleanJerk,551,False
5,KATOATAU Ruben,KIR,"Feb 09, 1997",66.97,A,136,140,144,144,67kgMen,CleanJerk,551,False
6,IKA Ditto Titus,NRU,"Jul 30, 2006",66.79,A,135,140,-145,140,67kgMen,CleanJerk,551,False
7,JAYASOORIYA ARACHCHILAGE Chathuranga L,SRI,"Oct 07, 1988",64.57,A,-140,140,-144,140,67kgMen,CleanJerk,551,False
8,CORET Marc Jonathan,MRI,"Apr 13, 1989",66.16,A,136,-140,-140,136,67kgMen,CleanJerk,551,False
9,LOY Kester Yi Liang,SGP,"Jan 23, 1998",66.41,A,128,-134,-135,128,67kgMen,CleanJerk,551,False
1,JEREMY Lalrinnunga,IND,"Oct 26, 2002",66.36,A,140,160,300,---,67kgMen,Total,551,False
2,IOANE Vaipava Nevo,SAM,"Apr 14, 1988",66.32,A,127,166,293,---,67kgMen,Total,551,False
3,UMOAFIA Edidiong Joseph,NGR,"Sep 24, 2002",66.86,A,130,160,290,---,67kgMen,Total,551,False
