rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,DE LAS SALAS DE LA ROSA Habib,COL,"Apr 19, 1987",61.00,A,117,121,123,123,61kgMen,Snatch,555,False
2,DA SILVA Thiago Felix,BRA,"Dec 26, 2000",60.15,A,115,120,122,122,61kgMen,Snatch,555,False
3,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",60.75,A,117,-121,121,121,61kgMen,Snatch,555,False
4,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",60.70,A,110,116,-120,116,61kgMen,Snatch,555,False
5,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",61.00,A,105,110,113,113,61kgMen,Snatch,555,False
1,DA SILVA Thiago Felix,BRA,"Dec 26, 2000",60.15,A,-143,144,149,149,61kgMen,CleanJerk,555,False
2,DE LAS SALAS DE LA ROSA Habib,COL,"Apr 19, 1987",61.00,A,145,-150,-150,145,61kgMen,CleanJerk,555,False
3,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",60.70,A,140,145,-149,145,61kgMen,CleanJerk,555,False
4,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",61.00,A,140,-144,-149,140,61kgMen,CleanJerk,555,False
---,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",60.75,A,-142,-142,-142,---,61kgMen,CleanJerk,555,False
1,DA SILVA Thiago Felix,BRA,"Dec 26, 2000",60.15,A,122,149,271,---,61kgMen,Total,555,False
2,DE LAS SALAS DE LA ROSA Habib,COL,"Apr 19, 1987",61.00,A,123,145,268,---,61kgMen,Total,555,False
3,LUGO RODRIGUEZ Wilkeinner Nahun,VEN,"Mar 25, 1997",60.70,A,116,145,261,---,61kgMen,Total,555,False
4,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",61.00,A,113,140,253,---,61kgMen,Total,555,False
---,GARRIDO BUENAIRE Victor Jesus,ECU,"May 27, 1998",60.75,A,121,---,---,---,61kgMen,Total,555,False
1,MOSQUERA VALENCIA Francisco Antonio,COL,"Apr 01, 1992",66.85,A,132,137,141,141,67kgMen,Snatch,555,False
2,REYES VIDAL Jair Abimelet,ECU,"Jul 11, 2000",66.95,A,131,136,140,140,67kgMen,Snatch,555,False
3,ARANGO MENDEZ Reinner Josue,VEN,"Mar 24, 2004",67.00,A,127,131,-133,131,67kgMen,Snatch,555,False
4,BARDALEZ David,PER,"Jul 30, 1993",67.00,A,-126,128,-131,128,67kgMen,Snatch,555,False
5,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",66.65,A,115,-120,-120,115,67kgMen,Snatch,555,False
6,LEYES Jonatan Martin,ARG,"May 12, 2001",66.55,A,105,109,-113,109,67kgMen,Snatch,555,False
1,REYES VIDAL Jair Abimelet,ECU,"Jul 11, 2000",66.95,A,-160,160,176,176,67kgMen,CleanJerk,555,False
2,MOSQUERA VALENCIA Francisco Antonio,COL,"Apr 01, 1992",66.85,A,170,-176,176,176,67kgMen,CleanJerk,555,False
3,BARDALEZ David,PER,"Jul 30, 1993",67.00,A,166,-170,-170,166,67kgMen,CleanJerk,555,False
4,ARANGO MENDEZ Reinner Josue,VEN,"Mar 24, 2004",67.00,A,162,166,-170,166,67kgMen,CleanJerk,555,False
5,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",66.65,A,145,-150,150,150,67kgMen,CleanJerk,555,False
6,LEYES Jonatan Martin,ARG,"May 12, 2001",66.55,A,132,137,141,141,67kgMen,CleanJerk,555,False
1,MOSQUERA VALENCIA Francisco Antonio,COL,"Apr 01, 1992",66.85,A,141,176,317,---,67kgMen,Total,555,False
2,REYES VIDAL Jair Abimelet,ECU,"Jul 11, 2000",66.95,A,140,176,316,---,67kgMen,Total,555,False
3,ARANGO MENDEZ Reinner Josue,VEN,"Mar 24, 2004",67.00,A,131,166,297,---,67kgMen,Total,555,False
4,BARDALEZ David,PER,"Jul 30, 1993",67.00,A,128,166,294,---,67kgMen,Total,555,False
5,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Dec 12, 2001",66.65,A,115,150,265,---,67kgMen,Total,555,False
6,LEYES Jonatan Martin,ARG,"May 12, 2001",66.55,A,109,141,250,---,67kgMen,Total,555,False
1,MAYORA PERNA Julio Ruben,VEN,"Sep 02, 1996",72.35,A,-140,140,-155,140,73kgMen,Snatch,555,False
2,BELENO COGOLLO Walter,COL,"Nov 24, 1992",72.30,A,133,-136,-136,133,73kgMen,Snatch,555,False
3,FERREIRA DA SILVA Josue Lucas,BRA,"Aug 07, 1992",73.00,A,-130,130,-135,130,73kgMen,Snatch,555,False
4,CARES VALDES Sergio Andres,CHI,"Jul 01, 2002",72.85,A,-126,126,130,130,73kgMen,Snatch,555,False
5,PORTILLA Isaias,ECU,"Oct 04, 2000",72.65,A,125,128,-131,128,73kgMen,Snatch,555,False
6,VITULLO Valentin,ARG,"Nov 14, 1999",72.30,A,124,127,-130,127,73kgMen,Snatch,555,False
7,TERRONES MIRANDA Oscar Adrian,PER,"Jan 23, 1998",73.00,A,120,-125,-125,120,73kgMen,Snatch,555,False
8,OLIVERA Lucas Reinaldo,URU,"Jan 23, 1997",69.55,A,105,110,-115,110,73kgMen,Snatch,555,False
9,BOGADO Kyle,PAR,"Mar 20, 2006",71.10,A,95,101,105,105,73kgMen,Snatch,555,False
10,ROCA Sebastian Justiniano,BOL,"Jun 29, 2005",72.80,A,90,96,-101,96,73kgMen,Snatch,555,False
1,MAYORA PERNA Julio Ruben,VEN,"Sep 02, 1996",72.35,A,171,---,---,171,73kgMen,CleanJerk,555,False
2,BELENO COGOLLO Walter,COL,"Nov 24, 1992",72.30,A,160,165,170,170,73kgMen,CleanJerk,555,False
3,FERREIRA DA SILVA Josue Lucas,BRA,"Aug 07, 1992",73.00,A,-156,158,160,160,73kgMen,CleanJerk,555,False
4,CARES VALDES Sergio Andres,CHI,"Jul 01, 2002",72.85,A,150,155,159,159,73kgMen,CleanJerk,555,False
5,PORTILLA Isaias,ECU,"Oct 04, 2000",72.65,A,150,158,-163,158,73kgMen,CleanJerk,555,False
6,VITULLO Valentin,ARG,"Nov 14, 1999",72.30,A,148,152,-156,152,73kgMen,CleanJerk,555,False
7,OLIVERA Lucas Reinaldo,URU,"Jan 23, 1997",69.55,A,136,-141,146,146,73kgMen,CleanJerk,555,False
8,TERRONES MIRANDA Oscar Adrian,PER,"Jan 23, 1998",73.00,A,145,-152,-152,145,73kgMen,CleanJerk,555,False
9,BOGADO Kyle,PAR,"Mar 20, 2006",71.10,A,-130,130,135,135,73kgMen,CleanJerk,555,False
10,ROCA Sebastian Justiniano,BOL,"Jun 29, 2005",72.80,A,120,125,-128,125,73kgMen,CleanJerk,555,False
1,MAYORA PERNA Julio Ruben,VEN,"Sep 02, 1996",72.35,A,140,171,311,---,73kgMen,Total,555,False
2,BELENO COGOLLO Walter,COL,"Nov 24, 1992",72.30,A,133,170,303,---,73kgMen,Total,555,False
3,FERREIRA DA SILVA Josue Lucas,BRA,"Aug 07, 1992",73.00,A,130,160,290,---,73kgMen,Total,555,False
4,CARES VALDES Sergio Andres,CHI,"Jul 01, 2002",72.85,A,130,159,289,---,73kgMen,Total,555,False
5,PORTILLA Isaias,ECU,"Oct 04, 2000",72.65,A,128,158,286,---,73kgMen,Total,555,False
6,VITULLO Valentin,ARG,"Nov 14, 1999",72.30,A,127,152,279,---,73kgMen,Total,555,False
7,TERRONES MIRANDA Oscar Adrian,PER,"Jan 23, 1998",73.00,A,120,145,265,---,73kgMen,Total,555,False
8,OLIVERA Lucas Reinaldo,URU,"Jan 23, 1997",69.55,A,110,146,256,---,73kgMen,Total,555,False
9,BOGADO Kyle,PAR,"Mar 20, 2006",71.10,A,105,135,240,---,73kgMen,Total,555,False
10,ROCA Sebastian Justiniano,BOL,"Jun 29, 2005",72.80,A,96,125,221,---,73kgMen,Total,555,False
1,MALDONADO MUNOZ Gustavo Adolfo,COL,"Sep 12, 1997",81.00,A,140,145,150,150,81kgMen,Snatch,555,False
2,ESCUDERO ORDONEZ Ivan Andres,ECU,"Jan 11, 2001",81.00,A,140,145,148,148,81kgMen,Snatch,555,False
3,CASTRO PALMA Darvin Jesus,VEN,"Jun 11, 1995",80.75,A,142,-146,-147,142,81kgMen,Snatch,555,False
4,GALEANO Ariel,ARG,"Oct 18, 1995",80.85,A,126,130,-133,130,81kgMen,Snatch,555,False
5,VILLEGAS FERNANDEZ Santiago Daniel,PER,"Jun 17, 2001",80.25,A,-124,124,127,127,81kgMen,Snatch,555,False
6,IGLESIA Juan,PAR,"Mar 10, 2005",79.50,A,95,101,-104,101,81kgMen,Snatch,555,False
7,NEMER ASEFF Juan Nazur,BOL,"Feb 12, 1993",79.70,A,90,-100,-103,90,81kgMen,Snatch,555,False
1,ESCUDERO ORDONEZ Ivan Andres,ECU,"Jan 11, 2001",81.00,A,172,180,187,187,81kgMen,CleanJerk,555,False
2,MALDONADO MUNOZ Gustavo Adolfo,COL,"Sep 12, 1997",81.00,A,180,185,-190,185,81kgMen,CleanJerk,555,False
3,CASTRO PALMA Darvin Jesus,VEN,"Jun 11, 1995",80.75,A,179,-187,-187,179,81kgMen,CleanJerk,555,False
4,VILLEGAS FERNANDEZ Santiago Daniel,PER,"Jun 17, 2001",80.25,A,161,166,-171,166,81kgMen,CleanJerk,555,False
5,GALEANO Ariel,ARG,"Oct 18, 1995",80.85,A,157,-162,-163,157,81kgMen,CleanJerk,555,False
6,IGLESIA Juan,PAR,"Mar 10, 2005",79.50,A,117,121,-127,121,81kgMen,CleanJerk,555,False
7,NEMER ASEFF Juan Nazur,BOL,"Feb 12, 1993",79.70,A,110,120,-130,120,81kgMen,CleanJerk,555,False
