rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: ---,AUCOUTURIER Yann,FRA,"Born: Dec 12, 1986",B.weight: 61.80,Group: A,1: 112,2: 116,3: -119,Total: 116,62kgMen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,AUCOUTURIER Yann,FRA,"Born: Dec 12, 1986",B.weight: 61.80,Group: A,1: 138,2: -143,3: -143,Total: 138,62kgMen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: 1,AUCOUTURIER Yann,FRA,"Born: Dec 12, 1986",B.weight: 61.80,Group: A,Snatch: 116,CI&Jerk: 138,Total: 254,,62kgMen,Total,7th DENIS RANDON TOURNAMENT
Rank: ---,GRANIER Nans,FRA,"Born: Jan 01, 1987",B.weight: 84.50,Group: A,1: -130,2: 130,3: -141,Total: 130,85kgMen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,DURGUERIAN Alexandre,FRA,"Born: Jan 01, 1982",B.weight: 84.20,Group: A,1: 126,2: 131,3: 133,Total: 133,85kgMen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,BARDIS Jean Baptiste,FRA,"Born: Jan 01, 1987",B.weight: 84.30,Group: A,1: -155,2: -155,3: -155,Total: ---,85kgMen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,GRANIER Nans,FRA,"Born: Jan 01, 1987",B.weight: 84.50,Group: A,1: 155,2: 162,3: -165,Total: 162,85kgMen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: ---,DURGUERIAN Alexandre,FRA,"Born: Jan 01, 1982",B.weight: 84.20,Group: A,1: 157,2: 161,3: -163,Total: 161,85kgMen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: ---,BARDIS Jean Baptiste,FRA,"Born: Jan 01, 1987",B.weight: 84.30,Group: A,1: 175,2: 180,3: -185,Total: 180,85kgMen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: 1,DURGUERIAN Alexandre,FRA,"Born: Jan 01, 1982",B.weight: 84.20,Group: A,Snatch: 133,CI&Jerk: 161,Total: 294,,85kgMen,Total,7th DENIS RANDON TOURNAMENT
Rank: 2,GRANIER Nans,FRA,"Born: Jan 01, 1987",B.weight: 84.50,Group: A,Snatch: 130,CI&Jerk: 162,Total: 292,,85kgMen,Total,7th DENIS RANDON TOURNAMENT
Rank: ---,BARDIS Jean Baptiste,FRA,"Born: Jan 01, 1987",B.weight: 84.30,Group: A,Snatch: ---,CI&Jerk: 180,Total: ---,,85kgMen,Total,7th DENIS RANDON TOURNAMENT
Rank: ---,MANUSHI Redon,ALB,"Born: Jan 01, 1990",B.weight: 89.30,Group: A,1: 140,2: 145,3: 148,Total: 148,94kgMen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,CALANCEA Valeriu,ROU,"Born: Nov 18, 1980",B.weight: 93.10,Group: A,1: 140,2: 150,3: 160,Total: 160,94kgMen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,BOULY Kevin,FRA,"Born: Apr 26, 1981",B.weight: 93.70,Group: A,1: -145,2: 145,3: 150,Total: 150,94kgMen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,MANUSHI Redon,ALB,"Born: Jan 01, 1990",B.weight: 89.30,Group: A,1: 160,2: 167,3: -170,Total: 167,94kgMen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: ---,CALANCEA Valeriu,ROU,"Born: Nov 18, 1980",B.weight: 93.10,Group: A,1: 180,2: 200,3: 0.0,Total: 200,94kgMen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: ---,BOULY Kevin,FRA,"Born: Apr 26, 1981",B.weight: 93.70,Group: A,1: 175,2: 180,3: 185,Total: 185,94kgMen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: 1,CALANCEA Valeriu,ROU,"Born: Nov 18, 1980",B.weight: 93.10,Group: A,Snatch: 160,CI&Jerk: 200,Total: 360,,94kgMen,Total,7th DENIS RANDON TOURNAMENT
Rank: 2,BOULY Kevin,FRA,"Born: Apr 26, 1981",B.weight: 93.70,Group: A,Snatch: 150,CI&Jerk: 185,Total: 335,,94kgMen,Total,7th DENIS RANDON TOURNAMENT
Rank: 3,MANUSHI Redon,ALB,"Born: Jan 01, 1990",B.weight: 89.30,Group: A,Snatch: 148,CI&Jerk: 167,Total: 315,,94kgMen,Total,7th DENIS RANDON TOURNAMENT
Rank: ---,CARNEVALE PELLINO Vittoria,ITA,"Born: Nov 24, 1995",B.weight: 44.00,Group: A,1: 35,2: 40,3: -43,Total: 40,48kgWomen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,CARNEVALE PELLINO Vittoria,ITA,"Born: Nov 24, 1995",B.weight: 44.00,Group: A,1: 46,2: -51,3: 51,Total: 51,48kgWomen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: 1,CARNEVALE PELLINO Vittoria,ITA,"Born: Nov 24, 1995",B.weight: 44.00,Group: A,Snatch: 40,CI&Jerk: 51,Total: 91,,48kgWomen,Total,7th DENIS RANDON TOURNAMENT
Rank: ---,LORENTZ Manon Camille,FRA,"Born: Jul 17, 1991",B.weight: 51.70,Group: A,1: 60,2: 63,3: 65,Total: 65,53kgWomen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,LORENTZ Manon Camille,FRA,"Born: Jul 17, 1991",B.weight: 51.70,Group: A,1: 70,2: 73,3: 75,Total: 75,53kgWomen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: 1,LORENTZ Manon Camille,FRA,"Born: Jul 17, 1991",B.weight: 51.70,Group: A,Snatch: 65,CI&Jerk: 75,Total: 140,,53kgWomen,Total,7th DENIS RANDON TOURNAMENT
Rank: ---,COCOS Roxana Daniela,ROU,"Born: Jun 05, 1989",B.weight: 65.00,Group: A,1: 70,2: 75,3: 80,Total: 80,69kgWomen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,COCOS Roxana Daniela,ROU,"Born: Jun 05, 1989",B.weight: 65.00,Group: A,1: 90,2: 100,3: 107,Total: 107,69kgWomen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: 1,COCOS Roxana Daniela,ROU,"Born: Jun 05, 1989",B.weight: 65.00,Group: A,Snatch: 80,CI&Jerk: 107,Total: 187,,69kgWomen,Total,7th DENIS RANDON TOURNAMENT
Rank: ---,REYNAUD Cynthia,FRA,"Born: Jan 01, 1989",B.weight: 112.70,Group: A,1: 73,2: 76,3: -79,Total: 76,+75kgWomen,Snatch,7th DENIS RANDON TOURNAMENT
Rank: ---,REYNAUD Cynthia,FRA,"Born: Jan 01, 1989",B.weight: 112.70,Group: A,1: 99,2: 103,3: -106,Total: 103,+75kgWomen,CleanJerk,7th DENIS RANDON TOURNAMENT
Rank: 1,REYNAUD Cynthia,FRA,"Born: Jan 01, 1989",B.weight: 112.70,Group: A,Snatch: 76,CI&Jerk: 103,Total: 179,,+75kgWomen,Total,7th DENIS RANDON TOURNAMENT
