rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,POSADA Wilder,COL,"Sep 28, 1994",48.98,A,75,78,80,80,50kgMen,Snatch,78,True
2,ZURITA VALLEJO Walter Freddy,ECU,"Nov 18, 1993",49.06,A,73,76,-79,76,50kgMen,Snatch,78,True
3,FUENTES BOLIVAR Jordys Manuel,VEN,"Jun 12, 1993",49.50,A,69,71,-74,71,50kgMen,Snatch,78,True
4,MONTES GONGORA Jesus,MEX,"Jan 01, 1995",49.70,A,65,70,-72,70,50kgMen,Snatch,78,True
5,GIRALDO Armando,PER,"Jan 01, 1994",48.72,A,-64,64,67,67,50kgMen,Snatch,78,True
6,GONZALEZ SOTOMAYOR Alejandro,CHI,"Dec 20, 1994",46.08,A,63,66,-70,66,50kgMen,Snatch,78,True
7,ALMADA Juan Ramon,MEX,"Jan 01, 1996",49.48,A,63,-67,-67,63,50kgMen,Snatch,78,True
8,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",49.40,A,59,62,-64,62,50kgMen,Snatch,78,True
1,ZURITA VALLEJO Walter Freddy,ECU,"Nov 18, 1993",49.06,A,93,-97,97,97,50kgMen,CleanJerk,78,True
2,POSADA Wilder,COL,"Sep 28, 1994",48.98,A,93,96,-98,96,50kgMen,CleanJerk,78,True
3,MONTES GONGORA Jesus,MEX,"Jan 01, 1995",49.70,A,90,95,-98,95,50kgMen,CleanJerk,78,True
4,FUENTES BOLIVAR Jordys Manuel,VEN,"Jun 12, 1993",49.50,A,90,-95,-95,90,50kgMen,CleanJerk,78,True
5,GIRALDO Armando,PER,"Jan 01, 1994",48.72,A,84,-87,-87,84,50kgMen,CleanJerk,78,True
6,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",49.40,A,80,84,-86,84,50kgMen,CleanJerk,78,True
7,GONZALEZ SOTOMAYOR Alejandro,CHI,"Dec 20, 1994",46.08,A,78,82,-86,82,50kgMen,CleanJerk,78,True
8,ALMADA Juan Ramon,MEX,"Jan 01, 1996",49.48,A,80,-85,-85,80,50kgMen,CleanJerk,78,True
1,POSADA Wilder,COL,"Sep 28, 1994",48.98,A,80,96,176,,50kgMen,Total,78,True
2,ZURITA VALLEJO Walter Freddy,ECU,"Nov 18, 1993",49.06,A,76,97,173,,50kgMen,Total,78,True
3,MONTES GONGORA Jesus,MEX,"Jan 01, 1995",49.70,A,70,95,165,,50kgMen,Total,78,True
4,FUENTES BOLIVAR Jordys Manuel,VEN,"Jun 12, 1993",49.50,A,71,90,161,,50kgMen,Total,78,True
5,GIRALDO Armando,PER,"Jan 01, 1994",48.72,A,67,84,151,,50kgMen,Total,78,True
6,GONZALEZ SOTOMAYOR Alejandro,CHI,"Dec 20, 1994",46.08,A,66,82,148,,50kgMen,Total,78,True
7,ROJAS CONCHA Marcos Antonio,PER,"Jun 02, 1995",49.40,A,62,84,146,,50kgMen,Total,78,True
8,ALMADA Juan Ramon,MEX,"Jan 01, 1996",49.48,A,63,80,143,,50kgMen,Total,78,True
1,PRADO GUILLEN Juan Manuel,VEN,"Aug 07, 1994",55.72,A,92,96,98,98,56kgMen,Snatch,78,True
2,BARNES Darren Lamar,USA,"Jan 20, 1994",54.26,A,90,-95,95,95,56kgMen,Snatch,78,True
3,SERNA MENDOZA Jhon Jairo,COL,"Dec 03, 1994",55.10,A,91,94,-97,94,56kgMen,Snatch,78,True
4,VASQUEZ VEGAS Edwar Jose,VEN,"Jun 28, 1993",55.96,A,88,93,-97,93,56kgMen,Snatch,78,True
5,HIDALGO Daniel,ECU,"Mar 26, 1993",55.48,A,85,90,-92,90,56kgMen,Snatch,78,True
6,MUNOZ Wilson,COL,"Apr 18, 1993",55.70,A,87,90,-92,90,56kgMen,Snatch,78,True
7,PRECIADO REYES Miguel Angel,PER,"Nov 03, 1994",54.60,A,-83,-83,83,83,56kgMen,Snatch,78,True
1,SERNA MENDOZA Jhon Jairo,COL,"Dec 03, 1994",55.10,A,113,118,122,122,56kgMen,CleanJerk,78,True
2,BARNES Darren Lamar,USA,"Jan 20, 1994",54.26,A,115,120,-124,120,56kgMen,CleanJerk,78,True
3,VASQUEZ VEGAS Edwar Jose,VEN,"Jun 28, 1993",55.96,A,114,118,-121,118,56kgMen,CleanJerk,78,True
4,PRADO GUILLEN Juan Manuel,VEN,"Aug 07, 1994",55.72,A,117,-122,-123,117,56kgMen,CleanJerk,78,True
5,MUNOZ Wilson,COL,"Apr 18, 1993",55.70,A,110,115,-118,115,56kgMen,CleanJerk,78,True
6,HIDALGO Daniel,ECU,"Mar 26, 1993",55.48,A,105,110,-115,110,56kgMen,CleanJerk,78,True
7,PRECIADO REYES Miguel Angel,PER,"Nov 03, 1994",54.60,A,102,-107,108,108,56kgMen,CleanJerk,78,True
1,SERNA MENDOZA Jhon Jairo,COL,"Dec 03, 1994",55.10,A,94,122,216,,56kgMen,Total,78,True
2,BARNES Darren Lamar,USA,"Jan 20, 1994",54.26,A,95,120,215,,56kgMen,Total,78,True
3,PRADO GUILLEN Juan Manuel,VEN,"Aug 07, 1994",55.72,A,98,117,215,,56kgMen,Total,78,True
4,VASQUEZ VEGAS Edwar Jose,VEN,"Jun 28, 1993",55.96,A,93,118,211,,56kgMen,Total,78,True
5,MUNOZ Wilson,COL,"Apr 18, 1993",55.70,A,90,115,205,,56kgMen,Total,78,True
6,HIDALGO Daniel,ECU,"Mar 26, 1993",55.48,A,90,110,200,,56kgMen,Total,78,True
