rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 1,PAN-EM Tanasak,THA,"Born: Aug 19, 1985",B.weight: 55.32,Group: A,1: 101,2: 105,3: -108,Total: 105,56kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 2,OKADA Hidenori,JPN,"Born: May 18, 1984",B.weight: 55.66,Group: A,1: 95,2: -100,3: -100,Total: 95,56kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 3,SINDONI Giovanni,ITA,"Born: Dec 06, 1980",B.weight: 55.22,Group: A,1: 70,2: 75,3: 80,Total: 80,56kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 1,PAN-EM Tanasak,THA,"Born: Aug 19, 1985",B.weight: 55.32,Group: A,1: 130,2: 135,3: 138,Total: 138,56kgMen,CleanJerk,9th UNIVERSITY WORLD CUP
Rank: 2,OKADA Hidenori,JPN,"Born: May 18, 1984",B.weight: 55.66,Group: A,1: 120,2: 125,3: 130,Total: 130,56kgMen,CleanJerk,9th UNIVERSITY WORLD CUP
Rank: 3,SINDONI Giovanni,ITA,"Born: Dec 06, 1980",B.weight: 55.22,Group: A,1: 90,2: - 95,3: - 95,Total: 90,56kgMen,CleanJerk,9th UNIVERSITY WORLD CUP
Rank: 1,PAN-EM Tanasak,THA,"Born: Aug 19, 1985",B.weight: 55.32,Group: A,Snatch: 105,CI&Jerk: 138,Total: 243.0,,56kgMen,Total,9th UNIVERSITY WORLD CUP
Rank: 2,OKADA Hidenori,JPN,"Born: May 18, 1984",B.weight: 55.66,Group: A,Snatch: 95,CI&Jerk: 130,Total: 225.0,,56kgMen,Total,9th UNIVERSITY WORLD CUP
Rank: 3,SINDONI Giovanni,ITA,"Born: Dec 06, 1980",B.weight: 55.22,Group: A,Snatch: 80,CI&Jerk: 90,Total: 170.0,,56kgMen,Total,9th UNIVERSITY WORLD CUP
Rank: 1,ZHANG Jie,CHN,"Born: Aug 26, 1987",B.weight: 61.78,Group: A,1: 126,2: 130,3: -135,Total: 130,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 2,KRITPHET Withawat,THA,"Born: Jul 20, 1983",B.weight: 61.14,Group: A,1: 120,2: 123,3: 125,Total: 125,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 3,BILGIN Erol,TUR,"Born: Feb 20, 1987",B.weight: 61.76,Group: A,1: 120,2: 123,3: 125,Total: 125,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 4,PRAMOT Phetcharat,THA,"Born: Dec 07, 1984",B.weight: 61.56,Group: A,1: 115,2: 120,3: -122,Total: 120,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 5,HUDAYBERGENOV Tolkunbek,TKM,"Born: Jan 04, 1986",B.weight: 61.20,Group: A,1: 110,2: 115,3: -120,Total: 115,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 6,IOROI Masakazu,JPN,"Born: Nov 12, 1985",B.weight: 61.48,Group: A,1: 110,2: 115,3: -118,Total: 115,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 7,JOHNSON Derrick Rshone,USA,"Born: Jan 06, 1985",B.weight: 61.46,Group: A,1: -107,2: 107,3: 111,Total: 111,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 8,YAMAUCHI Kyle,USA,"Born: Mar 05, 1983",B.weight: 61.48,Group: A,1: 105,2: -110,3: 110,Total: 110,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 9,KARPOUZOGLOU Panagiotis,GRE,"Born: Jun 26, 1987",B.weight: 61.08,Group: A,1: 102,2: 107,3: -110,Total: 107,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 10,NIAZALIEV Rustam,KGZ,"Born: Jul 16, 1985",B.weight: 61.48,Group: A,1: - 95,2: 95,3: 100,Total: 100,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 11,EUAN Fabian,MEX,"Born: Jan 22, 1984",B.weight: 61.82,Group: A,1: - 90,2: - 90,3: 90,Total: 90,62kgMen,Snatch,9th UNIVERSITY WORLD CUP
Rank: 1,BILGIN Erol,TUR,"Born: Feb 20, 1987",B.weight: 61.76,Group: A,1: 150,2: 155,3: 160,Total: 160,62kgMen,CleanJerk,9th UNIVERSITY WORLD CUP
Rank: 2,ZHANG Jie,CHN,"Born: Aug 26, 1987",B.weight: 61.78,Group: A,1: 155,2: -160,3: 160,Total: 160,62kgMen,CleanJerk,9th UNIVERSITY WORLD CUP
Rank: 3,HUDAYBERGENOV Tolkunbek,TKM,"Born: Jan 04, 1986",B.weight: 61.20,Group: A,1: 141,2: 147,3: -150,Total: 147,62kgMen,CleanJerk,9th UNIVERSITY WORLD CUP
