rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,MUTLU Halil,TUR,"Jul 14, 1973",55.66,A,130,-135,135,135,56kgMen,Snatch,96,True
2,LAN Shizhang,CHN,"Feb 09, 1974",55.85,A,122.5,127.5,-130,127.5,56kgMen,Snatch,96,True
3,VARGAS William Trujillo,CUB,"Sep 17, 1970",55.94,A,127.5,-130,-132.5,127.5,56kgMen,Snatch,96,True
4,IVANOV Ivan,BUL,"Jan 01, 1971",55.86,A,122.5,-127.5,-127.5,122.5,56kgMen,Snatch,96,True
5,CIHAREAN Traian,ROU,"Jul 13, 1969",55.87,A,115,120,-122.5,120,56kgMen,Snatch,96,True
6,JIGAU Adrian Ioan,ROU,"Jan 06, 1970",55.79,A,117.5,-122.5,-122.5,117.5,56kgMen,Snatch,96,True
7,TANCSICS Laszlo,HUN,"May 19, 1978",55.18,A,110,115,-117.5,115,56kgMen,Snatch,96,True
8,BONNEL Eric,FRA,"Aug 18, 1974",55.50,A,-110,110,-115,110,56kgMen,Snatch,96,True
9,HEMID Ali Mohamed,EGY,"Jan 01, 1971",55.81,A,102.5,107.5,110,110,56kgMen,Snatch,96,True
10,NOTOMI Toshiyuki,JPN,"Jun 15, 1971",55.28,A,-105,105,107.5,107.5,56kgMen,Snatch,96,True
11,LAGACE Francois,CAN,"Oct 13, 1971",55.62,A,95,100,102.5,102.5,56kgMen,Snatch,96,True
12,BENAMI Nafaa,ALG,"Nov 08, 1974",54.24,A,90,-100,100,100,56kgMen,Snatch,96,True
13,PONCHARD Michael,FRA,"May 27, 1978",55.69,A,95,-100,-100,95,56kgMen,Snatch,96,True
14,SHAVALOV Anatoli,ISR,"Jan 01, 1977",55.83,A,95,-100,-100,95,56kgMen,Snatch,96,True
---,FERNANDEZ Juan Carlos,COL,"Mar 03, 1976",55.90,A,-110,-110,-110,---,56kgMen,Snatch,96,True
---,OLEINIK Gennadi,ISR,"Feb 26, 1972",55.80,A,-95,-95,---,---,56kgMen,Snatch,96,True
1,MUTLU Halil,TUR,"Jul 14, 1973",55.66,A,-160,160,-166,160,56kgMen,CleanJerk,96,True
2,IVANOV Ivan,BUL,"Jan 01, 1971",55.86,A,155,160,-165,160,56kgMen,CleanJerk,96,True
3,LAN Shizhang,CHN,"Feb 09, 1974",55.85,A,-157.5,157.5,-165,157.5,56kgMen,CleanJerk,96,True
4,VARGAS William Trujillo,CUB,"Sep 17, 1970",55.94,A,150,155,-160,155,56kgMen,CleanJerk,96,True
5,JIGAU Adrian Ioan,ROU,"Jan 06, 1970",55.79,A,-145,145,-155,145,56kgMen,CleanJerk,96,True
6,BONNEL Eric,FRA,"Aug 18, 1974",55.50,A,135,140,142.5,142.5,56kgMen,CleanJerk,96,True
7,CIHAREAN Traian,ROU,"Jul 13, 1969",55.87,A,-140,140,-145,140,56kgMen,CleanJerk,96,True
8,FERNANDEZ Juan Carlos,COL,"Mar 03, 1976",55.90,A,135,140,-142.5,140,56kgMen,CleanJerk,96,True
9,NOTOMI Toshiyuki,JPN,"Jun 15, 1971",55.28,A,135,-137.5,137.5,137.5,56kgMen,CleanJerk,96,True
10,TANCSICS Laszlo,HUN,"May 19, 1978",55.18,A,135,-140,-140,135,56kgMen,CleanJerk,96,True
