rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,DE LAS SALAS DE LA ROSA Habib,COL,"Born: Apr 19, 1987",B.weight: 55.85,Group: A,1: 115,2: -118,3: 118,Total: 118,56kgMen,Snatch,360
Rank: 2,BERNA GONZALEZ Carlos Andres,COL,"Born: Jan 21, 1990",B.weight: 55.87,Group: A,1: 112,2: -115,3: -115,Total: 112,56kgMen,Snatch,360
Rank: 3,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 55.92,Group: A,1: -106,2: 106,3: 110,Total: 110,56kgMen,Snatch,360
Rank: 4,MONTES GONGORA Jose Lino,MEX,"Born: Apr 18, 1989",B.weight: 56.00,Group: A,1: 105,2: 110,3: -113,Total: 110,56kgMen,Snatch,360
Rank: 5,PINEDA ZETA Edgar Ismael,GUA,"Born: Aug 17, 1997",B.weight: 55.95,Group: A,1: 100,2: 103,3: 106,Total: 106,56kgMen,Snatch,360
Rank: 6,GUILLEN UTRA Yoan Arley,CUB,"Born: Sep 08, 1995",B.weight: 55.73,Group: A,1: 101,2: 105,3: -107,Total: 105,56kgMen,Snatch,360
Rank: 7,ZURITA VALLEJO Walter Freddy,ECU,"Born: Nov 18, 1993",B.weight: 55.88,Group: A,1: 101,2: 105,3: -107,Total: 105,56kgMen,Snatch,360
Rank: 8,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.88,Group: A,1: 98,2: 102,3: 104,Total: 104,56kgMen,Snatch,360
Rank: 9,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.94,Group: A,1: -100,2: 102,3: -106,Total: 102,56kgMen,Snatch,360
Rank: 10,SOTO MONTECINO Diego,CHI,"Born: Jan 25, 1988",B.weight: 55.84,Group: A,1: - 97,2: 97,3: 100,Total: 100,56kgMen,Snatch,360
Rank: 11,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.89,Group: A,1: 99,2: -103,3: -103,Total: 99,56kgMen,Snatch,360
Rank: 12,LOPEZ CARRANZA Brandy,PER,"Born: Oct 15, 1998",B.weight: 55.93,Group: A,1: 92,2: 96,3: 99,Total: 99,56kgMen,Snatch,360
Rank: 13,GUZMAN PEREZ Bryan Gilberto,PUR,"Born: Nov 30, 1997",B.weight: 55.91,Group: A,1: 90,2: 95,3: 98,Total: 98,56kgMen,Snatch,360
Rank: 14,ROJAS BRIONES Kevin Yorjanny,CRC,"Born: Mar 28, 1996",B.weight: 55.73,Group: A,1: - 75,2: 75,3: - 80,Total: 75,56kgMen,Snatch,360
Rank: 1,DE LAS SALAS DE LA ROSA Habib,COL,"Born: Apr 19, 1987",B.weight: 55.85,Group: A,1: 145,2: 150,3: -153,Total: 150,56kgMen,CleanJerk,360
Rank: 2,BERNA GONZALEZ Carlos Andres,COL,"Born: Jan 21, 1990",B.weight: 55.87,Group: A,1: 145,2: -150,3: 150,Total: 150,56kgMen,CleanJerk,360
Rank: 3,MONTES GONGORA Jose Lino,MEX,"Born: Apr 18, 1989",B.weight: 56.00,Group: A,1: 145,2: -150,3: 150,Total: 150,56kgMen,CleanJerk,360
Rank: 4,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 55.92,Group: A,1: 137,2: 145,3: -149,Total: 145,56kgMen,CleanJerk,360
Rank: 5,PINEDA ZETA Edgar Ismael,GUA,"Born: Aug 17, 1997",B.weight: 55.95,Group: A,1: 138,2: -141,3: -141,Total: 138,56kgMen,CleanJerk,360
Rank: 6,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.94,Group: A,1: 133,2: 136,3: -139,Total: 136,56kgMen,CleanJerk,360
Rank: 7,GUILLEN UTRA Yoan Arley,CUB,"Born: Sep 08, 1995",B.weight: 55.73,Group: A,1: 130,2: 135,3: -140,Total: 135,56kgMen,CleanJerk,360
Rank: 8,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.88,Group: A,1: 128,2: 132,3: 134,Total: 134,56kgMen,CleanJerk,360
Rank: 9,LOPEZ CARRANZA Brandy,PER,"Born: Oct 15, 1998",B.weight: 55.93,Group: A,1: 127,2: 132,3: 134,Total: 134,56kgMen,CleanJerk,360
Rank: 10,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.89,Group: A,1: 129,2: -133,3: 133,Total: 133,56kgMen,CleanJerk,360
Rank: 11,SOTO MONTECINO Diego,CHI,"Born: Jan 25, 1988",B.weight: 55.84,Group: A,1: 125,2: 128,3: 130,Total: 130,56kgMen,CleanJerk,360
