total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SALIMIKORDASIABI Behdad,5130,1989-12-08,21.334246575342465,M,IRI,A,165,+105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,200,205,208,208,241,250,NA,250,458
2,4,3,MOULAEI Bahador,6472,1992-03-21,19.05191256830601,M,IRI,A,119.4,+105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,165,171,176,176,210,217,222,222,398
3,5,2,ALI Mhd,2300,1982-10-03,28.515068493150686,M,SYR,A,116.8,+105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,160,167,171,171,210,217,222,222,393
4,3,4,OTA Kazuomi,3639,1986-07-01,24.77260273972603,M,JPN,A,145.9,+105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,-175,175,180,180,205,213,-221,213,393
NA,2,NA,SUN Hai Bo,2485,1983-03-25,28.040983606557376,M,CHN,A,146,+105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,195,200,-203,200,-240,-241,-241,NA,NA
1,2,1,MENG Suping,4967,1989-07-17,21.72876712328767,W,CHN,A,118.8,+75 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,123,130,134,134,160,165,170,170,304
2,1,2,ZHOU Lulu,4351,1988-03-19,23.057377049180328,W,CHN,A,132.54,+75 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,135,-141,141,141,153,158,NA,158,299
3,3,3,ABORNEVA Alexandra,3748,1986-10-30,24.44109589041096,W,KAZ,A,98.74,+75 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,105,110,-112,110,135,140,143,143,253
4,4,4,SHIMAMOTO Mami,4128,1987-09-24,23.53972602739726,W,JPN,A,103.7,+75 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,-105,105,108,108,135,139,-143,139,247
1,1,2,YANG Zhe,6015,1991-07-14,19.736986301369864,M,CHN,A,104.36,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,180,185,187,187,211,-216,216,216,403
2,3,1,JUGHELI Ahed,2304,1982-10-10,28.495890410958904,M,SYR,A,104.36,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,-175,175,180,180,212,217,-224,217,397
3,2,3,ISTOMIN Sergey,3468,1986-01-24,25.205479452054796,M,KAZ,A,104.36,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,175,181,-186,181,-210,210,215,215,396
4,4,4,MAJIDI Hamed,4354,1988-03-21,23.05191256830601,M,IRI,A,104.32,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,165,-171,171,171,200,210,-215,210,381
5,5,9,KOPYTOV Stanislav,4274,1988-01-19,23.21917808219178,M,KAZ,A,101.9,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,-170,-170,170,170,195,-201,-201,195,365
6,6,6,DADVAND Yaser,5175,1990-01-01,21.268493150684932,M,IRI,A,103.06,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,165,-172,-172,165,200,-210,-210,200,365
7,7,8,ASAAD Kasem,4418,1988-05-25,22.873972602739727,M,SYR,A,104.16,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,153,160,162,162,-191,191,196,196,358
8,8,5,NUCHPUM Khunchai,1717,1980-10-20,30.46849315068493,M,THA,A,97.86,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,145,150,-155,150,190,195,200,200,350
NA,NA,7,SHIRAISHI Hiroaki,5085,1989-10-24,21.457534246575342,M,JPN,A,101.54,105 kg Men,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,-140,-140,-140,NA,-190,190,197,197,NA
1,1,1,TIAN Yuan,7109,1993-01-29,18.19178082191781,W,CHN,A,47.74,48 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,88,93,-96,93,113,-122,-122,113,206
2,3,2,WEN Shih-Ping,3737,1986-10-20,24.46849315068493,W,TPE,A,47.46,48 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,65,68,-70,68,85,89,90,90,158
3,4,3,KHUMUKCHAM Sanjita Chanu,7863,1994-01-02,17.265753424657536,W,IND,A,47.56,48 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,65,68,-70,68,85,89,90,90,158
4,5,4,SISOEVA Marina,7363,1993-05-30,17.86027397260274,W,UZB,A,46.7,48 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,61,64,66,66,82,86,-92,86,152
5,2,5,TOGOEVA Makhliyo,6316,1992-01-07,19.252054794520546,W,UZB,A,47.32,48 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,62,65,68,68,78,82,-85,82,150
1,1,1,LI Ping,4564,1988-09-15,22.564383561643837,W,CHN,A,52.96,53 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,90,-95,-95,90,120,125,-128,125,215
2,2,2,YU Weili,2559,1983-06-24,27.791780821917808,W,HKG,A,52.72,53 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,85,-90,-90,85,105,110,-113,110,195
3,3,3,MATSA Santoshi,8017,1994-03-10,17.081967213114755,W,IND,A,51.42,53 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,-65,-65,70,70,83,88,-92,88,158
4,4,4,CHAKMA Fullapati,9663,1996-06-05,14.843835616438357,W,BAN,A,51.04,53 kg Women,0,1,142,23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,2011-04-09,58,-62,-62,58,70,75,-78,75,133
