rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,SAHIN Muammer,TUR,"Born: Feb 05, 1994",B.weight: 55.94,Group: A,1: 104,2: 107,3: -109,Total: 107,56kgMen,Snatch,239
Rank: 2,SERNA MENDOZA Jhon Jairo,COL,"Born: Dec 03, 1994",B.weight: 55.81,Group: A,1: 103,2: -106,3: 106,Total: 106,56kgMen,Snatch,239
Rank: 3,WEI Xiameng,CHN,"Born: Jan 05, 1995",B.weight: 55.86,Group: A,1: 105,2: -110,3: -110,Total: 105,56kgMen,Snatch,239
Rank: 4,CHETIA Apurba,IND,"Born: May 06, 1994",B.weight: 55.98,Group: A,1: 98,2: 102,3: -105,Total: 102,56kgMen,Snatch,239
Rank: 5,ALBACHACHI Ali Ahmed Abd Ali,IRQ,"Born: Apr 23, 1994",B.weight: 54.33,Group: A,1: 97,2: -101,3: 101,Total: 101,56kgMen,Snatch,239
Rank: 6,MUHAMAD Aznil Bin Bidin,MAS,"Born: Jun 04, 1994",B.weight: 55.82,Group: A,1: -100,2: -100,3: 100,Total: 100,56kgMen,Snatch,239
Rank: 7,ZULHELMI Bin Md Pisol,MAS,"Born: Aug 22, 1993",B.weight: 56.00,Group: A,1: 100,2: -103,3: -103,Total: 100,56kgMen,Snatch,239
Rank: 8,HIRAI Hayato,JPN,"Born: Aug 08, 1994",B.weight: 55.99,Group: B,1: - 95,2: 95,3: 98,Total: 98,56kgMen,Snatch,239
Rank: 9,BERIS ESCALONA Eduar Jose,VEN,"Born: May 29, 1993",B.weight: 55.94,Group: B,1: - 97,2: - 97,3: 97,Total: 97,56kgMen,Snatch,239
Rank: 10,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 53.80,Group: B,1: 90,2: - 95,3: 96,Total: 96,56kgMen,Snatch,239
Rank: 11,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.58,Group: A,1: 92,2: 96,3: - 98,Total: 96,56kgMen,Snatch,239
Rank: 12,TSAI Ming-Chun,TPE,"Born: Oct 01, 1993",B.weight: 55.80,Group: B,1: - 93,2: 93,3: - 97,Total: 93,56kgMen,Snatch,239
Rank: 13,LAHUANAMPA CASTILLO Flavio S.,PER,"Born: Sep 16, 1996",B.weight: 55.83,Group: B,1: 80,2: 85,3: 88,Total: 88,56kgMen,Snatch,239
Rank: 14,POVEDA Brayan,BOL,"Born: Oct 27, 1993",B.weight: 55.69,Group: B,1: 60,2: 65,3: 72,Total: 72,56kgMen,Snatch,239
Rank: ---,BARNES Darren Lamar,USA,"Born: Jan 20, 1994",B.weight: 55.32,Group: A,1: -101,2: -101,3: -101,Total: ---,56kgMen,Snatch,239
Rank: ---,GUO Ding-Nan,TPE,"Born: Jul 12, 1994",B.weight: 55.90,Group: B,1: - 90,2: - 90,3: - 90,Total: ---,56kgMen,Snatch,239
Rank: 1,WEI Xiameng,CHN,"Born: Jan 05, 1995",B.weight: 55.86,Group: A,1: 135,2: 139,3: -145,Total: 139,56kgMen,CleanJerk,239
Rank: 2,SERNA MENDOZA Jhon Jairo,COL,"Born: Dec 03, 1994",B.weight: 55.81,Group: A,1: 130,2: 133,3: 137,Total: 137,56kgMen,CleanJerk,239
Rank: 3,BARNES Darren Lamar,USA,"Born: Jan 20, 1994",B.weight: 55.32,Group: A,1: -128,2: -132,3: 133,Total: 133,56kgMen,CleanJerk,239
Rank: 4,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.58,Group: A,1: 123,2: 128,3: 132,Total: 132,56kgMen,CleanJerk,239
