rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,BARU Morea,PNG,"Born: Apr 15, 1990",B.weight: 55.95,Group: A,1: 94,2: -98,3: -98,Total: 94,56kgMen,Snatch,246
Rank: ---,OALA Fred Karoho,PNG,"Born: Sep 12, 1996",B.weight: 55.55,Group: A,1: 80,2: 86,3: -90,Total: 86,56kgMen,Snatch,246
Rank: ---,GUINARES Lou,NZL,"Born: Mar 18, 1990",B.weight: 55.40,Group: A,1: 89,2: -92,3: -92,Total: 89,56kgMen,Snatch,246
Rank: ---,BARU Morea,PNG,"Born: Apr 15, 1990",B.weight: 55.95,Group: A,1: 121,2: 128,3: -132,Total: 128,56kgMen,CleanJerk,246
Rank: ---,OALA Fred Karoho,PNG,"Born: Sep 12, 1996",B.weight: 55.55,Group: A,1: 105,2: 118,3: -123,Total: 118,56kgMen,CleanJerk,246
Rank: ---,GUINARES Lou,NZL,"Born: Mar 18, 1990",B.weight: 55.40,Group: A,1: 114,2: 119,3: -126,Total: 119,56kgMen,CleanJerk,246
Rank: 1,BARU Morea,PNG,"Born: Apr 15, 1990",B.weight: 55.95,Group: A,Snatch: 94,CI&Jerk: 128,Total: 222,,56kgMen,Total,246
Rank: 2,GUINARES Lou,NZL,"Born: Mar 18, 1990",B.weight: 55.40,Group: A,Snatch: 89,CI&Jerk: 119,Total: 208,,56kgMen,Total,246
Rank: 3,OALA Fred Karoho,PNG,"Born: Sep 12, 1996",B.weight: 55.55,Group: A,Snatch: 86,CI&Jerk: 118,Total: 204,,56kgMen,Total,246
Rank: ---,KEVAU Isi Scophil,PNG,"Born: Mar 10, 1996",B.weight: 60.60,Group: A,1: -60,2: 60,3: 65,Total: 65,62kgMen,Snatch,246
Rank: ---,MANZO Chirk Douglas Carmine,TGA,"Born: Oct 04, 1998",B.weight: 61.45,Group: A,1: 65,2: 70,3: 75,Total: 75,62kgMen,Snatch,246
Rank: ---,BE Vannara,AUS,"Born: Feb 16, 1988",B.weight: 61.60,Group: A,1: 104,2: 110,3: -112,Total: 110,62kgMen,Snatch,246
Rank: ---,LAPUA Lapua Tuau,TUV,"Born: Apr 15, 1991",B.weight: 61.40,Group: A,1: 110,2: 115,3: -119,Total: 115,62kgMen,Snatch,246
Rank: ---,GUINARES Ianne Ernesto Vergara,NZL,"Born: Jan 12, 1988",B.weight: 61.40,Group: A,1: 106,2: 110,3: 114,Total: 114,62kgMen,Snatch,246
Rank: ---,MINGINFEL Manuel,FSM,"Born: Sep 28, 1978",B.weight: 61.80,Group: A,1: 105,2: -110,3: 110,Total: 110,62kgMen,Snatch,246
Rank: ---,MOREA Ignatius,PNG,"Born: Aug 27, 1995",B.weight: 61.15,Group: A,1: 70,2: 78,3: -83,Total: 78,62kgMen,Snatch,246
Rank: ---,IOANE Vaipava Nevo,SAM,"Born: Apr 14, 1988",B.weight: 61.65,Group: A,1: 107,2: -111,3: -111,Total: 107,62kgMen,Snatch,246
Rank: ---,ENOCH Peter,MHL,"Born: Sep 10, 1997",B.weight: 61.15,Group: A,1: 85,2: 90,3: 94,Total: 94,62kgMen,Snatch,246
Rank: ---,KEVAU Isi Scophil,PNG,"Born: Mar 10, 1996",B.weight: 60.60,Group: A,1: 70,2: 80,3: 87,Total: 87,62kgMen,CleanJerk,246
Rank: ---,MANZO Chirk Douglas Carmine,TGA,"Born: Oct 04, 1998",B.weight: 61.45,Group: A,1: 85,2: -90,3: -90,Total: 85,62kgMen,CleanJerk,246
Rank: ---,BE Vannara,AUS,"Born: Feb 16, 1988",B.weight: 61.60,Group: A,1: 133,2: 138,3: -142,Total: 138,62kgMen,CleanJerk,246
Rank: ---,LAPUA Lapua Tuau,TUV,"Born: Apr 15, 1991",B.weight: 61.40,Group: A,1: -140,2: 140,3: -144,Total: 140,62kgMen,CleanJerk,246
Rank: ---,GUINARES Ianne Ernesto Vergara,NZL,"Born: Jan 12, 1988",B.weight: 61.40,Group: A,1: 137,2: 142,3: -145,Total: 142,62kgMen,CleanJerk,246
Rank: ---,MINGINFEL Manuel,FSM,"Born: Sep 28, 1978",B.weight: 61.80,Group: A,1: 140,2: -145,3: 147,Total: 147,62kgMen,CleanJerk,246
Rank: ---,MOREA Ignatius,PNG,"Born: Aug 27, 1995",B.weight: 61.15,Group: A,1: 95,2: 100,3: -105,Total: 100,62kgMen,CleanJerk,246
Rank: ---,IOANE Vaipava Nevo,SAM,"Born: Apr 14, 1988",B.weight: 61.65,Group: A,1: 146,2: 150,3: -152,Total: 150,62kgMen,CleanJerk,246
Rank: ---,ENOCH Peter,MHL,"Born: Sep 10, 1997",B.weight: 61.15,Group: A,1: -113,2: 113,3: 118,Total: 118,62kgMen,CleanJerk,246
Rank: 1,IOANE Vaipava Nevo,SAM,"Born: Apr 14, 1988",B.weight: 61.65,Group: A,Snatch: 107,CI&Jerk: 150,Total: 257,,62kgMen,Total,246
Rank: 2,MINGINFEL Manuel,FSM,"Born: Sep 28, 1978",B.weight: 61.80,Group: A,Snatch: 110,CI&Jerk: 147,Total: 257,,62kgMen,Total,246
Rank: 3,GUINARES Ianne Ernesto Vergara,NZL,"Born: Jan 12, 1988",B.weight: 61.40,Group: A,Snatch: 114,CI&Jerk: 142,Total: 256,,62kgMen,Total,246
Rank: 4,LAPUA Lapua Tuau,TUV,"Born: Apr 15, 1991",B.weight: 61.40,Group: A,Snatch: 115,CI&Jerk: 140,Total: 255,,62kgMen,Total,246
Rank: 5,BE Vannara,AUS,"Born: Feb 16, 1988",B.weight: 61.60,Group: A,Snatch: 110,CI&Jerk: 138,Total: 248,,62kgMen,Total,246
Rank: 6,ENOCH Peter,MHL,"Born: Sep 10, 1997",B.weight: 61.15,Group: A,Snatch: 94,CI&Jerk: 118,Total: 212,,62kgMen,Total,246
Rank: 7,MOREA Ignatius,PNG,"Born: Aug 27, 1995",B.weight: 61.15,Group: A,Snatch: 78,CI&Jerk: 100,Total: 178,,62kgMen,Total,246
Rank: 8,MANZO Chirk Douglas Carmine,TGA,"Born: Oct 04, 1998",B.weight: 61.45,Group: A,Snatch: 75,CI&Jerk: 85,Total: 160,,62kgMen,Total,246
Rank: 9,KEVAU Isi Scophil,PNG,"Born: Mar 10, 1996",B.weight: 60.60,Group: A,Snatch: 65,CI&Jerk: 87,Total: 152,,62kgMen,Total,246
Rank: ---,BRECHTEFELD Elson Edward,NRU,"Born: Mar 02, 1994",B.weight: 67.30,Group: A,1: 108,2: -112,3: 112,Total: 112,69kgMen,Snatch,246
Rank: ---,PATRIS Stevick,PLW,"Born: Jan 17, 1991",B.weight: 64.20,Group: A,1: 107,2: 111,3: 114,Total: 114,69kgMen,Snatch,246
Rank: ---,RANGIDIMI Chris Akarba,NRU,"Born: Aug 07, 1995",B.weight: 68.50,Group: A,1: 85,2: -90,3: 90,Total: 90,69kgMen,Snatch,246
Rank: ---,PALANITE Ofatonga,TGA,"Born: Jan 30, 1995",B.weight: 67.05,Group: A,1: 95,2: 99,3: -103,Total: 99,69kgMen,Snatch,246
Rank: ---,SIOLAA Penisimani Angelo Fonua,TGA,"Born: Apr 23, 1994",B.weight: 67.45,Group: A,1: 80,2: -86,3: -86,Total: 80,69kgMen,Snatch,246
Rank: ---,FANOLUA Pita Junior,ASA,"Born: Oct 10, 1996",B.weight: 67.75,Group: A,1: 70,2: 75,3: -80,Total: 75,69kgMen,Snatch,246
Rank: ---,VILLALON Vester Louie,NZL,"Born: Nov 13, 1991",B.weight: 68.50,Group: A,1: 107,2: 112,3: -116,Total: 112,69kgMen,Snatch,246
Rank: ---,PUKA Bill Jack,PNG,"Born: May 31, 1995",B.weight: 63.60,Group: A,1: 65,2: -70,3: 70,Total: 70,69kgMen,Snatch,246
Rank: ---,BRECHTEFELD Elson Edward,NRU,"Born: Mar 02, 1994",B.weight: 67.30,Group: A,1: 140,2: 144,3: 147,Total: 147,69kgMen,CleanJerk,246
Rank: ---,PATRIS Stevick,PLW,"Born: Jan 17, 1991",B.weight: 64.20,Group: A,1: 138,2: 141,3: -144,Total: 141,69kgMen,CleanJerk,246
Rank: ---,RANGIDIMI Chris Akarba,NRU,"Born: Aug 07, 1995",B.weight: 68.50,Group: A,1: 120,2: 125,3: -130,Total: 125,69kgMen,CleanJerk,246
Rank: ---,PALANITE Ofatonga,TGA,"Born: Jan 30, 1995",B.weight: 67.05,Group: A,1: 110,2: 115,3: -120,Total: 115,69kgMen,CleanJerk,246
Rank: ---,SIOLAA Penisimani Angelo Fonua,TGA,"Born: Apr 23, 1994",B.weight: 67.45,Group: A,1: 105,2: 110,3: -115,Total: 110,69kgMen,CleanJerk,246
Rank: ---,FANOLUA Pita Junior,ASA,"Born: Oct 10, 1996",B.weight: 67.75,Group: A,1: 85,2: -95,3: -95,Total: 85,69kgMen,CleanJerk,246
Rank: ---,VILLALON Vester Louie,NZL,"Born: Nov 13, 1991",B.weight: 68.50,Group: A,1: -140,2: -140,3: -140,Total: ---,69kgMen,CleanJerk,246
Rank: ---,PUKA Bill Jack,PNG,"Born: May 31, 1995",B.weight: 63.60,Group: A,1: -85,2: 85,3: -90,Total: 85,69kgMen,CleanJerk,246
Rank: 1,BRECHTEFELD Elson Edward,NRU,"Born: Mar 02, 1994",B.weight: 67.30,Group: A,Snatch: 112,CI&Jerk: 147,Total: 259,,69kgMen,Total,246
Rank: 2,PATRIS Stevick,PLW,"Born: Jan 17, 1991",B.weight: 64.20,Group: A,Snatch: 114,CI&Jerk: 141,Total: 255,,69kgMen,Total,246
Rank: 3,RANGIDIMI Chris Akarba,NRU,"Born: Aug 07, 1995",B.weight: 68.50,Group: A,Snatch: 90,CI&Jerk: 125,Total: 215,,69kgMen,Total,246
Rank: 4,PALANITE Ofatonga,TGA,"Born: Jan 30, 1995",B.weight: 67.05,Group: A,Snatch: 99,CI&Jerk: 115,Total: 214,,69kgMen,Total,246
Rank: 5,SIOLAA Penisimani Angelo Fonua,TGA,"Born: Apr 23, 1994",B.weight: 67.45,Group: A,Snatch: 80,CI&Jerk: 110,Total: 190,,69kgMen,Total,246
Rank: 6,FANOLUA Pita Junior,ASA,"Born: Oct 10, 1996",B.weight: 67.75,Group: A,Snatch: 75,CI&Jerk: 85,Total: 160,,69kgMen,Total,246
Rank: 7,PUKA Bill Jack,PNG,"Born: May 31, 1995",B.weight: 63.60,Group: A,Snatch: 70,CI&Jerk: 85,Total: 155,,69kgMen,Total,246
Rank: ---,VILLALON Vester Louie,NZL,"Born: Nov 13, 1991",B.weight: 68.50,Group: A,Snatch: 112,CI&Jerk: ---,Total: ---,,69kgMen,Total,246
Rank: ---,MAGISTRADO Paulo,AUS,"Born: Jan 01, 1992",B.weight: 76.00,Group: A,1: -112,2: -112,3: -112,Total: ---,77kgMen,Snatch,246
Rank: ---,PERIVE Toafitu,SAM,"Born: Jan 07, 1985",B.weight: 74.40,Group: A,1: -122,2: 122,3: -127,Total: 122,77kgMen,Snatch,246
Rank: ---,FELETI Jack Junior Hanisi Poitoa,NIU,"Born: Jul 24, 1995",B.weight: 76.25,Group: A,1: 70,2: 75,3: 78,Total: 78,77kgMen,Snatch,246
Rank: ---,UNGA Selimoti,TGA,"Born: Dec 29, 1993",B.weight: 74.30,Group: A,1: 85,2: 90,3: -94,Total: 90,77kgMen,Snatch,246
Rank: ---,WAIBEIYA Tom-Jaye,NRU,"Born: Dec 17, 1995",B.weight: 76.25,Group: A,1: 100,2: -105,3: 105,Total: 105,77kgMen,Snatch,246
Rank: ---,HAN Terry,NZL,"Born: Jul 26, 1989",B.weight: 76.45,Group: A,1: 108,2: 111,3: 114,Total: 114,77kgMen,Snatch,246
