total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,NA,NA,DETENAMO Itte,3881,1986-09-22,23,M,NRU,A,151.8,+105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,176,0,0,0,210,386
2,NA,NA,PERA Samuel Raphael,11939,1989-03-11,20.6,M,COK,A,115.95,+105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,140,0,0,0,172,312
2,NA,NA,PERA Samuel Raphael,11940,1989-03-11,20.6,W,COK,A,115.95,+105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,140,0,0,0,172,312
3,NA,NA,LOLOHEA Maamaloa,8955,1968-06-27,41.3,M,TGA,A,125.92,+105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,110,0,0,0,171,281
4,NA,NA,TAUPAU Theron,15134,1989-04-12,20.5,M,ASA,A,134.61,+105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,125,0,0,0,155,280
5,NA,NA,TEREVAURA Lotua,15202,1993-11-16,15.9,M,TAH,A,113.98,+105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,65,0,0,0,80,145
6,NA,NA,JEAN Claude Teuravehe,6854,1995-01-01,14.7,M,TAH,A,105.57,+105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,55,0,0,0,65,120
1,NA,NA,OPELOGE Ele,11407,1985-07-11,24.2,W,SAM,A,124.34,+75 kg Women,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,125,0,0,0,150,275
2,NA,NA,VILIAMU Narita Janne Freda Tuga,16016,1989-07-04,20.2,W,NIU,A,138.32,+75 kg Women,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,85,0,0,0,120,205
3,NA,NA,NOELINE Luaki,11092,1989-01-01,20.7,W,NCL,A,101.54,+75 kg Women,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,62,0,0,0,75,137
4,NA,NA,PETERS Luisa Fatiaki Taitapu,12012,1993-06-27,16.3,W,COK,A,83.23,+75 kg Women,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,60,0,0,0,74,134
1,NA,NA,THOMAS Meamea,15244,1985-09-11,24,M,KIR,A,102.68,105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,140,0,0,0,180,320
2,NA,NA,AMETE Luaki,1008,1965-01-01,44.7,M,NCL,A,103.63,105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,137,0,0,0,166,303
3,NA,NA,OPELOGE Tovia,11413,1990-03-27,19.5,M,SAM,A,95.88,105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,130,0,0,0,161,291
4,NA,NA,IOANE Thomas,6632,1983-01-01,26.7,M,KRI,A,95.65,105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,120,0,0,0,150,270
5,NA,NA,VAOGA Apineru,15844,1991-03-11,18.6,M,ASA,A,103.9,105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,110,0,0,0,128,238
6,NA,NA,HAKEAGAIKI Braydon,5778,1991-09-22,18,M,NIU,A,101.56,105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,57,0,0,0,82,139
7,NA,NA,DIMOS Tinitua Timo,3969,1993-01-01,16.7,M,TAH,A,99.2,105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,52,0,0,0,117,169
NA,NA,NA,DAVID Finau,3663,1985-01-01,24.7,M,TGA,A,102.88,105 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,100,0,0,0,NA,NA
1,NA,NA,TULO Manueli,15550,1990-03-25,19.5,M,FIJ,A,55.75,56 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,101,0,0,0,120,221
2,NA,NA,BRECHTEFELD Elson Edward,2327,1994-03-02,15.6,M,NRU,A,54.68,56 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,86,0,0,0,110,196
3,NA,NA,LAPUA Lapua Tuau,8450,1991-04-15,18.5,M,TUV,A,55.21,56 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,85,0,0,0,90,175
4,NA,NA,TAUFA Michael Elborn,15127,1993-02-05,16.6,M,TGA,A,56,56 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,70,0,0,0,90,160
5,NA,NA,GIANNIE Tokitebwa,5246,1994-01-01,15.7,M,KIR,A,55.16,56 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,56,0,0,0,75,131
1,NA,NA,LIKU Maria,8776,1990-04-27,19.4,W,FIJ,A,57.38,58 kg Women,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,75,0,0,0,90,165
1,NA,NA,MINGINFEL Manuel,10096,1978-09-28,31,M,FSM,A,61.45,62 kg Men,0,1,59,2009 PACIFIC MINI GAMES,2009-09-29,0,0,0,105,0,0,0,140,245
