rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,BERNA GONZALEZ Carlos Andres,COL,"Born: Jan 21, 1990",B.weight: 55.90,Group: A,1: 107,2: 113,3: ---,Total: 113,56kgMen,Snatch,411
Rank: 2,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.90,Group: A,1: 100,2: 103,3: 106,Total: 106,56kgMen,Snatch,411
Rank: 3,FERRUZOLA ALAVA Rafael Patricio,ECU,"Born: Oct 16, 1997",B.weight: 55.60,Group: A,1: -102,2: 102,3: -106,Total: 102,56kgMen,Snatch,411
Rank: 4,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Born: Dec 12, 2001",B.weight: 56.00,Group: A,1: 92,2: -95,3: 95,Total: 95,56kgMen,Snatch,411
Rank: ---,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.80,Group: A,1: -100,2: -100,3: -100,Total: ---,56kgMen,Snatch,411
Rank: 1,BERNA GONZALEZ Carlos Andres,COL,"Born: Jan 21, 1990",B.weight: 55.90,Group: A,1: 141,2: -147,3: 147,Total: 147,56kgMen,CleanJerk,411
Rank: 2,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.90,Group: A,1: 130,2: 134,3: -140,Total: 134,56kgMen,CleanJerk,411
Rank: 3,FERRUZOLA ALAVA Rafael Patricio,ECU,"Born: Oct 16, 1997",B.weight: 55.60,Group: A,1: 130,2: 133,3: -137,Total: 133,56kgMen,CleanJerk,411
Rank: 4,BARRERA SANDOVAL Francisco Javier,CHI,"Born: May 14, 1987",B.weight: 55.80,Group: A,1: 125,2: -131,3: 132,Total: 132,56kgMen,CleanJerk,411
Rank: 5,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Born: Dec 12, 2001",B.weight: 56.00,Group: A,1: 115,2: -120,3: 120,Total: 120,56kgMen,CleanJerk,411
Rank: 1,BERNA GONZALEZ Carlos Andres,COL,"Born: Jan 21, 1990",B.weight: 55.90,Group: A,Snatch: 113,CI&Jerk: 147,Total: 260,,56kgMen,Total,411
Rank: 2,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.90,Group: A,Snatch: 106,CI&Jerk: 134,Total: 240,,56kgMen,Total,411
Rank: 3,FERRUZOLA ALAVA Rafael Patricio,ECU,"Born: Oct 16, 1997",B.weight: 55.60,Group: A,Snatch: 102,CI&Jerk: 133,Total: 235,,56kgMen,Total,411
Rank: 4,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Born: Dec 12, 2001",B.weight: 56.00,Group: A,Snatch: 95,CI&Jerk: 120,Total: 215,,56kgMen,Total,411
