total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
NA,1,2,BIDANI Walid,2059,1994-06-11,28.1,M,ALG,A,143.05,+102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,190,196,202,202,225,235,-243,235,437
NA,2,1,ASAAD Man,1328,1993-11-20,28.6,M,SYR,A,155,+102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,191,197,-203,197,232,242,247,247,444
NA,3,3,Gaber Ahmed,4934,1996-01-18,26.4,M,EGY,A,144.25,+102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,170,-180,-180,170,220,231,-236,231,401
NA,4,4,OFLAZ Ali,11200,2003-10-01,18.7,M,TUR,A,143.45,+102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,150,152,-160,152,186,-200,-200,186,338
NA,5,5,META Albert,9927,1995-05-12,27.1,M,ALB,A,104.7,+102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,142,147,151,151,172,180,-185,180,331
NA,1,2,RUIZ I VELASCO Marcos,13171,1996-10-13,25.7,M,ESP,A,101.15,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,168,172,175,175,200,205,208,208,383
NA,2,1,BACHA Aymen,1533,1999-10-26,22.7,M,TUN,A,101.15,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,167,-172,174,174,-205,216,210,210,384
NA,3,4,FICCO Cristiano Giuseppe,4744,2001-04-05,21.2,M,ITA,A,89.3,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,161,164,-168,164,201,-206,207,207,371
NA,4,5,TOUAIRI Aymen,15305,1998-09-11,23.8,M,ALG,A,101.8,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,-162,162,-169,162,201,206,-209,206,368
NA,5,3,NA,NA,1999-01-10,23.5,NA,EGY,A,100.7,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,160,-168,-168,160,-205,-206,208,208,368
NA,6,NA,IMADOUCHENE Romain Jordan Sebastien,6554,1995-09-05,26.8,M,FRA,A,93.25,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,160,-165,-167,160,-205,-206,-209,NA,NA
NA,7,6,ABUZRIBA Ahmed Mustafa Ahmed,187,2000-04-16,22.2,M,LBA,A,101,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,158,-164,-169,158,180,190,-200,190,348
NA,8,NA,DEMIRCI Onur,3819,2003-08-07,18.9,M,TUR,A,101.7,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,-155,155,-163,155,-196,-196,-196,NA,NA
NA,9,7,STROUMPIS Efstathios,14615,1993-07-12,29,M,GRE,A,102,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,145,150,-155,150,175,-181,-185,175,325
NA,10,9,SMAJIC Dino,14300,1997-07-05,25,M,BIH,A,95.45,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,120,130,140,140,150,160,165,165,305
NA,11,8,SKEDELJ Jure,14268,1995-07-24,26.9,M,SLO,A,101.9,102 kg Men,0,0,548,19th Mediterranean Games,2022-07-01,130,-135,135,135,-165,167,-170,167,302
NA,1,1,IMPERIO Giulia,6566,2001-12-07,20.6,W,ITA,A,48.95,49 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,77,79,83,83,95,97,-102,97,180
NA,2,2,HERNANDEZ MARTIN Atenery,6067,1994-12-10,27.6,W,ESP,A,48.85,49 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,76,78,-80,78,93,96,-98,96,174
NA,3,3,ERDOGAN Saziye,4409,1992-02-23,30.4,W,TUN,A,48.85,49 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,73,75,-79,75,92,95,-97,95,170
NA,4,4,FAJRESLAM Maha,4542,2003-07-04,19,W,MAR,A,48.7,49 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,63,-66,-66,63,77,-82,-83,77,140
NA,5,5,KATBI Nadia,7328,2002-06-26,20,W,ALG,A,46.7,49 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,52,-55,57,57,65,-70,-70,65,122
NA,NA,NA,CHIHI Zahra,3095,1994-08-27,27.8,W,ALG,A,49,49 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,-74,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,2,MAGISTRIS Lucrezia,9197,1999-04-21,23.2,W,ITA,A,58.55,59 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,90,93,95,95,111,114,-118,114,209
NA,2,5,GEORGOPOULOU Sofia,5151,2000-09-22,21.8,W,GRE,A,59,59 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,89,92,94,94,108,-113,-115,108,202
NA,3,6,OZKAN Cansel,11503,2002-02-26,20.3,W,TUR,A,58.95,59 kg Women,0,0,548,19th Mediterranean Games,2022-07-01,85,90,92,92,106,-112,NA,106,198
