total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,KELLY Damon Joseph,2687,1983-12-01,28.508196721311474,M,AUS,A,148.09,+105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,160,167,172,172,205,212,218,218,390
2,2,2,DETENAMO Itte,3710,1986-09-22,25.69945355191257,M,NRU,A,153.26,+105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,160,170,-175,170,200,210,-221,210,380
3,3,3,NEMANI Daniel,1870,1981-04-10,31.15068493150685,M,NIU,A,141.95,+105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,140,-145,-145,140,170,-184,-184,170,310
4,6,4,TEOIAKI Bonteatu Thomas,5419,1990-05-08,22.073972602739726,M,KIR,A,106.35,+105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,105,115,117,117,150,160,166,166,283
5,4,5,NGALU Tevita,427,1973-04-30,39.0958904109589,M,NZL,A,122.7,+105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,123,NA,NA,123,-157,157,NA,157,280
6,5,6,LOLOHEA Maamaloa,107,1968-06-27,43.93715846994535,M,TGA,A,130.8,+105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,105,113,120,120,135,142,153,153,273
7,7,7,VAOGA Apineru,5844,1991-03-11,21.232876712328768,M,ASA,A,111.67,+105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,110,117,-122,117,130,137,145,145,262
8,8,8,JUNGBLUT Vainuupo David,8090,1994-04-14,18.13972602739726,M,ASA,A,111.13,+105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,70,-82,82,82,85,93,100,100,182
1,1,1,OPELOGE Ele,3251,1985-07-11,26.898907103825138,W,SAM,A,125.49,+75 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,107,112,117,117,138,143,147,147,264
2,2,2,LAMBRECHS Tracey,3291,1985-08-27,26.770491803278688,W,NZL,A,100.38,+75 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-101,101,104,104,-125,125,130,130,234
3,3,4,ACASON Deborah Esther Ainslie,2555,1983-06-20,28.956284153005463,W,AUS,A,88.74,+75 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,95,100,103,103,115,120,-125,120,223
4,4,3,SIMANU Iuniarra,7412,1993-06-25,18.942622950819672,W,SAM,A,100.64,+75 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,92,96,-99,96,115,121,125,125,221
5,5,5,PETERS Luisa Fatiaki Taitapu,7419,1993-06-27,18.937158469945356,W,COK,A,87.32,+75 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,73,76,80,80,86,92,98,98,178
6,6,6,HARRY Lorraine Henao,9443,1996-02-20,16.28688524590164,W,PNG,A,79.92,+75 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,65,70,-75,70,85,-90,-92,85,155
1,3,1,THOMAS Meamea,3310,1985-09-11,26.729508196721312,M,KIR,A,104.64,105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,125,135,140,140,175,190,-200,190,330
2,4,2,OPELOGE Tovia,5341,1990-03-27,22.18904109589041,M,SAM,A,102.9,105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,130,-135,-135,130,170,176,187,187,317
3,2,3,GALSWORTHY Robert,4891,1989-05-17,23.04931506849315,M,AUS,A,104.88,105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,130,137,141,141,160,170,176,176,317
4,5,4,GARDNER Luke Raymond,4399,1988-05-08,24.073972602739726,M,AUS,A,104.62,105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,115,122,-129,122,145,158,165,165,287
5,6,5,CORREOS David,6955,1992-12-08,19.489071038251367,M,NZL,A,102.92,105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,113,116,-120,116,150,153,159,159,275
6,7,6,HAMANI Sione,5450,1990-05-31,22.01095890410959,M,TGA,A,95.45,105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,88,95,-102,95,113,120,126,126,221
NA,1,NA,OPELOGE Niusila,1641,1980-06-23,31.94808743169399,M,SAM,A,104.29,105 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-150,150,155,155,-193,-193,-193,NA,NA
1,1,1,HARE Kathleen,4189,1987-11-23,24.530054644808743,W,PNG,A,47.24,48 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,55,60,-62,60,70,-75,75,75,135
2,2,2,MALANI Seruwaia,7171,1993-03-01,19.26027397260274,W,FIJ,A,46.18,48 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,40,-45,45,45,55,60,65,65,110
3,3,3,MOSS Charlotte Louise,9118,1995-09-05,16.74590163934426,W,NZL,A,47.19,48 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,35,38,41,41,48,-52,52,52,93
1,1,1,TOUA Loa Dika,2865,1984-06-23,27.94808743169399,W,PNG,A,52.22,53 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,70,75,80,80,-95,95,102,102,182
2,3,2,BE Socheata,5135,1989-12-12,22.47814207650273,W,AUS,A,52.58,53 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,60,-65,65,65,79,82,85,85,150
3,2,3,HALE Phillipa,3011,1984-12-08,27.489071038251367,W,NZL,A,51.53,53 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,62,66,68,68,-75,75,78,78,146
4,4,4,MUDUNAVOCE Arieta,7108,1993-01-29,19.346994535519126,W,FIJ,A,51.42,53 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,50,-54,-54,50,60,65,-70,65,115
5,5,5,TIBON Lomina,8552,1994-12-17,17.46448087431694,W,MHL,A,50.87,53 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,40,-45,45,45,60,-63,64,64,109
1,1,1,TULO Manueli,5339,1990-03-25,22.194520547945206,M,FIJ,A,55.45,56 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,102,107,-110,107,130,-137,-137,130,237
2,2,2,BRECHTEFELD Elson Edward,8000,1994-03-02,18.257534246575343,M,NRU,A,55.47,56 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,97,-102,-102,97,120,-125,-125,120,217
3,4,3,OALA Fred Karoho,9859,1996-09-12,15.726775956284152,M,PNG,B,55.31,56 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-75,75,80,80,102,107,108,108,188
4,3,4,DAU Isikeli,8880,1995-05-03,17.087671232876712,M,FIJ,B,54.9,56 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-75,75,80,80,95,102,107,107,187
5,5,5,SHIRO Amon,7608,1993-09-25,18.69125683060109,M,MHL,B,54.9,56 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,68,-70,72,72,95,-100,100,100,172
6,6,6,ENOCH Peter,10653,1997-09-10,14.73224043715847,M,MHL,B,54.4,56 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,65,66,-67,66,89,-90,90,90,156
7,7,7,MOREA Ignatius,9100,1995-08-27,16.770491803278688,M,PNG,B,55.77,56 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,65,-70,-70,65,80,-85,85,85,150
1,1,1,LIKU Maria,5398,1990-04-27,22.104109589041094,W,FIJ,A,57.39,58 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,75,80,84,84,100,104,-106,104,188
2,2,2,WINI Jenly Tegu,2549,1983-06-09,28.98633879781421,W,SOL,A,56.33,58 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,65,-68,68,68,90,93,-95,93,161
3,3,3,MEIER Christine,2553,1983-06-16,28.9672131147541,W,AUS,A,57.86,58 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-65,65,68,68,82,86,-87,86,154
4,4,4,KUMERICH Nicole,595,1975-01-24,37.36065573770492,W,NZL,A,57.35,58 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,62,65,67,67,77,80,-83,80,147
5,5,5,EDGE Jessica Pauline,3763,1986-11-13,25.557377049180328,W,AUS,A,56.73,58 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-60,-60,60,60,77,-80,-80,77,137
6,6,8,KASSMAN Monalisa Naime,6895,1992-11-05,19.579234972677597,W,PNG,A,57.14,58 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-55,55,58,58,70,-75,-75,70,128
7,7,6,ROBERT Mathlynn,10031,1996-12-25,15.442622950819672,W,MHL,A,55.6,58 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-50,-50,50,50,65,70,71,71,121
8,8,7,TAUWAI Teresia Ella Kula,9194,1995-10-20,16.62295081967213,W,FIJ,A,56.41,58 kg Women,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,45,50,-55,50,60,65,70,70,120
1,1,1,MINGINFEL Manuel,1185,1978-09-28,33.68306010928962,M,FSM,A,61.65,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,120,124,-128,124,156,-165,-165,156,280
2,2,2,KOUM Koum Daniel,3208,1985-05-27,27.02191780821918,M,AUS,A,61.22,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,105,-110,110,110,130,135,140,140,250
3,5,3,GUINARES Ianne Ernesto Vergara,4265,1988-01-12,24.39344262295082,M,NZL,A,61.48,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-103,103,-106,103,130,133,136,136,239
4,3,4,BARU Morea,5376,1990-04-15,22.136986301369863,M,PNG,A,60.87,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,100,-105,105,105,130,-135,-135,130,235
5,6,5,PATRIS Stevick,5776,1991-01-17,21.379781420765028,M,PLW,A,61.55,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,100,-105,-105,100,125,130,-135,130,230
6,4,7,LAPUA Lapua Tuau,5897,1991-04-15,21.136986301369863,M,TUV,A,61.36,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,100,105,-110,105,120,-130,NA,120,225
7,7,6,RAMOHAKA Brown Chester,4292,1988-02-02,24.33606557377049,M,SOL,A,61.45,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-95,-95,95,95,-125,-125,125,125,220
8,8,8,RANGIDIMI Chris Akarba,9061,1995-08-07,16.825136612021858,M,NRU,B,61.47,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,65,75,81,81,-100,100,110,110,191
9,9,9,FUKUYAMA Fusakichi Adam,9700,1996-06-23,15.948087431693988,M,KIR,B,61.43,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,-75,75,80,80,-107,-107,107,107,187
10,10,10,UNGA Selimoti,7807,1993-12-29,18.43169398907104,M,TGA,B,61.93,62 kg Men,0,1,209,OCEANIAN CHAMPIONSHIPS,2012-06-04,62,-65,65,65,82,85,-87,85,150
