total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,TALAKHADZE Lasha,7627,1993-10-02,19.583561643835615,M,GEO,A,156.15,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,185,190,-195,190,217,221,NA,221,411
2,2,4,MARTIROSYAN Karen,7142,1993-02-14,20.213698630136985,M,RUS,A,139.55,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,175,-180,180,180,205,-215,-217,205,385
3,3,2,JOKARZADEH Darius Asadullah,7408,1993-06-25,19.854794520547944,M,GBR,A,142.5,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,170,-178,-178,170,200,208,215,215,385
4,4,3,LEE Jaesang,8377,1994-09-11,18.64109589041096,M,KOR,A,123.28,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,155,160,165,165,200,-207,208,208,373
5,5,5,LOZINSKI Bartosz,8296,1994-07-30,18.75890410958904,M,POL,A,135.75,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,155,160,165,165,190,-197,197,197,362
6,6,6,ZHANG Cheng,8187,1994-06-02,18.91780821917808,M,CHN,A,140.05,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,155,161,-166,161,-190,191,197,197,358
7,8,8,BIJELIC Silvio,8303,1994-08-04,18.745205479452054,M,CRO,A,133.3,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,135,142,146,146,176,-181,181,181,327
8,7,9,LITVINOV David,7601,1993-09-23,19.60821917808219,M,ISR,A,115.4,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,-145,145,150,150,175,-180,-180,175,325
9,10,7,BORQUEZ MENA Jose,7065,1993-01-12,20.304109589041097,M,MEX,A,129.7,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,135,140,-145,140,175,180,183,183,323
10,9,10,MURAKAMI Eishiro,9064,1995-08-08,17.734246575342464,M,JPN,A,117.24,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,135,140,145,145,165,170,-175,170,315
NA,NA,NA,MINASYAN Gor,8466,1994-10-25,18.52054794520548,M,ARM,A,139,+105 kg Men,1,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,177,183,-187,NA,206,213,220,NA,NA
11,11,11,SOLANKI Vishal,7621,1993-10-01,19.586301369863016,M,IND,B,110.94,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,125,130,-134,130,160,165,168,168,298
12,12,12,MANSILLA FELIPE Nelson Anthony,8057,1994-04-01,19.087671232876712,M,GUA,B,157.37,+105 kg Men,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,125,-130,-130,125,152,-157,-157,152,277
1,1,1,BUENO PLACENCIA Gladis Guadalupe,7959,1994-02-12,19.21917808219178,W,MEX,A,117.4,+75 kg Women,0,1,239,2013 IWF JUNIOR WORLD CHAMPIONSHIPS,2013-05-03,101,-106,110,110,130,133,NA,133,243
