total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SUN Longfei,5074,1989-10-18,25.084931506849315,M,CHN,A,128.86,+105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,171,178,-181,178,207,-222,-222,207,385
2,2,2,AHMED ALI Mahmoud Ahmed,6732,1992-08-18,22.252054794520546,M,EGY,A,138.91,+105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,155,161,166,166,195,205,-211,205,371
3,3,3,AL-HASANI Ali Mahmood Ghaeb,8479,1994-11-08,20.027397260273972,M,IRQ,A,136.81,+105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,135,143,-150,143,170,180,NA,180,323
4,4,4,"NAJI Ammar Falet Ayash",4147,1987-10-12,27.101369863013698,M,YEM,A,120.25,+105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,135,-145,-145,135,165,-171,172,172,307
5,5,6,ALMUTAIRI Hamad,9554,1996-04-12,18.602739726027398,M,KUW,A,153.48,+105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,100,-110,110,110,120,NA,NA,120,230
NA,NA,5,MARZOQ Adham Badr Masood,3762,1986-11-11,28.019178082191782,M,YEM,A,120.59,+105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,-110,-136,-136,NA,150,-160,-160,150,NA
1,1,1,SALAMA Manar Said Mohamed,8888,1995-05-05,19.53972602739726,W,EGY,A,103,+75 kg Women,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,93,98,-102,98,125,-130,130,130,228
1,1,1,SELLOU Ahmed Hassan Nasreldin M.,5124,1989-12-03,24.958904109589042,M,EGY,A,104.32,105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,161,-166,168,168,190,-200,-200,190,358
2,2,2,IDIEV Avez,7472,1993-07-20,21.33150684931507,M,UZB,A,99.18,105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,130,135,-140,135,165,180,-190,180,315
3,3,3,ABDULATIF Aldei,9754,1996-07-19,18.334246575342465,M,KUW,A,102.2,105 kg Men,0,1,300,1st AFRO-ASIAN CHAMPIONSHIPS,2014-11-18,95,107,112,112,115,-127,127,127,239
