total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,MINASYAN Gor,10025,1994-10-25,27.9,M,BRN,A,150.76,+109 kg Men,0,0,556,Asian Championships,2022-10-06,201,205,210,210,237,-242,242,242,452
2,2,1,DAVOUDI Ali,3675,1999-03-22,23.5,M,IRI,A,176.64,+109 kg Men,0,0,556,Asian Championships,2022-10-06,195,-201,-202,195,238,243,-250,243,438
3,3,3,DADRASASL Mohsen,3534,1994-07-16,28.2,M,IRI,A,172.2,+109 kg Men,0,0,556,Asian Championships,2022-10-06,183,190,-196,190,217,-225,NA,217,407
4,7,4,TOYCHYYEV Hojamuhammet,15323,1992-01-16,30.7,M,TKM,A,149.36,+109 kg Men,0,0,556,Asian Championships,2022-10-06,160,168,-174,168,200,205,213,213,381
5,6,5,JIN Cheng,6914,1995-08-22,27.1,M,TPE,A,138.28,+109 kg Men,0,0,556,Asian Championships,2022-10-06,-170,170,-180,170,210,-218,NA,210,380
6,5,6,MIRZABAEV Mirkhosil,10061,2002-11-05,19.9,M,UZB,A,127.01,+109 kg Men,0,0,556,Asian Championships,2022-10-06,162,-170,171,171,190,201,-206,201,372
7,8,7,PANYA Rungsuriya,11644,2000-03-19,22.6,M,THA,A,123.43,+109 kg Men,0,0,556,Asian Championships,2022-10-06,152,157,-161,157,190,-196,196,196,353
8,9,8,ABDULLAH BUTT Muhammad,109,1996-05-05,26.4,M,PAK,A,135.87,+109 kg Men,0,0,556,Asian Championships,2022-10-06,140,-145,145,145,180,NA,NA,180,325
9,10,9,ALYAMI Turki Saad M,956,2003-11-19,18.9,M,KSA,A,114.57,+109 kg Men,0,0,556,Asian Championships,2022-10-06,137,141,-145,141,-165,165,171,171,312
NA,4,NA,HSIEH Yun-Ting,6325,1999-08-08,23.2,M,TPE,A,124.48,+109 kg Men,0,0,556,Asian Championships,2022-10-06,-175,175,-182,175,-211,NA,NA,NA,NA
1,1,1,MUPTILDA Aizada,10542,1998-04-23,24.5,W,KAZ,A,127.87,+87 kg Women,0,0,556,Asian Championships,2022-10-06,113,117,120,120,147,152,157,157,277
2,3,2,AKMAL Nurul,421,1993-02-12,29.6,W,INA,A,123.33,+87 kg Women,0,0,556,Asian Championships,2022-10-06,105,110,114,114,142,148,153,153,267
3,2,3,KOVALCHUK Lyubov,8028,2001-05-10,21.4,W,KAZ,A,126.82,+87 kg Women,0,0,556,Asian Championships,2022-10-06,110,-113,115,115,140,146,151,151,266
4,4,4,WANG Ling-Chen,16072,2003-06-19,19.3,W,TPE,A,106.51,+87 kg Women,0,0,556,Asian Championships,2022-10-06,100,106,-111,106,130,137,141,141,247
5,6,5,YOUSEFIABPARDEH Fatemeh,16599,1994-05-09,28.4,W,IRI,A,122.87,+87 kg Women,0,0,556,Asian Championships,2022-10-06,-90,90,-93,90,121,128,131,131,221
6,5,6,MARIYA MURIYADEN THIMOTHY Ann,9483,1998-08-21,24.1,W,IND,A,124.94,+87 kg Women,0,0,556,Asian Championships,2022-10-06,85,89,92,92,114,-118,118,118,210
1,2,1,ELBAKH Fares Ibrahim E. H.,4304,1998-06-04,24.3,M,QAT,A,99.91,102 kg Men,0,0,556,Asian Championships,2022-10-06,171,-175,-176,171,215,NA,NA,215,386
2,3,2,DEHDAR Reza,3762,1995-07-02,27.3,M,IRI,A,100.64,102 kg Men,0,0,556,Asian Championships,2022-10-06,170,-176,-176,170,202,-221,-222,202,372
3,1,3,AMRIDDINOV Sharofiddin,1030,2002-06-28,20.3,M,UZB,A,101.87,102 kg Men,0,0,556,Asian Championships,2022-10-06,161,166,172,172,191,196,-201,196,368
4,4,4,BEKBOLAT Rakhat,1880,2004-01-14,18.7,M,KAZ,A,101.4,102 kg Men,0,0,556,Asian Championships,2022-10-06,150,160,-165,160,190,-209,-209,190,350
5,6,5,SEHRAWAT Harshit,13780,2000-05-04,22.4,M,IND,A,101.74,102 kg Men,0,0,556,Asian Championships,2022-10-06,135,140,144,144,174,179,184,184,328
6,5,6,SINGH Harcharan,14204,2001-08-20,21.1,M,IND,A,101.94,102 kg Men,0,0,556,Asian Championships,2022-10-06,144,-148,148,148,171,175,179,179,327
1,1,1,MOTAMEDI SEDEH Rasoul,10404,1998-11-09,23.9,M,IRI,A,104.03,109 kg Men,0,0,556,Asian Championships,2022-10-06,170,174,180,180,215,217,NA,217,397
2,2,2,RASULBEKOV Bekdoolot,12604,1996-09-12,26.1,M,KGZ,A,103.99,109 kg Men,0,0,556,Asian Championships,2022-10-06,165,170,173,173,206,211,216,216,389
3,4,3,DONG Bing-Cheng,4039,2000-03-20,22.5,M,TPE,A,107.68,109 kg Men,0,0,556,Asian Championships,2022-10-06,165,-170,-171,165,203,206,210,210,375
4,3,4,AZIZI Amir,1510,1990-01-09,32.7,M,IRI,A,108.97,109 kg Men,0,0,556,Asian Championships,2022-10-06,166,-172,-172,166,195,204,208,208,374
