rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,WANG Shin-Yuan,TPE,"Born: Jul 06, 1976",B.weight: 55.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,56kgMen,Snatch,4
Rank: ---,MUTLU Halil,TUR,"Born: Jul 14, 1973",B.weight: 55.93,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 135.0,56kgMen,Snatch,4
Rank: ---,BONNEL Eric,FRA,"Born: Aug 18, 1974",B.weight: 55.78,Group: B,1: 0.0,2: 0.0,3: 0.0,Total: ---,56kgMen,Snatch,4
Rank: ---,YAMADA Masaharu,JPN,"Born: May 01, 1980",B.weight: 55.76,Group: B,1: 0.0,2: 0.0,3: 0.0,Total: ---,56kgMen,Snatch,4
Rank: ---,YANG Chin-Yi,TPE,"Born: May 15, 1981",B.weight: 55.50,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: ---,56kgMen,Snatch,4
Rank: ---,BAHAROM Mohd Faizal,MAS,"Born: Jan 04, 1982",B.weight: 55.47,Group: B,1: 0.0,2: 0.0,3: 0.0,Total: 110.0,56kgMen,Snatch,4
Rank: ---,BENAMI Nafaa,ALG,"Born: Nov 08, 1974",B.weight: 55.40,Group: B,1: 0.0,2: 0.0,3: 0.0,Total: 105.0,56kgMen,Snatch,4
Rank: ---,SAAD Ahmed Ahmed Mohamed,EGY,"Born: Nov 01, 1986",B.weight: 55.92,Group: B,1: 0.0,2: 0.0,3: 0.0,Total: 102.5,56kgMen,Snatch,4
Rank: ---,AL-SHARUEE Mohammed Abdulmunem Ali,IRQ,"Born: Mar 08, 1981",B.weight: 55.97,Group: B,1: 0.0,2: 0.0,3: 0.0,Total: 120.0,56kgMen,Snatch,4
Rank: ---,SETIADI Jadi,INA,"Born: Feb 02, 1985",B.weight: 53.86,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 117.5,56kgMen,Snatch,4
Rank: ---,CASTRO Nelson,COL,"Born: Mar 29, 1974",B.weight: 55.71,Group: B,1: 0.0,2: 0.0,3: 0.0,Total: 117.5,56kgMen,Snatch,4
Rank: ---,WU Meijin,CHN,"Born: Apr 25, 1980",B.weight: 55.69,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 130.0,56kgMen,Snatch,4
