total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SUN Longfei,6327,1989-10-18,25.1,M,CHN,A,128.86,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,171,178,-181,178,207,-222,-222,207,385
2,2,2,MAJIDI Hamed,1963,1988-03-21,26.7,M,IRI,A,109.27,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,170,177,-181,177,-205,-205,206,206,383
3,3,3,HWANG In-Sub,5079,1991-09-06,23.2,M,KOR,A,110.4,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,156,161,-166,161,190,196,-201,196,357
4,4,4,AL-HASANI Ali Mahmood Ghaeb,5324,1994-11-08,20,M,IRQ,A,136.81,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,135,143,-150,143,170,180,NA,180,323
5,5,5,"NAJI Ammar Falet Ayash",4441,1987-10-12,27.1,M,YEM,A,120.25,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,135,-145,-145,135,165,-171,172,172,307
6,6,6,ALHAMLY Fahad,7648,1981-02-17,33.8,M,KUW,A,123.14,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,100,115,-120,115,130,151,-156,151,266
7,7,8,ALMUTAIRI Hamad,7580,1996-04-12,18.6,M,KUW,A,153.48,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,100,-110,110,110,120,NA,NA,120,230
8,8,9,RADHA Ali,7649,1988-08-06,26.3,M,KUW,A,147.35,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,75,-101,-101,75,105,NA,NA,105,180
NA,NA,7,MARZOQ Adham Badr Masood,4435,1986-11-11,28,M,YEM,A,120.59,+105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,-110,-136,-136,NA,150,-160,-160,150,NA
1,2,1,DUSMUROTOV Sardorbek,3828,1993-03-13,21.7,M,UZB,A,103.2,105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,150,160,-167,160,205,221,NA,221,381
2,1,2,BAHRAMZADEH Mohsen,6110,1990-08-13,24.3,M,IRI,A,104.45,105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,160,170,175,175,186,202,206,206,381
3,3,4,HUSAIN Abdullah,7646,1989-09-02,25.2,M,KUW,A,94.3,105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,95,111,121,121,126,131,-141,131,252
4,4,5,ABDULATIF Aldei,7578,1996-07-19,18.3,M,KUW,A,102.2,105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,95,107,112,112,115,-127,127,127,239
5,5,3,HAMDAN Faisal,7647,1990-07-21,24.3,M,KUW,A,101.07,105 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,100,-121,-121,100,125,132,-142,132,232
1,1,1,HUANG Yuezhen,3438,1992-01-23,22.8,W,CHN,A,47.76,48 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,75,80,NA,80,90,96,NA,96,176
2,2,2,OKOEVA Zhanyl,3445,1993-11-15,21,W,KGZ,A,47.58,48 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,65,70,-73,70,88,92,-95,92,162
3,3,3,KO Bogeum,6466,1991-01-04,23.9,W,KOR,A,47.66,48 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,65,68,70,70,85,89,-93,89,159
NA,NA,NA,TOGOEVA Makhliyo,1014,1992-01-07,22.9,W,UZB,A,48,48 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,CHEN Xiaoting,1223,1991-01-11,23.9,W,CHN,A,52.97,53 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,90,-100,100,100,110,-120,125,125,225
2,2,2,LI Yan,5033,1998-03-24,16.7,W,CHN,A,52.99,53 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,78,81,85,85,100,-110,-110,100,185
3,3,3,CHO Yumi,4681,1992-08-30,22.2,W,KOR,A,51.37,53 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,74,-77,78,78,95,NA,NA,95,173
1,1,1,GOLPARVAN Hassan,7636,1994-01-29,20.8,M,IRI,A,56,56 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,103,110,-113,110,121,130,136,136,246
2,2,2,GO Suk-Kyo,4642,1981-12-02,33,M,KOR,A,55.8,56 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,-102,103,108,108,127,132,-138,132,240
3,3,3,ALBACHACHI Ali Ahmed Abd Ali,6013,1994-04-23,20.6,M,IRQ,A,55.28,56 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,100,-105,105,105,126,131,-135,131,236
4,4,4,BEKNUR UULU Timur,6532,1993-06-22,21.4,M,KGZ,A,56,56 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,-90,90,95,95,-110,110,-117,110,205
1,1,1,CHEN Guiming,7581,1994-01-03,20.9,W,CHN,A,57.81,58 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,81,88,NA,88,105,112,118,118,206
2,2,2,SISOEVA Marina,1221,1993-05-30,21.5,W,UZB,A,56.69,58 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,82,87,-92,87,107,112,117,117,204
3,3,3,CHO Seula,7582,1995-09-26,19.1,W,KOR,A,57.23,58 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,60,65,-68,65,-80,80,85,85,150
1,1,1,HAMDAYI Sajjad Abbas Yaseen,4933,1995-07-15,19.3,M,IRQ,A,61.05,62 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,-110,110,116,116,-136,136,-142,136,252
2,2,3,SANGOV Nizom,1090,1983-06-26,31.4,M,TJK,A,62,62 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,107,111,113,113,120,-130,-130,120,233
3,3,4,ABDULRAMMAN Alenezi,7570,1995-11-30,19,M,KUW,A,61.95,62 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,80,85,90,90,100,108,112,112,202
4,4,5,ALHATEM Abdulla,4528,1986-08-02,28.3,M,KUW,A,57.3,62 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,75,NA,NA,75,95,-112,-112,95,170
NA,NA,2,SINGHA Shimul Kanti,7571,1986-05-01,28.6,M,BAN,A,62,62 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,-105,-105,-105,NA,120,-125,-125,120,NA
1,1,1,ZHOU Yue,7583,1995-02-04,19.8,W,CHN,A,61.72,63 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,90,95,100,100,110,120,-123,120,220
2,2,2,HAN Sojin,3861,1995-09-07,19.2,W,KOR,A,62.85,63 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,90,NA,NA,90,100,NA,NA,100,190
3,3,3,JEONG Ji Yeong,4405,1992-08-14,22.3,W,KOR,A,63,63 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,70,72,74,74,90,-101,-101,90,164
1,1,1,FENG Lyudong,7572,1991-10-23,23.1,M,CHN,A,68.7,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,135,145,155,155,170,180,-188,180,335
2,2,4,REZAEIAN Morteza,1095,1989-06-14,25.4,M,IRI,A,68.93,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,125,-134,134,134,155,162,-165,162,296
3,3,2,HUDAYBERGENOV Tolkunbek,470,1986-01-04,28.9,M,TKM,A,69,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,121,129,-133,129,161,-165,165,165,294
4,5,3,LEE Hyeongseop,4379,1988-08-27,26.2,M,KOR,A,68.82,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,120,128,-132,128,-162,163,-165,163,291
5,4,5,HAMEED Mohammed Qaddoori Hameed,5308,1994-05-30,20.5,M,IRQ,A,68.4,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,120,128,-132,128,140,-150,-152,140,268
6,6,6,SEDIQI Kh Ahmad Elyas,6650,1998-09-22,16.2,M,AFG,A,69,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,95,-100,-100,95,115,122,-126,122,217
7,8,8,KHAN AQA Abdullah,7573,1992-01-21,22.8,M,AFG,A,68.86,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,-86,86,90,90,-105,105,-110,105,195
8,7,9,ALRASHIDI Ali,7637,1989-11-13,25,M,KUW,A,67.87,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,80,93,-96,93,100,-110,-110,100,193
9,9,7,ABDULRAHMAN Alkandari,7574,1996-09-21,18.2,M,KUW,A,64.5,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,80,85,-87,85,-100,100,105,105,190
10,10,10,ALENEZI Nawaf,7638,1997-03-22,17.7,M,KUW,A,62.19,69 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,65,NA,NA,65,90,NA,NA,90,155
1,1,1,XIE Hongli,7433,1992-06-03,22.5,W,CHN,A,68.55,69 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,100,105,110,110,126,136,146,146,256
2,2,2,MAMASALIEVA Manzurakhon,1030,1991-01-16,23.8,W,UZB,A,69,69 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,90,95,-101,95,115,120,125,125,220
1,1,1,ABDULLAEVA Kamila,6903,1997-10-12,17.1,W,UZB,A,75,75 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,72,78,82,82,93,100,105,105,187
2,2,2,AKTAR Mabia,6516,1999-10-07,15.1,W,BAN,A,69.1,75 kg Women,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,62,66,-69,66,83,87,-90,87,153
1,1,1,LU Haojie,4920,1990-08-03,24.3,M,CHN,A,76.63,77 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,140,160,-170,160,180,NA,NA,180,340
2,2,3,MALEKI Hamid,6304,1991-02-17,23.8,M,IRI,A,76.5,77 kg Men,0,1,306,3rd ASIAN CUP & INTERCLUBS CHAMPIONSHIPS,2014-11-18,130,-138,138,138,162,172,-178,172,310
