total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,TALAKHADZE Lasha,15012,1993-10-02,29.2,M,GEO,A,166.5,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,208,215,-220,215,-245,245,251,251,466
2,3,2,MINASYAN Gor,10087,1994-10-25,28.1,M,BRN,A,151,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,205,212,-216,212,-241,242,250,250,462
3,2,5,LALAYAN Varazdat,8393,1999-05-01,23.6,M,ARM,A,151.9,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,205,210,215,215,-245,-245,246,246,461
4,4,4,DAVOUDI Ali,3696,1999-03-22,23.7,M,IRI,A,174.6,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,197,202,-204,202,240,247,-252,247,449
5,5,3,ASAAD Man,1340,1993-11-20,29,M,SYR,A,153,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,192,198,-203,198,237,247,-252,247,445
6,8,6,ELSAYED Abdelrahman Mohamed A. A.,4368,1989-05-19,33.5,M,EGY,A,139.2,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,185,-191,191,191,236,242,-247,242,433
7,6,7,SHARIFIKELARIJANI Ayat,14048,2000-12-05,22,M,IRI,A,149.3,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,190,196,-201,196,-230,-230,236,236,432
8,10,8,MARTIROSYAN Simon,9633,1997-02-17,25.8,M,ARM,A,127.3,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,-190,190,-200,190,235,-240,-240,235,425
9,7,12,BIDANI Walid,2074,1994-06-11,28.5,M,ALG,A,146,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,195,-201,-203,195,225,-235,NA,225,420
NA,NA,NA,DJURAEV Akbar,4008,1999-10-08,23.2,M,UZB,A,124.7,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11,10,JO Seongbin,6971,1994-10-19,28.1,M,KOR,B,139.5,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,180,-185,188,188,220,227,230,230,418
11,9,11,HWANG Wooman,6500,1995-07-12,27.4,M,KOR,B,140.1,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,180,-190,190,190,215,226,-230,226,416
12,15,9,KUCERA Kamil,8184,1985-03-19,37.7,M,CZE,B,158.8,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,-178,180,-185,180,225,-230,231,231,411
13,12,15,CHINEN Kosuke,3124,1996-01-06,26.9,M,JPN,B,152.5,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,176,184,-194,184,214,-220,220,220,404
14,13,14,MURAKAMI Eishiro,10616,1995-08-08,27.3,M,JPN,B,147.3,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,180,-188,-190,180,-215,215,220,220,400
15,16,16,SEIM Mart,13877,1990-10-24,32.1,M,EST,B,139.2,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,170,-175,177,177,-220,-220,220,220,397
NA,14,NA,LITVINOV David,8863,1993-09-23,29.2,M,ISR,B,136.4,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,180,-185,-185,180,NA,NA,NA,NA,NA
NA,19,NA,ORSAG Jiri,11450,1989-01-05,33.9,M,CZE,B,141.8,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,170,-177,-177,170,NA,NA,NA,NA,NA
NA,NA,NA,KUWORGE Enzo Kofi,8290,2001-08-31,21.3,M,NED,B,150.7,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,18,13,LITI David Andrew,8857,1996-07-11,26.4,M,NZL,C,181.7,+109 kg Men,0,0,562,2022 IWF World Championships,2022-12-05,167,170,173,173,218,223,NA,223,396
