total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,SARAIVA REIS Fernando,13597,1990-03-10,23.3,M,BRA,A,135.36,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,175,180,-187,180,217,222,227,227,407
2,3,2,KOBALADZE George,7841,1976-05-24,37.1,M,CAN,A,136.78,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,165,171,-173,171,218,-223,-228,218,389
3,2,3,LOPEZ BOBADILLA Christian Alberto,8928,1984-03-30,29.2,M,GUA,A,142.26,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,170,-173,173,173,-207,212,216,216,389
4,6,4,MAIER Shane Daniel,9230,1984-05-18,29.1,M,USA,A,135.2,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-168,168,-171,168,-205,206,213,213,381
5,4,5,PUPO Alberto,12334,1987-02-08,26.4,M,CUB,A,145.26,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,158,166,170,170,206,210,-216,210,380
6,5,6,SALAS MANGUIS Fernando Fabricio,13376,1988-02-10,25.4,M,ECU,A,147.3,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-160,160,170,170,190,200,-206,200,370
7,7,7,DURAN GUILLEN Francisco,4167,1984-10-26,28.7,M,DOM,A,192.14,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,140,160,-166,160,180,190,-200,190,350
8,8,10,HOIL MAS Luis Alberto,6197,1990-09-07,22.8,M,GUA,A,147.54,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-140,140,-148,140,170,177,-182,177,317
9,10,8,BORQUEZ MENA Jose,2229,1993-01-12,20.4,M,MEX,A,133.32,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-133,133,137,137,169,174,179,179,316
10,9,9,COUTURIER Enrique,3420,1981-07-10,32,M,ARG,A,126.14,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,134,138,-142,138,166,172,177,177,315
11,11,11,SERGIO ARMAS Alejandro,13841,1983-08-20,29.8,M,ARG,A,106.1,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-120,120,125,125,147,153,-160,153,278
12,12,12,GARCIA SANCHEZ Jose Antonio,5067,1969-04-20,44.2,M,NCA,A,120.1,+105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,100,115,120,120,130,-150,-155,130,250
1,1,1,NIEVE ARROYO Oliba Seledina,10972,1977-11-25,35.6,W,ECU,A,92.22,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,110,115,117,117,135,140,143,143,260
2,2,4,ESPINOSA Yaniuska Isabel,4469,1986-12-05,26.5,W,VEN,A,106.16,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,105,-110,111,111,130,135,-138,135,246
3,3,2,PEREZ REVERON Naryury Alexandra,11897,1992-09-29,20.7,W,VEN,A,97.44,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,101,106,-108,106,132,136,139,139,245
4,7,3,CORTEZ GARCIA Elizabeth Del Rosario,3398,1983-08-01,29.9,W,CHI,A,135.58,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,90,95,-100,95,125,133,137,137,232
5,6,5,SERPAN Shelbie Renee,13853,1992-03-21,21.3,W,USA,A,132.94,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,96,-100,-100,96,125,130,-134,130,226
6,5,6,PELIGRIN Odeisis,11821,1990-01-01,23.5,W,CUB,A,88.5,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,95,99,-101,99,115,121,126,126,225
7,8,7,SILVA GOMES Mayara,14143,1992-06-30,21,W,BRA,A,124.74,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,90,94,-96,94,122,-133,-133,122,216
8,9,8,CAMPOSECO HERNANDEZ Astrid Roxana,2630,1991-04-27,22.2,W,GUA,A,89.44,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-88,88,93,93,112,117,120,120,213
9,10,9,URBINA ALBURQUEQUE Gloria Stephany,15570,1996-09-02,16.8,W,PER,A,85.74,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,55,60,-63,60,75,80,83,83,143
NA,4,NA,DEL REY Lexys Diago,3778,1987-04-01,26.2,W,CUB,A,118.36,+75 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,95,100,-103,100,NA,NA,NA,NA,NA
NA,NA,NA,ROBLES Sarah Elizabeth,12905,1988-08-01,24.9,W,USA,A,127.32,+75 kg Women,1,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-115,-115,115,NA,138,141,146,NA,NA
1,1,1,ARROYO VALDEZ Jorge David,1293,1991-09-23,21.7,M,ECU,A,104.04,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,175,-185,185,185,202,209,-216,209,394
2,3,2,CISNERO DIAZ Alejandro,3278,1987-03-30,26.2,M,CUB,A,100.26,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,160,165,168,168,197,202,207,207,375
3,2,3,FORD Donovan Sevon,4828,1990-01-05,23.5,M,USA,A,104.3,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,160,165,170,170,196,201,-208,201,371
4,4,5,RODRIGUEZ JIMENEZ Asniel Lazaro,12960,1992-12-07,20.5,M,CUB,A,104.06,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,160,166,-170,166,190,195,200,200,366
5,5,10,GREGORIO MACHADO Mateus Filipe,5481,1993-07-05,20,M,BRA,A,100.38,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,156,162,-168,162,185,-195,-195,185,347
6,14,4,ALBARRAN VENTURA Leomar De Jesus,618,1985-10-20,27.7,M,VEN,A,99.08,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,140,-145,145,145,190,200,-204,200,345
7,8,9,GONZALEZ BARRIOS Jesus Abrahan,5352,1991-04-22,22.2,M,VEN,A,99.34,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,155,-160,-162,155,185,190,-195,190,345
8,10,6,DELGADO Carlos,3789,1990-06-03,23.1,M,COL,A,104.1,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,150,-155,-155,150,185,190,194,194,344
9,12,7,GARCIA BUSTOS Jorge Eduardo,5040,1987-04-22,26.2,M,CHI,A,103.98,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,148,-152,-153,148,182,187,193,193,341
10,11,8,OSORIO Victor,11421,1985-08-09,27.9,M,CHI,A,104.96,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-150,150,-156,150,185,191,-195,191,341
11,9,11,LAPORT BRANDAO Bruno,8391,1985-04-10,28.2,M,BRA,A,104.84,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,146,155,-160,155,175,180,185,185,340
12,13,13,BURLA Emerson,2446,1985-12-01,27.6,M,ARG,A,104.02,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,143,146,-150,146,168,173,178,178,324
13,17,12,PEREZ Junior,11890,1986-02-14,27.4,M,HAI,A,104.68,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,130,140,-145,140,165,174,180,180,320
14,15,14,LAFARGA Roberto,8284,1992-06-18,21,M,MEX,A,101.22,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,142,-148,-148,142,172,177,-180,177,319
15,16,15,MARTE Keven,9515,1992-03-04,21.3,M,PUR,A,101.44,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,142,-150,-150,142,-172,172,177,177,319
16,18,16,HOEK Ulrich Jurgen,6185,1986-07-08,27,M,ARU,A,103.2,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,113,-117,122,122,143,147,154,154,276
NA,6,NA,MCKNEE Ivorn Preston,9754,1981-05-14,32.1,M,BAR,A,103.82,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,160,-165,-165,160,-200,-200,-200,NA,NA
NA,7,NA,GARCIA David William Steinbach,5045,1989-04-27,24.2,M,USA,A,102.46,105 kg Men,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,152,157,-162,157,-197,-197,-197,NA,NA
1,1,2,PIRON CANDELARIO Beatriz Elizabeth,12075,1995-02-27,18.3,W,DOM,A,47.48,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,77,80,-82,80,91,96,-98,96,176
2,4,1,VALENCIA HERNANDEZ Carolina,15667,1985-02-08,28.4,W,MEX,A,47.66,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-74,74,-77,74,96,99,-103,99,173
3,5,4,VASQUEZ HERNANDEZ Candida,15776,1992-12-02,20.6,W,DOM,A,45.74,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-73,73,-76,73,88,93,-96,93,166
4,2,5,MERCADO VILLARREAL Katherin,9895,1990-05-20,23.1,W,COL,A,47.9,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,72,75,-78,75,-90,90,-94,90,165
5,3,6,SEGURA SEGURA Ana Iris,13778,1991-07-26,21.9,W,COL,A,47.96,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-70,70,75,75,86,90,-94,90,165
6,6,8,RUEL Jessica,13159,1991-02-15,22.3,W,CAN,A,48,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,70,72,-74,72,83,86,-88,86,158
7,9,7,SANCHEZ GAITAN Fatima Lissette,13474,1988-05-12,25.1,W,ESA,A,47.94,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,63,66,68,68,80,84,87,87,155
8,7,9,REXROAD Kelly Elizabeth,12711,1978-03-30,35.2,W,USA,A,47.9,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-69,69,-71,69,80,83,-86,83,152
9,8,10,MURCIA VARGAS Genesis Nohemy,10554,1990-09-18,22.8,W,ESA,A,46.38,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,63,66,68,68,80,-85,-85,80,148
10,11,11,DE LEON VALDEZ Astrid Carolina,3726,1995-03-05,18.3,W,GUA,A,47.9,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-53,-53,53,53,75,77,78,78,131
11,10,12,GONZALEZ GALA Niulis Poroye,5362,1997-08-29,15.8,W,CUB,A,47.84,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,53,56,58,58,68,-72,72,72,130
12,12,13,MERCADO LOPEZ Scarleth Elizabeth,9893,1996-08-09,16.9,W,NCA,A,47.18,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,-42,42,51,51,52,56,-62,56,107
13,13,14,SILVA Guadalupe,14144,1998-07-20,14.9,W,ARG,A,44.6,48 kg Women,0,1,241,PAN AMERICAN CHAMPIONSHIPS,2013-06-22,40,43,-45,43,48,50,52,52,95
