rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.00,Group: A,1: 98,2: 102,3: 105,Total: 105,56kgMen,Snatch,131
Rank: 2,VILLEGAS Edward,VEN,"Born: May 03, 1990",B.weight: 56.00,Group: A,1: 98,2: 102,3: 105,Total: 105,56kgMen,Snatch,131
Rank: 1,VILLEGAS Edward,VEN,"Born: May 03, 1990",B.weight: 56.00,Group: A,1: 126,2: -133,3: 134,Total: 134,56kgMen,CleanJerk,131
Rank: 2,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.00,Group: A,1: -126,2: 126,3: 133,Total: 133,56kgMen,CleanJerk,131
Rank: 1,VILLEGAS Edward,VEN,"Born: May 03, 1990",B.weight: 56.00,Group: A,Snatch: 105,CI&Jerk: 134,Total: 239,,56kgMen,Total,131
Rank: 2,ROCAFUERTE BUENAIRE Enmanuel Enrique,ECU,"Born: Aug 17, 1992",B.weight: 55.00,Group: A,Snatch: 105,CI&Jerk: 133,Total: 238,,56kgMen,Total,131
Rank: 1,LOPEZ PENA Roy Sherlock,VEN,"Born: Oct 21, 1992",B.weight: 62.00,Group: A,1: 109,2: 111,3: 116,Total: 116,62kgMen,Snatch,131
Rank: 2,RIVERO Jose,VEN,"Born: Jun 11, 1992",B.weight: 61.95,Group: A,1: -106,2: 108,3: 110,Total: 110,62kgMen,Snatch,131
Rank: 3,NIETO Jose,VEN,"Born: May 29, 1988",B.weight: 61.45,Group: A,1: 100,2: 106,3: -108,Total: 106,62kgMen,Snatch,131
Rank: 4,CARRASCO David,ESP,"Born: Jan 04, 1983",B.weight: 59.55,Group: A,1: 87,2: 95,3: 97,Total: 97,62kgMen,Snatch,131
Rank: 5,GOMEZ Martin,ARG,"Born: Dec 30, 1992",B.weight: 60.55,Group: A,1: 77,2: 82,3: -86,Total: 82,62kgMen,Snatch,131
Rank: 1,LOPEZ PENA Roy Sherlock,VEN,"Born: Oct 21, 1992",B.weight: 62.00,Group: A,1: 137,2: 141,3: -145,Total: 141,62kgMen,CleanJerk,131
Rank: 2,RIVERO Jose,VEN,"Born: Jun 11, 1992",B.weight: 61.95,Group: A,1: 137,2: -140,3: -140,Total: 137,62kgMen,CleanJerk,131
Rank: 3,NIETO Jose,VEN,"Born: May 29, 1988",B.weight: 61.45,Group: A,1: 130,2: -137,3: -140,Total: 130,62kgMen,CleanJerk,131
Rank: 4,CARRASCO David,ESP,"Born: Jan 04, 1983",B.weight: 59.55,Group: A,1: 100,2: 106,3: 115,Total: 115,62kgMen,CleanJerk,131
Rank: 5,GOMEZ Martin,ARG,"Born: Dec 30, 1992",B.weight: 60.55,Group: A,1: 100,2: 105,3: 110,Total: 110,62kgMen,CleanJerk,131
Rank: 1,LOPEZ PENA Roy Sherlock,VEN,"Born: Oct 21, 1992",B.weight: 62.00,Group: A,Snatch: 116,CI&Jerk: 141,Total: 257,,62kgMen,Total,131
Rank: 2,RIVERO Jose,VEN,"Born: Jun 11, 1992",B.weight: 61.95,Group: A,Snatch: 110,CI&Jerk: 137,Total: 247,,62kgMen,Total,131
Rank: 3,NIETO Jose,VEN,"Born: May 29, 1988",B.weight: 61.45,Group: A,Snatch: 106,CI&Jerk: 130,Total: 236,,62kgMen,Total,131
Rank: 4,CARRASCO David,ESP,"Born: Jan 04, 1983",B.weight: 59.55,Group: A,Snatch: 97,CI&Jerk: 115,Total: 212,,62kgMen,Total,131
Rank: 5,GOMEZ Martin,ARG,"Born: Dec 30, 1992",B.weight: 60.55,Group: A,Snatch: 82,CI&Jerk: 110,Total: 192,,62kgMen,Total,131
Rank: 1,BLANCO RUIZ Henry Jose,VEN,"Born: Mar 06, 1990",B.weight: 69.00,Group: A,1: 130,2: 137,3: -141,Total: 137,69kgMen,Snatch,131
Rank: 2,MOLINA Cesar,ECU,"Born: Feb 17, 1992",B.weight: 68.30,Group: A,1: 110,2: 115,3: -120,Total: 115,69kgMen,Snatch,131
Rank: 3,AQUINO Manuel,VEN,"Born: Feb 14, 1992",B.weight: 64.20,Group: A,1: 105,2: -110,3: 110,Total: 110,69kgMen,Snatch,131
Rank: 4,BRHUN Ever,ARG,"Born: Dec 06, 1990",B.weight: 68.10,Group: A,1: -103,2: 103,3: 108,Total: 108,69kgMen,Snatch,131
Rank: 1,BLANCO RUIZ Henry Jose,VEN,"Born: Mar 06, 1990",B.weight: 69.00,Group: A,1: 165,2: 174,3: -176,Total: 174,69kgMen,CleanJerk,131
Rank: 2,MOLINA Cesar,ECU,"Born: Feb 17, 1992",B.weight: 68.30,Group: A,1: -145,2: 145,3: 146,Total: 146,69kgMen,CleanJerk,131
Rank: 3,BRHUN Ever,ARG,"Born: Dec 06, 1990",B.weight: 68.10,Group: A,1: 133,2: 138,3: 145,Total: 145,69kgMen,CleanJerk,131
Rank: 4,AQUINO Manuel,VEN,"Born: Feb 14, 1992",B.weight: 64.20,Group: A,1: -120,2: 120,3: ---,Total: 120,69kgMen,CleanJerk,131
Rank: 1,BLANCO RUIZ Henry Jose,VEN,"Born: Mar 06, 1990",B.weight: 69.00,Group: A,Snatch: 137,CI&Jerk: 174,Total: 311,,69kgMen,Total,131
Rank: 2,MOLINA Cesar,ECU,"Born: Feb 17, 1992",B.weight: 68.30,Group: A,Snatch: 115,CI&Jerk: 146,Total: 261,,69kgMen,Total,131
Rank: 3,BRHUN Ever,ARG,"Born: Dec 06, 1990",B.weight: 68.10,Group: A,Snatch: 108,CI&Jerk: 145,Total: 253,,69kgMen,Total,131
Rank: 4,AQUINO Manuel,VEN,"Born: Feb 14, 1992",B.weight: 64.20,Group: A,Snatch: 110,CI&Jerk: 120,Total: 230,,69kgMen,Total,131
Rank: 1,TENORIO MINA Freddy Fernando,ECU,"Born: Jun 14, 1991",B.weight: 76.65,Group: A,1: 135,2: -141,3: 144,Total: 144,77kgMen,Snatch,131
Rank: 2,SANCHEZ RIVERO Raul Alexander,VEN,"Born: Sep 29, 1986",B.weight: 73.50,Group: A,1: 140,2: -143,3: -144,Total: 140,77kgMen,Snatch,131
Rank: 3,RODRIGUEZ Junior,VEN,"Born: Jan 01, 1987",B.weight: 76.95,Group: A,1: -134,2: 134,3: 137,Total: 137,77kgMen,Snatch,131
Rank: 4,SANTANA Danny,VEN,"Born: Jan 01, 1987",B.weight: 74.55,Group: A,1: 127,2: 131,3: 134,Total: 134,77kgMen,Snatch,131
Rank: 5,MENDOZA Julio,VEN,"Born: Jan 01, 1987",B.weight: 76.45,Group: A,1: 130,2: -133,3: -133,Total: 130,77kgMen,Snatch,131
Rank: 6,UTRERA German,VEN,"Born: Oct 09, 1993",B.weight: 76.35,Group: A,1: 122,2: 127,3: -130,Total: 127,77kgMen,Snatch,131
Rank: 7,HERNAN Eduardo,VEN,"Born: Jun 27, 1983",B.weight: 76.45,Group: A,1: 125,2: -131,3: -132,Total: 125,77kgMen,Snatch,131
Rank: 8,GUERRERO CONTRERAS Eriberto Rodrigo,VEN,"Born: Feb 07, 1992",B.weight: 76.95,Group: A,1: 122,2: -128,3: -128,Total: 122,77kgMen,Snatch,131
Rank: 9,ORDONEZ Rolando,VEN,"Born: Jan 01, 1992",B.weight: 75.65,Group: A,1: 115,2: 120,3: 124,Total: 124,77kgMen,Snatch,131
Rank: 10,PAREDES Sebastian,ESP,"Born: Jan 01, 1979",B.weight: 75.85,Group: A,1: 100,2: 110,3: 115,Total: 115,77kgMen,Snatch,131
Rank: 1,TENORIO MINA Freddy Fernando,ECU,"Born: Jun 14, 1991",B.weight: 76.65,Group: A,1: -170,2: 170,3: 177,Total: 177,77kgMen,CleanJerk,131
Rank: 2,HERNAN Eduardo,VEN,"Born: Jun 27, 1983",B.weight: 76.45,Group: A,1: 170,2: 173,3: 176,Total: 176,77kgMen,CleanJerk,131
Rank: 3,SANCHEZ RIVERO Raul Alexander,VEN,"Born: Sep 29, 1986",B.weight: 73.50,Group: A,1: 170,2: 174,3: -177,Total: 174,77kgMen,CleanJerk,131
Rank: 4,RODRIGUEZ Junior,VEN,"Born: Jan 01, 1987",B.weight: 76.95,Group: A,1: -161,2: 161,3: -166,Total: 161,77kgMen,CleanJerk,131
Rank: 5,UTRERA German,VEN,"Born: Oct 09, 1993",B.weight: 76.35,Group: A,1: 155,2: -165,3: -165,Total: 155,77kgMen,CleanJerk,131
Rank: 6,GUERRERO CONTRERAS Eriberto Rodrigo,VEN,"Born: Feb 07, 1992",B.weight: 76.95,Group: A,1: 155,2: -165,3: -165,Total: 155,77kgMen,CleanJerk,131
Rank: 7,PAREDES Sebastian,ESP,"Born: Jan 01, 1979",B.weight: 75.85,Group: A,1: 125,2: -130,3: 130,Total: 130,77kgMen,CleanJerk,131
Rank: ---,SANTANA Danny,VEN,"Born: Jan 01, 1987",B.weight: 74.55,Group: A,1: -167,2: -167,3: -167,Total: ---,77kgMen,CleanJerk,131
Rank: ---,MENDOZA Julio,VEN,"Born: Jan 01, 1987",B.weight: 76.45,Group: A,1: -170,2: -175,3: -175,Total: ---,77kgMen,CleanJerk,131
Rank: ---,ORDONEZ Rolando,VEN,"Born: Jan 01, 1992",B.weight: 75.65,Group: A,1: -150,2: -150,3: ---,Total: ---,77kgMen,CleanJerk,131
Rank: 1,TENORIO MINA Freddy Fernando,ECU,"Born: Jun 14, 1991",B.weight: 76.65,Group: A,Snatch: 144,CI&Jerk: 177,Total: 321,,77kgMen,Total,131
Rank: 2,SANCHEZ RIVERO Raul Alexander,VEN,"Born: Sep 29, 1986",B.weight: 73.50,Group: A,Snatch: 140,CI&Jerk: 174,Total: 314,,77kgMen,Total,131
Rank: 3,HERNAN Eduardo,VEN,"Born: Jun 27, 1983",B.weight: 76.45,Group: A,Snatch: 125,CI&Jerk: 176,Total: 301,,77kgMen,Total,131
Rank: 4,RODRIGUEZ Junior,VEN,"Born: Jan 01, 1987",B.weight: 76.95,Group: A,Snatch: 137,CI&Jerk: 161,Total: 298,,77kgMen,Total,131
Rank: 5,UTRERA German,VEN,"Born: Oct 09, 1993",B.weight: 76.35,Group: A,Snatch: 127,CI&Jerk: 155,Total: 282,,77kgMen,Total,131
Rank: 6,GUERRERO CONTRERAS Eriberto Rodrigo,VEN,"Born: Feb 07, 1992",B.weight: 76.95,Group: A,Snatch: 122,CI&Jerk: 155,Total: 277,,77kgMen,Total,131
Rank: 7,PAREDES Sebastian,ESP,"Born: Jan 01, 1979",B.weight: 75.85,Group: A,Snatch: 115,CI&Jerk: 130,Total: 245,,77kgMen,Total,131
Rank: ---,SANTANA Danny,VEN,"Born: Jan 01, 1987",B.weight: 74.55,Group: A,Snatch: 134,CI&Jerk: ---,Total: ---,,77kgMen,Total,131
Rank: ---,MENDOZA Julio,VEN,"Born: Jan 01, 1987",B.weight: 76.45,Group: A,Snatch: 130,CI&Jerk: ---,Total: ---,,77kgMen,Total,131
Rank: ---,ORDONEZ Rolando,VEN,"Born: Jan 01, 1992",B.weight: 75.65,Group: A,Snatch: 124,CI&Jerk: ---,Total: ---,,77kgMen,Total,131
Rank: 1,MEJIAS HERNANDEZ Octavio Antonio,VEN,"Born: Jul 21, 1982",B.weight: 84.25,Group: A,1: 150,2: 155,3: -161,Total: 155,85kgMen,Snatch,131
Rank: 2,BALZA GARCIA Renson Rafael,VEN,"Born: Aug 09, 1987",B.weight: 82.40,Group: A,1: 140,2: 145,3: 150,Total: 150,85kgMen,Snatch,131
Rank: 3,LEAL Manuel,VEN,"Born: May 02, 1984",B.weight: 83.50,Group: A,1: 128,2: 134,3: -137,Total: 134,85kgMen,Snatch,131
Rank: 4,GONZALEZ Francisco,VEN,"Born: Dec 02, 1990",B.weight: 84.20,Group: A,1: 130,2: -137,3: -140,Total: 130,85kgMen,Snatch,131
Rank: 5,PIRELA Danilo,VEN,"Born: Sep 09, 1984",B.weight: 83.00,Group: A,1: 125,2: 130,3: -133,Total: 130,85kgMen,Snatch,131
Rank: 6,PALACIOS Ivan,ARG,"Born: Jul 13, 1991",B.weight: 81.80,Group: A,1: 115,2: 120,3: 126,Total: 126,85kgMen,Snatch,131
Rank: 7,PEREIRA Victor,VEN,"Born: Nov 13, 1989",B.weight: 83.50,Group: A,1: 112,2: 117,3: -121,Total: 117,85kgMen,Snatch,131
Rank: ---,HUIZE Carlos,VEN,"Born: Oct 28, 1986",B.weight: 82.50,Group: A,1: -137,2: -137,3: ---,Total: ---,85kgMen,Snatch,131
Rank: 1,GONZALEZ Francisco,VEN,"Born: Dec 02, 1990",B.weight: 84.20,Group: A,1: 170,2: 176,3: 181,Total: 181,85kgMen,CleanJerk,131
Rank: 2,BALZA GARCIA Renson Rafael,VEN,"Born: Aug 09, 1987",B.weight: 82.40,Group: A,1: 175,2: 180,3: -183,Total: 180,85kgMen,CleanJerk,131
Rank: 3,LEAL Manuel,VEN,"Born: May 02, 1984",B.weight: 83.50,Group: A,1: 160,2: 171,3: ---,Total: 171,85kgMen,CleanJerk,131
Rank: 4,PIRELA Danilo,VEN,"Born: Sep 09, 1984",B.weight: 83.00,Group: A,1: -160,2: 160,3: -166,Total: 160,85kgMen,CleanJerk,131
Rank: 5,PALACIOS Ivan,ARG,"Born: Jul 13, 1991",B.weight: 81.80,Group: A,1: -155,2: -155,3: 155,Total: 155,85kgMen,CleanJerk,131
Rank: 6,PEREIRA Victor,VEN,"Born: Nov 13, 1989",B.weight: 83.50,Group: A,1: 135,2: 140,3: -145,Total: 140,85kgMen,CleanJerk,131
Rank: ---,MEJIAS HERNANDEZ Octavio Antonio,VEN,"Born: Jul 21, 1982",B.weight: 84.25,Group: A,1: -190,2: -190,3: -190,Total: ---,85kgMen,CleanJerk,131
Rank: ---,HUIZE Carlos,VEN,"Born: Oct 28, 1986",B.weight: 82.50,Group: A,1: ---,2: ---,3: ---,Total: ---,85kgMen,CleanJerk,131
