total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,1,AI Yunan,337,1991-06-21,27.5,M,CHN,A,151.6,+109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,185,190,193,193,230,237,-245,237,430
2,2,4,TEYMOURI Homayoun,14062,1994-08-11,24.4,M,IRI,A,135.5,+109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,181,186,191,191,-220,223,NA,223,414
3,3,3,"NAGY Peter",9904,1986-01-16,32.9,M,HUN,A,156.9,+109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,-177,177,185,185,215,224,-230,224,409
4,5,2,TOYCHYYEV Hojamuhammet,14265,1992-01-16,26.9,M,TKM,A,148.4,+109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,175,-181,-182,175,222,228,-231,228,403
5,4,5,CHEN Shih-Chieh,2751,1989-11-27,29.1,M,TPE,A,155.2,+109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,170,180,-187,180,210,-221,221,221,401
6,6,6,MURAKAMI Eishiro,9804,1995-08-08,23.4,M,JPN,A,140.5,+109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,-172,-172,172,172,-210,-210,210,210,382
NA,NA,NA,DJANGABAEV Rustam,3651,1993-08-25,25.3,M,UZB,A,149.8,+109 kg Men,1,0,444,5th International Qatar Cup,2018-12-19,-190,-191,192,NA,230,237,-245,NA,NA
1,1,1,ZHOU Xiaoman,15692,1992-09-23,26.2,W,CHN,A,155.6,+87 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,-120,120,128,128,155,165,175,175,303
2,2,2,LYSENKO Anastasiia,8471,1995-12-02,23,W,UKR,A,102.1,+87 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,-112,112,-115,112,133,140,-150,140,252
1,1,2,ARAMNAU Andrei,1071,1988-04-17,30.7,M,BLR,A,108.6,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,173,179,183,183,208,218,NA,218,401
2,4,1,PLESNIEKS Arturs,11255,1992-01-21,26.9,M,LAT,A,108.5,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,-168,168,174,174,210,220,-228,220,394
3,2,3,DJURAEV Akbar,3654,1999-10-08,19.2,M,UZB,A,104.2,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,173,-178,179,179,200,207,213,213,392
4,6,4,ZAITSEV Roman,15539,1987-03-13,31.8,M,UKR,A,106.9,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,162,168,171,171,195,206,212,212,383
5,3,6,AGHAEI MOTALEGHI Nima,249,1990-07-17,28.4,M,IRI,A,108.2,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,-174,-175,175,175,200,207,-212,207,382
6,5,5,SOLEYMANI Alireza,13368,1996-02-17,22.8,M,IRI,A,108.6,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,173,-180,-180,173,-208,208,-222,208,381
7,7,7,OSORIO Dangelo Antoinne,10615,1993-10-13,25.2,M,USA,A,102.3,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,155,-160,160,160,200,-207,-210,200,360
8,8,8,OVEZOV Ovez,10669,1997-06-11,21.5,M,TKM,A,103.9,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,-158,158,-162,158,188,193,-196,193,351
9,9,9,BUTT Hanzala Dastgir,2255,2002-08-17,16.3,M,PAK,A,106.8,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,130,135,140,140,165,170,-175,170,310
10,10,10,HOXHA Endrit,5812,2000-07-06,18.5,M,KOS,A,102.7,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,90,93,-96,93,105,111,-117,111,204
NA,NA,NA,CHUMAK Dmytro,2968,1990-07-11,28.4,M,UKR,A,103.2,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ILYIN Ilya,6055,1988-05-24,30.6,M,KAZ,A,108.3,109 kg Men,0,0,444,5th International Qatar Cup,2018-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,ZHANG Rong,15642,1993-10-31,25.1,W,CHN,A,48.6,49 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,85,88,92,92,103,-108,-110,103,195
2,2,2,ANDRIES Elena Ramona,982,1994-09-21,24.2,W,ROU,A,48.9,49 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,82,86,-89,86,101,-106,-106,101,187
3,4,5,YANAGIDA Mizuki,15281,1992-09-05,26.3,W,JPN,A,48.9,49 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,73,76,78,78,93,-98,98,98,176
4,5,4,MICHEL Anais,9250,1988-01-12,30.9,W,FRA,A,48.6,49 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,75,77,-79,77,95,98,-100,98,175
5,6,3,DZHUMABAYEVA Yulduz,3849,1998-04-22,20.7,W,TKM,A,48.9,49 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,75,-78,-78,75,100,-102,-102,100,175
6,7,7,ITOKAZU Kanako,6152,1992-11-07,26.1,W,JPN,A,49,49 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,70,72,74,74,84,87,90,90,164
7,8,6,SOREN Sneha,13413,2001-05-02,17.6,W,IND,A,48.9,49 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,-66,66,-70,66,87,90,-92,90,156
NA,3,NA,BATCHELOR Cortney Christine,1616,1991-05-09,27.6,W,USA,A,48.9,49 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,77,79,-81,79,-100,-100,-100,NA,NA
1,1,1,JACOBSEN Rebekka Tao,6200,1996-09-12,22.3,W,NOR,A,54.9,55 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,74,76,-78,76,97,99,-101,99,175
2,3,2,PATSEANG Yipang,10934,2001-08-20,17.3,W,TPE,A,53.6,55 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,70,-74,74,74,94,-100,-100,94,168
3,2,3,AZIMOVA Sabina,1357,2000-11-02,18.1,W,AZE,A,54,55 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,71,74,-77,74,92,-97,-97,92,166
1,1,1,KUO Hsing-Chun,7584,1993-11-26,25.1,W,TPE,A,58.9,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,100,-103,103,103,120,125,130,130,233
2,2,3,LUO Xiaomin,8441,1999-11-14,19.1,W,CHN,A,59,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,93,98,101,101,115,120,123,123,224
3,4,2,ZHANG Yujuan,15655,1997-07-23,21.4,W,CHN,A,58.6,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,90,94,98,98,120,126,-131,126,224
4,3,4,KOHA Rebeka,7297,1998-05-19,20.6,W,LAT,A,58.4,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,96,100,-102,100,114,118,-122,118,218
5,6,5,CHIANG Nien-Hsin,2829,1997-04-29,21.6,W,TPE,A,58.4,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,-85,85,88,88,110,-114,114,114,202
6,5,6,BENTELI Konstantina,1780,1993-08-24,25.3,W,GRE,A,58,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,88,91,-94,91,105,110,-115,110,201
7,7,8,PENCIU Andreea,11002,2000-09-07,18.3,W,ROU,A,58.6,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,85,-88,-88,85,100,-103,103,103,188
8,8,9,WAALER Sol Anette,14893,1992-08-14,26.3,W,NOR,A,58.3,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,81,-84,-84,81,101,-105,-105,101,182
9,10,10,ADAK Sukarna,194,2003-01-10,15.9,W,IND,A,58.3,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,76,-79,80,80,97,-100,100,100,180
10,9,11,KOSTOVA Boyanka Minkova,7415,1993-05-10,25.6,W,AZE,A,58.9,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,80,-84,-84,80,95,-100,-101,95,175
NA,NA,7,LEBLANC BAZINET Camille,7849,1988-10-10,30.2,W,USA,A,58.8,59 kg Women,0,0,444,5th International Qatar Cup,2018-12-19,-82,-83,-83,NA,105,110,-115,110,NA
