rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,CAPTARI Dumitru,ROU,"Born: Jul 12, 1989",B.weight: 76.90,Group: A,1: 136,2: 141,3: 145,Total: 145,77kgMen,Snatch,347
Rank: 2,MOHD Hafifi Bin Mansor,MAS,"Born: Oct 28, 1990",B.weight: 72.65,Group: A,1: 135,2: 140,3: -143,Total: 140,77kgMen,Snatch,347
Rank: 4,ROZSNYIK Ervin,SRB,"Born: May 22, 1993",B.weight: 76.70,Group: A,1: -130,2: 130,3: 135,Total: 135,77kgMen,Snatch,347
Rank: 5,YOUN Yeowon,KOR,"Born: Aug 12, 1995",B.weight: 69.80,Group: A,1: 121,2: -130,3: 130,Total: 130,77kgMen,Snatch,347
Rank: 6,ALDUHAYLIB Mohsen Hussain A,KSA,"Born: May 01, 1994",B.weight: 70.50,Group: A,1: -130,2: 130,3: -135,Total: 130,77kgMen,Snatch,347
Rank: 7,ABDYRAMANOV Syrgak,KGZ,"Born: Nov 21, 1994",B.weight: 69.55,Group: A,1: -120,2: 120,3: -125,Total: 120,77kgMen,Snatch,347
Rank: 8,ALMAJED Hussain Abdulrazaq A,KSA,"Born: Dec 14, 1998",B.weight: 75.85,Group: A,1: 105,2: 111,3: 114,Total: 114,77kgMen,Snatch,347
Rank: 9,ZECIC Nermin,BIH,"Born: Dec 29, 1996",B.weight: 72.15,Group: A,1: 105,2: 109,3: 111,Total: 111,77kgMen,Snatch,347
Rank: 10,SHUKUROV Ilkhomjon,TJK,"Born: Aug 03, 1987",B.weight: 72.20,Group: A,1: 105,2: 110,3: -115,Total: 110,77kgMen,Snatch,347
Rank: 11,XU Runxu,CHN,"Born: Mar 26, 1998",B.weight: 72.15,Group: A,1: -100,2: 100,3: 108,Total: 108,77kgMen,Snatch,347
Rank: 12,MOURISHED Mohamad,OMA,"Born: Jan 01, 2000",B.weight: 76.40,Group: A,1: 104,2: -110,3: -112,Total: 104,77kgMen,Snatch,347
Rank: 13,EISSA Hasan Ali Ali Radman,YEM,"Born: Jul 15, 1998",B.weight: 76.50,Group: A,1: 80,2: 90,3: -95,Total: 90,77kgMen,Snatch,347
Rank: 14,ABDULLAH Bin Hamoud Alghabishi,OMA,"Born: Jan 01, 1999",B.weight: 73.60,Group: A,1: 76,2: -90,3: -90,Total: 76,77kgMen,Snatch,347
Rank: 15,ALHASAN Hamad Najem Hamad Mubarak M,BRN,"Born: Oct 06, 1999",B.weight: 74.50,Group: A,1: -55,2: 55,3: 56,Total: 56,77kgMen,Snatch,347
Rank: ---,KRASNIQI Arbnor,KOS,"Born: Oct 14, 1994",B.weight: 71.80,Group: A,1: -95,2: -95,3: -95,Total: ---,77kgMen,Snatch,347
Rank: ---,ASHEER Ahmed Hasan,QAT,"Born: Jan 01, 1988",B.weight: 76.30,Group: A,1: -75,2: -75,3: -80,Total: ---,77kgMen,Snatch,347
Rank: 1,MOHD Hafifi Bin Mansor,MAS,"Born: Oct 28, 1990",B.weight: 72.65,Group: A,1: 177,2: 181,3: -185,Total: 181,77kgMen,CleanJerk,347
Rank: 2,CAPTARI Dumitru,ROU,"Born: Jul 12, 1989",B.weight: 76.90,Group: A,1: -175,2: 175,3: 180,Total: 180,77kgMen,CleanJerk,347
Rank: 3,ROZSNYIK Ervin,SRB,"Born: May 22, 1993",B.weight: 76.70,Group: A,1: 160,2: 167,3: -171,Total: 167,77kgMen,CleanJerk,347
Rank: 4,ALDUHAYLIB Mohsen Hussain A,KSA,"Born: May 01, 1994",B.weight: 70.50,Group: A,1: 155,2: 161,3: -167,Total: 161,77kgMen,CleanJerk,347
Rank: 5,YOUN Yeowon,KOR,"Born: Aug 12, 1995",B.weight: 69.80,Group: A,1: -150,2: 150,3: -160,Total: 150,77kgMen,CleanJerk,347
Rank: 6,ALMAJED Hussain Abdulrazaq A,KSA,"Born: Dec 14, 1998",B.weight: 75.85,Group: A,1: 135,2: 141,3: 146,Total: 146,77kgMen,CleanJerk,347
Rank: 7,ABDYRAMANOV Syrgak,KGZ,"Born: Nov 21, 1994",B.weight: 69.55,Group: A,1: 140,2: 145,3: -150,Total: 145,77kgMen,CleanJerk,347
Rank: 8,MOURISHED Mohamad,OMA,"Born: Jan 01, 2000",B.weight: 76.40,Group: A,1: 136,2: 142,3: -147,Total: 142,77kgMen,CleanJerk,347
Rank: 9,SHUKUROV Ilkhomjon,TJK,"Born: Aug 03, 1987",B.weight: 72.20,Group: A,1: 130,2: 135,3: 140,Total: 140,77kgMen,CleanJerk,347
Rank: 10,XU Runxu,CHN,"Born: Mar 26, 1998",B.weight: 72.15,Group: A,1: 133,2: 138,3: -142,Total: 138,77kgMen,CleanJerk,347
Rank: 11,ZECIC Nermin,BIH,"Born: Dec 29, 1996",B.weight: 72.15,Group: A,1: -130,2: 130,3: 135,Total: 135,77kgMen,CleanJerk,347
Rank: 12,KRASNIQI Arbnor,KOS,"Born: Oct 14, 1994",B.weight: 71.80,Group: A,1: 115,2: -118,3: 120,Total: 120,77kgMen,CleanJerk,347
Rank: 13,EISSA Hasan Ali Ali Radman,YEM,"Born: Jul 15, 1998",B.weight: 76.50,Group: A,1: 115,2: 120,3: -126,Total: 120,77kgMen,CleanJerk,347
Rank: 14,ABDULLAH Bin Hamoud Alghabishi,OMA,"Born: Jan 01, 1999",B.weight: 73.60,Group: A,1: -95,2: 95,3: -115,Total: 95,77kgMen,CleanJerk,347
Rank: 15,ALHASAN Hamad Najem Hamad Mubarak M,BRN,"Born: Oct 06, 1999",B.weight: 74.50,Group: A,1: 65,2: 72,3: 80,Total: 80,77kgMen,CleanJerk,347
Rank: ---,ASHEER Ahmed Hasan,QAT,"Born: Jan 01, 1988",B.weight: 76.30,Group: A,1: ---,2: ---,3: ---,Total: ---,77kgMen,CleanJerk,347
Rank: 1,CAPTARI Dumitru,ROU,"Born: Jul 12, 1989",B.weight: 76.90,Group: A,Snatch: 145,CI&Jerk: 180,Total: 325,,77kgMen,Total,347
Rank: 2,MOHD Hafifi Bin Mansor,MAS,"Born: Oct 28, 1990",B.weight: 72.65,Group: A,Snatch: 140,CI&Jerk: 181,Total: 321,,77kgMen,Total,347
Rank: 3,ROZSNYIK Ervin,SRB,"Born: May 22, 1993",B.weight: 76.70,Group: A,Snatch: 135,CI&Jerk: 167,Total: 302,,77kgMen,Total,347
Rank: 4,ALDUHAYLIB Mohsen Hussain A,KSA,"Born: May 01, 1994",B.weight: 70.50,Group: A,Snatch: 130,CI&Jerk: 161,Total: 291,,77kgMen,Total,347
Rank: 5,YOUN Yeowon,KOR,"Born: Aug 12, 1995",B.weight: 69.80,Group: A,Snatch: 130,CI&Jerk: 150,Total: 280,,77kgMen,Total,347
Rank: 6,ABDYRAMANOV Syrgak,KGZ,"Born: Nov 21, 1994",B.weight: 69.55,Group: A,Snatch: 120,CI&Jerk: 145,Total: 265,,77kgMen,Total,347
Rank: 7,ALMAJED Hussain Abdulrazaq A,KSA,"Born: Dec 14, 1998",B.weight: 75.85,Group: A,Snatch: 114,CI&Jerk: 146,Total: 260,,77kgMen,Total,347
Rank: 8,SHUKUROV Ilkhomjon,TJK,"Born: Aug 03, 1987",B.weight: 72.20,Group: A,Snatch: 110,CI&Jerk: 140,Total: 250,,77kgMen,Total,347
Rank: 9,XU Runxu,CHN,"Born: Mar 26, 1998",B.weight: 72.15,Group: A,Snatch: 108,CI&Jerk: 138,Total: 246,,77kgMen,Total,347
Rank: 10,ZECIC Nermin,BIH,"Born: Dec 29, 1996",B.weight: 72.15,Group: A,Snatch: 111,CI&Jerk: 135,Total: 246,,77kgMen,Total,347
Rank: 11,MOURISHED Mohamad,OMA,"Born: Jan 01, 2000",B.weight: 76.40,Group: A,Snatch: 104,CI&Jerk: 142,Total: 246,,77kgMen,Total,347
Rank: 12,EISSA Hasan Ali Ali Radman,YEM,"Born: Jul 15, 1998",B.weight: 76.50,Group: A,Snatch: 90,CI&Jerk: 120,Total: 210,,77kgMen,Total,347
Rank: 13,ABDULLAH Bin Hamoud Alghabishi,OMA,"Born: Jan 01, 1999",B.weight: 73.60,Group: A,Snatch: 76,CI&Jerk: 95,Total: 171,,77kgMen,Total,347
Rank: 14,ALHASAN Hamad Najem Hamad Mubarak M,BRN,"Born: Oct 06, 1999",B.weight: 74.50,Group: A,Snatch: 56,CI&Jerk: 80,Total: 136,,77kgMen,Total,347
Rank: ---,KRASNIQI Arbnor,KOS,"Born: Oct 14, 1994",B.weight: 71.80,Group: A,Snatch: ---,CI&Jerk: 120,Total: ---,,77kgMen,Total,347
Rank: ---,ASHEER Ahmed Hasan,QAT,"Born: Jan 01, 1988",B.weight: 76.30,Group: A,Snatch: ---,CI&Jerk: ---,Total: ---,,77kgMen,Total,347
Rank: 1,PIZZOLATO Antonino,ITA,"Born: Aug 20, 1996",B.weight: 84.95,Group: A,1: 150,2: 160,3: -164,Total: 160,85kgMen,Snatch,347
Rank: 2,TOVMASJAN Karen,NED,"Born: Aug 05, 1990",B.weight: 84.55,Group: A,1: 136,2: 141,3: -144,Total: 141,85kgMen,Snatch,347
Rank: 3,AL-HASHIMI Raad Ameen Yasir,IRQ,"Born: Nov 01, 1990",B.weight: 84.95,Group: A,1: 136,2: 141,3: -145,Total: 141,85kgMen,Snatch,347
Rank: 4,TAHIR Muhammad,PAK,"Born: Dec 09, 1992",B.weight: 84.55,Group: A,1: -131,2: 131,3: 136,Total: 136,85kgMen,Snatch,347
Rank: 5,LEE Minwoong,KOR,"Born: Sep 16, 1992",B.weight: 80.20,Group: A,1: 130,2: -140,3: -140,Total: 130,85kgMen,Snatch,347
Rank: 6,ALOTHMAN Sami Ahmed M,KSA,"Born: Jul 17, 1997",B.weight: 77.90,Group: A,1: 115,2: 120,3: 124,Total: 124,85kgMen,Snatch,347
Rank: 7,SHARIPOV Azamat,UZB,"Born: Jul 02, 1996",B.weight: 83.00,Group: A,1: 110,2: 115,3: 117,Total: 117,85kgMen,Snatch,347
Rank: 8,MICALLEF Kyle Sean,MLT,"Born: Jan 08, 1987",B.weight: 84.85,Group: A,1: -114,2: -114,3: 114,Total: 114,85kgMen,Snatch,347
Rank: 9,ALSHERAWI Yusuf Khaled Yusuf A. M.,BRN,"Born: Apr 13, 1996",B.weight: 82.75,Group: A,1: 100,2: 107,3: -116,Total: 107,85kgMen,Snatch,347
Rank: 10,RAHMAN Md Azuzur,BAN,"Born: Jan 01, 1979",B.weight: 82.70,Group: A,1: 95,2: 100,3: 105,Total: 105,85kgMen,Snatch,347
Rank: 11,ALASIF Hassan Mohammed M,KSA,"Born: Oct 18, 2000",B.weight: 82.80,Group: A,1: 85,2: 90,3: 95,Total: 95,85kgMen,Snatch,347
Rank: 12,AFZALY Khaled,AFG,"Born: Aug 06, 1998",B.weight: 82.45,Group: A,1: 90,2: -95,3: -95,Total: 90,85kgMen,Snatch,347
Rank: 13,KHALID Alhamadi,QAT,"Born: Jan 01, 1989",B.weight: 82.65,Group: A,1: 72,2: -81,3: 81,Total: 81,85kgMen,Snatch,347
Rank: 1,PIZZOLATO Antonino,ITA,"Born: Aug 20, 1996",B.weight: 84.95,Group: A,1: 190,2: 195,3: -200,Total: 195,85kgMen,CleanJerk,347
Rank: 2,AL-HASHIMI Raad Ameen Yasir,IRQ,"Born: Nov 01, 1990",B.weight: 84.95,Group: A,1: 170,2: -172,3: 172,Total: 172,85kgMen,CleanJerk,347
Rank: 3,TOVMASJAN Karen,NED,"Born: Aug 05, 1990",B.weight: 84.55,Group: A,1: 165,2: -171,3: 171,Total: 171,85kgMen,CleanJerk,347
Rank: 4,LEE Minwoong,KOR,"Born: Sep 16, 1992",B.weight: 80.20,Group: A,1: 161,2: 170,3: -173,Total: 170,85kgMen,CleanJerk,347
Rank: 5,TAHIR Muhammad,PAK,"Born: Dec 09, 1992",B.weight: 84.55,Group: A,1: 155,2: -160,3: 160,Total: 160,85kgMen,CleanJerk,347
Rank: 6,ALOTHMAN Sami Ahmed M,KSA,"Born: Jul 17, 1997",B.weight: 77.90,Group: A,1: 140,2: 150,3: -156,Total: 150,85kgMen,CleanJerk,347
Rank: 7,SHARIPOV Azamat,UZB,"Born: Jul 02, 1996",B.weight: 83.00,Group: A,1: 130,2: 135,3: 140,Total: 140,85kgMen,CleanJerk,347
Rank: 8,MICALLEF Kyle Sean,MLT,"Born: Jan 08, 1987",B.weight: 84.85,Group: A,1: 134,2: -139,3: 139,Total: 139,85kgMen,CleanJerk,347
