rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 1,ALABDULAL Abbas Salman A,KSA,"Born: Jun 09, 1991",B.weight: 55.70,Group: A,1: 87,2: 93,3: 99,Total: 99,56kgMen,Snatch,281
Rank: 2,ATBAL Mohamed Saaden,LBA,"Born: Mar 23, 1989",B.weight: 55.50,Group: A,1: 70,2: 80,3: -88,Total: 80,56kgMen,Snatch,281
Rank: 3,LUYOMBYA Silvester,UGA,"Born: Feb 24, 1993",B.weight: 54.70,Group: A,1: 60,2: 65,3: -71,Total: 65,56kgMen,Snatch,281
Rank: 1,ALABDULAL Abbas Salman A,KSA,"Born: Jun 09, 1991",B.weight: 55.70,Group: A,1: 110,2: 114,3: 122,Total: 122,56kgMen,CleanJerk,281
Rank: 2,ATBAL Mohamed Saaden,LBA,"Born: Mar 23, 1989",B.weight: 55.50,Group: A,1: 90,2: 100,3: 113,Total: 113,56kgMen,CleanJerk,281
Rank: 3,LUYOMBYA Silvester,UGA,"Born: Feb 24, 1993",B.weight: 54.70,Group: A,1: 80,2: 86,3: 91,Total: 91,56kgMen,CleanJerk,281
Rank: 1,ALABDULAL Abbas Salman A,KSA,"Born: Jun 09, 1991",B.weight: 55.70,Group: A,Snatch: 99,CI&Jerk: 122,Total: 221,,56kgMen,Total,281
Rank: 2,ATBAL Mohamed Saaden,LBA,"Born: Mar 23, 1989",B.weight: 55.50,Group: A,Snatch: 80,CI&Jerk: 113,Total: 193,,56kgMen,Total,281
Rank: 3,LUYOMBYA Silvester,UGA,"Born: Feb 24, 1993",B.weight: 54.70,Group: A,Snatch: 65,CI&Jerk: 91,Total: 156,,56kgMen,Total,281
Rank: 1,SSEKYAAYA Charles,UGA,"Born: Apr 11, 1994",B.weight: 61.80,Group: A,1: 107,2: 112,3: 116,Total: 116,62kgMen,Snatch,281
Rank: 2,ALABDULLATIF Abdullatif Khdher A,KSA,"Born: May 10, 1982",B.weight: 61.50,Group: A,1: 107,2: 111,3: 115,Total: 115,62kgMen,Snatch,281
Rank: 3,MOUSSA Abdella Khalifa Mohamed,LBA,"Born: Jan 12, 1992",B.weight: 61.30,Group: A,1: -110,2: 110,3: -117,Total: 110,62kgMen,Snatch,281
Rank: 4,MALAKCI Emre,TUR,"Born: Oct 19, 1993",B.weight: 61.20,Group: A,1: 100,2: 105,3: -109,Total: 105,62kgMen,Snatch,281
Rank: 5,KASUMBA Semei,UGA,"Born: Oct 02, 1996",B.weight: 62.00,Group: A,1: 80,2: 85,3: 90,Total: 90,62kgMen,Snatch,281
Rank: 6,ABDIRIZAK Abshir Abdi,SOM,"Born: Mar 25, 1992",B.weight: 59.90,Group: A,1: 35,2: 36,3: 37,Total: 37,62kgMen,Snatch,281
Rank: 7,AHMED Ali Egal,SOM,"Born: Jan 01, 1991",B.weight: 61.40,Group: A,1: 30,2: 32,3: 34,Total: 34,62kgMen,Snatch,281
Rank: 1,ALABDULLATIF Abdullatif Khdher A,KSA,"Born: May 10, 1982",B.weight: 61.50,Group: A,1: 140,2: 149,3: 154,Total: 154,62kgMen,CleanJerk,281
Rank: 2,SSEKYAAYA Charles,UGA,"Born: Apr 11, 1994",B.weight: 61.80,Group: A,1: 142,2: -148,3: 148,Total: 148,62kgMen,CleanJerk,281
Rank: 3,MOUSSA Abdella Khalifa Mohamed,LBA,"Born: Jan 12, 1992",B.weight: 61.30,Group: A,1: 140,2: -150,3: -150,Total: 140,62kgMen,CleanJerk,281
Rank: 4,MALAKCI Emre,TUR,"Born: Oct 19, 1993",B.weight: 61.20,Group: A,1: 120,2: -127,3: -127,Total: 120,62kgMen,CleanJerk,281
Rank: 5,KASUMBA Semei,UGA,"Born: Oct 02, 1996",B.weight: 62.00,Group: A,1: 105,2: 112,3: 115,Total: 115,62kgMen,CleanJerk,281
Rank: 6,ABDIRIZAK Abshir Abdi,SOM,"Born: Mar 25, 1992",B.weight: 59.90,Group: A,1: 45,2: 46,3: -47,Total: 46,62kgMen,CleanJerk,281
Rank: 7,AHMED Ali Egal,SOM,"Born: Jan 01, 1991",B.weight: 61.40,Group: A,1: -35,2: 35,3: 37,Total: 37,62kgMen,CleanJerk,281
Rank: 1,ALABDULLATIF Abdullatif Khdher A,KSA,"Born: May 10, 1982",B.weight: 61.50,Group: A,Snatch: 115,CI&Jerk: 154,Total: 269,,62kgMen,Total,281
Rank: 2,SSEKYAAYA Charles,UGA,"Born: Apr 11, 1994",B.weight: 61.80,Group: A,Snatch: 116,CI&Jerk: 148,Total: 264,,62kgMen,Total,281
Rank: 3,MOUSSA Abdella Khalifa Mohamed,LBA,"Born: Jan 12, 1992",B.weight: 61.30,Group: A,Snatch: 110,CI&Jerk: 140,Total: 250,,62kgMen,Total,281
Rank: 4,MALAKCI Emre,TUR,"Born: Oct 19, 1993",B.weight: 61.20,Group: A,Snatch: 105,CI&Jerk: 120,Total: 225,,62kgMen,Total,281
Rank: 5,KASUMBA Semei,UGA,"Born: Oct 02, 1996",B.weight: 62.00,Group: A,Snatch: 90,CI&Jerk: 115,Total: 205,,62kgMen,Total,281
Rank: 6,ABDIRIZAK Abshir Abdi,SOM,"Born: Mar 25, 1992",B.weight: 59.90,Group: A,Snatch: 37,CI&Jerk: 46,Total: 83,,62kgMen,Total,281
Rank: 7,AHMED Ali Egal,SOM,"Born: Jan 01, 1991",B.weight: 61.40,Group: A,Snatch: 34,CI&Jerk: 37,Total: 71,,62kgMen,Total,281
Rank: 1,ALDUHAYLIB Mohsen Hussain A,KSA,"Born: May 01, 1994",B.weight: 68.50,Group: A,1: 120,2: -127,3: -130,Total: 120,69kgMen,Snatch,281
Rank: 2,KATAMBA Ismail,UGA,"Born: Jan 19, 1987",B.weight: 65.80,Group: A,1: 90,2: 102,3: -106,Total: 102,69kgMen,Snatch,281
Rank: 3,LUBEGA Jamiru,UGA,"Born: Nov 11, 1997",B.weight: 66.90,Group: A,1: 85,2: -95,3: 95,Total: 95,69kgMen,Snatch,281
