total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
1,1,2,MURAKAMI Eishiro,10548,1995-08-08,24.3,M,JPN,A,137.81,+109 kg Men,0,0,491,IWF World Cup,2019-12-10,180,185,-189,185,220,228,231,231,416
2,2,1,TOYCHYYEV Hojamuhammet,15323,1992-01-16,27.9,M,TKM,A,146.81,+109 kg Men,0,0,491,IWF World Cup,2019-12-10,170,178,183,183,215,227,231,231,414
3,3,3,MANRIQUEZ COLLINS Raul Enrique,9394,1997-04-09,22.7,M,MEX,A,182.08,+109 kg Men,0,0,491,IWF World Cup,2019-12-10,160,-170,-170,160,195,NA,NA,195,355
4,4,4,HAM Sang Il,5768,1989-08-25,30.3,M,KOR,A,135.36,+109 kg Men,0,0,491,IWF World Cup,2019-12-10,150,NA,NA,150,180,-181,NA,180,330
1,1,1,LI Wenwen,8660,2000-03-05,19.8,W,CHN,A,148.84,+87 kg Women,0,0,491,IWF World Cup,2019-12-10,130,138,-142,138,165,173,177,177,315
2,2,3,KIM Kuk Hyang,7660,1993-04-20,26.6,W,PRK,A,102.5,+87 kg Women,0,0,491,IWF World Cup,2019-12-10,115,120,-123,120,150,155,-160,155,275
3,4,2,SON Younghee,14399,1993-04-24,26.6,W,KOR,A,114.12,+87 kg Women,0,0,491,IWF World Cup,2019-12-10,110,115,-120,115,153,158,-162,158,273
4,3,4,CAMPBELL Emily,2619,1994-05-06,25.6,W,GBR,A,119.38,+87 kg Women,0,0,491,IWF World Cup,2019-12-10,-115,115,119,119,147,152,-157,152,271
5,5,5,DAVRONOVA Dolera,3677,2001-11-03,18.1,W,UZB,A,91.29,+87 kg Women,0,0,491,IWF World Cup,2019-12-10,85,90,95,95,115,122,127,127,222
NA,NA,NA,LO Ying-Yuan,8870,1996-05-07,23.6,W,TPE,A,90.46,+87 kg Women,0,0,491,IWF World Cup,2019-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,JIN Yunseong,6917,1995-10-11,24.2,M,KOR,A,101.71,102 kg Men,0,0,491,IWF World Cup,2019-12-10,170,-178,178,178,210,-216,-216,210,388
1,1,2,YANG Zhe,16462,1991-07-14,28.4,M,CHN,A,108.97,109 kg Men,0,0,491,IWF World Cup,2019-12-10,180,186,192,192,213,217,-220,217,409
2,2,1,DJURAEV Akbar,3982,1999-10-08,20.2,M,UZB,A,108.1,109 kg Men,0,0,491,IWF World Cup,2019-12-10,176,181,-184,181,215,219,-229,219,400
3,3,3,JEONG Kisam,6854,1987-08-25,32.3,M,KOR,A,108.53,109 kg Men,0,0,491,IWF World Cup,2019-12-10,175,180,-183,180,210,215,-218,215,395
4,4,4,SEO Huiyeop,13824,1992-02-29,27.8,M,KOR,A,108.73,109 kg Men,0,0,491,IWF World Cup,2019-12-10,-172,172,-177,172,-210,-211,211,211,383
5,5,5,OVEZOV Ovez,11474,1997-06-11,22.5,M,TKM,A,108.85,109 kg Men,0,0,491,IWF World Cup,2019-12-10,155,-163,165,165,190,200,-205,200,365
1,2,2,JIANG Huihua,6888,1998-01-22,21.9,W,CHN,A,48.83,49 kg Women,0,0,491,IWF World Cup,2019-12-10,88,92,94,94,111,116,-119,116,210
2,3,1,RI Song Gum,12774,1997-10-17,22.1,W,PRK,A,48.7,49 kg Women,0,0,491,IWF World Cup,2019-12-10,-87,87,91,91,115,118,-120,118,209
3,1,3,HOU Zhihui,6271,1997-03-18,22.7,W,CHN,A,48.98,49 kg Women,0,0,491,IWF World Cup,2019-12-10,88,92,94,94,110,-115,-117,110,204
4,4,4,FANG Wan-Ling,4568,1999-12-01,20,W,TPE,A,48.47,49 kg Women,0,0,491,IWF World Cup,2019-12-10,76,80,82,82,97,101,-103,101,183
5,5,5,DIAZ Mary Flor,3910,1999-05-04,20.6,W,PHI,A,47.78,49 kg Women,0,0,491,IWF World Cup,2019-12-10,-63,63,66,66,80,85,90,90,156
1,1,1,KGASWANE Kgotla Alphius N,7467,2000-07-07,19.4,M,BOT,A,54.64,55 kg Men,0,0,491,IWF World Cup,2019-12-10,65,-70,70,70,90,95,-99,95,165
1,1,1,ZHANG Wanqiong,16807,1994-01-21,25.9,W,CHN,A,54.46,55 kg Women,0,0,491,IWF World Cup,2019-12-10,-96,-96,96,96,116,-121,-121,116,212
2,2,2,LIAO Qiuyun,8697,1995-07-13,24.4,W,CHN,A,54.92,55 kg Women,0,0,491,IWF World Cup,2019-12-10,88,93,95,95,115,-120,-120,115,210
3,3,3,"NABIEVA Muattar",10631,1996-06-02,23.5,W,UZB,A,54.59,55 kg Women,0,0,491,IWF World Cup,2019-12-10,85,88,-90,88,101,106,111,111,199
4,4,4,SHERMETOVA Kristina,14003,1993-05-25,26.5,W,TKM,A,54.51,55 kg Women,0,0,491,IWF World Cup,2019-12-10,80,83,85,85,100,105,110,110,195
